word,source,spike_week,spike_share,spike_baseline,spike_channels,n_titles,n_channels
iran,spike rank 1,2026-03-02,0.2809,0.0909,147,35756,232
war,spike rank 2,2026-03-02,0.1864,0.0532,136,18950,246
epstein,spike rank 3,2026-02-02,0.1568,0.0242,124,5196,208
venezuela,spike rank 4,2026-01-05,0.1164,0.0059,104,2663,163
ice,spike rank 5,2026-01-12,0.1282,0.0263,114,6183,216
deal,spike rank 6,2026-06-15,0.0992,0.0108,111,4895,161
maduro,spike rank 7,2026-01-05,0.0782,0.0027,97,1467,134
greenland,spike rank 8,2026-01-19,0.0784,0.0045,92,1902,140
fauci,spike rank 9,2026-07-27,0.0775,0.0041,87,880,113
trump,spike rank 10,2026-04-06,0.3004,0.2315,148,67070,244
state,spike rank 11,2026-02-23,0.0760,0.0088,108,2936,190
platner,spike rank 12,2026-07-06,0.0697,0.0039,79,785,110
epstein files,spike rank 13 (files),2026-02-02,0.0716,0.0087,92,1395,148
ceasefire,spike rank 14,2026-04-06,0.0677,0.0049,97,2359,122
china,spike rank 15,2026-05-11,0.0740,0.0115,99,4542,157
shooting,spike rank 16,2026-01-05,0.0593,0.0078,80,3089,150
minneapolis,spike rank 17,2026-01-05,0.0549,0.0064,71,1967,141
alex,spike rank 18,2026-01-26,0.0541,0.0059,81,1142,151
lindsey graham,spike rank 19,2026-07-13,0.0475,0.0031,90,865,127
supreme court,spike rank 21,2026-06-29,0.0502,0.0069,80,1927,136
graham,spike rank 22,2026-07-06,0.0467,0.0036,75,1662,163
lindsay clancy,spike rank 23,2026-08-31,0.0468,0.0039,59,1101,94
minnesota,spike rank 24,2026-01-26,0.0459,0.0058,79,1983,146
canada,spike rank 25,2026-08-24,0.0413,0.0059,78,1752,134
hormuz,spike rank 26,2026-04-13,0.0391,0.0073,68,5008,120
scotus,spike rank 28,2026-06-29,0.0332,0.0036,54,767,94
israel,spike rank 29,2026-06-15,0.0526,0.0235,65,6484,172
andrew,spike rank 30,2026-02-16,0.0343,0.0053,69,930,152
jd vance,spike rank 32,2026-06-15,0.0339,0.0058,75,1483,130
charlie kirk,spike rank 33,2026-09-07,0.0329,0.0055,53,1145,117
obama,spike rank 34,2026-06-15,0.0315,0.0043,61,871,127
election,spike rank 36,2026-07-13,0.0362,0.0105,73,2993,161
abdul el-sayed,spike rank 37,2026-08-03,0.0276,0.0021,52,369,86
oil,spike rank 38,2026-01-05,0.0325,0.0074,67,3683,136
strait of hormuz,spike rank 39 (strait),2026-04-13,0.0286,0.0053,65,2421,106
melania,spike rank 40,2026-04-06,0.0263,0.0034,71,886,93
aoc,spike rank 43,2026-08-10,0.0250,0.0039,41,631,129
hearing,spike rank 44,2026-07-06,0.0257,0.0048,31,2034,111
nato,spike rank 45,2026-07-06,0.0243,0.0041,46,2852,106
protests,spike rank 48,2026-01-12,0.0238,0.0040,54,1692,119
arrested,spike rank 49,2026-01-26,0.0242,0.0047,64,1084,145
fraud,spike rank 50,2026-01-05,0.0256,0.0063,44,1764,150
white house,spike rank 51,2026-06-15,0.0277,0.0087,67,3552,149
peace,spike rank 52,2026-06-15,0.0236,0.0048,53,2469,134
hasan,spike rank 53,2026-05-25,0.0282,0.0094,38,883,131
cuba,spike rank 55,2026-03-23,0.0228,0.0046,45,1022,135
fired,spike rank 56,2026-03-30,0.0215,0.0035,54,733,135
speech,spike rank 58,2026-07-13,0.0249,0.0072,68,2372,167
california,spike rank 59,2026-06-01,0.0231,0.0056,46,1382,137
uk,spike rank 60,2026-06-01,0.0236,0.0061,52,2897,139
iranian,spike rank 61,2026-03-02,0.0223,0.0049,52,2870,127
texas,spike rank 62,2026-03-02,0.0220,0.0048,50,1634,124
hegseth,spike rank 63,2026-04-27,0.0227,0.0061,55,2330,119
trial,spike rank 64,2026-08-31,0.0212,0.0048,43,1639,119
debate,spike rank 65,2026-08-10,0.0286,0.0126,44,1901,164
world cup,spike rank 66 (cup),2026-07-06,0.0195,0.0036,46,2200,113
strikes,spike rank 67,2026-03-02,0.0239,0.0079,50,4953,127
regime,spike rank 68,2026-03-02,0.0195,0.0039,45,1041,121
lebanon,spike rank 69,2026-04-06,0.0187,0.0038,38,1706,78
woman,spike rank 70,2026-01-05,0.0204,0.0060,54,1242,127
senate,spike rank 71,2026-07-13,0.0208,0.0064,51,2833,136
maga,spike rank 72,2026-03-16,0.0356,0.0213,53,3696,183
