level,group,genre,measure,n_months,spearman_trend,p,first_month_value,last_full_month_value
group,right,videos,F1_controlled,9,-0.183,0.6368,0.1077,0.0384
group,right,videos,F2_controlled,9,0.45,0.2242,0.1391,0.2237
group,right,videos,F3_controlled,9,-0.283,0.46,-0.2058,-0.1997
group,right,videos,F4_controlled,9,0.35,0.3558,-0.0033,0.0032
group,right,videos,F5_controlled,9,-0.617,0.0769,0.3804,0.1465
group,right,videos,F6_controlled,9,0.083,0.8312,-0.0572,-0.1189
group,right,videos,F7_controlled,9,-0.2,0.6059,-0.5517,-0.5954
group,right,videos,F8_controlled,9,0.9,0.0009,-0.1284,-0.0709
group,right,videos,F9_controlled,9,0.633,0.0671,-0.0897,0.033
group,right,videos,F10_controlled,9,0.15,0.7001,-0.1601,-0.1625
group,right,videos,F11_controlled,9,-0.417,0.2646,0.0779,0.0754
group,right,videos,F12_controlled,9,0.533,0.1392,-0.227,-0.2117
group,right,videos,curiosity_gap,9,0.133,0.7324,0.0488,0.047
group,right,videos,outrage,9,-0.533,0.1392,0.6359,0.6301
group,right,videos,humor,9,-0.883,0.0016,0.0032,0.0015
creator,@ABCNews,streams,F1_controlled,9,-0.75,0.0199,0.2517,-0.3856
creator,@ABCNews,streams,F2_controlled,9,0.117,0.765,1.5715,2.2504
creator,@ABCNews,streams,F3_controlled,9,-0.733,0.0246,2.6586,2.3484
creator,@ABCNews,streams,F4_controlled,9,0.667,0.0499,-0.2402,0.2191
creator,@ABCNews,streams,F5_controlled,9,0.117,0.765,-0.2995,-0.1883
creator,@ABCNews,streams,F6_controlled,9,0.217,0.5755,0.2554,0.269
creator,@ABCNews,streams,F7_controlled,9,-0.733,0.0246,0.3281,-0.5482
creator,@ABCNews,streams,F8_controlled,9,0.8,0.0096,0.051,0.2919
creator,@ABCNews,streams,F9_controlled,9,0.833,0.0053,0.2816,2.0232
creator,@ABCNews,streams,F10_controlled,9,0.8,0.0096,-0.8155,-0.4807
creator,@ABCNews,streams,F11_controlled,9,-0.683,0.0424,-1.0261,-1.1119
creator,@ABCNews,streams,F12_controlled,9,0.483,0.1875,0.0726,0.342
creator,@ABCNews,streams,curiosity_gap,9,-0.683,0.0425,0.0341,0.0
creator,@ABCNews,streams,outrage,9,-0.55,0.125,0.0568,0.0
creator,@ABCNews,streams,humor,9,,,0.0,0.0
creator,@ABCNews,videos,F1_controlled,9,-0.417,0.2646,0.7184,0.5404
creator,@ABCNews,videos,F2_controlled,9,-0.283,0.46,0.0681,0.0153
creator,@ABCNews,videos,F3_controlled,9,-0.05,0.8984,-0.7617,-0.7119
creator,@ABCNews,videos,F4_controlled,9,-0.067,0.8647,-0.2026,-0.2422
creator,@ABCNews,videos,F5_controlled,9,0.0,1.0,0.0166,0.0797
creator,@ABCNews,videos,F6_controlled,9,-0.65,0.0581,-0.5687,-0.6937
creator,@ABCNews,videos,F7_controlled,9,-0.7,0.0358,1.6496,1.2066
creator,@ABCNews,videos,F8_controlled,9,0.183,0.6368,0.0017,-0.0598
creator,@ABCNews,videos,F9_controlled,9,0.6,0.0876,-0.6389,-0.4387
creator,@ABCNews,videos,F10_controlled,9,-0.783,0.0125,0.2618,-0.0675
creator,@ABCNews,videos,F11_controlled,9,0.483,0.1875,-0.2107,-0.0002
creator,@ABCNews,videos,F12_controlled,9,0.233,0.5457,-0.0099,-0.0496
creator,@ABCNews,videos,curiosity_gap,9,-0.75,0.0199,0.0188,0.005
creator,@ABCNews,videos,outrage,9,-0.683,0.0424,0.2333,0.1873
creator,@ABCNews,videos,humor,9,0.059,0.8793,0.0,0.0012
creator,@ANINewsIndia,streams,F1_controlled,9,-0.5,0.1705,0.5409,-0.1612
creator,@ANINewsIndia,streams,F2_controlled,9,-0.85,0.0037,0.3118,-0.1959
creator,@ANINewsIndia,streams,F3_controlled,9,0.8,0.0096,1.4916,1.8847
creator,@ANINewsIndia,streams,F4_controlled,9,0.7,0.0358,-0.0366,0.0188
creator,@ANINewsIndia,streams,F5_controlled,9,0.867,0.0025,-0.3869,-0.3122
creator,@ANINewsIndia,streams,F6_controlled,9,-0.333,0.3807,0.66,0.5529
creator,@ANINewsIndia,streams,F7_controlled,9,-0.867,0.0025,0.6766,-0.2577
creator,@ANINewsIndia,streams,F8_controlled,9,-0.617,0.0769,0.0696,-0.1904
creator,@ANINewsIndia,streams,F9_controlled,9,0.067,0.8647,-0.134,-0.3961
creator,@ANINewsIndia,streams,F10_controlled,9,0.467,0.2054,-0.4022,-0.3484
creator,@ANINewsIndia,streams,F11_controlled,9,-0.55,0.125,0.5042,0.0296
creator,@ANINewsIndia,streams,F12_controlled,9,-0.533,0.1392,0.1684,-0.056
creator,@ANINewsIndia,streams,curiosity_gap,9,0.217,0.5755,0.0676,0.0911
creator,@ANINewsIndia,streams,outrage,9,0.75,0.0199,0.1514,0.3383
creator,@ANINewsIndia,streams,humor,9,0.274,0.4758,0.0,0.0
creator,@ANINewsIndia,videos,F1_controlled,9,-0.5,0.1705,0.5624,0.2158
creator,@ANINewsIndia,videos,F2_controlled,9,-0.45,0.2242,0.6455,0.5895
creator,@ANINewsIndia,videos,F3_controlled,9,-0.15,0.7001,-0.864,-1.0093
creator,@ANINewsIndia,videos,F4_controlled,9,-0.5,0.1705,-0.0644,-0.064
creator,@ANINewsIndia,videos,F5_controlled,9,0.1,0.798,-0.1752,-0.2128
creator,@ANINewsIndia,videos,F6_controlled,9,0.433,0.244,0.1465,0.1419
creator,@ANINewsIndia,videos,F7_controlled,9,-0.783,0.0125,1.0074,0.8379
