genre,titles,kind,group,n_creators,n_style_clusters,largest_cluster_share,members
videos,all,lane split across style clusters,us_press_print_digital,18,5,0.333,@wsj (S0); @nytimes (S0); @TheAtlantic (S0); @TheDailyBeast (S0); @nationalreview (S0); @Vox (S0); @NYTPodcasts (S2); @nypost (S6); @Semafor (S6); @newyorker (S6); @axios (S6); @markets (S6); @USATODAY (S9); @TechCrunch (S9); @POLITICO (S9); @NPR (S9); @thehill (S9); @Forbes (S10)
videos,all,lane split across style clusters,wire_international,11,6,0.545,@ajplus (S0); @TimesNowWorld (S1); @TheEconomist (S3); @timesofindia (S4); @ANINewsIndia (S9); @AssociatedPress (S9); @BBCNews (S9); @Reuters (S9); @SkyNews (S9); @aljazeeraenglish (S9); @Firstpost (S10)
videos,all,style cluster spanning lanes,S0,69,11,0.362,@KimIversen (centrist_heterodox); @RestPoliticsUS (centrist_heterodox); @UnHerd (centrist_heterodox); @chriscuomo (centrist_heterodox); @nousnetwork (explainer_geopolitics); @AlexStein99 (humour_satire); @SMN (humour_satire); @franifio (humour_satire); @BreakThroughNews (independent_digital_news); @GeopoliticalEconomyReport (independent_digital_news); @RebelNewsOnline (independent_digital_news); @RedactedNews (independent_digital_news); @zeteo (independent_digital_news); https://rumble.com/c/GGreenwald (independent_digital_news); @ColemanHughesOfficial (interview_podcast); @EzraKleinShow (interview_podcast); @JillianMichaels (interview_podcast); @Politicon (interview_podcast); @ZubyMusic (interview_podcast); @judgingfreedom (interview_podcast); @morebridgetphetasy (interview_podcast); @samharrisorg (interview_podcast); @MrTariqNasheed (left_commentary); @PoliticsGirl (left_commentary); @TheHumanistReport (left_commentary); @Tim_Black (left_commentary); @jimacosta (left_commentary); @thedavidpakmanshow (left_commentary); @thomhartmann (left_commentary); @LeejaMiller (legal_institutional); @AndrewKlavan (right_commentary); @BenShapiro (right_commentary); @CamHigby (right_commentary); @ChadPrather1 (right_commentary); @FreshFitMiami (right_commentary); @JustPearlyThings (right_commentary); @LiberalHivemind (right_commentary); @MarkDice (right_commentary); @MattWalsh (right_commentary); @OfficialSaharTV (right_commentary); @OutKick (right_commentary); @RealDanBongino (right_commentary); @RileyGaines (right_commentary); @RufoandLomez (right_commentary); @StevenCrowder (right_commentary); @StosselTV (right_commentary); @Styxhexenhammer666 (right_commentary); @TheAmalaEkpunobi (right_commentary); @TheBrianKilmeadeShow (right_commentary); @X22Report-y5y (right_commentary); @bbrettcooper (right_commentary); @dineshdsouza (right_commentary); @glennbeck (right_commentary); @theisabelbrown (right_commentary); https://rumble.com/c/TheAlexJonesShowLive (right_commentary); @DestinyDGGClips (streamer_reaction); @HasanAbi (streamer_reaction); @MikeFromPA (streamer_reaction); @TheVaushPit (streamer_reaction); @Vaush (streamer_reaction); @Xanderhal (streamer_reaction); @hutch (streamer_reaction); @TheAtlantic (us_press_print_digital); @TheDailyBeast (us_press_print_digital); @Vox (us_press_print_digital); @nationalreview (us_press_print_digital); @nytimes (us_press_print_digital); @wsj (us_press_print_digital); @ajplus (wire_international)
videos,all,style cluster spanning lanes,S1,20,6,0.45,@DoubleDownNews (independent_digital_news); @StatusCoup (independent_digital_news); @LukeBeasley (left_commentary); @MeidasTouch (left_commentary); @SecularTalk (left_commentary); @briantylercohen (left_commentary); @katiephangnews (left_commentary); @LegalAFMTN (legal_institutional); @BlackConservativePerspective (right_commentary); @DrSteveTurleyTV (right_commentary); @FleccasTalks (right_commentary); @JacksonHinkleOfficial (right_commentary); @TheOfficerTatum (right_commentary); @TheQuartering (right_commentary); @Timcast (right_commentary); @TimcastIRL (right_commentary); @TimcastNews (right_commentary); @DailyDenims (streamer_reaction); @deanwithrs (streamer_reaction); @TimesNowWorld (wire_international)
videos,all,style cluster spanning lanes,S2,51,10,0.294,@TheLincolnProject (centrist_heterodox); https://rumble.com/c/russellbrand (centrist_heterodox); @ZeihanonGeopolitics (explainer_geopolitics); @TimDillonShow (humour_satire); @NovaraMedia (independent_digital_news); @breakingpoints (independent_digital_news); @joerogan (interview_podcast); @usefulidiots (interview_podcast); @DueDissidence (left_commentary); @FarronBalanced (left_commentary); @Forthepeoplepodcast305 (left_commentary); @JackCocchiarellaShow (left_commentary); @OwenJonesTalks (left_commentary); @PTLRadioShow (left_commentary); @RebelHQ (left_commentary); @SabbySabs (left_commentary); @TheDamageReport (left_commentary); @TheMajorityReport (left_commentary); @TheMichaelCohenShow (left_commentary); @TheYoungTurks (left_commentary); @adammockler (left_commentary); @harryjsisson (left_commentary); @ponderingpolitics (left_commentary); @GlennKirschner2 (legal_institutional); @LegalEagle (legal_institutional); @RobertGouveiaEsq (legal_institutional); @ActualJusticeWarrior (right_commentary); @BrittanyVenti (right_commentary); @ClipsCandaceOwens (right_commentary); @GrahamAllen (right_commentary); @JesseKellyDC (right_commentary); @OwenReport (right_commentary); @PartOfTheProblem (right_commentary); @SydneyWatson (right_commentary); @ThePodcastoftheLotusEaters (right_commentary); @XAVIAER (right_commentary); @chicksonright (right_commentary); @lizwheeler (right_commentary); @marklevinshow (right_commentary); @newdiscourses (right_commentary); https://rumble.com/c/nickjfuentes (right_commentary); @AsmonTV (streamer_reaction); @BadEmpanadaLive (streamer_reaction); @DylanBurnsLIVE (streamer_reaction); @LIVESNEAKO (streamer_reaction); @PiscoLitty (streamer_reaction); @SaltyCracker (streamer_reaction); @The_Crucible (streamer_reaction); @destiny (streamer_reaction); @destinyhqclips (streamer_reaction); @NYTPodcasts (us_press_print_digital)
videos,all,style cluster spanning lanes,S3,4,4,0.25,@thewarningwithsteveschmidt (centrist_heterodox); @CoreyGilShusterAskProject (explainer_geopolitics); @moreperfectunion (independent_digital_news); @TheEconomist (wire_international)
videos,all,style cluster spanning lanes,S4,10,6,0.4,@DemocracyNow (independent_digital_news); @rolandsmartin (independent_digital_news); @PiersMorganUncensored (interview_podcast); @VivaFrei (legal_institutional); @BlazeTV (right_commentary); @CashJordan (right_commentary); @bennyjohnson (right_commentary); @jlptalk (right_commentary); @lonerboxlive (streamer_reaction); @timesofindia (wire_international)
videos,all,style cluster spanning lanes,S6,54,10,0.259,@DarkHorsePod (centrist_heterodox); @bulwarkmedia (centrist_heterodox); @wethefifth (centrist_heterodox); @RonPlacone (humour_satire); @lovettorleaveitpodcast (humour_satire); @DropSiteNews (independent_digital_news); @LeverNews (independent_digital_news); @PoliticsJOE (independent_digital_news); @underthedesknews (independent_digital_news); @BadFaithPodcast (interview_podcast); @ClubRandomPodcast (interview_podcast); @HangOutwithSeanHannity (interview_podcast); @MichaelMaliceofficial (interview_podcast); @TheAdamCarollaShow1 (interview_podcast); @TuckerCarlson (interview_podcast); @triggerpod (interview_podcast); @winston_marshall (interview_podcast); @DannyHaiphongYT (left_commentary); @JamarlThomas (left_commentary); @TheDonLemonShow (left_commentary); @TheJoyReidShow (left_commentary); @TheRealTabithaSpeaks (left_commentary); @dollemore (left_commentary); @fastpoliticspodcast (left_commentary); @marclamonthillnetwork (left_commentary); @podsaveamerica (left_commentary); @thejimmydoreshow (left_commentary); @therationalnational (left_commentary); @DemocracyDocket (legal_institutional); @cafedotcom (legal_institutional); @AfterPartyEmily (right_commentary); @AnthonyBrianLogan (right_commentary); @MLChristiansen (right_commentary); @MegynKelly (right_commentary); @MichaelKnowles (right_commentary); @MyronGainesX (right_commentary); @PragerU (right_commentary); @RealAlexClark (right_commentary); @RubinReport (right_commentary); @TomiLahrenIsFearless (right_commentary); @clayandbuck (right_commentary); @fightbackpodcast (right_commentary); @laurenchenclips (right_commentary); @turningpointusa (right_commentary); @RealAmericasVoice (right_tv_network); @oann (right_tv_network); @HasanReactionsfanTwo (streamer_reaction); @HasanabiClips (streamer_reaction); @TheSerfTimes (streamer_reaction); @Semafor (us_press_print_digital); @axios (us_press_print_digital); @markets (us_press_print_digital); @newyorker (us_press_print_digital); @nypost (us_press_print_digital)
videos,all,style cluster spanning lanes,S7,2,2,0.5,@aaronparnas1 (left_commentary); @RSBN (right_tv_network)
videos,all,style cluster spanning lanes,S9,21,5,0.381,@thegrayzone7996 (independent_digital_news); @NewsmaxTV (right_tv_network); @ABCNews (us_legacy_tv); @CBSNews (us_legacy_tv); @CNN (us_legacy_tv); @FoxNews (us_legacy_tv); @FoxNewsChannelClips (us_legacy_tv); @NBCNews (us_legacy_tv); @NewsNation (us_legacy_tv); @msnow (us_legacy_tv); @NPR (us_press_print_digital); @POLITICO (us_press_print_digital); @TechCrunch (us_press_print_digital); @USATODAY (us_press_print_digital); @thehill (us_press_print_digital); @ANINewsIndia (wire_international); @AssociatedPress (wire_international); @BBCNews (wire_international); @Reuters (wire_international); @SkyNews (wire_international); @aljazeeraenglish (wire_international)
videos,all,style cluster spanning lanes,S10,5,5,0.2,@chinainsights-r2w (independent_digital_news); @HasanAbiVODs3 (streamer_reaction); @60minutes (us_legacy_tv); @Forbes (us_press_print_digital); @Firstpost (wire_international)
videos,political,lane split across style clusters,centrist_heterodox,10,3,0.5,@DarkHorsePod (S0); @TheLincolnProject (S0); @bulwarkmedia (S0); @wethefifth (S0); @KimIversen (S1); @RestPoliticsUS (S1); @UnHerd (S1); @chriscuomo (S1); https://rumble.com/c/russellbrand (S1); @thewarningwithsteveschmidt (S6)
videos,political,lane split across style clusters,explainer_geopolitics,3,2,0.667,@ZeihanonGeopolitics (S1); @nousnetwork (S1); @CoreyGilShusterAskProject (S6)
videos,political,lane split across style clusters,humour_satire,6,3,0.5,@TimDillonShow (S0); @lovettorleaveitpodcast (S0); @AlexStein99 (S1); @SMN (S1); @franifio (S1); @RonPlacone (S3)
videos,political,lane split across style clusters,independent_digital_news,19,6,0.579,@BreakThroughNews (S0); @underthedesknews (S0); @rolandsmartin (S0); @breakingpoints (S0); @zeteo (S0); @PoliticsJOE (S0); https://rumble.com/c/GGreenwald (S0); @LeverNews (S0); @DropSiteNews (S0); @DemocracyNow (S0); @NovaraMedia (S0); @GeopoliticalEconomyReport (S1); @RedactedNews (S1); @chinainsights-r2w (S2); @RebelNewsOnline (S4); @thegrayzone7996 (S4); @moreperfectunion (S6); @StatusCoup (S8); @DoubleDownNews (S8)
videos,political,lane split across style clusters,interview_podcast,19,4,0.421,@TheAdamCarollaShow1 (S0); @triggerpod (S0); @joerogan (S0); @TuckerCarlson (S0); @usefulidiots (S0); @winston_marshall (S0); @HangOutwithSeanHannity (S0); @ClubRandomPodcast (S0); @Politicon (S1); @EzraKleinShow (S1); @ZubyMusic (S1); @ColemanHughesOfficial (S1); @judgingfreedom (S1); @morebridgetphetasy (S1); @samharrisorg (S1); @JillianMichaels (S1); @MichaelMaliceofficial (S3); @BadFaithPodcast (S3); @PiersMorganUncensored (S9)
videos,political,lane split across style clusters,left_commentary,40,6,0.625,@TheJoyReidShow (S0); @TheYoungTurks (S0); @TheRealTabithaSpeaks (S0); @TheMichaelCohenShow (S0); @TheMajorityReport (S0); @therationalnational (S0); @fastpoliticspodcast (S0); @TheDonLemonShow (S0); @TheDamageReport (S0); @jimacosta (S0); @SabbySabs (S0); @RebelHQ (S0); @marclamonthillnetwork (S0); @PTLRadioShow (S0); @OwenJonesTalks (S0); @podsaveamerica (S0); @thejimmydoreshow (S0); @JamarlThomas (S0); @JackCocchiarellaShow (S0); @Forthepeoplepodcast305 (S0); @FarronBalanced (S0); @DueDissidence (S0); @DannyHaiphongYT (S0); @dollemore (S0); @adammockler (S0); @thedavidpakmanshow (S1); @thomhartmann (S1); @Tim_Black (S1); @TheHumanistReport (S1); @PoliticsGirl (S1); @MrTariqNasheed (S1); @ponderingpolitics (S2); @BelleRanch (S5); @aaronparnas1 (S7); @briantylercohen (S8); @harryjsisson (S8); @SecularTalk (S8); @katiephangnews (S8); @MeidasTouch (S8); @LukeBeasley (S8)
videos,political,lane split across style clusters,legal_institutional,8,4,0.375,@DemocracyDocket (S0); @GlennKirschner2 (S0); @RobertGouveiaEsq (S0); @LeejaMiller (S1); @LegalEagle (S1); @VivaFrei (S3); @cafedotcom (S3); @LegalAFMTN (S8)
