creator,genre,kind,template,n_titles,share
@Reuters,videos,leading,graphic warning :,55,0.0072
@Reuters,videos,trailing,<ENT> | <ENT>,220,0.0286
@Reuters,videos,trailing,? | <ENT>,129,0.0168
@Reuters,videos,trailing,<ENT> in <ENT>,38,0.0049
@Reuters,videos,trailing,| morning bid,38,0.0049
@Reuters,videos,trailing,<ENT> 's <ENT>,34,0.0044
@RileyGaines,videos,leading,,15,0.1049
@RileyGaines,videos,leading,<ENT> # <ENT>,5,0.035
@RileyGaines,videos,leading,“ <ENT> ”,4,0.028
@RileyGaines,videos,trailing,,15,0.1049
@RileyGaines,videos,trailing,<ENT> 's vlog,5,0.035
@RileyGaines,videos,trailing,<ENT> on <ENT>,5,0.035
@RileyGaines,videos,trailing,ft # <ENT>,4,0.028
@RobertGouveiaEsq,streams,leading,<ENT> ! <ENT>,37,0.1019
@RobertGouveiaEsq,streams,leading,after party !,9,0.0248
@RobertGouveiaEsq,streams,leading,<ENT> ! 🔥,5,0.0138
@RobertGouveiaEsq,streams,leading,<ENT> 's <ENT>,5,0.0138
@RobertGouveiaEsq,streams,leading,<ENT> arrested !,5,0.0138
@RobertGouveiaEsq,streams,trailing,! <ENT> !,62,0.1708
@RobertGouveiaEsq,streams,trailing,! more !,8,0.022
@RobertGouveiaEsq,streams,trailing,🔥 <ENT> !,7,0.0193
@RobertGouveiaEsq,streams,trailing,🚨 <ENT> !,7,0.0193
@RobertGouveiaEsq,streams,trailing,judge <ENT> !,7,0.0193
@RobertGouveiaEsq,videos,leading,,15,0.0227
@RobertGouveiaEsq,videos,leading,<ENT> in <ENT>,13,0.0197
@RobertGouveiaEsq,videos,leading,<ENT> judge <ENT>,11,0.0167
@RobertGouveiaEsq,videos,leading,<ENT> 's <ENT>,8,0.0121
@RobertGouveiaEsq,videos,leading,<ENT> after <ENT>,6,0.0091
@RobertGouveiaEsq,videos,trailing,in <ENT> !,49,0.0742
@RobertGouveiaEsq,videos,trailing,after <ENT> !,22,0.0333
@RobertGouveiaEsq,videos,trailing,to <ENT> !,16,0.0242
@RobertGouveiaEsq,videos,trailing,,15,0.0227
@RobertGouveiaEsq,videos,trailing,with <ENT> !,13,0.0197
@RonPlacone,videos,trailing,<ENT> # <ENT>,16,0.254
@RubinReport,streams,leading,‘ shark tank,5,0.0446
@RubinReport,streams,leading,<ENT> as <ENT>,4,0.0357
@RubinReport,streams,leading,press stunned by,4,0.0357
@RubinReport,streams,leading,‘ the view,4,0.0357
@RubinReport,streams,trailing,of his own,4,0.0357
@RubinReport,videos,leading,<ENT> as <ENT>,28,0.0277
@RubinReport,videos,leading,,26,0.0257
@RubinReport,videos,leading,<ENT> # <ENT>,17,0.0168
@RubinReport,videos,leading,‘ the view,16,0.0158
@RubinReport,videos,leading,<ENT> face as,16,0.0158
@RubinReport,videos,trailing,| first look,104,0.1029
@RubinReport,videos,trailing,<ENT> | <ENT>,26,0.0257
@RubinReport,videos,trailing,,26,0.0257
@RubinReport,videos,trailing,on - air,16,0.0158
@RubinReport,videos,trailing,| dr. <ENT>,13,0.0129
@RufoandLomez,videos,leading,<ENT> # <ENT>,5,0.0676
@RufoandLomez,videos,leading,<ENT> : the,4,0.0541
@RufoandLomez,videos,trailing,# and <ENT>,4,0.0541
@SMN,videos,leading,,15,0.0789
@SMN,videos,leading,early release :,14,0.0737
@SMN,videos,leading,<ENT> # <ENT>,12,0.0632
@SMN,videos,leading,early access :,7,0.0368
@SMN,videos,leading,<ENT> does n't,6,0.0316
@SMN,videos,trailing,some more news,20,0.1053
@SMN,videos,trailing,,15,0.0789
@SabbySabs,streams,leading,<ENT> strikes <ENT>,6,0.0612
@SabbySabs,streams,trailing,# <ENT> joins,6,0.0612
@SabbySabs,videos,leading,,72,0.1227
@SabbySabs,videos,leading,breaking ! <ENT>,53,0.0903
@SabbySabs,videos,leading,<ENT> ! <ENT>,11,0.0187
@SabbySabs,videos,leading,what happened to,7,0.0119
@SabbySabs,videos,leading,<ENT> and <ENT>,6,0.0102
@SabbySabs,videos,trailing,,72,0.1227
@SabbySabs,videos,trailing,w / <ENT>,46,0.0784
@SabbySabs,videos,trailing,! <ENT> !,22,0.0375
@SabbySabs,videos,trailing,in <ENT> !,8,0.0136
@SabbySabs,videos,trailing,to <ENT> !,5,0.0085
@SaltyCracker,videos,leading,,21,0.0582
@SaltyCracker,videos,leading,<ENT> to <ENT>,7,0.0194
@SaltyCracker,videos,trailing,,21,0.0582
@SaltyCracker,videos,trailing,<ENT> to <ENT>,6,0.0166
@SaltyCracker,videos,trailing,""" <ENT> """,4,0.0111
@SaltyCracker,videos,trailing,<ENT> in <ENT>,4,0.0111
@SecretScholars,videos,trailing,live on air,5,0.0472
@SecretScholars,videos,trailing,it backfires spectacularly,4,0.0377
@SecularTalk,videos,leading,,46,0.0335
@SecularTalk,videos,leading,breaking : <ENT>,37,0.0269
@SecularTalk,videos,leading,breaking : trump,24,0.0175
@SecularTalk,videos,leading,<ENT> as <ENT>,22,0.016
@SecularTalk,videos,leading,‘ it ’s,19,0.0138
@SecularTalk,videos,trailing,<ENT> ! !,82,0.0597
@SecularTalk,videos,trailing,! ! !,80,0.0582
@SecularTalk,videos,trailing,! | <ENT>,56,0.0408
@SecularTalk,videos,trailing,,46,0.0335
@SecularTalk,videos,trailing,<ENT> | <ENT>,20,0.0146
@Semafor,streams,leading,,6,0.2
@Semafor,streams,leading,<ENT> | semafor,5,0.1667
@Semafor,streams,trailing,| semafor events,6,0.2
@Semafor,streams,trailing,,6,0.2
@Semafor,videos,leading,<ENT> ceo <ENT>,20,0.1342
@Semafor,videos,leading,<ENT> on <ENT>,11,0.0738
@Semafor,videos,trailing,<ENT> from <ENT>,43,0.2886
@Semafor,videos,trailing,the ceo <ENT>,10,0.0671
@Semafor,videos,trailing,| mixed signals,8,0.0537
@Semafor,videos,trailing,? | <ENT>,4,0.0268
@SkyNews,streams,leading,the wrap with,47,0.0252
@SkyNews,streams,leading,,43,0.023
@SkyNews,streams,leading,<ENT> says <ENT>,40,0.0214
@SkyNews,streams,leading,<ENT> and <ENT>,31,0.0166
@SkyNews,streams,leading,<ENT> war |,26,0.0139
@SkyNews,streams,trailing,<ENT> with <ENT>,136,0.0728
@SkyNews,streams,trailing,<ENT> and <ENT>,74,0.0396
@SkyNews,streams,trailing,world with <ENT>,60,0.0321
@SkyNews,streams,trailing,| <ENT> coverage,49,0.0262
@SkyNews,streams,trailing,,43,0.023
@SkyNews,videos,leading,<ENT> and <ENT>,26,0.0076
@SkyNews,videos,leading,<ENT> says <ENT>,19,0.0056
@SkyNews,videos,leading,<ENT> : <ENT>,19,0.0056
@SkyNews,videos,leading,<ENT> 's <ENT>,17,0.005
@SkyNews,videos,leading,<ENT> says he,15,0.0044
@SkyNews,videos,trailing,is why #,58,0.017
@SkyNews,videos,trailing,| <ENT> analysis,54,0.0158
@SkyNews,videos,trailing,this is why,53,0.0155
@SkyNews,videos,trailing,# says <ENT>,29,0.0085
@SkyNews,videos,trailing,in <ENT> ?,24,0.007
@StatusCoup,streams,leading,🚨 breaking :,18,0.1184
@StatusCoup,streams,leading,live stop trump,9,0.0592
@StatusCoup,streams,leading,breaking : live,9,0.0592
@StatusCoup,streams,leading,breaking : <ENT>,8,0.0526
@StatusCoup,streams,leading,live stop <ENT>,7,0.0461
@StatusCoup,streams,trailing,live from <ENT>,24,0.1579
@StatusCoup,streams,trailing,<ENT> in <ENT>,7,0.0461
@StatusCoup,streams,trailing,<ENT> | <ENT>,4,0.0263
@StatusCoup,streams,trailing,protest in <ENT>,4,0.0263
@StatusCoup,streams,trailing,protesters at <ENT>,4,0.0263
@StatusCoup,videos,leading,members video :,11,0.0225
@StatusCoup,videos,leading,,11,0.0225
@StatusCoup,videos,leading,breaking : <ENT>,9,0.0184
@StatusCoup,videos,leading,holy sh*t !,8,0.0164
@StatusCoup,videos,leading,<ENT> 's ice,5,0.0102
@StatusCoup,videos,trailing,,11,0.0225
@StatusCoup,videos,trailing,<ENT> to <ENT>,7,0.0143
@StatusCoup,videos,trailing,“ <ENT> ”,7,0.0143
@StatusCoup,videos,trailing,"<ENT> ! """,7,0.0143
@StatusCoup,videos,trailing,<ENT> ! ”,6,0.0123
@StevenCrowder,videos,leading,,13,0.0788
@StevenCrowder,videos,trailing,,13,0.0788
@StosselTV,videos,leading,ep # #,5,0.1064
@StosselTV,videos,trailing,<ENT> # <ENT>,4,0.0851
@Styxhexenhammer666,streams,leading,<ENT> live :,16,1.0
@Styxhexenhammer666,streams,trailing,<ENT> # <ENT>,5,0.3125
@Styxhexenhammer666,videos,leading,,33,0.0868
@Styxhexenhammer666,videos,leading,<ENT> and <ENT>,12,0.0316
@Styxhexenhammer666,videos,leading,<ENT> # <ENT>,9,0.0237
@Styxhexenhammer666,videos,leading,<ENT> to <ENT>,4,0.0105
@Styxhexenhammer666,videos,trailing,,33,0.0868
@Styxhexenhammer666,videos,trailing,<ENT> and <ENT>,10,0.0263
@Styxhexenhammer666,videos,trailing,<ENT> in <ENT>,7,0.0184
@Styxhexenhammer666,videos,trailing,<ENT> # <ENT>,5,0.0132
@Styxhexenhammer666,videos,trailing,<ENT> as <ENT>,4,0.0105
@TechCrunch,videos,leading,best of build,6,0.0432
@TechCrunch,videos,leading,<ENT> 's <ENT>,4,0.0288
@TechCrunch,videos,trailing,l build mode,21,0.1511
@TechCrunch,videos,trailing,strictlyvc <ENT> <ENT>,6,0.0432
@TechCrunch,videos,trailing,<ENT> # <ENT>,5,0.036
@TheAdamCarollaShow1,videos,leading,<ENT> on <ENT>,13,0.0349
@TheAdamCarollaShow1,videos,leading,<ENT> and <ENT>,8,0.0215
@TheAdamCarollaShow1,videos,leading,<ENT> # <ENT>,8,0.0215
@TheAdamCarollaShow1,videos,leading,<ENT> : <ENT>,7,0.0188
@TheAdamCarollaShow1,videos,leading,,7,0.0188
@TheAdamCarollaShow1,videos,trailing,| <ENT> <ENT>,21,0.0565
@TheAdamCarollaShow1,videos,trailing,<ENT> on <ENT>,10,0.0269
@TheAdamCarollaShow1,videos,trailing,and dr. <ENT>,10,0.0269
@TheAdamCarollaShow1,videos,trailing,,7,0.0188
@TheAdamCarollaShow1,videos,trailing,<ENT> # <ENT>,5,0.0134
@TheAmalaEkpunobi,videos,leading,,10,0.0508
@TheAmalaEkpunobi,videos,trailing,,10,0.0508
@TheAmalaEkpunobi,videos,trailing,now <ENT> #,4,0.0203
@TheAmalaEkpunobi,videos,trailing,it backfired #,4,0.0203
@TheAmalaEkpunobi,videos,trailing,( <ENT> ),4,0.0203
@TheAtlantic,videos,leading,,20,0.1274
@TheAtlantic,videos,leading,a conversation with,6,0.0382
@TheAtlantic,videos,trailing,,20,0.1274
@TheBrianKilmeadeShow,videos,leading,""" <ENT> """,28,0.0795
@TheBrianKilmeadeShow,videos,leading,“ <ENT> ”,9,0.0256
@TheBrianKilmeadeShow,videos,leading,,9,0.0256
@TheBrianKilmeadeShow,videos,leading,<ENT> : <ENT>,8,0.0227
@TheBrianKilmeadeShow,videos,leading,<ENT> on <ENT>,6,0.017
@TheBrianKilmeadeShow,videos,trailing,<ENT> on <ENT>,11,0.0312
@TheBrianKilmeadeShow,videos,trailing,,9,0.0256
@TheBrianKilmeadeShow,videos,trailing,<ENT> in <ENT>,5,0.0142
@TheBrianKilmeadeShow,videos,trailing,""" <ENT> """,4,0.0114
@TheBrianKilmeadeShow,videos,trailing,the <ENT> regime,4,0.0114
@TheDailyBeast,videos,leading,i know why,20,0.068
@TheDailyBeast,videos,leading,why <ENT> 's,10,0.034
@TheDailyBeast,videos,leading,this is why,8,0.0272
@TheDailyBeast,videos,leading,,8,0.0272
@TheDailyBeast,videos,leading,why trump is,7,0.0238
@TheDailyBeast,videos,trailing,trump 's <ENT>,10,0.034
@TheDailyBeast,videos,trailing,beast podcast clip,9,0.0306
@TheDailyBeast,videos,trailing,,8,0.0272
@TheDailyBeast,videos,trailing,trump : wolff,8,0.0272
@TheDailyBeast,videos,trailing,<ENT> : wolff,4,0.0136
@TheDamageReport,streams,leading,<ENT> | <ENT>,20,0.0772
@TheDamageReport,streams,leading,<ENT> ? |,8,0.0309
@TheDamageReport,streams,leading,<ENT> on <ENT>,8,0.0309
@TheDamageReport,streams,leading,<ENT> member 's,7,0.027
@TheDamageReport,streams,leading,<ENT> : <ENT>,5,0.0193
@TheDamageReport,streams,trailing,<ENT> | <ENT>,13,0.0502
@TheDamageReport,streams,trailing,<ENT> 's <ENT>,10,0.0386
@TheDamageReport,streams,trailing,'s <ENT> <ENT>,7,0.027
@TheDamageReport,streams,trailing,| <ENT> !,7,0.027
@TheDamageReport,streams,trailing,| <ENT> <ENT>,5,0.0193
@TheDamageReport,videos,leading,tyt hour <ENT>,351,0.1164
@TheDamageReport,videos,leading,,238,0.0789
@TheDamageReport,videos,leading,the damage report,175,0.058
@TheDamageReport,videos,leading,indisputable with dr.,165,0.0547
@TheDamageReport,videos,leading,<ENT> 's <ENT>,48,0.0159
@TheDamageReport,videos,trailing,tyt hour <ENT>,351,0.1164
@TheDamageReport,videos,trailing,,238,0.0789
@TheDamageReport,videos,trailing,the damage report,169,0.0561
@TheDamageReport,videos,trailing,with dr. <ENT>,165,0.0547
@TheDamageReport,videos,trailing,<ENT> as <ENT>,26,0.0086
@TheDonLemonShow,streams,leading,members - only,29,0.0769
@TheDonLemonShow,streams,leading,,20,0.0531
@TheDonLemonShow,streams,leading,breaking : <ENT>,18,0.0477
@TheDonLemonShow,streams,leading,<ENT> 's <ENT>,8,0.0212
@TheDonLemonShow,streams,leading,exclusive : <ENT>,6,0.0159
@TheDonLemonShow,streams,trailing,with don !,29,0.0769
@TheDonLemonShow,streams,trailing,,20,0.0531
@TheDonLemonShow,streams,trailing,<ENT> ? !,15,0.0398
@TheDonLemonShow,streams,trailing,<ENT> <ENT> !,14,0.0371
@TheDonLemonShow,streams,trailing,in <ENT> !,6,0.0159
@TheDonLemonShow,videos,leading,,19,0.0546
@TheDonLemonShow,videos,leading,<ENT> # <ENT>,14,0.0402
@TheDonLemonShow,videos,leading,<ENT> on <ENT>,7,0.0201
@TheDonLemonShow,videos,leading,<ENT> 's <ENT>,5,0.0144
@TheDonLemonShow,videos,leading,<ENT> <ENT> !,5,0.0144
@TheDonLemonShow,videos,trailing,,19,0.0546
@TheDonLemonShow,videos,trailing,<ENT> ? !,11,0.0316
@TheDonLemonShow,videos,trailing,# <ENT> !,10,0.0287
@TheDonLemonShow,videos,trailing,<ENT> <ENT> !,8,0.023
@TheDonLemonShow,videos,trailing,| part <ENT>,6,0.0172
@TheHumanistReport,streams,leading,,4,0.1176
@TheHumanistReport,streams,trailing,w/ <ENT> ),10,0.2941
@TheHumanistReport,streams,trailing,,4,0.1176
@TheHumanistReport,videos,leading,breaking : <ENT>,4,0.0274
@TheJoyReidShow,streams,leading,,14,0.1037
@TheJoyReidShow,streams,leading,the reiders ’,8,0.0593
@TheJoyReidShow,streams,leading,special coverage :,6,0.0444
@TheJoyReidShow,streams,leading,<ENT> # <ENT>,4,0.0296
@TheJoyReidShow,streams,trailing,,14,0.1037
@TheJoyReidShow,streams,trailing,’s only exclusive,8,0.0593
@TheJoyReidShow,streams,trailing,<ENT> | <ENT>,5,0.037
@TheJoyReidShow,videos,leading,countering white christian,8,0.0342
@TheJoyReidShow,videos,leading,,8,0.0342
@TheJoyReidShow,videos,leading,<ENT> # <ENT>,6,0.0256
@TheJoyReidShow,videos,leading,<ENT> on <ENT>,5,0.0214
@TheJoyReidShow,videos,leading,<ENT> and <ENT>,5,0.0214
@TheJoyReidShow,videos,trailing,,8,0.0342
@TheJoyReidShow,videos,trailing,ft # <ENT>,6,0.0256
@TheJoyReidShow,videos,trailing,<ENT> 's <ENT>,5,0.0214
@TheLincolnProject,videos,leading,,22,0.1849
@TheLincolnProject,videos,leading,<ENT> at <ENT>,4,0.0336
@TheLincolnProject,videos,trailing,,22,0.1849
@TheMajorityReport,streams,leading,<ENT> ; <ENT>,38,0.2077
@TheMajorityReport,streams,leading,<ENT> 's <ENT>,8,0.0437
@TheMajorityReport,streams,leading,,5,0.0273
@TheMajorityReport,streams,leading,<ENT> in <ENT>,4,0.0219
@TheMajorityReport,streams,trailing,<ENT> # <ENT>,64,0.3497
@TheMajorityReport,streams,trailing,<ENT> w/ <ENT>,24,0.1311
@TheMajorityReport,streams,trailing,; <ENT> <ENT>,7,0.0383
@TheMajorityReport,streams,trailing,,5,0.0273
@TheMajorityReport,streams,trailing,<ENT> ' parton,4,0.0219
@TheMajorityReport,videos,leading,,132,0.0868
@TheMajorityReport,videos,leading,<ENT> 's <ENT>,41,0.027
@TheMajorityReport,videos,leading,<ENT> | <ENT>,30,0.0197
@TheMajorityReport,videos,leading,<ENT> in <ENT>,11,0.0072
@TheMajorityReport,videos,leading,""" <ENT> """,10,0.0066
@TheMajorityReport,videos,trailing,<ENT> | tmr,218,0.1434
@TheMajorityReport,videos,trailing,,132,0.0868
@TheMajorityReport,videos,trailing,<ENT> 's <ENT>,25,0.0164
@TheMajorityReport,videos,trailing,<ENT> in <ENT>,11,0.0072
@TheMajorityReport,videos,trailing,<ENT> on <ENT>,9,0.0059
@TheMichaelCohenShow,videos,leading,,19,0.0435
@TheMichaelCohenShow,videos,leading,🚨 breaking :,11,0.0252
@TheMichaelCohenShow,videos,leading,trump loses it,11,0.0252
@TheMichaelCohenShow,videos,leading,yikes ! <ENT>,6,0.0137
@TheMichaelCohenShow,videos,leading,<ENT> on live,5,0.0114
@TheMichaelCohenShow,videos,trailing,,19,0.0435
@TheMichaelCohenShow,videos,trailing,<ENT> | <ENT>,14,0.032
@TheMichaelCohenShow,videos,trailing,in his face,4,0.0092
@TheOfficerTatum,streams,leading,live : <ENT>,35,0.1823
@TheOfficerTatum,streams,leading,breaking : <ENT>,27,0.1406
@TheOfficerTatum,streams,leading,live : i,11,0.0573
@TheOfficerTatum,streams,leading,now : <ENT>,8,0.0417
@TheOfficerTatum,streams,leading,breaking : new,6,0.0312
@TheOfficerTatum,streams,trailing,| officer tatum,10,0.0521
@TheOfficerTatum,streams,trailing,<ENT> with <ENT>,6,0.0312
@TheOfficerTatum,videos,leading,breaking : <ENT>,8,0.0134
@TheOfficerTatum,videos,leading,member exclusive :,6,0.01
@TheOfficerTatum,videos,leading,,6,0.01
@TheOfficerTatum,videos,leading,<ENT> in <ENT>,6,0.01
@TheOfficerTatum,videos,leading,<ENT> gets bad,4,0.0067
@TheOfficerTatum,videos,trailing,| officer <ENT>,16,0.0267
@TheOfficerTatum,videos,trailing,everything in <ENT>,8,0.0134
@TheOfficerTatum,videos,trailing,officer tatum show,7,0.0117
@TheOfficerTatum,videos,trailing,,6,0.01
@TheOfficerTatum,videos,trailing,truth about <ENT>,5,0.0083
@ThePodcastoftheLotusEaters,streams,leading,breakfast with <ENT>,45,0.2514
@ThePodcastoftheLotusEaters,streams,leading,,18,0.1006
@ThePodcastoftheLotusEaters,streams,leading,<ENT> 's <ENT>,5,0.0279
@ThePodcastoftheLotusEaters,streams,trailing,breakfast with <ENT>,55,0.3073
@ThePodcastoftheLotusEaters,streams,trailing,,18,0.1006
@ThePodcastoftheLotusEaters,streams,trailing,today ’s papers,5,0.0279
@ThePodcastoftheLotusEaters,videos,leading,,128,0.2177
@ThePodcastoftheLotusEaters,videos,leading,<ENT> 's <ENT>,4,0.0068
@ThePodcastoftheLotusEaters,videos,leading,<ENT> in <ENT>,4,0.0068
@ThePodcastoftheLotusEaters,videos,trailing,,128,0.2177
@ThePodcastoftheLotusEaters,videos,trailing,<ENT> 's <ENT>,5,0.0085
@ThePodcastoftheLotusEaters,videos,trailing,<ENT> in <ENT>,5,0.0085
@TheQuartering,videos,leading,,57,0.0895
@TheQuartering,videos,leading,<ENT> just got,8,0.0126
@TheQuartering,videos,leading,anti - ice,6,0.0094
@TheQuartering,videos,leading,<ENT> ! <ENT>,4,0.0063
@TheQuartering,videos,trailing,,57,0.0895
@TheQuartering,videos,trailing,i the quartering,9,0.0141
@TheQuartering,videos,trailing,fatigue goes nuclear,6,0.0094
@TheQuartering,videos,trailing,finds out !,5,0.0078
@TheRealTabithaSpeaks,videos,leading,<ENT> # down,14,0.0325
@TheRealTabithaSpeaks,videos,leading,<ENT> # <ENT>,11,0.0255
@TheRealTabithaSpeaks,videos,leading,<ENT> and <ENT>,10,0.0232
@TheRealTabithaSpeaks,videos,leading,,9,0.0209
@TheRealTabithaSpeaks,videos,leading,<ENT> ! !,7,0.0162
@TheRealTabithaSpeaks,videos,trailing,<ENT> ! !,53,0.123
@TheRealTabithaSpeaks,videos,trailing,? ? ?,13,0.0302
@TheRealTabithaSpeaks,videos,trailing,,9,0.0209
@TheRealTabithaSpeaks,videos,trailing,and <ENT> !,7,0.0162
@TheRealTabithaSpeaks,videos,trailing,and more !,5,0.0116
@TheSerfTimes,streams,leading,<ENT> and <ENT>,5,0.051
@TheSerfTimes,videos,leading,<ENT> and <ENT>,14,0.0601
@TheSerfTimes,videos,leading,,7,0.03
@TheSerfTimes,videos,trailing,<ENT> and <ENT>,7,0.03
@TheSerfTimes,videos,trailing,,7,0.03
@TheSerfTimes,videos,trailing,in <ENT> ?,4,0.0172
@TheVaushPit,videos,leading,,36,0.0938
@TheVaushPit,videos,trailing,,36,0.0938
@TheYoungTurks,streams,leading,breaking : <ENT>,16,0.0397
@TheYoungTurks,streams,leading,,13,0.0323
@TheYoungTurks,streams,leading,<ENT> and <ENT>,12,0.0298
@TheYoungTurks,streams,leading,<ENT> # <ENT>,8,0.0199
@TheYoungTurks,streams,leading,live : <ENT>,6,0.0149
@TheYoungTurks,streams,trailing,! ! !,26,0.0645
@TheYoungTurks,streams,trailing,,13,0.0323
@TheYoungTurks,streams,trailing,<ENT> ! !,9,0.0223
@TheYoungTurks,streams,trailing,joins to discuss,6,0.0149
@TheYoungTurks,streams,trailing,<ENT> ? !,6,0.0149
@TheYoungTurks,videos,leading,tyt hour <ENT>,351,0.1297
@TheYoungTurks,videos,leading,,300,0.1109
@TheYoungTurks,videos,leading,the damage report,174,0.0643
@TheYoungTurks,videos,leading,indisputable with dr.,165,0.061
@TheYoungTurks,videos,leading,<ENT> 's <ENT>,26,0.0096
@TheYoungTurks,videos,trailing,tyt hour <ENT>,351,0.1297
@TheYoungTurks,videos,trailing,,300,0.1109
@TheYoungTurks,videos,trailing,the damage report,168,0.0621
@TheYoungTurks,videos,trailing,with dr. <ENT>,165,0.061
@TheYoungTurks,videos,trailing,! ! !,22,0.0081
@The_Crucible,videos,leading,,7,0.0321
@The_Crucible,videos,leading,heated debate with,4,0.0183
@The_Crucible,videos,trailing,,7,0.0321
@The_Crucible,videos,trailing,| tiktok invasion,5,0.0229
@TimDillonShow,videos,leading,<ENT> # <ENT>,13,0.197
@TimDillonShow,videos,leading,,9,0.1364
@TimDillonShow,videos,leading,<ENT> ( ft,4,0.0606
@TimDillonShow,videos,trailing,,9,0.1364
@TimDillonShow,videos,trailing,ft <ENT> ),8,0.1212
@TimDillonShow,videos,trailing,- tim dillon,6,0.0909
@TimDillonShow,videos,trailing,<ENT> # <ENT>,4,0.0606
@Tim_Black,videos,leading,heads up !,6,0.0193
@Tim_Black,videos,leading,<ENT> # <ENT>,5,0.0161
@Tim_Black,videos,leading,<ENT> to <ENT>,5,0.0161
@Tim_Black,videos,leading,<ENT> in <ENT>,4,0.0129
@Tim_Black,videos,trailing,<ENT> | <ENT>,4,0.0129
@Timcast,videos,leading,,7,0.0402
@Timcast,videos,trailing,ft # <ENT>,13,0.0747
@Timcast,videos,trailing,,7,0.0402
@TimcastIRL,streams,leading,,6,0.0403
@TimcastIRL,streams,leading,<ENT> # <ENT>,5,0.0336
@TimcastIRL,streams,trailing,# w/ <ENT>,7,0.047
@TimcastIRL,streams,trailing,,6,0.0403
@TimcastIRL,streams,trailing,<ENT> w/ <ENT>,6,0.0403
@TimcastIRL,streams,trailing,<ENT> # <ENT>,4,0.0268
@TimcastIRL,videos,leading,,27,0.0328
@TimcastIRL,videos,leading,<ENT> # <ENT>,20,0.0243
@TimcastIRL,videos,leading,this is the,6,0.0073
@TimcastIRL,videos,leading,<ENT> <ENT> #,5,0.0061
@TimcastIRL,videos,leading,<ENT> on <ENT>,4,0.0049
@TimcastIRL,videos,trailing,,27,0.0328
@TimcastIRL,videos,trailing,<ENT> # <ENT>,14,0.017
@TimcastIRL,videos,trailing,<ENT> | <ENT>,12,0.0146
@TimcastIRL,videos,trailing,| timcast irl,4,0.0049
@TimcastIRL,videos,trailing,# its over,4,0.0049
@TimcastNews,videos,leading,,17,0.0328
@TimcastNews,videos,leading,<ENT> # <ENT>,6,0.0116
@TimcastNews,videos,leading,it just got,6,0.0116
@TimcastNews,videos,leading,this is how,4,0.0077
@TimcastNews,videos,leading,this is getting,4,0.0077
@TimcastNews,videos,trailing,,17,0.0328
@TimcastNews,videos,trailing,? ? !,4,0.0077
@TimcastNews,videos,trailing,this proves it,4,0.0077
@TimesNowWorld,streams,leading,<ENT> | <ENT>,231,0.0817
@TimesNowWorld,streams,leading,live : <ENT>,189,0.0669
@TimesNowWorld,streams,leading,<ENT> news live,106,0.0375
@TimesNowWorld,streams,leading,world news live,98,0.0347
@TimesNowWorld,streams,leading,<ENT> : <ENT>,72,0.0255
@TimesNowWorld,streams,trailing,<ENT> | <ENT>,271,0.0959
@TimesNowWorld,streams,trailing,times now world,109,0.0386
@TimesNowWorld,streams,trailing,| world news,80,0.0283
@TimesNowWorld,streams,trailing,<ENT> in <ENT>,63,0.0223
@TimesNowWorld,streams,trailing,| <ENT> news,44,0.0156
@TimesNowWorld,videos,leading,watch : <ENT>,521,0.0614
@TimesNowWorld,videos,leading,<ENT> : <ENT>,348,0.041
@TimesNowWorld,videos,leading,breaking : <ENT>,122,0.0144
@TimesNowWorld,videos,leading,<ENT> ? <ENT>,110,0.013
@TimesNowWorld,videos,leading,watch : ',72,0.0085
@TimesNowWorld,videos,trailing,times now world,988,0.1164
@TimesNowWorld,videos,trailing,<ENT> - <ENT>,551,0.0649
@TimesNowWorld,videos,trailing,<ENT> | <ENT>,518,0.061
@TimesNowWorld,videos,trailing,| world news,160,0.0188
@TimesNowWorld,videos,trailing,! | <ENT>,131,0.0154
@TomiLahrenIsFearless,videos,trailing,<ENT> on <ENT>,6,0.0531
@TuckerCarlson,videos,leading,<ENT> to <ENT>,9,0.0796
@TuckerCarlson,videos,leading,<ENT> on <ENT>,6,0.0531
@TuckerCarlson,videos,leading,<ENT> : <ENT>,5,0.0442
@TuckerCarlson,videos,leading,<ENT> on the,4,0.0354
@TuckerCarlson,videos,trailing,# and <ENT>,7,0.0619
@TuckerCarlson,videos,trailing,<ENT> and <ENT>,6,0.0531
@USATODAY,streams,leading,live : <ENT>,103,0.2601
@USATODAY,streams,leading,live : trump,32,0.0808
@USATODAY,streams,leading,watch live :,27,0.0682
@USATODAY,streams,leading,live : lindsay,13,0.0328
@USATODAY,streams,leading,tupac trial live,9,0.0227
@USATODAY,streams,trailing,<ENT> # <ENT>,13,0.0328
@USATODAY,streams,trailing,<ENT> of testimony,8,0.0202
@USATODAY,streams,trailing,<ENT> in <ENT>,8,0.0202
@USATODAY,streams,trailing,with testimony <ENT>,4,0.0101
@USATODAY,streams,trailing,in press conference,4,0.0101
@USATODAY,videos,leading,<ENT> # <ENT>,41,0.0192
@USATODAY,videos,leading,<ENT> says <ENT>,31,0.0145
@USATODAY,videos,leading,<ENT> speech at,25,0.0117
@USATODAY,videos,leading,<ENT> press conference,19,0.0089
@USATODAY,videos,leading,<ENT> 's <ENT>,16,0.0075
@USATODAY,videos,trailing,| the <ENT>,174,0.0815
@USATODAY,videos,trailing,dies at <ENT>,27,0.0126
@USATODAY,videos,trailing,<ENT> # <ENT>,22,0.0103
