group,n_channels,n_titles,mean_score,min_score,max_score,mean_left,mean_neither,mean_right
left,122,5512,-0.45150921255429455,-0.92,-0.06,0.48390202466022136,0.48370516323385176,0.032392812105926864
neutral,42,1953,-0.002857142857142857,-0.04,0.04,0.05857142857142857,0.8857142857142858,0.05571428571428572
right,111,5063,0.4072952497952498,0.06,0.96,0.03472972972972973,0.5232452907452907,0.4420249795249795
