term,n_titles,degree,strength,betweenness,community
fbi,618,22,53.82697,0.05210,5
nancy,428,16,31.27452,0.00677,5
guthrie,686,19,30.89377,0.02275,5
nancy guthrie,339,14,23.80866,0.00492,5
missing,248,6,20.21734,0.00253,5
suspect,269,6,13.74892,0.00842,5
mother,159,4,13.03225,0.00198,5
agent,258,5,12.66581,0.00645,5
mom,228,4,11.41690,0.00090,5
special,229,3,10.63774,0.00092,5
mass,412,3,10.44670,0.00279,5
day,809,5,10.43000,0.00245,5
savannah guthrie,89,3,10.10932,0.00001,5
savannah,114,3,10.06990,0.00001,5
note,69,4,9.81581,0.00001,5
ransom,82,4,8.85084,0.00001,5
arrests,169,3,7.32307,0.00347,5
sheriff,139,4,7.06385,0.00001,5
search,155,4,7.05180,0.00001,5
expert,456,4,6.31759,0.00219,5
dead,390,2,5.94475,0.00124,5
dna,67,3,5.71988,0.00001,5
says,1816,3,5.37047,0.00345,5
kidnapping,43,3,5.24388,0.00001,5
raids,85,2,4.94286,0.00218,5
home,336,3,4.86415,0.00001,5
mace,31,1,4.76150,0.00000,5
deportations,145,1,4.40660,0.00000,5
scientists,65,1,4.27930,0.00000,5
director,147,1,4.09428,0.00000,5
forces,201,1,4.08099,0.00000,5
fulton,99,2,3.96165,0.00000,5
guthrie disappearance,38,2,3.71151,0.00000,5
disappearance,59,2,3.62049,0.00000,5
grace,64,1,3.61082,0.00000,5
kash,101,1,3.31463,0.00000,5
kash patel,90,1,3.31425,0.00000,5
raid,104,1,3.27211,0.00000,5
patel,116,1,3.26628,0.00000,5
memorial,144,1,3.21847,0.00000,5
needs,208,1,1.82710,0.00000,5
plea,110,1,1.57335,0.00000,5
family,392,1,1.56044,0.00000,5
fraud,1198,41,95.76516,0.10440,6
rep,588,15,42.32124,0.02113,6
minnesota,762,16,31.85139,0.01262,6
investigation,315,10,22.68509,0.00563,6
walz,424,8,17.87427,0.00591,6
scandal,375,6,15.26052,0.00268,6
sparks,234,4,13.61403,0.00586,6
massive,806,6,11.95954,0.01534,6
backlash,229,3,9.76878,0.00390,6
roy,63,2,9.43148,0.00000,6
chip,55,2,9.31415,0.00000,6
somali,212,5,9.05621,0.00001,6
comer,77,2,8.47116,0.00000,6
brandon,134,2,8.20610,0.00000,6
gill,91,2,8.18802,0.00000,6
omar,339,3,8.04408,0.00028,6
ilhan omar,307,3,7.83251,0.00028,6
ilhan,319,3,7.81054,0.00029,6
james,362,2,7.28236,0.00000,6
gov,193,2,6.12760,0.00000,6
tim walz,216,3,5.58236,0.00000,6
tim,407,3,5.04066,0.00000,6
criminal,274,2,4.92522,0.00000,6
tom homan,105,2,4.38721,0.00108,6
outrage,125,1,4.21383,0.00000,6
medicaid,51,1,3.73337,0.00000,6
tom,211,2,3.67627,0.00108,6
dr oz,70,1,3.65923,0.00000,6
oz,82,1,3.62578,0.00000,6
scheme,107,1,3.59258,0.00000,6
faces,283,1,3.42070,0.00000,6
crackdown,178,1,3.38369,0.00000,6
explodes,220,1,3.37861,0.00000,6
billions,76,1,3.27153,0.00000,6
exposes,661,2,3.13286,0.00000,6
jordan,140,1,3.12036,0.00000,6
jim jordan,69,1,3.08918,0.00000,6
frey,66,1,3.06281,0.00000,6
jim,132,1,2.98972,0.00000,6
billion,137,1,2.78029,0.00000,6
exposing,142,1,2.59544,0.00000,6
shooting,713,21,49.14903,0.05176,7
white,1300,20,48.24787,0.03847,7
white house,826,18,47.42811,0.01981,7
house,1221,17,39.66043,0.02076,7
ufc,193,8,25.42049,0.00848,7
plot,217,8,23.68595,0.01750,7
press,427,8,21.01045,0.00166,7
correspondents dinner,84,6,20.22271,0.00373,7
briefing,143,6,19.67095,0.00010,7
press briefing,80,6,19.42852,0.00010,7
dinner,180,6,18.69904,0.00373,7
leavitt,227,7,18.65541,0.00019,7
karoline leavitt,145,6,16.90244,0.00010,7
karoline,149,6,16.82732,0.00010,7
house correspondents,43,4,14.84541,0.00001,7
correspondents,87,4,13.36008,0.00232,7
ballroom,73,4,12.50512,0.01622,7
terror,227,4,12.43064,0.00376,7
wh,105,3,11.86737,0.00000,7
freedom,339,3,11.27224,0.00521,7
hosts,165,5,10.28342,0.00652,7
alex,538,3,9.74565,0.00353,7
event,412,5,9.60813,0.00016,7
fight,622,4,8.96348,0.00284,7
alleged,335,2,6.76528,0.00203,7
deadly,299,2,6.44940,0.00261,7
funding,262,2,4.72659,0.00047,7
murdaugh,45,1,4.63354,0.00000,7
grand,86,1,4.36252,0.00000,7
crash,211,1,3.82212,0.00000,7
faith,217,1,3.64705,0.00000,7
fatal,73,1,3.34109,0.00000,7
stein,219,1,3.17248,0.00000,7
passes,75,1,3.01517,0.00000,7
whcd,91,1,2.79553,0.00000,7
