creator,genre,month,n_titles,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,group,organisation,clipper,curiosity_gap,outrage,humor,question,breaking_live,episode_show,interview_guest,reaction,confrontation,listicle,howto_explainer,partial_month,low_n
@ABCNews,streams,2026-01,88,0.8932683874349809,1.127614198181766,4.017322490450069,-0.4717831629660061,-0.828897218743637,0.5679715792032236,0.4518993363128966,0.1765205254627871,0.3585291129355057,-1.1231408165122512,-1.4908186263216614,0.1899623581844743,0.2514475297801918,1.5717039293631203,2.658530080530386,-0.2401917778802149,-0.2995168408663988,0.2556925023834142,0.3279838115117301,0.0510549719706992,0.2813448257682439,-0.815629533883742,-1.0263583777796086,0.0723017673831631,neutral,ABC News,False,0.03409090909090909,0.056818181818181816,0.0,0.0,0.9204545454545454,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-02,74,1.1479386937327378,1.0810942424640444,4.013592116728724,-0.4174467544024693,-0.8502525876610167,0.5940849857939806,0.2088096420281633,0.0271299233479353,0.5635159009812868,-1.1003804252017253,-0.9771253588488504,-0.1599550779406653,0.338492532451992,1.5569751461100283,2.6402515878274935,-0.1632935808948228,-0.3231032161426576,0.213808726622442,0.128903051039967,-0.1659010875559829,0.4307037045069841,-0.8133286980001612,-0.5345906212885477,-0.2291916179043606,neutral,ABC News,False,0.0,0.06756756756756757,0.0,0.0,0.9054054054054054,0.0,0.06756756756756757,0.0,0.013513513513513514,0.0,0.0,False,False
@ABCNews,streams,2026-03,77,1.089751917541154,-0.3120599244240413,3.662953017493009,-0.4190056406140591,-0.6810555736582429,0.0119182973010976,0.0501251441720151,-0.0675361296667339,0.3799991565732842,-1.0906385392436788,-0.9760027040488592,-0.1235634416956752,0.370974107225091,0.2333348963908005,2.1506385877702296,-0.1805724225999745,-0.1763016147855813,-0.2067153407915918,-0.0170189928825904,-0.300900762049747,0.250325476722992,-0.7117398164282149,-0.3563118345781072,-0.2422581449498786,neutral,ABC News,False,0.025974025974025976,0.03896103896103896,0.0,0.0,0.8441558441558441,0.0,0.09090909090909091,0.012987012987012988,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-04,76,1.0476781982791437,0.9006182149716403,4.0587718034410045,-0.5625694459109966,-0.9871158310911468,0.184503360121247,0.3070894698339683,0.2238305200752224,1.3022569886091708,-1.1953706026157058,-0.9247033335494348,-0.0873147763057475,0.2282584225434392,1.3498756421141058,2.6245792355800015,-0.3020574760135145,-0.4526681828571806,0.177123601560831,0.1351471129584266,-0.011498817182509,1.1061522530149883,-0.8005415293220435,-0.4854196966317229,-0.0747802368060618,neutral,ABC News,False,0.013157894736842105,0.07894736842105263,0.0,0.0,0.8289473684210527,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,False,False
@ABCNews,streams,2026-05,56,0.9488416876395646,1.0428977048575905,4.110269038442618,-0.2901765318035831,-0.8051086844654014,0.5482923171504969,-0.7341945160660317,0.2874619825338869,1.6381719331283753,-1.3994487615265128,-1.908449217602788,0.0905204015113588,-0.1422130316732675,1.833537767577589,2.2044302742209996,-0.0060893124913876,-0.2585335158032526,0.3734288643498114,-0.3997907594303904,0.044102481433464,1.321822166397028,-0.7634751063804606,-0.9704315716713549,0.0806656359035623,neutral,ABC News,False,0.0,0.017857142857142856,0.0,0.0,0.875,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-06,47,0.7718586192263568,1.2990111954680272,4.4686575822575465,-0.3208749263209998,-0.8593535899210439,0.1004311447297395,-0.8347424892153414,0.4151070933278527,1.951565520805976,-1.4147395232268818,-2.610931376383423,0.2267467555634995,-0.3672865849251976,2.1331656113658783,2.4996778389205927,0.0016750877968349,-0.2836802843821163,-0.0420162569849265,-0.4353472274879341,0.1365808266813253,1.5396430028224852,-0.6151922243409078,-1.5375337512558185,0.324709496572743,neutral,ABC News,False,0.0,0.02127659574468085,0.0,0.0,0.9148936170212766,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-07,65,0.6984803910659731,0.8030905617713032,3.730523223095019,-0.3136447748454502,-0.7705032993015765,0.8201640712330348,-0.4798074811402074,0.6169386989089346,1.1844278646002535,-1.2955363439215448,-1.8362034447862272,0.0413393231775895,-0.1704466335908449,1.4447471503931046,2.054640078272208,-0.0490892190474375,-0.2440268620036176,0.4413160905816389,-0.3096107601416024,0.3887815456042703,0.9241164536411256,-0.7404524280125311,-1.1034684340239922,0.1208257506467154,neutral,ABC News,False,0.0,0.03076923076923077,0.0,0.0,0.9076923076923077,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,False,False
@ABCNews,streams,2026-08,42,0.7943540418181618,1.3237672026812577,4.403846466757462,-0.1014222700196438,-0.7450265117599992,0.3245608147589393,-1.0990906186109275,0.5694593111943357,2.445213895311678,-1.2935351823734187,-2.3822528772023825,0.1846308212532717,-0.3861296477615392,2.249978140693215,2.348205429590324,0.2189793936923792,-0.1884665569456967,0.2690339718971791,-0.548334467450954,0.2919693113743934,2.023075509109521,-0.480826202415643,-1.1119881272743648,0.3414287649171067,neutral,ABC News,False,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.047619047619047616,0.0,0.023809523809523808,0.0,0.0,False,False
@ABCNews,streams,2026-09,22,0.9615410405941702,0.6201176149159696,3.201157698817474,-0.4374884058449955,-0.8891905124177422,0.3766119414224302,-0.2686910122724946,1.0382616748329228,1.9208041595513696,-1.2717329000756925,-2.111143037776748,-0.2140879795290894,-0.0970427115865741,1.2433004451092478,1.4370862260942678,-0.1363822696929087,-0.4346923156694003,0.2111204631966382,-0.0395346818129521,0.4409068905084341,1.6288089757868056,-0.6880311745284783,-1.114322729972996,-0.1012354275769532,neutral,ABC News,False,0.0,0.045454545454545456,0.0,0.0,0.5454545454545454,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,True,False
@ABCNews,videos,2026-01,956,0.8127320215462314,-0.0261825465338613,-0.3333366938979777,-0.349399601136045,-0.2369129069421736,-0.6345833783705319,2.1629390037885328,0.1572580658626721,-0.726403675137512,0.4955612426092338,-0.193458181247264,0.2140982981732797,0.7179648448721478,0.0679521489694597,-0.7618838017706205,-0.2026267481957237,0.0163045357925382,-0.5686735770023961,1.649415908136022,0.0017550804547678,-0.6392476024016254,0.2615125897419745,-0.2104544637675418,-0.0108979087246619,neutral,ABC News,False,0.01882845188284519,0.23326359832635984,0.0,0.05543933054393305,0.0031380753138075313,0.1098326359832636,0.08368200836820083,0.032426778242677826,0.021966527196652718,0.0,0.0198744769874477,False,False
