word,pairs,landscape_co_mentions,landscape_avoidances,group_pairs,channel_co_mentions,timing_readings,co_mention_partners,avoidance_partners,group_partners,channel_partners,timing
uk,79,5,2,3,1,1,starmer (12.9x); andrew (6.6x); epstein (3.1x); hasan (8.5x); hasan piker (8.3x),iran (0.45); strikes (0.44),"trump (left 0.45, neutral 0.40, right 0.79); speech (left 1.19, neutral 2.90, right 5.62); arrested (left 0.71, neutral 2.24, right 6.21)","nato (1.5x, 13 ch)",starmer: co-move (+0.41)
iranian,79,7,0,3,0,6,regime (18.5x); strikes (3.1x); hormuz (2.6x); attack (2.8x); strait of hormuz (2.7x); peace (2.4x); protests (2.2x),,"iran (left 0.26, neutral 0.89, right 0.25); israel (left 1.03, neutral 2.95, right 3.07); oil (left 1.23, neutral 2.52, right 3.14)",,regime: co-move (+0.37); strikes: co-move (+0.48); iran: co-move (+0.66); israel: iranian leads by 1 d (+0.34); oil: oil leads by 3 d (+0.31); war: co-move (+0.49)
texas,79,2,2,3,0,0,senate (8.9x); shooting (3.0x),iran (0.15); trump (0.50),"election (left 5.52, neutral 3.60, right 1.44); war (left 0.26, neutral 0.08, right 0.93); ice (left 2.36, neutral 2.53, right 0.63)",,
hegseth,79,5,1,0,0,1,war (4.0x); iran (3.2x); hearing (4.6x); senate (2.7x); ceasefire (2.7x),trump (0.38),,,war: co-move (+0.39)
trial,79,4,2,0,0,1,lindsay clancy (36.9x); charlie kirk (10.6x); case (3.2x); shooting (2.0x),trump (0.14); iran (0.04),,,case: co-move (+0.30)
debate,79,8,0,1,1,0,wilson (6.8x); california (4.8x); graham (3.7x); candace owens (4.7x); andrew (3.3x); alex (3.6x); senate (2.8x); maga (1.9x),,"iran (left 0.76, neutral 0.43, right 0.89)","charlie kirk (2.2x, 15 ch)",
world cup,79,1,3,1,0,0,canada (2.8x),iran (0.27); war (0.16); israel (0.04),"trump (left 0.97, neutral 0.24, right 0.71)",,
strikes,79,12,1,0,0,6,iran (6.0x); israel (4.4x); lebanon (7.9x); iranian (3.1x); ceasefire (3.4x); oil (2.3x); hormuz (1.9x); supreme court (2.8x); strait of hormuz (2.0x); venezuela (1.9x); peace (1.6x); scotus (2.6x),uk (0.44),,,iran: co-move (+0.50); iranian: co-move (+0.48); war: co-move (+0.45); attack: co-move (+0.33); platner: platner leads by 1 d (+0.33); regime: co-move (+0.34)
regime,79,5,0,1,0,3,iranian (18.5x); iran (3.9x); cuba (5.5x); protests (4.3x); venezuela (2.2x),,"trump (left 2.45, neutral 1.71, right 0.95)",,iranian: co-move (+0.37); iran: co-move (+0.48); strikes: co-move (+0.34)
lebanon,79,6,1,1,0,3,israel (20.0x); strikes (7.9x); ceasefire (7.7x); netanyahu (8.2x); peace (2.1x); deal (1.9x),trump (0.63),"hormuz (left 0.14, neutral 0.80, right 1.39)",,israel: co-move (+0.41); ceasefire: co-move (+0.30); iran: iran leads by 3 d (+0.38)
woman,79,5,1,0,0,0,ice (7.5x); minneapolis (10.4x); arrested (5.6x); minnesota (2.8x); death (2.4x),trump (0.36),,,
senate,79,11,1,1,0,0,hearing (16.4x); texas (8.9x); platner (14.9x); graham (7.2x); fauci (9.3x); abdul el-sayed (13.8x); hegseth (2.7x); lindsey graham (3.0x); venezuela (3.0x); debate (2.8x); minnesota (2.3x),iran (0.42),"trump (left 0.55, neutral 0.87, right 0.85)",,
maga,79,1,1,2,1,0,debate (1.9x),trump (0.68),"racist (left 1.88, neutral 21.35, right 0.99); war (left 1.11, neutral 2.13, right 1.97)","candace owens (2.3x, 14 ch)",
starmer,79,3,1,1,0,3,uk (12.9x); greenland (3.3x); speech (2.3x),iran (0.57),"epstein (left 0.82, neutral 5.00, right 3.07)",,uk: co-move (+0.41); china: china leads by 13 d (negative) (-0.31); platner: platner leads by 9 d (+0.31)
netanyahu,79,7,0,3,1,2,israel (5.3x); lebanon (8.2x); mamdani (11.1x); trump (2.2x); peace (3.4x); war (1.8x); ceasefire (2.2x),,"iran (left 1.14, neutral 2.40, right 3.05); deal (left 1.31, neutral 2.95, right 5.23); china (left 0.10, right 1.38)","arrested (3.1x, 10 ch)",israel: co-move (+0.46); scotus: co-move (negative) (-0.32)
