term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,weight
rep,smith,20.00000,5.33086,3.75174,6.76264,0.00000,6.00000,1.90756
hearing,kash,20.00000,5.16460,3.87252,6.75399,0.00000,11.00000,1.95327
gop,voters,46.00000,18.52346,2.48334,6.74766,0.00000,13.00000,1.31228
house,scrambles,26.00000,8.12556,3.19978,6.73714,0.00000,7.00000,1.67797
truth,brutal,20.00000,5.20899,3.83952,6.73543,0.00000,7.00000,1.94093
hormuz,help,26.00000,8.09746,3.21088,6.72735,0.00000,11.00000,1.68297
breaking,strait of hormuz,25.00000,7.92336,3.15523,6.72680,0.00000,10.00000,1.65774
major,announcement,35.00000,12.94917,2.70288,6.71230,0.00000,7.00000,1.43450
breaking,blocks,28.00000,13.94672,2.00764,6.70711,0.00000,9.00000,1.00550
ice,man,41.00000,16.70784,2.45394,6.70692,0.00000,19.00000,1.29510
tehran,khamenei,33.00000,11.55019,2.85710,6.68264,0.00000,5.00000,1.51455
house,holds,20.00000,5.24557,3.81274,6.66121,0.00000,7.00000,1.93083
war,veteran,29.00000,10.26538,2.82503,6.63698,0.00000,11.00000,1.49827
killed,americans,23.00000,6.62609,3.47113,6.63447,0.00000,11.00000,1.79540
israel,expands,20.00000,5.88295,3.39965,6.63175,0.00000,7.00000,1.76539
strikes,iranian,67.00000,32.07591,2.08879,6.61809,0.00000,12.00000,1.06267
starmer,prime minister,24.00000,8.14214,2.94763,6.61668,0.00000,5.00000,1.55956
ai,warning,20.00000,5.30684,3.76872,6.61591,0.00000,15.00000,1.91408
strait,global,29.00000,9.53556,3.04125,6.60949,0.00000,7.00000,1.60466
nato,mark,25.00000,7.77588,3.21507,6.60908,0.00000,5.00000,1.68485
ice,backlash,36.00000,13.92583,2.58512,6.59271,0.00000,16.00000,1.37023
republicans,dems,29.00000,9.62472,3.01307,6.57369,0.00000,10.00000,1.59124
iran,professor,41.00000,17.61818,2.32714,6.55623,0.00000,13.00000,1.21856
makes,stunning,21.00000,5.79130,3.62613,6.53125,0.00000,10.00000,1.85843
epstein,drop,25.00000,8.30550,3.01005,6.51484,0.00000,14.00000,1.58979
white,shooting,36.00000,13.50981,2.66473,6.51186,0.00000,13.00000,1.41399
war,rages,38.00000,15.71405,2.41822,6.50093,0.00000,15.00000,1.27394
court,ballroom,28.00000,9.58215,2.92210,6.48586,0.00000,12.00000,1.54701
calls,dem,30.00000,10.13000,2.96150,6.47990,0.00000,6.00000,1.56633
maga,defend,48.00000,23.37697,2.05330,6.47373,0.00000,12.00000,1.03795
court,rights,27.00000,9.35254,2.88692,6.45606,0.00000,16.00000,1.52953
breaking,strait,30.00000,10.65929,2.81445,6.45301,0.00000,10.00000,1.49285
putin,europe,57.00000,26.54679,2.14715,6.43621,0.00000,6.00000,1.10242
strikes,sites,23.00000,6.98828,3.29122,6.42388,0.00000,5.00000,1.71862
epstein,scandal,50.00000,22.77632,2.19526,6.41469,0.00000,22.00000,1.13439
ice,protester,24.00000,10.02492,2.39403,6.40308,0.00000,14.00000,1.25944
uk,andrew,26.00000,8.71600,2.98302,6.37718,0.00000,5.00000,1.57677
strait of hormuz,global,26.00000,8.38867,3.09942,6.37574,0.00000,6.00000,1.63200
crisis,strait of hormuz,37.00000,14.19176,2.60715,6.36965,0.00000,7.00000,1.38247
russia,victory,28.00000,9.62137,2.91019,6.36331,0.00000,6.00000,1.54111
major,lawsuit,30.00000,10.88359,2.75644,6.35798,0.00000,9.00000,1.46281
truth,exposes,24.00000,7.54447,3.18114,6.34156,0.00000,13.00000,1.66954
breaking,minneapolis,46.00000,21.91886,2.09865,6.32928,0.00000,13.00000,1.06946
trump,assassination attempt,38.00000,18.16340,2.09212,6.31475,0.00000,18.00000,1.06496
trump,ontario,34.00000,16.13271,2.10752,6.31274,0.00000,10.00000,1.07555
talks,tehran,37.00000,14.35645,2.57724,6.31201,0.00000,5.00000,1.36583
military,operation,24.00000,7.42459,3.23250,6.30016,0.00000,6.00000,1.69265
election,fbi,25.00000,7.91291,3.15939,6.28924,0.00000,12.00000,1.65965
starmer,prime,24.00000,8.55292,2.80606,6.27913,0.00000,5.00000,1.48855
supreme,power,26.00000,8.73364,2.97700,6.25968,0.00000,15.00000,1.57386
hearing,patel,20.00000,5.63436,3.54965,6.25703,0.00000,11.00000,1.82768
people,like,20.00000,5.84708,3.42051,6.24789,0.00000,10.00000,1.77421
oil,energy,22.00000,6.63374,3.31638,6.23253,0.00000,7.00000,1.72961
ice,immigration,41.00000,17.75122,2.30970,6.22485,0.00000,13.00000,1.20771
iran,agreement,44.00000,20.51661,2.14460,6.22018,0.00000,11.00000,1.10071
iran,assets,27.00000,11.52987,2.34174,6.20448,0.00000,6.00000,1.22758
minneapolis,pretti,33.00000,13.10550,2.51803,6.20151,0.00000,15.00000,1.33229
trump,union address,27.00000,11.61346,2.32489,6.17644,0.00000,13.00000,1.21716
doj,officials,24.00000,7.80303,3.07573,6.17225,0.00000,11.00000,1.62093
doj,reflecting pool,20.00000,6.04578,3.30809,6.16521,0.00000,8.00000,1.72600
breaking,fired,28.00000,10.28065,2.72356,6.16410,0.00000,18.00000,1.44550
uk,keir,33.00000,12.67956,2.60261,6.16383,0.00000,7.00000,1.37996
epstein,allegations,21.00000,6.84041,3.06999,6.14541,0.00000,13.00000,1.61823
trump,meme,22.00000,8.37634,2.62645,6.13322,0.00000,8.00000,1.39311
hearing,ag,21.00000,6.64686,3.15939,6.12581,0.00000,7.00000,1.65964
israeli,minister,22.00000,6.79587,3.23726,6.11989,0.00000,7.00000,1.69477
doj,reflecting,20.00000,6.10751,3.27466,6.10300,0.00000,8.00000,1.71134
attacks,west bank,20.00000,5.93671,3.36887,6.08975,0.00000,5.00000,1.75226
attack,police,29.00000,10.38123,2.79350,6.07665,0.00000,7.00000,1.48208
trump,lake ontario,32.00000,15.38261,2.08027,6.04937,0.00000,10.00000,1.05677
hegseth,chief,22.00000,6.81596,3.22772,6.03902,0.00000,5.00000,1.69052
maduro,york,20.00000,6.73409,2.96996,6.03115,0.00000,5.00000,1.57045
ice,year-old,26.00000,10.68348,2.43366,6.03006,0.00000,10.00000,1.28313
americans,don't,24.00000,7.75593,3.09440,6.02650,0.00000,13.00000,1.62966
ice,outrage,21.00000,7.02648,2.98870,6.02488,0.00000,10.00000,1.57952
lebanon,south,29.00000,10.71553,2.70635,6.02292,0.00000,7.00000,1.43635
says,leader,43.00000,18.51604,2.32231,6.01456,0.00000,13.00000,1.21556
epstein,explosive,34.00000,13.72386,2.47744,6.00496,0.00000,9.00000,1.30885
black,man,25.00000,9.68841,2.58040,5.99555,0.00000,11.00000,1.36760
strait,crisis,39.00000,16.17670,2.41087,5.97256,0.00000,8.00000,1.26956
hegseth,troops,39.00000,16.20383,2.40684,5.94326,0.00000,14.00000,1.26714
judge,center,21.00000,7.04781,2.97965,5.91557,0.00000,8.00000,1.57514
plan,leaks,22.00000,7.23478,3.04087,5.89802,0.00000,8.00000,1.60448
backfires,lawsuit,20.00000,6.08390,3.28736,5.89260,0.00000,5.00000,1.71693
shocking,revealed,22.00000,7.00024,3.14275,5.89090,0.00000,9.00000,1.65203
power,voting,21.00000,6.75508,3.10877,5.88605,0.00000,6.00000,1.63634
hegseth,hearing,31.00000,11.69517,2.65067,5.87693,0.00000,14.00000,1.40636
strikes,vows,22.00000,7.06454,3.11415,5.87519,0.00000,7.00000,1.63884
amid,escalation,24.00000,8.01935,2.99276,5.84408,0.00000,5.00000,1.58148
power,supreme court,23.00000,7.82734,2.93842,5.83745,0.00000,13.00000,1.55504
house,shooting,42.00000,18.51105,2.26892,5.82201,0.00000,13.00000,1.18200
house,leavitt,22.00000,7.05851,3.11680,5.81784,0.00000,8.00000,1.64007
maga,base,20.00000,6.57256,3.04295,5.79414,0.00000,16.00000,1.60547
amid,conflict,27.00000,9.70056,2.78334,5.78673,0.00000,5.00000,1.47682
hormuz,allies,38.00000,16.19541,2.34634,5.78527,0.00000,9.00000,1.23041
host,tv,22.00000,7.23626,3.04025,5.77581,0.00000,11.00000,1.60419
iran,escalate,39.00000,18.55428,2.10194,5.77362,0.00000,16.00000,1.07172
deal,details,26.00000,9.26266,2.80697,5.74781,0.00000,8.00000,1.48901
ice,officials,35.00000,14.81625,2.36227,5.74400,0.00000,18.00000,1.24017
iranian,strike,48.00000,22.36264,2.14644,5.74364,0.00000,12.00000,1.10194
peace,netanyahu,23.00000,7.74048,2.97139,5.73938,0.00000,11.00000,1.57114
court,lawyer,24.00000,8.43611,2.84491,5.73696,0.00000,10.00000,1.50838
report,shocking,22.00000,7.22176,3.04635,5.73624,0.00000,13.00000,1.60708
doj,drops,31.00000,12.18968,2.54314,5.73360,0.00000,12.00000,1.34661
america,allies,28.00000,10.35548,2.70388,5.72751,0.00000,9.00000,1.43503
ice,shoots,20.00000,7.30502,2.73784,5.65372,0.00000,12.00000,1.45304
gets,brutal,42.00000,19.01347,2.20896,5.64804,0.00000,12.00000,1.14337
senate,blanche,45.00000,21.45981,2.09694,5.60539,0.00000,15.00000,1.06829
minnesota,federal,22.00000,7.62540,2.88510,5.59955,0.00000,9.00000,1.52862
russia,bombs,38.00000,16.63806,2.28392,5.59018,0.00000,5.00000,1.19151
democrats,party,23.00000,8.37150,2.74742,5.58175,0.00000,15.00000,1.45808
iran,wedding,21.00000,7.77626,2.70053,5.55557,0.00000,8.00000,1.43324
iran,uranium,29.00000,14.01111,2.06979,5.54114,0.00000,6.00000,1.04948
iran,resume,23.00000,9.89333,2.32480,5.52658,0.00000,8.00000,1.21711
bombshell,exposes,29.00000,11.27301,2.57252,5.52398,0.00000,16.00000,1.36318
says,doesn't,25.00000,9.05963,2.75949,5.51949,0.00000,10.00000,1.46440
ukraine,strike,46.00000,21.60719,2.12892,5.49841,0.00000,7.00000,1.09012
protest,minnesota,22.00000,7.91594,2.77920,5.49422,0.00000,11.00000,1.47467
israel,support,38.00000,17.51186,2.16996,5.49103,0.00000,20.00000,1.11767
attack,houthis,25.00000,9.25285,2.70187,5.47561,0.00000,5.00000,1.43396
court,power,30.00000,12.19658,2.45971,5.47328,0.00000,15.00000,1.29849
nato,leaders,20.00000,6.69327,2.98808,5.46934,0.00000,6.00000,1.57922
deal,ceasefire,41.00000,18.81147,2.17952,5.46509,0.00000,10.00000,1.12401
attack,moscow,20.00000,6.60348,3.02871,5.45739,0.00000,9.00000,1.59870
maga,voters,43.00000,20.07764,2.14169,5.45460,0.00000,17.00000,1.09875
trump,abc,22.00000,9.85672,2.23198,5.40424,0.00000,14.00000,1.15832
attacks,bank,20.00000,6.71821,2.97698,5.39528,0.00000,5.00000,1.57385
shock,update,29.00000,12.18200,2.38056,5.37825,0.00000,7.00000,1.25130
minneapolis,federal,26.00000,10.34499,2.51329,5.32520,0.00000,11.00000,1.32958
war,join,37.00000,17.46120,2.11898,5.27899,0.00000,10.00000,1.08337
election,voters,23.00000,8.37782,2.74534,5.22558,0.00000,8.00000,1.45699
deal,canada,21.00000,7.44883,2.81924,5.21849,0.00000,9.00000,1.49530
epstein,expose,34.00000,16.51019,2.05933,5.21615,0.00000,15.00000,1.04218
hormuz,naval,25.00000,10.43013,2.39690,5.21301,0.00000,5.00000,1.26117
iran,infrastructure,23.00000,9.68971,2.37365,5.20867,0.00000,9.00000,1.24711
epstein,lawmakers,24.00000,9.86089,2.43386,5.17922,0.00000,10.00000,1.28324
judge,lawsuit,31.00000,13.59796,2.27975,5.16388,0.00000,9.00000,1.18888
dem,primary,21.00000,7.58159,2.76987,5.16280,0.00000,6.00000,1.46982
iranian,attacks,45.00000,22.18395,2.02849,5.15280,0.00000,6.00000,1.02041
