creator,genre,month,n_titles,n_chars_mean,n_tokens_mean,mean_word_len_mean,n_chars_raw_mean,allcaps_word_share_mean,has_allcaps_word_p100,full_caps_title_p100,cap_token_share_mean,lowercase_start_p100,q_mark_p100,excl_p100,multi_punct_p100,colon_p100,pipe_p100,ellipsis_p100,trailing_ellipsis_p100,quotes_p100,brackets_p100,dash_p100,emoji_count_p100,emoji_p100,digit_p100,dollar_p100,percent_p100,hashtag_p100,at_mention_p100,comma_p100,period_end_p100,year_mention_p100,first_sg_p100,first_pl_p100,second_person_p100,contraction_p100,imperative_p100,q_word_start_p100,wh_any_p100,intensifier_p100,superlative_p100,shock_word_p100,pos_eval_p100,neg_eval_p100,negation_p100,violence_verb_p100,hedge_p100,discourse_marker_p100,nominalisation_p100,n_person_p100,n_org_p100,n_gpe_p100,has_person_p100,entity_first_p100,how_to_p100,explainer_p100,why_marker_p100,curiosity_lex_p100,fwd_ref_start_p100,listicle_p100,reaction_lex_p100,interview_lex_p100,confrontation_lex_p100,lead_colon_label_p100,lead_breaking_p100,lead_live_p100,pipe_segments_raw_mean,colon_segments_raw_mean,brackets_raw_p100,brand_stripped_p100,episode_raw_p100,date_raw_p100,quoted_speech_p100,has_finite_verb_p100,past_tense_p100,present_tense_p100,modal_p100,future_will_p100,det_share_mean,stopword_share_mean,propn_share_mean,noun_share_mean,verb_share_mean,adj_share_mean,adv_share_mean,num_share_mean,vader_neg_mean,vader_pos_mean,vader_compound_mean,formulaic_p100,lane,organisation,clipper
@60minutes,videos,2026-01,39,52.333333333333336,8.538461538461538,5.123789885328347,56.64102564102564,0.003205128205128205,0.0,0.0,0.5792244792244792,2.564102564102564,0.0,0.0,0.0,5.128205128205128,46.15384615384615,0.0,0.0,10.256410256410255,2.564102564102564,0.0,0.0,0.0,64.1025641025641,2.564102564102564,0.0,0.0,0.0,2.564102564102564,2.564102564102564,10.256410256410255,0.0,2.564102564102564,5.128205128205128,2.564102564102564,0.0,10.256410256410255,12.82051282051282,0.0,7.6923076923076925,5.128205128205128,5.128205128205128,0.0,2.564102564102564,0.0,2.564102564102564,0.0,25.64102564102564,58.97435897435898,17.94871794871795,28.205128205128204,51.28205128205128,46.15384615384615,0.0,0.0,2.564102564102564,0.0,2.564102564102564,0.0,0.0,12.82051282051282,0.0,0.0,0.0,0.0,1.6666666666666667,0.05128205128205128,2.564102564102564,20.51282051282051,0.0,0.0,12.82051282051282,28.205128205128204,15.384615384615385,10.256410256410255,2.564102564102564,0.0,0.05261277184354107,0.2292838927454312,0.3379101311793619,0.19746798785260322,0.06091067052605514,0.04946574081189466,0.02565981027519489,0.07495229129844515,0.061897435897435904,0.050743589743589744,-0.013056410256410253,51.28205128205128,us_legacy_tv,CBS News,False
@60minutes,videos,2026-02,31,54.806451612903224,8.67741935483871,5.4084381568252535,60.903225806451616,0.02149373923567472,12.903225806451612,0.0,0.4744378769378769,0.0,3.225806451612903,0.0,0.0,12.903225806451612,41.935483870967744,0.0,0.0,19.35483870967742,0.0,0.0,0.0,0.0,41.935483870967744,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,3.225806451612903,3.225806451612903,9.67741935483871,3.225806451612903,0.0,12.903225806451612,16.129032258064516,3.225806451612903,9.67741935483871,9.67741935483871,0.0,0.0,3.225806451612903,3.225806451612903,3.225806451612903,0.0,16.129032258064516,35.483870967741936,32.25806451612903,54.83870967741935,35.483870967741936,51.61290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,1.7096774193548387,0.12903225806451613,0.0,29.03225806451613,0.0,0.0,19.35483870967742,29.03225806451613,25.806451612903224,12.903225806451612,6.451612903225806,0.0,0.044293520099971714,0.23891359536520826,0.2692328860260549,0.25050790449272425,0.07137130737699997,0.06354081823721293,0.03658939626681562,0.04353384071126006,0.12212903225806451,0.05703225806451613,-0.10503870967741936,41.935483870967744,us_legacy_tv,CBS News,False
@60minutes,videos,2026-03,51,52.372549019607845,8.313725490196079,5.38962759814836,56.490196078431374,0.009663865546218486,3.9215686274509802,0.0,0.5650843165549048,0.0,7.8431372549019605,0.0,0.0,13.725490196078432,47.05882352941176,0.0,0.0,9.803921568627452,5.88235294117647,0.0,0.0,0.0,62.745098039215684,0.0,0.0,0.0,0.0,7.8431372549019605,0.0,7.8431372549019605,1.9607843137254901,1.9607843137254901,0.0,0.0,0.0,7.8431372549019605,9.803921568627452,0.0,7.8431372549019605,5.88235294117647,1.9607843137254901,0.0,3.9215686274509802,0.0,5.88235294117647,0.0,13.725490196078432,31.372549019607842,19.607843137254903,41.17647058823529,31.372549019607842,35.294117647058826,0.0,1.9607843137254901,1.9607843137254901,1.9607843137254901,1.9607843137254901,0.0,1.9607843137254901,23.52941176470588,1.9607843137254901,0.0,1.9607843137254901,0.0,1.6666666666666667,0.13725490196078433,5.88235294117647,19.607843137254903,0.0,0.0,7.8431372549019605,25.49019607843137,13.725490196078432,21.568627450980394,3.9215686274509802,0.0,0.04731232499398589,0.22854593823451955,0.2815441766156572,0.20916368321440257,0.07880711732469153,0.04774376228801652,0.018711688478124464,0.07425603317745004,0.049823529411764704,0.045098039215686274,-0.014109803921568628,52.94117647058824,us_legacy_tv,CBS News,False
@60minutes,videos,2026-04,62,59.403225806451616,9.806451612903226,5.059809433398143,61.774193548387096,0.0126836425223522,8.064516129032258,0.0,0.5139442994281704,0.0,4.838709677419355,0.0,0.0,12.903225806451612,62.903225806451616,0.0,0.0,4.838709677419355,1.6129032258064515,0.0,0.0,0.0,66.12903225806451,0.0,0.0,0.0,0.0,9.67741935483871,1.6129032258064515,1.6129032258064515,0.0,1.6129032258064515,8.064516129032258,3.225806451612903,3.225806451612903,6.451612903225806,6.451612903225806,0.0,8.064516129032258,11.29032258064516,6.451612903225806,0.0,1.6129032258064515,1.6129032258064515,4.838709677419355,0.0,20.967741935483872,35.483870967741936,27.419354838709676,35.483870967741936,32.25806451612903,38.70967741935484,0.0,3.225806451612903,0.0,1.6129032258064515,1.6129032258064515,0.0,0.0,16.129032258064516,1.6129032258064515,0.0,0.0,0.0,1.7419354838709677,0.12903225806451613,1.6129032258064515,11.29032258064516,0.0,0.0,6.451612903225806,30.64516129032258,16.129032258064516,17.741935483870968,6.451612903225806,0.0,0.05803937094009999,0.22141263754166982,0.26827936182962153,0.24291876486585864,0.06512086630869712,0.06011944448352118,0.0318458173178287,0.0663984046430616,0.07919354838709677,0.06456451612903226,-0.016312903225806457,59.67741935483871,us_legacy_tv,CBS News,False
@60minutes,videos,2026-05,51,58.13725490196079,9.313725490196079,5.182357484563367,61.01960784313726,0.005882352941176471,3.9215686274509802,0.0,0.5710439342792284,0.0,0.0,0.0,0.0,19.607843137254903,49.01960784313725,0.0,0.0,7.8431372549019605,0.0,0.0,0.0,0.0,58.82352941176471,0.0,0.0,0.0,0.0,11.76470588235294,0.0,1.9607843137254901,0.0,0.0,5.88235294117647,3.9215686274509802,3.9215686274509802,7.8431372549019605,13.725490196078432,0.0,0.0,19.607843137254903,0.0,0.0,3.9215686274509802,0.0,1.9607843137254901,0.0,5.88235294117647,52.94117647058824,33.33333333333333,29.411764705882355,49.01960784313725,47.05882352941176,0.0,0.0,0.0,1.9607843137254901,0.0,0.0,0.0,19.607843137254903,0.0,0.0,0.0,0.0,1.6274509803921569,0.19607843137254902,0.0,13.725490196078432,0.0,0.0,9.803921568627452,31.372549019607842,13.725490196078432,25.49019607843137,1.9607843137254901,0.0,0.03902465918036852,0.20844457829751947,0.35346426449367624,0.20709769053194657,0.0601794847469588,0.05339766922811905,0.018500252150771182,0.06388553936131791,0.0841764705882353,0.04196078431372549,-0.08368235294117647,49.01960784313725,us_legacy_tv,CBS News,False
@60minutes,videos,2026-06,24,55.375,8.958333333333334,5.230061431623931,58.875,0.015790343915343914,8.333333333333332,0.0,0.5496481527731528,0.0,0.0,0.0,0.0,8.333333333333332,45.83333333333333,0.0,0.0,20.833333333333336,0.0,0.0,0.0,0.0,58.333333333333336,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,4.166666666666666,0.0,12.5,20.833333333333336,12.5,8.333333333333332,12.5,0.0,0.0,0.0,0.0,0.0,0.0,20.833333333333336,54.166666666666664,12.5,25.0,50.0,29.166666666666668,0.0,0.0,4.166666666666666,0.0,4.166666666666666,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.625,0.08333333333333333,0.0,16.666666666666664,0.0,0.0,20.833333333333336,41.66666666666667,8.333333333333332,37.5,0.0,0.0,0.07240949410067056,0.2540410977910978,0.30390379636703163,0.2154292398777693,0.06415494227994228,0.05998389886257533,0.020535714285714286,0.06213487288854936,0.046375,0.06670833333333333,0.021145833333333326,45.83333333333333,us_legacy_tv,CBS News,False
@60minutes,videos,2026-07,3,69.0,11.666666666666666,5.26984126984127,83.0,0.0,0.0,0.0,0.505982905982906,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,133.33333333333331,66.66666666666666,66.66666666666666,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.3333333333333333,0.0,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.042328042328042326,0.25396825396825395,0.4338624338624339,0.1164021164021164,0.042328042328042326,0.07407407407407407,0.0,0.042328042328042326,0.062,0.065,0.0172,0.0,us_legacy_tv,CBS News,False
@60minutes,videos,2026-08,18,41.833333333333336,7.0,5.326320747154081,53.5,0.009259259259259259,5.555555555555555,0.0,0.5175579322638146,0.0,0.0,0.0,0.0,16.666666666666664,27.77777777777778,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,16.666666666666664,0.0,0.0,5.555555555555555,0.0,5.555555555555555,0.0,0.0,5.555555555555555,0.0,5.555555555555555,0.0,0.0,0.0,0.0,5.555555555555555,0.0,16.666666666666664,33.33333333333333,22.22222222222222,11.11111111111111,33.33333333333333,27.77777777777778,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,5.555555555555555,11.11111111111111,0.0,0.0,0.0,1.8333333333333333,0.16666666666666666,5.555555555555555,55.55555555555556,0.0,0.0,0.0,22.22222222222222,16.666666666666664,16.666666666666664,5.555555555555555,0.0,0.07438194521527855,0.22377344877344876,0.2778004403004403,0.23410339660339663,0.15623681873681874,0.06785575535575535,0.0,0.06281064614397948,0.10055555555555556,0.03277777777777778,-0.0832611111111111,50.0,us_legacy_tv,CBS News,False
@60minutes,videos,2026-09,46,62.97826086956522,11.108695652173912,4.751393892784053,73.47826086956522,0.013719342251950947,6.521739130434782,0.0,0.25025362531756395,4.3478260869565215,0.0,0.0,0.0,28.26086956521739,15.217391304347828,0.0,0.0,17.391304347826086,0.0,0.0,0.0,0.0,65.21739130434783,0.0,0.0,0.0,0.0,8.695652173913043,0.0,4.3478260869565215,4.3478260869565215,4.3478260869565215,8.695652173913043,8.695652173913043,2.1739130434782608,6.521739130434782,15.217391304347828,0.0,2.1739130434782608,19.565217391304348,0.0,2.1739130434782608,4.3478260869565215,2.1739130434782608,4.3478260869565215,0.0,23.91304347826087,21.73913043478261,30.434782608695656,23.91304347826087,17.391304347826086,28.26086956521739,0.0,4.3478260869565215,0.0,2.1739130434782608,0.0,0.0,0.0,15.217391304347828,0.0,0.0,0.0,0.0,1.6521739130434783,0.2826086956521739,0.0,50.0,0.0,0.0,17.391304347826086,63.04347826086957,39.130434782608695,39.130434782608695,2.1739130434782608,0.0,0.06977135684683075,0.2661844178577588,0.15756736404784302,0.22384269222804457,0.12913793466825943,0.051620686941214015,0.024941803010856717,0.08791921271510661,0.10734782608695652,0.0821304347826087,-0.04453913043478261,21.73913043478261,us_legacy_tv,CBS News,False
@ABCNews,streams,2026-01,76,54.23684210526316,9.039473684210526,4.734714152806259,62.48684210526316,0.2588874393150709,94.73684210526315,0.0,0.6635666051784473,0.0,0.0,0.0,0.0,93.42105263157895,34.21052631578947,0.0,0.0,2.631578947368421,0.0,1.3157894736842104,0.0,0.0,3.9473684210526314,0.0,0.0,0.0,0.0,2.631578947368421,2.631578947368421,1.3157894736842104,0.0,1.3157894736842104,3.9473684210526314,0.0,2.631578947368421,0.0,0.0,0.0,0.0,1.3157894736842104,1.3157894736842104,0.0,0.0,0.0,1.3157894736842104,0.0,43.42105263157895,44.73684210526316,109.21052631578947,42.10526315789473,38.15789473684211,9.210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.157894736842104,0.0,78.94736842105263,0.0,78.94736842105263,1.3421052631578947,0.9342105263157895,0.0,36.84210526315789,0.0,0.0,1.3157894736842104,86.8421052631579,5.263157894736842,86.8421052631579,1.3157894736842104,1.3157894736842104,0.018913442440817378,0.43252177818741283,0.4156214677723558,0.13647460182666715,0.11378227838733786,0.013421616653040801,0.1126484065221437,0.003310205661211853,0.028250000000000004,0.03427631578947368,-0.0012486842105263157,78.94736842105263,us_legacy_tv,ABC News,False
