category,scope,creator,title
confrontation,corpus,@Firstpost,Red Fort Attack LIVE: Pakistan's Terror Lies Busted As JeM’s Hand Emerge in Lal Qila Blast
confrontation,corpus,@timesofindia,'5th Time You Blinked': Reporter Grills Trump On Iran U-Turn; Shock 'I Don't Know' Reply Follows
confrontation,corpus,@PTLRadioShow,MAGA Callers Accuse Brian Shapiro Of Lying… Then Get Fact-Checked
confrontation,left,@timesofindia,'5th Time You Blinked': Reporter Grills Trump On Iran U-Turn; Shock 'I Don't Know' Reply Follows
confrontation,left,@PTLRadioShow,MAGA Callers Accuse Brian Shapiro Of Lying… Then Get Fact-Checked
confrontation,left,@SkyNews,UN Security Council debates maritime security in Strait of Hormuz
confrontation,neutral,@Firstpost,Red Fort Attack LIVE: Pakistan's Terror Lies Busted As JeM’s Hand Emerge in Lal Qila Blast
confrontation,neutral,@thehill,AG Bondi clashes with congress as lawmakers interrogate her over Epstein file redactions | Sunrise
confrontation,neutral,@ANINewsIndia,"Tripura CM Manik Saha inaugurates 69th National School Games, highlights youth and yoga initiatives"
confrontation,right,@nypost,Trump Slams Supreme Court Mail-In Ballot Ruling: 'Detrimental to Honest Elections'
confrontation,right,@FoxNews,Fetterman BLASTS Dems: ‘It’s TDS!’
confrontation,right,@RubinReport,Press Corp Humiliated as Press Sec Makes Them Regret Ignoring This Story
listicle,corpus,@Firstpost,US-Iran War Top 5 Developments: Tehran Claims Drone Attack Amid Hormuz Tensions | Firstpost Live
listicle,corpus,@TheMajorityReport,39 Times Trump Claimed An Iran Deal Was Imminent
listicle,corpus,@NewsNation,"An MLB opening day preview, plus March Madness Sweet 16 predictions | Morning in America"
listicle,left,@TheMajorityReport,39 Times Trump Claimed An Iran Deal Was Imminent
listicle,left,@StatusCoup,Top 8 LIES Trump’s ICE TERROR MACHINE Tells
listicle,left,@BelleRanch,"Let's talk about Trump, Iran, 60 days, 20%, 3 questions, and boots on the ground...."
listicle,neutral,@Firstpost,US-Iran War Top 5 Developments: Tehran Claims Drone Attack Amid Hormuz Tensions | Firstpost Live
listicle,neutral,@NewsNation,"An MLB opening day preview, plus March Madness Sweet 16 predictions | Morning in America"
listicle,neutral,@TimesNowWorld,TRUMP-XI SUMMIT: What Are China's Top 5 Agendas To Grill Trump In Beijing
listicle,right,@StevenCrowder,These Top 5 Most R*tarded Fauci Moments Will Ruin Your Day
listicle,right,@nypost,The Top 10 UFO Encounters Revealed From the Second Wave of Pentagon Declassified Files
listicle,right,@RealAmericasVoice,"AMERICA FORGETS 9/11 LESSONS, ENEMIES ARM THE NEXT STRIKE | JUST THE NEWS - NO NOISE"
howto_explainer,corpus,@JackCocchiarellaShow,Fox Host Suffers Emotional Breakdown As Trump Loses Senate
howto_explainer,corpus,@AssociatedPress,AP reporter breaks down Supreme Court ruling striking down Trump’s tariffs
howto_explainer,corpus,@RealAmericasVoice,9/11 Widow Terry Strada REVEALS What Happened After Her Husband’s FINAL Call
howto_explainer,left,@JackCocchiarellaShow,Fox Host Suffers Emotional Breakdown As Trump Loses Senate
howto_explainer,left,@nousnetwork,YOU DON’T EXIST: Inside Bengal’s Massive Voter Deletion Crisis (SIR Explained)I Bushra Khanum
howto_explainer,left,@CNN,Why 'McDonald’s caviar' was suddenly trending this week | Looped In
howto_explainer,neutral,@AssociatedPress,AP reporter breaks down Supreme Court ruling striking down Trump’s tariffs
howto_explainer,neutral,@BBCNews,Why did Trump call the Chagos Islands deal 'an act of great stupidity'? | BBC Newscast
howto_explainer,neutral,@Firstpost,Why Indigo and Air India Are Struggling Despite India's Aviation Boom | Vantage With Palki Sharma
howto_explainer,right,@RealAmericasVoice,9/11 Widow Terry Strada REVEALS What Happened After Her Husband’s FINAL Call
howto_explainer,right,@lizwheeler,Candace Owens vs. Liz Wheeler: The TRUTH About Her Charlie Kirk Bullet Claim
howto_explainer,right,@VivaFrei,They Claimed She Might Be the Jan. 6 Pipe Bomber - Now She's Suing for Defamation! LAWSUIT BREAKDOWN
curiosity_gap,corpus,@LukeBeasley,"Actually, what the f*** just happened?!"
curiosity_gap,corpus,https://rumble.com/c/russellbrand,They don't want you knowing this...
curiosity_gap,corpus,@AsmonTV,Holy sh*t.. How is this real?
curiosity_gap,left,@LukeBeasley,"Actually, what the f*** just happened?!"
curiosity_gap,left,@TheRealTabithaSpeaks,"No Money For That, But There’s Money For THIS??!!!"
curiosity_gap,left,@destiny,What Just Happened?
curiosity_gap,neutral,@CoreyGilShusterAskProject,Palestinians: What happens at the endtimes?
curiosity_gap,neutral,@Reuters,How will NASA's new telescope unlock mysteries of the universe?
curiosity_gap,neutral,@ANINewsIndia,West Bengal: Chanchal residents in Malda renew demand for municipal status
curiosity_gap,right,https://rumble.com/c/russellbrand,They don't want you knowing this...
curiosity_gap,right,@AsmonTV,Holy sh*t.. How is this real?
curiosity_gap,right,@MattWalsh,AOC Said The World Ends In 5 Years. So Why Is She Freezing Her Eggs?
outrage,corpus,@timesofindia,‘Humiliated’ Trump Fires EXPLOSIVE WARNING To Canada In Extreme Meltdown | ‘NO MORE BENEFITS!’
