term,n_titles,n_channels,is_phrase,phrase_words
running,566,138,False,
el-sayed,565,96,False,
stephen,565,106,False,
lawmakers,564,50,False,
street,564,87,False,
keir starmer,562,58,True,keir|starmer
lawyer,562,103,False,
stage,562,91,False,
workers,561,73,False,
business,559,78,False,
gov,559,78,False,
cost,558,97,False,
isn't,555,139,False,
best,553,123,False,
charles,553,75,False,
confirms,553,61,False,
signs,553,65,False,
testifies,553,53,False,
believe,552,116,False,
dark,552,132,False,
happening,552,119,False,
silence,551,108,False,
decision,550,81,False,
floods,550,30,False,
unveils,550,51,False,
families,549,58,False,
fury,549,58,False,
march,549,70,False,
i'm,548,111,False,
leo,548,60,False,
fighting,547,120,False,
leaked,547,103,False,
loss,547,100,False,
tyler,547,90,False,
possible,546,75,False,
fatal,544,70,False,
funeral,544,73,False,
board,543,68,False,
injured,543,38,False,
liberal,543,109,False,
rfk,543,101,False,
star,543,90,False,
lemon,542,115,False,
urges,542,38,False,
taking,541,130,False,
fresh,540,32,False,
carlson,539,113,False,
tom,539,83,False,
break,538,119,False,
releases,538,66,False,
miller,537,82,False,
water,536,77,False,
flood,535,50,False,
capture,534,57,False,
opens,534,74,False,
come,533,104,False,
year-old,533,74,False,
care,532,107,False,
revenge,532,66,False,
rules,532,93,False,
using,532,105,False,
alarm,531,68,False,
british,531,73,False,
joint,531,35,False,
air force,530,59,True,air|force
reaction,529,87,False,
hard,528,108,False,
aircraft,527,40,False,
cuts,527,74,False,
following,526,63,False,
trending,526,16,False,
chilling,525,52,False,
fall,525,111,False,
tucker carlson,525,111,True,tucker|carlson
wall,525,80,False,
cabinet,524,68,False,
son,524,94,False,
govt,522,26,False,
ufc,522,107,False,
virginia,522,90,False,
karoline leavitt,521,64,True,karoline|leavitt
needs,521,112,False,
testimony,521,75,False,
arabia,518,54,False,
drug,518,72,False,
pope leo,518,57,True,pope|leo
prince,518,78,False,
escalation,517,69,False,
lose,517,124,False,
pretti,517,96,False,
drop,516,97,False,
jury,516,67,False,
test,516,70,False,
chair,515,63,False,
shah,515,18,False,
saudi arabia,514,53,True,saudi|arabia
don lemon,513,114,True,don|lemon
night,513,106,False,
victims,512,75,False,
supreme leader,511,50,True,supreme|leader
entire,510,97,False,
backs,508,73,False,
blows,508,67,False,
kuwait,508,35,False,
moves,508,82,False,
georgia,507,70,False,
international,507,69,False,
elizabeth,506,43,False,
eric,505,91,False,
deep,503,105,False,
residents,503,49,False,
birthright,502,99,False,
britain,502,74,False,
forced,502,105,False,
car,501,82,False,
