creator,lane,n_titles,score_shuffled,score_pass1,change,side_shuffled,side_pass1
@NPR,us_press_print_digital,50,-0.08,-0.06,-0.020000000000000004,left,left
@timesofindia,wire_international,50,-0.1,-0.08,-0.020000000000000004,left,left
@Vox,us_press_print_digital,50,-0.1,-0.08,-0.020000000000000004,left,left
@ClubRandomPodcast,interview_podcast,50,0.02,0.04,-0.02,neither / unclear,neither / unclear
@newyorker,us_press_print_digital,50,-0.04,-0.02,-0.02,neither / unclear,neither / unclear
@ANINewsIndia,wire_international,50,0.0,0.02,-0.02,neither / unclear,neither / unclear
@markets,us_press_print_digital,50,-0.02,0.0,-0.02,neither / unclear,neither / unclear
@SkyNews,wire_international,50,-0.06,-0.04,-0.019999999999999997,left,neither / unclear
@RedactedNews,independent_digital_news,50,0.14,0.16,-0.01999999999999999,right,right
@Styxhexenhammer666,right_commentary,50,0.22,0.24,-0.01999999999999999,right,right
https://rumble.com/c/russellbrand,centrist_heterodox,50,0.2,0.22,-0.01999999999999999,right,right
@PoliticsJOE,independent_digital_news,50,-0.24,-0.22,-0.01999999999999999,left,left
@judgingfreedom,interview_podcast,50,-0.18,-0.16,-0.01999999999999999,left,left
@LiberalHivemind,right_commentary,50,0.28,0.3,-0.019999999999999962,right,right
@TheQuartering,right_commentary,50,0.4,0.42,-0.019999999999999962,right,right
@FoxNewsChannelClips,us_legacy_tv,50,0.34,0.36,-0.019999999999999962,right,right
@chicksonright,right_commentary,50,0.28,0.3,-0.019999999999999962,right,right
@DueDissidence,left_commentary,50,-0.36,-0.34,-0.019999999999999962,left,left
@RufoandLomez,right_commentary,50,0.34,0.36,-0.019999999999999962,right,right
@PrisonPlanetLive,right_commentary,16,0.1875,0.1875,0.0,right,right
@triggerpod,interview_podcast,50,0.16,0.16,0.0,right,right
@thejimmydoreshow,left_commentary,50,-0.02,-0.02,0.0,neither / unclear,neither / unclear
@notsoErudite,streamer_reaction,16,-0.1875,-0.1875,0.0,left,left
@RestPoliticsUS,centrist_heterodox,50,-0.54,-0.54,0.0,left,left
@Reuters,wire_international,50,-0.02,-0.02,0.0,neither / unclear,neither / unclear
@joerogan,interview_podcast,50,0.0,0.0,0.0,neither / unclear,neither / unclear
@SNEAKO,streamer_reaction,5,0.0,0.0,0.0,neither / unclear,neither / unclear
@TheMichaelCohenShow,left_commentary,50,-0.54,-0.54,0.0,left,left
@dineshdsouza,right_commentary,50,0.32,0.32,0.0,right,right
@TheBrianKilmeadeShow,right_commentary,50,0.42,0.42,0.0,right,right
@SavSays,right_commentary,16,0.3125,0.3125,0.0,right,right
@clayandbuck,right_commentary,50,0.6,0.6,0.0,right,right
@axios,us_press_print_digital,50,0.0,0.0,0.0,neither / unclear,neither / unclear
@ZubyMusic,interview_podcast,50,0.38,0.38,0.0,right,right
@Unpacked,explainer_geopolitics,16,0.0625,0.0625,0.0,right,right
@TechCrunch,us_press_print_digital,50,0.0,0.0,0.0,neither / unclear,neither / unclear
@USATODAY,us_press_print_digital,50,-0.04,-0.04,0.0,neither / unclear,neither / unclear
@hutch,streamer_reaction,50,0.02,0.02,0.0,neither / unclear,neither / unclear
@SaltyCracker,streamer_reaction,50,0.66,0.66,0.0,right,right
@60minutes,us_legacy_tv,50,0.0,0.0,0.0,neither / unclear,neither / unclear
@ClipsCandaceOwens,right_commentary,50,0.04,0.04,0.0,neither / unclear,neither / unclear
@NYTPodcasts,us_press_print_digital,50,-0.12,-0.12,0.0,left,left
@OfficialFlagrant,humour_satire,16,0.0625,0.0625,0.0,right,right
@CaspianReport,explainer_geopolitics,16,0.0,0.0,0.0,neither / unclear,neither / unclear
@Channel5YouTube,independent_digital_news,16,-0.125,-0.125,0.0,left,left
@PBDPodcast,interview_podcast,16,0.0625,0.0625,0.0,right,right
@MichaelKnowles,right_commentary,50,0.56,0.56,0.0,right,right
@ColemanHughesOfficial,interview_podcast,50,0.3,0.3,0.0,right,right
@BenShapiro,right_commentary,50,0.38,0.38,0.0,right,right
@MLChristiansen,right_commentary,50,0.7,0.7,0.0,right,right
@NewsmaxTV,right_tv_network,50,0.54,0.54,0.0,right,right
@CBSNews,us_legacy_tv,50,0.0,0.0,0.0,neither / unclear,neither / unclear
@AsmonTV,streamer_reaction,50,0.12,0.12,0.0,right,right
@ABCNews,us_legacy_tv,50,0.0,0.0,0.0,neither / unclear,neither / unclear
@JesseKellyDC,right_commentary,50,0.58,0.58,0.0,right,right
@DylanBurnsLIVE,streamer_reaction,50,-0.12,-0.12,0.0,left,left
@FinancialTimes,wire_international,16,0.0,0.0,0.0,neither / unclear,neither / unclear
@AssociatedPress,wire_international,50,-0.02,-0.02,0.0,neither / unclear,neither / unclear
@Forthepeoplepodcast305,left_commentary,50,-0.32,-0.32,0.0,left,left
@BBCNews,wire_international,50,0.0,0.0,0.0,neither / unclear,neither / unclear
@JillianMichaels,interview_podcast,50,0.42,0.42,0.0,right,right
@RebelHQ,left_commentary,50,-0.8,-0.82,0.019999999999999907,left,left
@ChadPrather1,right_commentary,50,0.48,0.46,0.019999999999999962,right,right
@AnthonyBrianLogan,right_commentary,50,0.42,0.4,0.019999999999999962,right,right
@SabbySabs,left_commentary,50,-0.16,-0.18,0.01999999999999999,left,left
