creator,genre,all_caps,selective_caps,title_case,sentence_case,mixed_other,short_other,n_titles,caps_any,low_n,group,organisation,clipper
@RebelNewsOnline,streams,0.0,0.08021390374331551,0.0481283422459893,0.8716577540106952,0.0,0.0,187,0.08021390374331551,False,right,Rebel News,False
@turningpointusa,streams,0.0,0.07692307692307693,0.9230769230769231,0.0,0.0,0.0,13,0.07692307692307693,True,right,Turning Point USA,False
@MLChristiansen,streams,0.0,0.0684931506849315,0.9315068493150684,0.0,0.0,0.0,73,0.0684931506849315,False,right,Matt Christiansen,False
@rolandsmartin,streams,0.007029876977152899,0.05975395430579965,0.8260105448154658,0.1054481546572935,0.0017574692442882249,0.0,569,0.06678383128295255,False,left,Black Star Network,False
@ModernDayDebate,streams,0.0,0.06542056074766354,0.897196261682243,0.037383177570093455,0.0,0.0,107,0.06542056074766354,False,left,Modern-Day Debate,False
@Styxhexenhammer666,streams,0.0,0.0625,0.875,0.0625,0.0,0.0,16,0.0625,True,right,Styxhexenhammer,False
@TheMajorityReport,streams,0.00546448087431694,0.0546448087431694,0.9344262295081968,0.00546448087431694,0.0,0.0,183,0.060109289617486336,False,left,Majority Report,False
@JamarlThomas,streams,0.0,0.055299539170506916,0.9308755760368663,0.004608294930875576,0.004608294930875576,0.004608294930875576,217,0.055299539170506916,False,left,Jamarl Thomas,False
@markets,streams,0.0,0.05454545454545454,0.9454545454545454,0.0,0.0,0.0,55,0.05454545454545454,False,neutral,Bloomberg,False
@BreakThroughNews,streams,0.0,0.05357142857142857,0.9464285714285714,0.0,0.0,0.0,56,0.05357142857142857,False,left,BreakThrough News,False
@Reuters,streams,0.0,0.03840084166228301,0.11835875854813256,0.8432403997895844,0.0,0.0,1901,0.03840084166228301,False,neutral,Reuters,False
@OwenReport,streams,0.0,0.03592814371257485,0.9640718562874252,0.0,0.0,0.0,167,0.03592814371257485,False,left,Owen Shroyer,False
@ABCNews,streams,0.0018281535648994515,0.031078610603290677,0.4990859232175503,0.4680073126142596,0.0,0.0,547,0.03290676416819013,False,neutral,ABC News,False
@NewsmaxTV,streams,0.0,0.028720626631853787,0.9634464751958225,0.007832898172323759,0.0,0.0,383,0.028720626631853787,False,right,Newsmax,False
@thegrayzone7996,streams,0.0,0.02857142857142857,0.0,0.9714285714285714,0.0,0.0,35,0.02857142857142857,True,left,The Grayzone,False
@DropSiteNews,streams,0.0,0.023809523809523808,0.9761904761904762,0.0,0.0,0.0,42,0.023809523809523808,True,left,Drop Site,False
@CNN,streams,0.0,0.021505376344086023,0.010752688172043012,0.956989247311828,0.0,0.010752688172043012,93,0.021505376344086023,False,left,CNN,False
@AssociatedPress,streams,0.0,0.020036429872495445,0.08287795992714025,0.895264116575592,0.0018214936247723133,0.0,1098,0.020036429872495445,False,neutral,Associated Press,False
@thehill,streams,0.0,0.018367346938775512,0.41836734693877553,0.563265306122449,0.0,0.0,490,0.018367346938775512,False,neutral,The Hill,False
@RubinReport,streams,0.0,0.017857142857142856,0.9821428571428571,0.0,0.0,0.0,112,0.017857142857142856,False,right,Rubin Report,False
@NewsNation,streams,0.0,0.01773049645390071,0.1950354609929078,0.7872340425531915,0.0,0.0,282,0.01773049645390071,False,neutral,NewsNation,False
@jlptalk,streams,0.0,0.016666666666666666,0.9666666666666667,0.016666666666666666,0.0,0.0,180,0.016666666666666666,False,right,Jesse Lee Peterson,False
@PhillipScottPodcast,streams,0.0,0.013605442176870748,0.9863945578231292,0.0,0.0,0.0,147,0.013605442176870748,False,right,Phillip Scott,False
@RSBN,streams,0.0,0.012698412698412698,0.9841269841269841,0.0031746031746031746,0.0,0.0,315,0.012698412698412698,False,right,RSBN,False
@SkyNews,streams,0.0,0.009100642398286937,0.10438972162740899,0.8859743040685225,0.0,0.0005353319057815846,1868,0.009100642398286937,False,left,Sky News,False
@CBSNews,streams,0.0,0.008670520231213872,0.005780346820809248,0.9855491329479769,0.0,0.0,346,0.008670520231213872,False,neutral,CBS News,False
@ThePodcastoftheLotusEaters,streams,0.0,0.00558659217877095,0.7206703910614525,0.2681564245810056,0.00558659217877095,0.0,179,0.00558659217877095,False,right,Lotus Eaters,False
@USATODAY,streams,0.0,0.0025252525252525255,0.050505050505050504,0.946969696969697,0.0,0.0,396,0.0025252525252525255,False,neutral,USA Today,False
@AndrewKlavan,streams,0.0,0.0,1.0,0.0,0.0,0.0,2,0.0,True,right,Daily Wire,False
@BlackConservativePerspective,streams,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,True,right,Black Conservative Perspective,False
@CoreyGilShusterAskProject,streams,0.0,0.0,0.5,0.5,0.0,0.0,2,0.0,True,neutral,Ask Project,False
@DarkHorsePod,streams,0.0,0.0,0.9714285714285714,0.02857142857142857,0.0,0.0,35,0.0,True,right,DarkHorse,False
@DemocracyNow,streams,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,True,left,Democracy Now!,False
@EzraKleinShow,streams,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,True,left,New York Times,False
@Forbes,streams,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,True,neutral,Forbes,False
@KimIversen,streams,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,True,neutral,Kim Iversen,False
@MattWalsh,streams,0.0,0.0,1.0,0.0,0.0,0.0,2,0.0,True,right,Daily Wire,False
@MichaelKnowles,streams,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,True,right,Daily Wire,False
@NPR,streams,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,True,left,NPR,False
@OfficialSaharTV,streams,0.0,0.0,1.0,0.0,0.0,0.0,2,0.0,True,right,Sahar TV,False
@Politicon,streams,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,True,left,Politicon,False
@PragerU,streams,0.0,0.0,1.0,0.0,0.0,0.0,31,0.0,True,right,PragerU,False
@SavSays,streams,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,True,right,Sav Says,False
@Semafor,streams,0.0,0.0,1.0,0.0,0.0,0.0,30,0.0,True,neutral,Semafor,False
@StevenCrowder,streams,0.0,0.0,1.0,0.0,0.0,0.0,8,0.0,True,right,Louder with Crowder,False
@TheAtlantic,streams,0.0,0.0,0.8,0.2,0.0,0.0,5,0.0,True,left,The Atlantic,False
@TheBrianKilmeadeShow,streams,0.0,0.0,1.0,0.0,0.0,0.0,2,0.0,True,right,Fox News,False
@TheRealTabithaSpeaks,streams,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,True,left,Tabitha Speaks,False
@The_Crucible,streams,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,True,right,The Crucible,False
@UnHerd,streams,0.0,0.0,0.375,0.625,0.0,0.0,16,0.0,True,left,UnHerd,False
@axios,streams,0.0,0.0,1.0,0.0,0.0,0.0,7,0.0,True,neutral,Axios,False
@clayandbuck,streams,0.0,0.0,1.0,0.0,0.0,0.0,42,0.0,True,right,Clay & Buck,False
@dineshdsouza,streams,0.0,0.0,1.0,0.0,0.0,0.0,2,0.0,True,right,Dinesh D'Souza,False
@moreperfectunion,streams,0.0,0.0,1.0,0.0,0.0,0.0,4,0.0,True,left,More Perfect Union,False
@nationalreview,streams,0.0,0.0,1.0,0.0,0.0,0.0,2,0.0,True,right,National Review,False
@notsoErudite,streams,0.0,0.0,0.55,0.3,0.05,0.1,20,0.0,True,left,notsoErudite,False
@nypost,streams,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0,0.0,98,0.0,False,right,New York Post,False
@triggerpod,streams,0.0,0.0,1.0,0.0,0.0,0.0,6,0.0,True,right,Triggernometry,False
@wsj,streams,0.0,0.0,1.0,0.0,0.0,0.0,10,0.0,True,neutral,Wall Street Journal,False
@DailyDenims,videos,0.0,1.0,0.0,0.0,0.0,0.0,215,1.0,False,left,Denims,True
