creator,genre,text,zipf_exponent_top200,n_titles,n_tokens,n_types,top_5,top1_share
@briantylercohen,videos,normalised,0.8784,1081,9133,1320,trump on in another day,0.0743
@bulwarkmedia,streams,normalised,0.8598,228,2517,1033,trump breaking live the on,0.0445
@bulwarkmedia,videos,normalised,0.9014,1826,20311,3861,the trump w s bulwark,0.0454
@cafedotcom,videos,normalised,0.7292,54,678,392,preet bharara the trump s,0.059
@chicksonright,streams,normalised,0.6131,179,2497,1195,candace trump s iran tucker,0.0296
@chicksonright,videos,normalised,0.8063,475,4623,1565,candace s the owens and,0.0294
@chinainsights-r2w,videos,normalised,0.8,278,3405,1428,the china s insights a,0.0376
@chriscuomo,videos,normalised,0.7863,208,1814,674,the trump s is why,0.0557
@clayandbuck,videos,normalised,0.7102,581,6574,2427,the and on in to,0.0382
@deanwithrs,streams,normalised,0.8086,266,2135,789,trump is this in the,0.0899
@deanwithrs,videos,normalised,0.778,265,2534,734,maga man to trump this,0.09
@destiny,videos,normalised,0.7001,267,1616,763,the destiny debate is to,0.0353
@destinyhqclips,videos,normalised,0.7105,197,1348,571,destiny the debate hasan to,0.066
@dineshdsouza,videos,normalised,0.7156,92,624,363,the of dinesh podcast is,0.0769
@dollemore,videos,normalised,0.7942,1439,15435,3597,trump to in on of,0.0551
@fastpoliticspodcast,videos,normalised,0.9189,145,1409,552,w trump trump's the rick,0.0767
@fightbackpodcast,videos,normalised,0.8241,627,5576,1769,the and jake shields is,0.05
@franifio,streams,normalised,0.6957,62,673,435,w and the with feat,0.0386
@franifio,videos,normalised,0.7469,282,2046,1021,the is s to on,0.0401
@glennbeck,streams,normalised,0.8123,125,1142,620,the glenn is trump iran,0.0543
@glennbeck,videos,normalised,0.8346,460,4963,1602,the this is to trump,0.0568
@harryjsisson,videos,normalised,0.8679,681,4741,772,trump just as this on,0.0937
@hutch,streams,normalised,0.5339,50,331,203,hasan destiny lib vs to,0.0423
@hutch,videos,normalised,0.6952,162,1120,549,the this to hasan is,0.0393
@jimacosta,streams,normalised,0.7924,160,1959,856,live the and trump breaking,0.0383
@jimacosta,videos,normalised,0.7412,313,3809,1471,the trump and on to,0.0378
@jlptalk,streams,normalised,0.9007,187,2169,856,jlp 26 you mon thu,0.0862
@jlptalk,videos,normalised,0.8269,304,4034,1517,jlp reacts to the of,0.0612
@joerogan,videos,normalised,0.4447,141,384,285,jre mma show with michael,0.0365
@judgingfreedom,streams,normalised,0.9667,697,6050,1304,the trump iran prof is,0.0327
@judgingfreedom,videos,normalised,0.7751,355,3344,948,the iran is why of,0.0733
@katiephangnews,videos,normalised,0.8285,403,3746,916,trump as after epstein in,0.0718
@laurenchenclips,videos,normalised,0.6633,109,953,575,the s is why a,0.0441
@lizwheeler,streams,normalised,0.649,70,557,315,the to in s about,0.0575
@lizwheeler,videos,normalised,0.6976,86,663,383,the s about to trump,0.0362
@lonerboxlive,videos,normalised,0.7568,88,841,496,the lonerbox on hasan s,0.038
@lovettorleaveitpodcast,videos,normalised,0.8051,114,1320,732,trump lovett the jon s,0.0295
@marclamonthillnetwork,streams,normalised,0.7375,151,1800,975,the black ascending of in,0.0256
@marclamonthillnetwork,videos,normalised,0.9173,321,4215,1562,marc lamont hill the joe,0.0434
@markets,streams,normalised,0.67,56,503,287,live iran in us trump,0.0398
@markets,videos,normalised,0.8222,2500,24450,4891,the iran to us on,0.0226
@marklevinshow,videos,normalised,0.8395,505,4285,1347,the mark levin of and,0.0812
@morebridgetphetasy,videos,normalised,0.7596,206,1961,971,the to is a you,0.0566
@moreperfectunion,videos,normalised,0.8188,71,760,354,the we to you a,0.0579
@msnow,streams,normalised,0.8854,325,3758,1082,live trump in on of,0.0617
@msnow,videos,normalised,0.856,2500,31034,6787,trump to the of on,0.0306
@nationalreview,videos,normalised,0.8016,191,1880,873,the why is s does,0.0537
@newdiscourses,videos,normalised,0.7846,98,709,329,the of and vol woke,0.1185
@newyorker,videos,normalised,0.686,51,535,298,the new yorker a interview,0.0879
@nousnetwork,videos,normalised,0.8046,156,1658,725,the nous clips i of,0.035
@nypost,streams,normalised,0.8103,110,1044,458,live trump watch in at,0.0651
@nypost,videos,normalised,0.7618,2500,28693,6601,in to of trump after,0.0253
@nytimes,videos,normalised,0.742,71,755,446,the of in a how,0.053
@oann,streams,normalised,0.9209,309,2624,802,live trump president at in,0.0949
@oann,videos,normalised,0.7281,1803,19673,4604,the trump s to in,0.0221
@podsaveamerica,videos,normalised,0.8283,667,6068,1671,trump the in s on,0.0648
@ponderingpolitics,videos,normalised,0.8661,1467,11047,1324,trump on as fox breaking,0.0993
@rolandsmartin,streams,normalised,0.6576,584,7083,2364,black the trump in of,0.0328
@rolandsmartin,videos,normalised,0.7612,742,9639,2960,black trump the s to,0.0303
@samharrisorg,videos,normalised,0.8283,116,1037,500,the a with and of,0.0694
@thedavidpakmanshow,videos,normalised,0.816,1641,12218,2121,trump to is the s,0.085
@thegrayzone7996,videos,normalised,0.7056,155,1435,815,us the iran of israel,0.0272
@thehill,streams,normalised,0.7945,505,4629,1271,trump on house in remarks,0.04
@thehill,videos,normalised,0.8129,2500,31342,6212,trump to in the of,0.025
@theisabelbrown,videos,normalised,0.7794,141,1306,663,the is to s a,0.0444
@thejimmydoreshow,streams,normalised,0.6898,115,1561,800,w trump to iran in,0.0442
@thejimmydoreshow,videos,normalised,0.7993,1146,12163,3005,s w the to trump,0.0327
@therationalnational,videos,normalised,0.644,142,1448,820,trump to in the s,0.0235
@thewarningwithsteveschmidt,streams,normalised,1.0528,110,1140,404,schmidt steve with and dean,0.0711
@thewarningwithsteveschmidt,videos,normalised,0.9307,289,2026,677,trump is the donald will,0.079
@thomhartmann,videos,normalised,0.8688,784,7094,2145,trump the is to s,0.0416
@timesofindia,streams,normalised,0.8228,2295,34144,5658,live trump in us s,0.0327
@timesofindia,videos,normalised,0.8117,2500,38101,6501,s iran trump in to,0.0257
@triggerpod,videos,normalised,0.6327,151,1163,568,the questions members and with,0.0516
@turningpointusa,videos,normalised,0.8638,183,1863,595,the kirk charlie at on,0.0381
@underthedesknews,streams,normalised,0.8811,115,1019,510,the hot to a gossip,0.0412
@underthedesknews,videos,normalised,0.7002,79,817,506,the a to with on,0.0392
@usefulidiots,videos,normalised,0.7037,186,1779,746,iran israel s to the,0.0332
@wethefifth,videos,normalised,0.7704,112,1210,627,the fifth column on and,0.086
@winston_marshall,videos,normalised,0.7032,109,1074,531,the of s and on,0.0875
@wsj,videos,normalised,0.8818,119,1342,643,the s why wsj is,0.0507
@zeteo,videos,normalised,0.8417,206,2180,953,the s trump on is,0.0408
https://rumble.com/c/BannonsWarRoom,videos,normalised,0.8433,2500,48580,7481,the to and of in,0.0541
https://rumble.com/c/GGreenwald,videos,normalised,0.7586,76,905,484,the to is and for,0.0409
https://rumble.com/c/TheAlexJonesShowLive,videos,normalised,0.8814,513,5222,1743,the jones alex show full,0.0471
https://rumble.com/c/nickjfuentes,videos,normalised,0.7966,305,2279,948,iran war the trump to,0.0426
https://rumble.com/c/russellbrand,videos,normalised,0.777,259,1679,700,the this is to what,0.0643
