creator,genre,text,zipf_exponent_top200,n_titles,n_tokens,n_types,top_5,top1_share
https://rumble.com/c/GGreenwald,videos,raw,0.7586,76,918,497,the to is and for,0.0403
https://rumble.com/c/TheAlexJonesShowLive,videos,raw,0.8896,513,5540,1766,the jones alex show full,0.0444
https://rumble.com/c/nickjfuentes,videos,raw,0.8982,305,2787,1076,america first ep iran war,0.0492
https://rumble.com/c/russellbrand,videos,raw,0.777,259,1758,779,the this is to what,0.0614
@60minutes,videos,normalised,0.8572,325,2997,1209,minutes 60 the on of,0.0541
@ABCNews,streams,normalised,1.0326,590,5013,927,live news abc trump president,0.1546
@ABCNews,videos,normalised,0.8474,2500,23494,5326,to in of the on,0.0245
@ANINewsIndia,streams,normalised,0.842,2500,36049,5617,live in i on watch,0.0435
@ANINewsIndia,videos,normalised,0.8082,2500,36031,7558,s in to of on,0.0258
@ActualJusticeWarrior,videos,normalised,0.6394,392,2698,1138,for to black mamdani after,0.0185
@AfterPartyEmily,streams,normalised,0.7107,74,1142,672,s and plus the w,0.0517
@AfterPartyEmily,videos,normalised,0.8314,410,5582,2002,the with and s about,0.0462
@AlexStein99,videos,normalised,0.7272,87,631,354,the alex stein and a,0.0365
@AndWeKnowOfficial-o9b,videos,normalised,0.6637,185,2515,1111,pray the to in is,0.06
@AndrewKlavan,videos,normalised,0.7681,196,1679,803,the to w is of,0.0679
@AnthonyBrianLogan,streams,normalised,0.6627,52,637,367,and more iran shooting trump,0.0769
@AnthonyBrianLogan,videos,normalised,0.6839,248,2356,1220,in the to after of,0.0153
@AsmonTV,videos,normalised,0.8591,875,4984,1099,this is the f i,0.061
@AssociatedPress,streams,normalised,0.8734,1151,11884,2352,live in of on the,0.0947
@AssociatedPress,videos,normalised,0.8418,2500,28979,6357,in to the of and,0.036
@BBCNews,videos,normalised,0.9126,2440,26510,4870,the in to iran of,0.031
@BadEmpanadaLive,videos,normalised,0.7009,298,2047,991,the is to in a,0.0288
@BadFaithPodcast,videos,normalised,0.7061,81,985,600,w the is on left,0.0741
@BelleRanch,videos,normalised,1.0436,822,9012,1815,about talk let's trump and,0.0948
@BenShapiro,videos,normalised,0.8059,525,3984,1561,the to is a ben,0.0622
@BlackConservativePerspective,videos,normalised,0.8008,1271,18814,3034,after to as trump over,0.0287
@BlazeTV,videos,normalised,0.7671,868,10640,2799,the is in to a,0.0402
@BreakThroughNews,streams,normalised,0.8024,57,616,285,live iran trump the war,0.0568
@BreakThroughNews,videos,normalised,0.8236,242,2663,1128,the w s to iran,0.0402
@BrittanyVenti,videos,normalised,0.5415,55,389,251,to the thequartering for a,0.0257
@CBSNews,streams,normalised,0.8842,368,4593,1209,full video on in house,0.069
@CBSNews,videos,normalised,0.8097,2500,29076,5604,to in of on the,0.0231
