term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,weight
major,update,35.00000,7.34826,4.76303,10.74798,0.00000,12.00000,2.25188
kirk,tyler robinson,72.00000,28.23778,2.54978,10.74592,0.00000,25.00000,1.35037
murder,anthony,38.00000,9.88991,3.84230,10.73306,0.00000,13.00000,1.94197
guthrie,mother,24.00000,4.55072,5.27389,10.72292,0.00000,10.00000,2.39887
dem,socialist,26.00000,4.49952,5.77839,10.70936,0.00000,8.00000,2.53067
judge,robinson,32.00000,7.42551,4.30947,10.70707,0.00000,14.00000,2.10751
fauci,anthony,27.00000,5.48686,4.92085,10.70400,0.00000,12.00000,2.29891
shooting,school,21.00000,3.05663,6.87031,10.69690,0.00000,10.00000,2.78037
trump,meets,68.00000,23.95079,2.83915,10.68316,0.00000,13.00000,1.50546
fraud,exposing,24.00000,3.97106,6.04373,10.67967,0.00000,16.00000,2.59544
military,iranian,56.00000,15.74023,3.55776,10.66684,0.00000,5.00000,1.83097
real,story,37.00000,8.33724,4.43792,10.66013,0.00000,24.00000,2.14988
protest,church,28.00000,5.75608,4.86442,10.65843,0.00000,14.00000,2.28227
judge,tyler,28.00000,6.01099,4.65813,10.65175,0.00000,13.00000,2.21975
iran,threatens,71.00000,25.14034,2.82415,10.64233,0.00000,16.00000,1.49782
state,great,28.00000,5.20912,5.37519,10.61578,0.00000,10.00000,2.42632
case,tyler,36.00000,9.06789,3.97005,10.60285,0.00000,13.00000,1.98916
iranian,people,46.00000,11.54450,3.98458,10.57774,0.00000,16.00000,1.99443
black,americans,57.00000,23.58354,2.41694,10.57176,0.00000,12.00000,1.27318
case,lindsay,50.00000,15.39516,3.24777,10.56764,0.00000,24.00000,1.69945
wife,gavin newsom,22.00000,4.03701,5.44958,10.56754,0.00000,16.00000,2.44615
white,karoline leavitt,28.00000,5.27447,5.30859,10.56085,0.00000,7.00000,2.40833
deal,trade,23.00000,3.72785,6.16978,10.53382,0.00000,10.00000,2.62522
know,want,31.00000,6.22638,4.97882,10.52673,0.00000,22.00000,2.31580
fraud,ag,26.00000,4.48701,5.79450,10.52052,0.00000,9.00000,2.53469
white,karoline,28.00000,5.30363,5.27940,10.51718,0.00000,7.00000,2.40037
senate,republicans,32.00000,6.42391,4.98139,10.51360,0.00000,13.00000,2.31655
white house,leavitt,31.00000,6.28443,4.93282,10.48842,0.00000,7.00000,2.30241
iran,leader,94.00000,38.13403,2.46499,10.48315,0.00000,22.00000,1.30158
day,trial,52.00000,21.26064,2.44583,10.45238,0.00000,12.00000,1.29033
minnesota,governor,25.00000,4.30287,5.81008,10.44907,0.00000,11.00000,2.53856
clancy,murder trial,22.00000,3.68829,5.96482,10.44623,0.00000,6.00000,2.57648
trump,ballroom,53.00000,17.26539,3.06973,10.44053,0.00000,16.00000,1.61811
america,celebration,30.00000,6.29520,4.76553,10.38981,0.00000,13.00000,2.25264
senate,gop,45.00000,11.40302,3.94632,10.37936,0.00000,10.00000,1.98051
minnesota,tim,54.00000,16.38943,3.29481,10.37790,0.00000,22.00000,1.72019
strikes,ceasefire,25.00000,4.29977,5.81427,10.37177,0.00000,5.00000,2.53960
press,sec,22.00000,3.53532,6.22292,10.36724,0.00000,5.00000,2.63759
candace,andrew wilson,33.00000,9.09709,3.62753,10.36030,0.00000,17.00000,1.85899
trump,davos,79.00000,32.48911,2.43158,10.35247,0.00000,25.00000,1.28190
dem,primary,21.00000,3.21959,6.52258,10.32763,0.00000,9.00000,2.70544
trump,assassination attempt,47.00000,14.41825,3.25976,10.30216,0.00000,27.00000,1.70476
wife,gavin,22.00000,4.15784,5.29121,10.30149,0.00000,16.00000,2.40360
hearing,bondi,20.00000,3.11220,6.42632,10.27821,0.00000,13.00000,2.68399
