creator,genre,n_unique,political_share,weak_share,group,organisation,clipper
@thejimmydoreshow,videos,1077,0.9767873723305478,0.03806870937790158,neutral,Jimmy Dore,False
@therationalnational,streams,7,0.8571428571428571,0.14285714285714285,left,Rational National,False
@therationalnational,videos,135,0.9851851851851852,0.1037037037037037,left,Rational National,False
@thewarningwithsteveschmidt,streams,110,0.990909090909091,0.02727272727272727,left,Steve Schmidt,False
@thewarningwithsteveschmidt,videos,273,0.9963369963369964,0.04395604395604396,left,Steve Schmidt,False
@thomhartmann,videos,760,0.9881578947368421,0.06578947368421052,left,Thom Hartmann,False
@timesofindia,streams,2094,0.9684813753581661,0.012416427889207259,left,Times Group,False
@timesofindia,videos,9372,0.9805804524114383,0.015685019206145966,left,Times Group,False
@triggerpod,streams,6,1.0,0.0,right,Triggernometry,False
@triggerpod,videos,143,0.916083916083916,0.34965034965034963,right,Triggernometry,False
@turningpointusa,streams,13,0.8461538461538461,0.3076923076923077,right,Turning Point USA,False
@turningpointusa,videos,152,0.9342105263157895,0.07894736842105263,right,Turning Point USA,False
@underthedesknews,streams,115,0.8695652173913043,0.1565217391304348,left,Under the Desk News,False
@underthedesknews,videos,74,0.9594594594594594,0.16216216216216217,left,Under the Desk News,False
@usefulidiots,streams,11,0.8181818181818182,0.0,left,Useful Idiots,False
@usefulidiots,videos,179,0.994413407821229,0.0223463687150838,left,Useful Idiots,False
@wethefifth,streams,2,0.5,0.0,neutral,The Fifth Column,False
@wethefifth,videos,107,0.9906542056074766,0.14018691588785046,neutral,The Fifth Column,False
@winston_marshall,videos,104,0.9903846153846154,0.07692307692307693,right,Winston Marshall,False
@wsj,streams,10,0.8,0.0,neutral,Wall Street Journal,False
@wsj,videos,104,0.7884615384615384,0.2403846153846154,neutral,Wall Street Journal,False
@zeteo,streams,24,1.0,0.0,left,Zeteo,False
@zeteo,videos,198,0.98989898989899,0.020202020202020204,left,Zeteo,False
https://rumble.com/c/BannonsWarRoom,videos,4506,0.9695960940967598,0.09254327563249001,right,War Room,False
https://rumble.com/c/GGreenwald,videos,76,1.0,0.0,left,Glenn Greenwald,False
https://rumble.com/c/TheAlexJonesShowLive,videos,513,0.9707602339181286,0.0935672514619883,right,InfoWars,False
https://rumble.com/c/nickjfuentes,videos,305,0.9868852459016394,0.11147540983606558,right,Nick Fuentes,False
https://rumble.com/c/russellbrand,videos,259,0.9382239382239382,0.28185328185328185,right,Russell Brand,False
