creator,group,twin_across_divide,twin_distance,twin_rank_among_all_neighbours,nearest_same_group,nearest_same_group_distance,twin_closer_than_any_same_group
@TheHumanistReport,left,@ChadPrather1,1.6030695373257398,1,@therationalnational,2.1761536787288898,True
@ChadPrather1,right,@TheHumanistReport,1.6030695373257398,2,@JillianMichaels,1.4364382130022886,False
@TheMichaelCohenShow,left,@chicksonright,1.613914591378567,1,@adammockler,1.7144695236720984,True
@TheJoyReidShow,left,@XAVIAER,1.6142211999352698,5,@underthedesknews,1.3541782927056023,False
@XAVIAER,right,@TheJoyReidShow,1.6142211999352698,3,@MichaelKnowles,1.4411286571421127,False
@DemocracyDocket,left,@clayandbuck,1.6149000149771968,1,@TheJoyReidShow,1.6929710883560547,True
@podsaveamerica,left,@MyronGainesX,1.6234375679462976,4,@Forthepeoplepodcast305,1.2787990076194176,False
@RubinReport,right,@PTLRadioShow,1.6244244265807026,2,@OfficialSaharTV,1.5595309247746891,False
@therationalnational,left,@winston_marshall,1.6258162108445389,2,@Forthepeoplepodcast305,1.5928170039398397,False
@TomiLahrenIsFearless,right,@DropSiteNews,1.634452241618773,2,@HangOutwithSeanHannity,1.2038351356303365,False
@RufoandLomez,right,@Politicon,1.6349790041445675,1,@XAVIAER,1.9094016052965563,True
@Politicon,left,@RufoandLomez,1.6349790041445675,2,@samharrisorg,1.5336155683405668,False
@rolandsmartin,left,@MLChristiansen,1.6430651702262937,1,@PTLRadioShow,2.344297952883554,True
@MLChristiansen,right,@rolandsmartin,1.6430651702262937,3,@nypost,1.1601870254517488,False
@TheAtlantic,left,@AndrewKlavan,1.6494423555687108,3,@LeejaMiller,1.3971358169532833,False
@bbrettcooper,right,@thomhartmann,1.6528952579382714,3,@StevenCrowder,1.4520346200440406,False
@samharrisorg,left,@AndrewKlavan,1.6578586082889288,3,@Politicon,1.5336155683405668,False
@PartOfTheProblem,right,@DylanBurnsLIVE,1.6668808263343804,2,@ThePodcastoftheLotusEaters,1.8421373535540966,True
@DylanBurnsLIVE,left,@PartOfTheProblem,1.6668808263343804,2,@LegalEagle,1.5344297155860223,False
https://rumble.com/c/GGreenwald,left,@clayandbuck,1.667603770129784,1,@DemocracyDocket,1.8972307280617366,True
@LegalEagle,left,@JesseKellyDC,1.6865027227793667,4,@DylanBurnsLIVE,1.5344297155860223,False
@TheBrianKilmeadeShow,right,@zeteo,1.6928357407803853,1,@winston_marshall,2.220365866506703,True
@zeteo,left,@TheBrianKilmeadeShow,1.6928357407803853,1,@BreakThroughNews,1.9242206084843667,True
@PoliticsJOE,left,@XAVIAER,1.7124277043051674,1,@PTLRadioShow,1.9868971516839042,True
@glennbeck,right,@thomhartmann,1.745759319023099,5,@MattWalsh,1.2827892477134584,False
@RealDanBongino,right,@franifio,1.7486447421183497,9,@BenShapiro,1.265602634729177,False
@lizwheeler,right,@NYTPodcasts,1.7610860360938607,2,@marklevinshow,1.7031156400675402,False
@NYTPodcasts,left,@lizwheeler,1.7610860360938607,2,@TheJoyReidShow,1.741415764857194,False
@TheLincolnProject,left,@XAVIAER,1.764374718185175,7,@destiny,1.2446001904552835,False
@EzraKleinShow,left,@theisabelbrown,1.7645430586130133,2,@TheAtlantic,1.4437854342727672,False
@deanwithrs,left,@TheQuartering,1.7720025038825988,1,@LegalAFMTN,1.99037762025607,True
@TheQuartering,right,@deanwithrs,1.7720025038825988,1,@TimcastNews,1.9583691603389557,True
@UnHerd,left,@bbrettcooper,1.779829192599105,1,@franifio,2.544641234570861,True
@DarkHorsePod,right,@TheJoyReidShow,1.787772609198821,1,@MichaelKnowles,1.9539052396327088,True
@TheAdamCarollaShow1,right,@lovettorleaveitpodcast,1.7886818563402922,3,@fightbackpodcast,1.7088262129570693,False
@lovettorleaveitpodcast,left,@TheAdamCarollaShow1,1.7886818563402922,1,@PTLRadioShow,2.3906417204645485,True
@MegynKelly,right,@cafedotcom,1.7943179362860595,1,@VivaFrei,1.9576213129031041,True
@cafedotcom,left,@MegynKelly,1.7943179362860595,1,https://rumble.com/c/GGreenwald,2.403972646874961,True
@MeidasTouch,left,@TheOfficerTatum,1.8073708144842422,1,@LegalAFMTN,1.8480963566336255,True
@DueDissidence,left,https://rumble.com/c/nickjfuentes,1.8078022638553175,3,@breakingpoints,1.353861907173602,False
@oann,right,@DropSiteNews,1.8082516348818067,7,@nypost,1.0709850242777073,False
@TheDailyBeast,left,@nationalreview,1.8295438296176436,1,@nytimes,2.267993645238893,True
