genre,creator,group,x,y,topic_cluster
videos,@SecretScholars,right,0.0831,0.6997,0
videos,@SecularTalk,left,0.3418,-0.0862,0
videos,@Semafor,neutral,-0.6209,-0.3268,0
videos,@SkyNews,left,-0.0449,-0.4215,0
videos,@StatusCoup,left,0.4888,-0.2694,0
videos,@StevenCrowder,right,-0.0066,0.4935,0
videos,@Styxhexenhammer666,right,-0.1338,0.018,0
videos,@SydneyWatson,right,-0.4701,0.5697,0
videos,@TechCrunch,neutral,-0.7922,0.0249,0
videos,@TheAdamCarollaShow1,right,0.0316,0.5219,0
videos,@TheAmalaEkpunobi,right,-0.0277,0.6346,0
videos,@TheAtlantic,left,-0.3022,-0.0713,0
videos,@TheBrianKilmeadeShow,right,-0.1271,-0.3321,0
videos,@TheDailyBeast,left,0.3705,-0.6604,0
videos,@TheDamageReport,left,0.5099,-0.0854,0
videos,@TheDonLemonShow,left,0.4438,0.1204,0
videos,@TheEconomist,left,-0.328,-0.4178,0
videos,@TheHumanistReport,left,0.4231,0.1388,0
videos,@TheJoyReidShow,left,-0.078,0.3001,0
videos,@TheLincolnProject,left,-0.3375,0.0508,0
videos,@TheMajorityReport,left,0.1968,0.0605,0
videos,@TheMichaelCohenShow,left,0.4306,-0.2233,0
videos,@TheOfficerTatum,right,0.3225,0.4072,0
videos,@ThePodcastoftheLotusEaters,right,-0.2579,0.2334,0
videos,@TheQuartering,right,0.1926,0.4902,0
videos,@TheRealTabithaSpeaks,left,0.2449,0.2893,0
videos,@TheSerfTimes,left,-0.1237,0.5441,0
videos,@TheVaushPit,left,-0.0888,0.1927,0
videos,@TheYoungTurks,left,0.2099,-0.2063,0
videos,@The_Crucible,right,-0.3476,0.5277,0
videos,@TimDillonShow,neutral,-0.6282,-0.0629,0
videos,@Tim_Black,right,0.3172,0.5616,0
videos,@Timcast,right,0.1557,0.3795,0
videos,@TimcastIRL,right,0.1033,0.2638,0
videos,@TimcastNews,right,0.1914,0.3438,0
videos,@TimesNowWorld,neutral,-0.0118,-0.6757,0
videos,@TomiLahrenIsFearless,right,-0.2038,0.4839,0
videos,@TuckerCarlson,neutral,-0.0938,-0.465,0
videos,@USATODAY,neutral,0.255,-0.2299,0
videos,@UnHerd,left,-0.3702,-0.4191,0
videos,@Vaush,left,0.0184,-0.0276,0
videos,@VivaFrei,right,0.4069,0.2724,0
videos,@Vox,left,-0.3834,0.173,0
videos,@X22Report-y5y,right,0.5142,-0.5213,0
videos,@XAVIAER,right,0.1353,0.5883,0
videos,@Xanderhal,left,0.0135,0.4145,0
videos,@ZeihanonGeopolitics,neutral,-0.2116,-0.6391,0
videos,@ZubyMusic,right,-0.4805,0.3702,0
videos,@aaronparnas1,left,0.551,-0.2776,0
videos,@adammockler,left,0.6669,-0.011,0
videos,@ajplus,left,-0.4676,-0.574,0
videos,@aljazeeraenglish,left,-0.0125,-0.5594,0
videos,@axios,neutral,-0.5518,-0.3956,0
videos,@bbrettcooper,right,-0.2248,0.5188,0
videos,@bennyjohnson,right,0.2441,0.0855,0
videos,@breakingpoints,left,0.0956,-0.3103,0
videos,@briantylercohen,left,0.6247,-0.1444,0
videos,@bulwarkmedia,left,0.3658,-0.0748,0
videos,@cafedotcom,left,0.6163,0.0935,0
