creator,genre,n_unique_titles,kind,pattern,count,share,example
@ZeihanonGeopolitics,videos,217,suffix,peter zeihan,214,0.9862,Peter Zeihan
@deanwithrs,streams,266,suffix,debating maga,258,0.9699,Debating MAGA.
@doomscrollpodcast,videos,17,suffix,doomscroll,17,1.0,Doomscroll
@franifio,streams,62,bracket,ep #,18,0.2903,Ep 345
@glennbeck,streams,125,suffix,hour #,122,0.976,Hour 1
@joerogan,videos,141,prefix,joe rogan experience,127,0.9007,Joe Rogan Experience
@katmabu,videos,34,suffix,kat abughazaleh for illinois,27,0.7941,Kat Abughazaleh For Illinois
@marclamonthillnetwork,streams,151,colon,night school,68,0.4503,NIGHT SCHOOL
@markets,streams,56,suffix,bloomberg this weekend,25,0.4464,Bloomberg This Weekend
@newyorker,videos,51,suffix,the new yorker,17,0.3333,The New Yorker
@newyorker,videos,51,suffix,the new yorker radio hour,14,0.2745,The New Yorker Radio Hour
@samharrisorg,videos,116,bracket,ep. #,41,0.3534,Ep. 492
@theGuardian,videos,39,suffix,on the ground,12,0.3077,On the Ground
@thegrayzone7996,streams,36,suffix,the grayzone live,17,0.4722,The Grayzone live
@thehill,streams,505,colon,happening now,103,0.204,Happening Now
@thehill,videos,4249,suffix,rising,1669,0.3928,RISING
@thewarningwithsteveschmidt,streams,110,colon,dead air,34,0.3091,Dead Air
@thewarningwithsteveschmidt,videos,289,colon,steve schmidt,137,0.474,Steve Schmidt
@thewarningwithsteveschmidt,videos,289,suffix,steve schmidt,115,0.3979,Steve Schmidt
@wethefifth,videos,112,suffix,the fifth column,65,0.5804,The Fifth Column
@wsj,streams,11,suffix,wsj,11,1.0,WSJ
@wsj,videos,119,suffix,wsj,90,0.7563,WSJ
https://rumble.com/c/nickjfuentes,videos,305,suffix,america first,127,0.4164,America First
https://rumble.com/c/russellbrand,videos,259,suffix,sf#,79,0.305,SF756
