component,eigenvalue,parallel_95th
1,8.373495729419993,1.4287953725114086
2,6.061911723588953,1.3839269616338676
3,5.179842793234249,1.362935389123554
4,4.3817093199014145,1.340127764042834
5,3.5387801395791976,1.326150883613035
6,3.0966587625014927,1.3117095976678235
7,2.739019587170243,1.2983384569196332
8,2.070681887060222,1.2827784747553512
9,1.868942553344554,1.2673547641134997
10,1.7613270729568096,1.2574629410854872
11,1.662249073769883,1.2450072431984254
12,1.4510447768089185,1.2328508908982998
13,1.441354000424818,1.222665208769109
14,1.3154291173674768,1.2091311406109866
15,1.2821847757023224,1.201465445037535
16,1.2332694296541122,1.1885000770706378
17,1.1741157861008202,1.1778717714685927
18,1.132009054190006,1.1693640053778391
19,1.09544547655013,1.161010178363565
20,1.0724873374113286,1.1480678221870975
21,1.0164229380565952,1.1406673540852301
22,0.9599619283808182,1.1299098810025017
23,0.9369797057102913,1.1210107640610405
24,0.9186598415886013,1.1127624825059326
25,0.9001048942442241,1.1031578696857591
26,0.8703313733743567,1.0927382336578693
27,0.862908288847402,1.08568223747135
28,0.8115555258333573,1.0768556170440933
29,0.7938838310081792,1.0675344051242575
30,0.7569413676959975,1.0604705960093856
31,0.7275923699491678,1.0507094977133646
32,0.6994385870494068,1.042472591780321
33,0.6858538337829527,1.034322366113876
34,0.6755391004732372,1.026941541271128
35,0.6392159790374605,1.0160751174084608
36,0.6243200932037818,1.0096839286123853
37,0.5914350031200182,1.001332429403463
38,0.5788042225866625,0.992042082739083
39,0.5171038261479237,0.9844216113074783
40,0.49867470225741084,0.9771744604733973
41,0.4935352885512433,0.9693501778551249
42,0.4586419020661862,0.9593073205208895
43,0.42398525491562283,0.9525954476721961
44,0.3985127530977119,0.9450911295807658
45,0.3830790495975581,0.9361615750019615
46,0.35097209303005106,0.9289669931405338
47,0.3326595405640662,0.919846363805728
48,0.3179811380185651,0.9135294377169385
49,0.30235459955726923,0.9047527097685735
50,0.2871935192086761,0.8973486161370919
51,0.2781407924336172,0.8888493783410178
52,0.25775283118862935,0.8805372160259979
53,0.2402176961288952,0.8743141124121889
54,0.23810517577550339,0.8673870318701883
55,0.228387757032583,0.8588086596064128
56,0.2102628794817727,0.8507771546640062
57,0.19383666546223816,0.8423298309141201
58,0.18043903074693984,0.8333213161666554
59,0.1745170554409553,0.8265120149539942
60,0.16771202401220586,0.8193009150819125
61,0.15020120498540948,0.8111517590312081
62,0.13222945238352588,0.7999170935597326
63,0.12045674350482534,0.7925904372026572
64,0.10841894537042768,0.7846390874801685
65,0.10497444789930017,0.7777039784342911
66,0.09389577689755142,0.7689913634060218
67,0.08756653870434376,0.7600302893275411
68,0.08196841363807128,0.7494825521296808
69,0.07218921289489462,0.740322564277367
70,0.03913805379298871,0.7314126856021719
71,0.03432864934055255,0.7198357499809593
72,0.02166780354304732,0.7085350567616008
73,0.019670061961127118,0.6941157791796141
74,0.017321839688858143,0.6799299963125255
