creator,genre,caps_share,exclamations,power_words,emoji,vader_intensity,n_titles,caps_share_01,exclamations_01,power_words_01,emoji_01,vader_intensity_01,arousal_index,low_n,group,organisation,clipper,rank_in_genre,percentile_in_genre
https://rumble.com/c/TheAlexJonesShowLive,videos,0.37889575928791613,0.5653021442495126,0.5029239766081871,0.290448343079922,0.18832943469785576,513,0.5964491453030915,0.5360003384850132,0.48506244720773933,1.0,0.25595751642543785,0.5746938894842564,False,right,InfoWars,False,11.0,95.81589958158996
@aaronparnas1,videos,0.30020794542988033,0.19658119658119658,0.9413919413919414,0.06227106227106227,0.30533333333333335,819,0.46986831686569663,0.18639162964293163,0.9963190992432824,0.41536402601988476,0.7915146562630317,0.5718915456069654,False,left,Aaron Parnas,False,12.0,95.39748953974896
@NickCruseRBN,videos,0.1432801675448734,0.4782608695652174,0.8260869565217391,0.043478260869565216,0.3582173913043479,23,0.21742709178145056,0.45347075113507185,0.8618726966267947,0.29001119975301415,1.0,0.5645563478592662,True,left,Revolutionary Blackout Network,False,,
@DrSteveTurleyTV,videos,0.29199556100008583,2.7149321266968327,0.6425339366515838,0.0,0.2776221719457014,442,0.4566574983970934,1.0,0.6478486174535056,0.0,0.6646734953494575,0.5538359222400113,False,right,Steve Turley,False,13.0,94.97907949790795
@AndWeKnowOfficial-o9b,videos,0.3831555743784846,0.7891891891891892,0.3891891891891892,0.0,0.4098432432432432,185,0.6033016793451108,0.7482824483103545,0.3524469055809101,0.0,1.0,0.540806206647275,False,right,And We Know,False,14.0,94.56066945606695
@MikeFromPA,videos,0.3880468583956956,1.0930232558139534,0.3333333333333333,0.031007751937984496,0.2624496124031008,129,0.6111700232812911,1.0,0.28731859483755057,0.2068296928471109,0.5952247616968602,0.5401086145325625,False,left,Mike from PA,False,15.0,94.14225941422593
@TheMichaelCohenShow,videos,0.23661890765231058,0.18162839248434237,0.6910229645093946,0.11899791231732777,0.2684133611691023,479,0.3675760725298276,0.17221388745896352,0.7043871562616232,0.7937467283428008,0.6225223839904588,0.5320892457167348,False,left,MeidasTouch Network,False,16.0,93.72384937238493
@harryjsisson,videos,0.3691950446355733,0.19970631424375918,0.9251101321585903,0.013215859030837005,0.29798384728340677,681,0.5808441305374801,0.1893547603191169,0.9773343980876805,0.08815318406589417,0.7578741556123851,0.5187121257245113,False,left,Harry Sisson,False,17.0,93.30543933054393
@DannyHaiphongYT,videos,0.25422540082466555,0.15625,1.703125,0.0,0.345015625,64,0.3958986854271032,0.14815095562651495,1.0,0.0,0.9731507801447805,0.5034400842396798,False,left,Danny Haiphong,False,18.0,92.88702928870293
@briantylercohen,videos,0.29923677925528064,0.05087881591119334,0.9352451433857539,0.020351526364477335,0.316536540240518,1081,0.4683060543894129,0.04824156926968849,0.9891518906401816,0.13574992328864494,0.8427946351200895,0.49684881454160357,False,left,Brian Tyler Cohen,False,19.0,92.46861924686193
@MyronGainesX,videos,0.11616806962716535,0.8637532133676092,0.7789203084832905,0.0,0.28181233933161953,389,0.17381332686874312,0.8189815295096601,0.8068760617511572,0.0,0.6838529764335404,0.49670477891262016,False,right,Myron Gaines,False,20.0,92.05020920502092
@MarkDice,videos,0.10639086598965115,0.41304347826086957,0.43478260869565216,0.15217391304347827,0.2351521739130435,92,0.15808526841142626,0.39163383052574385,0.4056091452059244,1.0,0.47027731761062624,0.48512111235074407,False,right,Mark Dice,False,21.0,91.63179916317992
@TheOfficerTatum,videos,0.3322637154055783,0.20907617504051865,0.7698541329011345,0.0,0.33103079416531606,617,0.5214346995211228,0.19823894483833185,0.7963048388861401,0.0,0.909138588326542,0.48502341431442736,False,right,Officer Tatum,False,22.0,91.21338912133892
@SabbySabs,videos,0.28503402437108505,0.9968051118210862,0.3498402555910543,0.0,0.2868626198083067,626,0.4454588511035494,0.9451368312940097,0.30656577932240925,0.0,0.7069694178428876,0.48082617591257115,False,left,Sabby Sabs,False,23.0,90.7949790794979
@OfficialSaharTV,videos,0.1301015722488287,0.8477043673012318,0.39417693169092943,0.10526315789473684,0.20391489361702128,893,0.19622739860883184,0.8037645574684654,0.35826264752208636,0.7021323783494027,0.32729619743647964,0.47753663587705325,False,right,Sahar TV,False,24.0,90.3765690376569
@DoubleDownNews,videos,0.2673961387196681,0.030303030303030304,0.9545454545454546,0.015151515151515152,0.3150454545454545,66,0.4170857388238213,0.028732306545748355,1.0,0.10106450900483828,0.8359695498074293,0.4765704208363674,False,left,Double Down News,False,25.0,89.9581589958159
@BlazeTV,videos,0.14449943485928848,0.4619815668202765,0.6774193548387096,0.06566820276497695,0.26041820276497696,868,0.2193884611368598,0.4380352678800553,0.6885252541514818,0.43802382819838886,0.5859264737909029,0.4739798570315378,False,right,Blaze Media,False,26.0,89.5397489539749
@adammockler,videos,0.32803689148810006,0.21396598030438674,0.64816472694718,0.012533572068039392,0.32709489704565803,1117,0.5146352365941355,0.20287529250341743,0.6544141575295305,0.08360215427078833,0.8911229680892525,0.4693299617974248,False,left,Adam Mockler,False,27.0,89.1213389121339
@PiscoLitty,videos,0.2819353761318047,0.14285714285714285,0.5178571428571429,0.07142857142857142,0.3021964285714286,56,0.4404742233456628,0.13545230228709937,0.5024746214004346,0.476446971022809,0.7771562309300212,0.46640086979720535,False,left,Pisco,False,28.0,88.70292887029288
@jlptalk,videos,0.18742008355444276,0.1513157894736842,0.2993421052631579,0.19407894736842105,0.2736217105263158,304,0.2884325863009521,0.14347250439620396,0.2476845899443878,1.0,0.6463623475947009,0.4651904056472489,False,right,Jesse Lee Peterson,False,29.0,88.28451882845188
@dollemore,videos,0.3570132316279559,0.6539263377345379,0.37943015983321754,0.0,0.2984822793606671,1439,0.5612479070973981,0.6200307958062014,0.3410678104670599,0.0,0.7601556082888683,0.4565004243319056,False,left,Jesse Dollemore,False,30.0,87.86610878661088
