title_key_raw,n_creators,n_organisations,n_titles,example,creators,groups,n_groups,within_group,same_organisation_only
indisputable with dr rashad richey april 20 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 21 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 21, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 22 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 22, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 23 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 24 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 27 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 28 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 28, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 29 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 29, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 3 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 30 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 30, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 6 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 7 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 7, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 8 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 8, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey april 9 2026,2,1,2,"Indisputable with Dr. Rashad Richey: April 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 10 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 11 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 11, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 12 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 12, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 13 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 14 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 14, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 17 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 17, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 18 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 18, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 19 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 19, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 20 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 24 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 25 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 25, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 26 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 28 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 28, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 3 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 31 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 31, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 4 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 4, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 5 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 5, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 6 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey august 7 2026,2,1,2,"Indisputable with Dr. Rashad Richey: August 7, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 10 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 11 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 11, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 12 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 12, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 13 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 16 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 16, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 17 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 17, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 18 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 18, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 19 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 19, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 2 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 2, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 20 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 23 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 24 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 25 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 25, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 26 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 3 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 4 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 4, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 5 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 5, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 6 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey february 9 2026,2,1,2,"Indisputable with Dr. Rashad Richey: February 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 12 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 12, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 13 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 14 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 14, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 15 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 15, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 16 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 16, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 2 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 2, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 20 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 22 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 22, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 23 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 26 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 27 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 28 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 28, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 29 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 29, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 30 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 30, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 6 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 7 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 7, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 8 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 8, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey january 9 2026,2,1,2,"Indisputable with Dr. Rashad Richey: January 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 1 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 1, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 10 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 13 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 14 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 14, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 15 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 15, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 16 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 16, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 2 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 2, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 20 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 21 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 21, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 22 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 22, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 23 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 24 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 27 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 28 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 28, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 29 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 29, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 30 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 30, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 31 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 31, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 6 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 7 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 7, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 8 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 8, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey july 9 2026,2,1,2,"Indisputable with Dr. Rashad Richey: July 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 1 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 1, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 10 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 12 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 12, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 15 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 15, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 16 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 16, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 17 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 17, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 23 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 24 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 26 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 29 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 29, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 3 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 30 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 30, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 4 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 4, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 5 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 5, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 8 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 8, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey june 9 2026,2,1,2,"Indisputable with Dr. Rashad Richey: June 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 10 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 11 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 11, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 12 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 12, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 13 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 16 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 16, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 17 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 17, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 18 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 18, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 19 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 19, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 2 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 2, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 20 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 23 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 24 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 25 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 25, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 26 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 27 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 3 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 30 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 30, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 31 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 31, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 4 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 4, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 5 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 5, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey march 9 2026,2,1,2,"Indisputable with Dr. Rashad Richey: March 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 1 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 1, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 11 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 11, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 12 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 12, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 13 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 14 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 14, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 15 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 15, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 18 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 18, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 19 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 19, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 20 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 21 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 21, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 22 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 22, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 26 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 27 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 28 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 28, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 29 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 29, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 4 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 4, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 5 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 5, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 6 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 7 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 7, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey may 8 2026,2,1,2,"Indisputable with Dr. Rashad Richey: May 8, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey september 1 2026,2,1,2,"Indisputable with Dr. Rashad Richey: September 1, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey september 10 2026,2,1,2,"Indisputable with Dr. Rashad Richey: September 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey september 11 2026,2,1,2,"Indisputable with Dr. Rashad Richey: September 11, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey september 2 2026,2,1,2,"Indisputable with Dr. Rashad Richey: September 2, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey september 3 2026,2,1,2,"Indisputable with Dr. Rashad Richey: September 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey september 4 2026,2,1,2,"Indisputable with Dr. Rashad Richey: September 4, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey september 8 2026,2,1,2,"Indisputable with Dr. Rashad Richey: September 8, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
indisputable with dr rashad richey september 9 2026,2,1,2,"Indisputable with Dr. Rashad Richey: September 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
is war with iran inevitable,2,2,2,Is War with Iran Inevitable?,@OwenReport; @marklevinshow,left; right,2,False,False
it just went nuclear,2,1,2,IT JUST WENT NUCLEAR,@Timcast; @TimcastNews,right,1,True,True
it leaked,2,2,2,IT LEAKED…,@LukeBeasley; @TimcastIRL,left; right,2,False,False
it s actually happening,2,2,2,IT'S ACTUALLY HAPPENING,@AsmonTV; @adammockler,left; right,2,False,False
it s all collapsing,2,2,2,It's all collapsing..,@TheQuartering; @adammockler,left; right,2,False,False
it s all connected,2,2,2,It’s All Connected,@ThePodcastoftheLotusEaters; @TheVaushPit,left; right,2,False,False
it s not looking good,2,2,2,It's not looking good..,@AsmonTV; @LIVESNEAKO,neutral; right,2,False,False
it s so much worse than we thought,2,2,2,It's So Much Worse Than We Thought...,@LiberalHivemind; @harryjsisson,left; right,2,False,False
it s working,2,2,2,IT'S WORKING,@LiberalHivemind; @TimcastIRL,right,1,True,False
it s worse than you can possibly imagine,2,2,2,It's worse than you can POSSIBLY IMAGINE.,@LiberalHivemind; @ThePodcastoftheLotusEaters,right,1,True,False
it was all on purpose,2,1,2,It was all on purpose,@Timcast; @TimcastNews,right,1,True,True
its blowing up in their faces,2,1,2,ITS BLOWING UP IN THEIR FACES,@Timcast; @TimcastNews,right,1,True,True
its collapsing,2,1,2,ITS COLLAPSING,@TimcastIRL; @TimcastNews,right,1,True,True
james comer attacks witness without the facts gets humiliated,2,1,2,James Comer ATTACKS Witness Without The Facts... Gets HUMILIATED!,@RebelHQ; @TheDamageReport,left,1,True,True
james comer f s around with jasmine crockett finds out,2,1,2,James Comer F's Around With Jasmine Crockett... Finds Out!,@RebelHQ; @TheDamageReport,left,1,True,True
james comer gets humiliated in hearing can not recover,2,1,2,James Comer Gets HUMILIATED in Hearing... Can NOT Recover!,@RebelHQ; @TheDamageReport,left,1,True,True
james comer panics as epstein revelations go public,2,1,2,James Comer PANICS as Epstein Revelations Go Public!,@RebelHQ; @TheDamageReport,left,1,True,True
james comer terrified as secret plot backfires spectacularly,2,1,2,James Comer TERRIFIED as Secret Plot Backfires SPECTACULARLY!,@RebelHQ; @TheDamageReport,left,1,True,True
jamie raskin runs circles around maga they can t cope,2,1,2,Jamie Raskin RUNS CIRCLES Around MAGA...They CAN'T COPE,@RebelHQ; @TheDamageReport,left,1,True,True
jamie raskin wipes the floor with maga representative,2,1,2,Jamie Raskin WIPES THE FLOOR With MAGA Representative,@RebelHQ; @TheDamageReport,left,1,True,True
jd vance live trump s v p meets armenia pm big announcement on cam amid protests,2,1,2,JD Vance LIVE | Trump's V-P Meets Armenia PM; Big Announcement On Cam Amid Protests,@TimesNowWorld; @timesofindia,left; neutral,2,False,True
jessica tarlov fact checks co host live on air,2,1,2,Jessica Tarlov FACT-CHECKS Co-Host LIVE On Air!,@RebelHQ; @TheDamageReport,left,1,True,True
joe mcbride educates girls on the truth of the tates cases,2,2,2,Joe McBride Educates Girls On The TRUTH Of The Tates' Cases,@FreshFitMiami; @MyronGainesX,right,1,True,False
jon lovett breaks down trump natalie harp s weird relationship,2,1,2,Jon Lovett Breaks Down Trump & Natalie Harp’s Weird Relationship,@lovettorleaveitpodcast; @podsaveamerica,left,1,True,True
