title_key_raw,n_creators,n_organisations,n_titles,example,creators,groups,n_groups,within_group,same_organisation_only
it just got worse,3,3,3,It just got WORSE!!!!!,@JackCocchiarellaShow; @TheQuartering; @adammockler,left; right,2,False,False
it s over for him,3,3,3,It's over for him.,@TheQuartering; @adammockler; @harryjsisson,left; right,2,False,False
its happening,3,1,3,ITS HAPPENING,@Timcast; @TimcastIRL; @TimcastNews,right,1,True,True
its over,3,1,3,ITS OVER,@Timcast; @TimcastIRL; @TimcastNews,right,1,True,True
pam bondi fired,3,3,3,PAM BONDI FIRED,@PTLRadioShow; @SabbySabs; @underthedesknews,left,1,True,False
remembering 9 11 25 years later,3,3,3,Remembering 9/11 25 years later,@ThePodcastoftheLotusEaters; @markets; @oann,neutral; right,2,False,False
she got caught,3,3,3,SHE GOT CAUGHT,@HasanAbi; @TimcastNews; @destiny,left; right,2,False,False
they did it again,3,3,3,They did it again...,@TheQuartering; @TimcastIRL; @adammockler,left; right,2,False,False
they finally did it,3,3,3,They finally did it...,@RebelNewsOnline; @TimcastNews; @ponderingpolitics,left; right,2,False,False
this is embarassing,3,3,3,This is embarassing,@HasanAbi; @JackCocchiarellaShow; @Timcast,left; right,2,False,False
this is f ing insane,3,3,3,This is f***ing insane..,@AsmonTV; @LukeBeasley; @destiny,left; right,2,False,False
this is f king crazy,3,3,3,THIS IS F**KING CRAZY..,@AsmonTV; @destiny; @ponderingpolitics,left; right,2,False,False
this is getting scary,3,3,3,THIS IS GETTING SCARY,@RebelNewsOnline; @TheVaushPit; @TimcastNews,left; right,2,False,False
this is huge,3,3,3,THIS IS HUGE,@HasanAbi; @TimcastIRL; @Vaush,left; right,2,False,False
this is massive,3,3,3,THIS IS MASSIVE,@MikeFromPA; @TheQuartering; @TimcastIRL,left; right,2,False,False
this is tragic,3,3,3,THIS IS TRAGIC,@TheQuartering; @TheVaushPit; @TimcastIRL,left; right,2,False,False
this is wild,3,3,3,This is wild...,@HasanAbi; @therationalnational; https://rumble.com/c/TheAlexJonesShowLive,left; right,2,False,False
this isn t good,3,3,3,This isn’t good…,@FarronBalanced; @TheQuartering; @TimcastIRL,left; right,2,False,False
this should be illegal,3,3,3,This should be illegal..,@AsmonTV; @TheMajorityReport; @Vaush,left; right,2,False,False
this was brutal,3,3,3,THIS WAS BRUTAL,@SecularTalk; @TheQuartering; @katiephangnews,left; right,2,False,False
this was insane,3,3,3,This was insane..,@AsmonTV; @HasanAbi; @JackCocchiarellaShow,left; right,2,False,False
this will change everything,3,1,3,THIS WILL CHANGE EVERYTHING,@Timcast; @TimcastIRL; @TimcastNews,right,1,True,True
trump demands unconditional surrender from iran,3,3,3,Trump DEMANDS 'unconditional surrender' from Iran,@CBSNews; @FoxNews; @aljazeeraenglish,left; neutral; right,3,False,False
trump fires pam bondi as attorney general,3,3,3,Trump FIRES Pam Bondi as Attorney General,@ABCNews; @NBCNews; @podsaveamerica,left; neutral,2,False,False
trump s name removed from kennedy center,3,3,3,Trump's name REMOVED from Kennedy Center,@NBCNews; @briantylercohen; @thehill,left; neutral,2,False,False
trump threatens to use insurrection act in minnesota,3,3,3,Trump Threatens to Use Insurrection Act in Minnesota,@Forbes; @KimIversen; @aljazeeraenglish,left; neutral,2,False,False
we won,3,3,3,"""WE WON""",@HasanAbi; @LIVESNEAKO; @TheQuartering,left; neutral; right,3,False,False
this is insanity,2,2,6,THIS IS INSANITY...,@JackCocchiarellaShow; @adammockler,left,1,True,False
he actually said it,2,1,4,HE ACTUALLY SAID IT,@TimcastIRL; @TimcastNews,right,1,True,True
this is going mega viral,2,2,4,This is going MEGA viral...,@adammockler; @harryjsisson,left,1,True,False
trump just made it worse,2,2,4,Trump JUST MADE IT WORSE….,@JackCocchiarellaShow; @MeidasTouch,left,1,True,False
you can t make this up,2,2,4,You can’t make this up…,@LiberalHivemind; @RebelNewsOnline,right,1,True,False
breaking iran declares hormuz closed us navy faces direct clash irgc issues war warning,2,1,3,"BREAKING: Iran Declares ‘HORMUZ CLOSED’, US Navy Faces Direct Clash? IRGC Issues War Warning",@TimesNowWorld; @timesofindia,left; neutral,2,False,True
epstein is alive,2,2,3,EPSTEIN IS ALIVE??,@TimcastNews; @fightbackpodcast,right,1,True,False
everything is coming out,2,2,3,EVERYTHING IS COMING OUT...,@harryjsisson; https://rumble.com/c/russellbrand,left; right,2,False,False
holy sh t this is terrifying,2,2,3,🚨 HOLY SH*T THIS IS TERRIFYING,@harryjsisson; @ponderingpolitics,left,1,True,False
it is so over,2,2,3,it is so over...,@HasanAbi; @Timcast,left; right,2,False,False
it just got even worse,2,2,3,It just got even worse...,@adammockler; @harryjsisson,left,1,True,False
it keeps getting worse,2,2,3,IT KEEPS GETTING WORSE,@RebelNewsOnline; @TheQuartering,right,1,True,False
it s all fake,2,2,3,It's ALL FAKE..,@AsmonTV; @TimcastIRL,right,1,True,False
it s over for trump,2,2,3,IT'S OVER FOR TRUMP...,@JackCocchiarellaShow; @harryjsisson,left,1,True,False
john kennedy gets dominated by expert he came to humiliate,2,1,3,John Kennedy Gets DOMINATED By Expert He Came to Humiliate,@RebelHQ; @TheDamageReport,left,1,True,True
lindsey graham terrified as challenger approval soars,2,1,3,Lindsey Graham TERRIFIED as Challenger Approval SOARS!,@RebelHQ; @TheDamageReport,left,1,True,True
oh my f ing god,2,2,3,Oh my f***ing god..,@AsmonTV; @HasanAbi,left; right,2,False,False
republicans panic as secret midterms plot goes public,2,1,3,Republicans PANIC as Secret Midterms Plot Goes Public,@RebelHQ; @TheDamageReport,left,1,True,True
there s no coming back from this,2,2,3,There's no coming back from this...,@LiberalHivemind; https://rumble.com/c/russellbrand,right,1,True,False
they got her,2,2,3,THEY GOT HER??!,@TheQuartering; @TimcastNews,right,1,True,False
trump s epstein problem just got worse,2,2,3,🚨Trump’s EPSTEIN PROBLEM Just GOT WORSE…,@MeidasTouch; @podsaveamerica,left,1,True,False
tyt reacts trump s 2026 state of the union address,2,1,3,TYT REACTS: Trump’s 2026 State of the Union Address,@TheDamageReport; @TheYoungTurks,left,1,True,True
well that didn t last long,2,2,3,Well that didn’t last long,@LiberalHivemind; @thedavidpakmanshow,left; right,2,False,False
well well well,2,2,3,"Well, well, well..",@AsmonTV; @LiberalHivemind,right,1,True,False
what happens now,2,2,3,what happens now?,@HasanAbi; @ThePodcastoftheLotusEaters,left; right,2,False,False
what the f ck is going on,2,2,3,What the f*ck is going on..,@AsmonTV; @PrisonPlanetLive,right,1,True,False
women reveal the biggest age gap they ll accept in a relationship,2,2,3,Women Reveal the BIGGEST Age Gap They’ll Accept in a Relationship!,@FreshFitMiami; @MyronGainesX,right,1,True,False
40 year old single mom tries to sabotage another woman in her prime ft andre williams,2,2,2,40 Year Old Single Mom Tries To Sabotage Another Woman In Her PRIME! Ft. Andre Williams,@FreshFitMiami; @MyronGainesX,right,1,True,False
abdul el sayed s sister just ended his senate race,2,2,2,Abdul El-Sayed's Sister Just ENDED His Senate Race!!!,@DrSteveTurleyTV; @JillianMichaels,right,1,True,False
actions have consequences,2,2,2,Actions have consequences..,@AsmonTV; @ClipsCandaceOwens,neutral; right,2,False,False
addressing the allegations,2,2,2,Addressing The Allegations…,@deanwithrs; @hutch,left; neutral,2,False,False
adrien broner deenthegreat couldn t beelieve these girls standards,2,2,2,Adrien Broner & DeenTheGreat COULDN'T BEELIEVE These Girls' Standards!,@FreshFitMiami; @MyronGainesX,right,1,True,False
aliens are real,2,2,2,ALIENS ARE REAL,@ThePodcastoftheLotusEaters; @TimcastNews,right,1,True,False
all hell break loose as trump s ice targets new jersey,2,1,2,All HELL BREAK LOOSE as Trump’s ICE TARGETS New Jersey!!!,@LegalAFMTN; @MeidasTouch,left,1,True,True
all hell breaks loose as trump s ice murders citizen in minnesota,2,1,2,All HELL BREAKS LOOSE as Trump’s ICE MURDERS Citizen in MINNESOTA,@LegalAFMTN; @MeidasTouch,left,1,True,True
americans have had enough,2,2,2,Americans Have Had ENOUGH,@bennyjohnson; @thedavidpakmanshow,left; right,2,False,False
andre williams gives girls the harsh truth about the black community,2,2,2,Andre Williams Gives Girls The HARSH Truth About The Black Community,@FreshFitMiami; @MyronGainesX,right,1,True,False
another republican just quit,2,2,2,ANOTHER Republican Just QUIT,@FarronBalanced; @JackCocchiarellaShow,left,1,True,False
anti maga man exposes dark truth about trump s success,2,1,2,Anti-MAGA Man EXPOSES Dark Truth About Trump's Success,@RebelHQ; @TheDamageReport,left,1,True,True
aoc destroys healthcare ceo leaves him speechless,2,1,2,AOC Destroys Healthcare CEO... Leaves Him SPEECHLESS!,@RebelHQ; @TheDamageReport,left,1,True,True
aoc reads epa head s secret emails leaves him speechless,2,1,2,AOC Reads EPA Head's SECRET Emails... Leaves Him SPEECHLESS!,@RebelHQ; @TheDamageReport,left,1,True,True
are democrats having a tea party moment,2,2,2,Are Democrats having a ‘Tea Party’ moment?,@CBSNews; @FoxNewsChannelClips,neutral; right,2,False,False
are jd vance ted cruz feuding,2,1,2,Are JD Vance & Ted Cruz Feuding??,@lovettorleaveitpodcast; @podsaveamerica,left,1,True,True
arrest them all,2,2,2,ARREST THEM ALL,@TheQuartering; @TimcastIRL,right,1,True,False
bannon s epstein texts exposed maga cannot recover,2,1,2,Bannon’s Epstein Texts EXPOSED... MAGA Cannot Recover!,@RebelHQ; @TheDamageReport,left,1,True,True
ben shapiro is desperate,2,2,2,Ben Shapiro Is DESPERATE,@LIVESNEAKO; @TheMajorityReport,left; neutral,2,False,False
bengali bimbo turns to s x work after claiming years ago she d be married by now,2,2,2,Bengali Bimbo Turns To S*x Work After Claiming Years Ago She'd Be Married By NOW!,@FreshFitMiami; @MyronGainesX,right,1,True,False
best time to make money in crypto is now with charlie and miguel,2,2,2,Best Time To Make Money In Crypto Is Now With Charlie and Miguel,@FreshFitMiami; @MyronGainesX,right,1,True,False
big pharma is terrified that you ll learn this about red light therapy,2,2,2,Big Pharma is TERRIFIED that you'll learn this about Red Light Therapy,@RedactedNews; https://rumble.com/c/russellbrand,right,1,True,False
bombshell scotus ruling plays right into trump s masterplan,2,1,2,Bombshell SCOTUS Ruling Plays Right Into Trump's Masterplan,@RebelHQ; @TheDamageReport,left,1,True,True
bombshell steve schmidt knows something about iran that should scare all of us jim acosta live,2,2,2,🚨BOMBSHELL Steve Schmidt Knows Something About Iran That Should Scare All Of Us | Jim Acosta LIVE,@jimacosta; @thewarningwithsteveschmidt,left,1,True,False
bonus episode april 1 2026,2,1,2,"Bonus Episode: April 1, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 14 2026,2,1,2,"Bonus Episode: April 14, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 15 2026,2,1,2,"Bonus Episode: April 15, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 2 2026,2,1,2,"Bonus Episode: April 2, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 21 2026,2,1,2,"Bonus Episode: April 21, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 22 2026,2,1,2,"Bonus Episode: April 22, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 23 2026,2,1,2,"Bonus Episode: April 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 24 2026,2,1,2,"Bonus Episode: April 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 28 2026,2,1,2,"Bonus Episode: April 28, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 29 2026,2,1,2,"Bonus Episode: April 29, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 3 2026,2,1,2,"Bonus Episode: April 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 6 2026,2,1,2,"Bonus Episode: April 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 7 2026,2,1,2,"Bonus Episode: April 7, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode april 8 2026,2,1,2,"Bonus Episode: April 8, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 10 2026,2,1,2,"Bonus Episode: August 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 11 2026,2,1,2,"Bonus Episode: August 11, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 12 2026,2,1,2,"Bonus Episode: August 12, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 13 2026,2,1,2,"Bonus Episode: August 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 14 2026,2,1,2,"Bonus Episode: August 14, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 17 2026,2,1,2,"Bonus Episode: August 17, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 18 2026,2,1,2,"Bonus Episode: August 18, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 19 2026,2,1,2,"Bonus Episode: August 19, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 20 2026,2,1,2,"Bonus Episode: August 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 21 2026,2,1,2,"Bonus Episode: August 21, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 24 2026,2,1,2,"Bonus Episode: August 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 25 2026,2,1,2,"Bonus Episode: August 25, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 26 2026,2,1,2,"Bonus Episode: August 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 27 2026,2,1,2,"Bonus Episode: August 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 3 2026,2,1,2,"Bonus Episode: August 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 31 2026,2,1,2,"Bonus Episode: August 31, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 5 2026,2,1,2,"Bonus Episode: August 5, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 6 2026,2,1,2,"Bonus Episode: August 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode august 7 2026,2,1,2,"Bonus Episode: August 7, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode december 31 2025,2,1,2,"Bonus Episode: December 31, 2025",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 10 2026,2,1,2,"Bonus Episode: February 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 11 2026,2,1,2,"Bonus Episode: February 11, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 17 2026,2,1,2,"Bonus Episode: February 17, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 18 2026,2,1,2,"Bonus Episode: February 18, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 19 2026,2,1,2,"Bonus Episode: February 19, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 23 2026,2,1,2,"Bonus Episode: February 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 25 2026,2,1,2,"Bonus Episode: February 25, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 26 2026,2,1,2,"Bonus Episode: February 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 27 2026,2,1,2,"Bonus Episode: February 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 3 2026,2,1,2,"Bonus Episode: February 3, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 4 2026,2,1,2,"Bonus Episode: February 4, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode february 9 2026,2,1,2,"Bonus Episode: February 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 13 2026,2,1,2,"Bonus Episode: January 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
