scope,group,genre,target,predictor,n_creators,spearman_r,p
within_group,neutral,streams,top10_share,F4_controlled,12,0.545,0.0666
within_group,neutral,streams,top10_share,F5_controlled,12,0.469,0.1245
within_group,neutral,streams,top10_share,F6_controlled,12,-0.469,0.1245
within_group,neutral,streams,top10_share,F7_controlled,12,0.51,0.0899
within_group,neutral,streams,top10_share,F8_controlled,12,-0.266,0.4038
within_group,neutral,streams,top10_share,F9_controlled,12,-0.189,0.5567
within_group,neutral,streams,top10_share,F10_controlled,12,-0.287,0.3663
within_group,neutral,streams,top10_share,F11_controlled,12,-0.287,0.3663
within_group,neutral,streams,top10_share,F12_controlled,12,-0.07,0.829
within_group,neutral,streams,top10_share,curiosity_gap,12,0.259,0.4168
within_group,neutral,streams,top10_share,outrage,12,-0.35,0.2652
within_group,neutral,streams,top10_share,humor,12,0.071,0.8271
within_group,neutral,streams,top10_share,log_n_videos,12,-0.133,0.6806
within_group,neutral,streams,top10_share,log_subscribers,12,0.294,0.3541
within_group,neutral,videos,gini,F1_controlled,32,0.257,0.1551
within_group,neutral,videos,gini,F2_controlled,32,0.2,0.273
within_group,neutral,videos,gini,F3_controlled,32,-0.302,0.0925
within_group,neutral,videos,gini,F4_controlled,32,-0.295,0.1015
within_group,neutral,videos,gini,F5_controlled,32,-0.064,0.7287
within_group,neutral,videos,gini,F6_controlled,32,0.068,0.7108
within_group,neutral,videos,gini,F7_controlled,32,0.449,0.0099
within_group,neutral,videos,gini,F8_controlled,32,0.382,0.031
within_group,neutral,videos,gini,F9_controlled,32,-0.061,0.7408
within_group,neutral,videos,gini,F10_controlled,32,0.432,0.0135
within_group,neutral,videos,gini,F11_controlled,32,0.329,0.0661
within_group,neutral,videos,gini,F12_controlled,32,0.371,0.0364
within_group,neutral,videos,gini,curiosity_gap,32,-0.146,0.4256
within_group,neutral,videos,gini,outrage,32,-0.36,0.043
within_group,neutral,videos,gini,humor,32,0.179,0.3274
within_group,neutral,videos,gini,log_n_videos,32,0.434,0.013
within_group,neutral,videos,gini,log_subscribers,32,0.09,0.625
within_group,neutral,videos,top10_share,F1_controlled,32,0.238,0.1891
within_group,neutral,videos,top10_share,F2_controlled,32,0.22,0.2272
within_group,neutral,videos,top10_share,F3_controlled,32,-0.309,0.0849
within_group,neutral,videos,top10_share,F4_controlled,32,-0.356,0.0458
within_group,neutral,videos,top10_share,F5_controlled,32,-0.062,0.7347
within_group,neutral,videos,top10_share,F6_controlled,32,0.059,0.7483
within_group,neutral,videos,top10_share,F7_controlled,32,0.442,0.0113
within_group,neutral,videos,top10_share,F8_controlled,32,0.386,0.0293
within_group,neutral,videos,top10_share,F9_controlled,32,-0.076,0.6783
within_group,neutral,videos,top10_share,F10_controlled,32,0.418,0.0174
within_group,neutral,videos,top10_share,F11_controlled,32,0.328,0.0671
within_group,neutral,videos,top10_share,F12_controlled,32,0.411,0.0194
within_group,neutral,videos,top10_share,curiosity_gap,32,-0.138,0.4512
within_group,neutral,videos,top10_share,outrage,32,-0.328,0.0665
within_group,neutral,videos,top10_share,humor,32,0.199,0.2738
within_group,neutral,videos,top10_share,log_n_videos,32,0.462,0.0078
within_group,neutral,videos,top10_share,log_subscribers,32,0.118,0.5213
within_group,right,streams,gini,F1_controlled,21,0.409,0.0656
within_group,right,streams,gini,F2_controlled,21,-0.179,0.437
within_group,right,streams,gini,F3_controlled,21,0.353,0.1162
within_group,right,streams,gini,F4_controlled,21,-0.181,0.4336
within_group,right,streams,gini,F5_controlled,21,-0.183,0.4269
within_group,right,streams,gini,F6_controlled,21,-0.226,0.3246
within_group,right,streams,gini,F7_controlled,21,0.065,0.7798
within_group,right,streams,gini,F8_controlled,21,-0.187,0.417
within_group,right,streams,gini,F9_controlled,21,0.151,0.5145
within_group,right,streams,gini,F10_controlled,21,-0.201,0.3816
within_group,right,streams,gini,F11_controlled,21,-0.122,0.5981
within_group,right,streams,gini,F12_controlled,21,-0.034,0.8845
within_group,right,streams,gini,curiosity_gap,21,-0.336,0.136
within_group,right,streams,gini,outrage,21,-0.425,0.055
within_group,right,streams,gini,humor,21,-0.21,0.3602
within_group,right,streams,gini,log_n_videos,21,0.352,0.1177
within_group,right,streams,gini,log_subscribers,21,0.226,0.3246
within_group,right,streams,top10_share,F1_controlled,21,0.477,0.0289
within_group,right,streams,top10_share,F2_controlled,21,-0.231,0.3133
within_group,right,streams,top10_share,F3_controlled,21,0.342,0.1297
within_group,right,streams,top10_share,F4_controlled,21,-0.239,0.2968
within_group,right,streams,top10_share,F5_controlled,21,-0.181,0.4336
within_group,right,streams,top10_share,F6_controlled,21,-0.29,0.2029
within_group,right,streams,top10_share,F7_controlled,21,0.086,0.7118
within_group,right,streams,top10_share,F8_controlled,21,-0.162,0.482
within_group,right,streams,top10_share,F9_controlled,21,0.122,0.5981
within_group,right,streams,top10_share,F10_controlled,21,-0.287,0.2071
within_group,right,streams,top10_share,F11_controlled,21,-0.226,0.3246
within_group,right,streams,top10_share,F12_controlled,21,-0.03,0.8977
within_group,right,streams,top10_share,curiosity_gap,21,-0.314,0.1653
within_group,right,streams,top10_share,outrage,21,-0.516,0.0167
within_group,right,streams,top10_share,humor,21,-0.215,0.3482
within_group,right,streams,top10_share,log_n_videos,21,0.335,0.1376
within_group,right,streams,top10_share,log_subscribers,21,0.217,0.345
within_group,right,videos,gini,F1_controlled,73,0.216,0.0661
within_group,right,videos,gini,F2_controlled,73,-0.181,0.1263
within_group,right,videos,gini,F3_controlled,73,0.069,0.5609
within_group,right,videos,gini,F4_controlled,73,-0.116,0.3266
within_group,right,videos,gini,F5_controlled,73,0.301,0.0096
within_group,right,videos,gini,F6_controlled,73,0.263,0.0244
within_group,right,videos,gini,F7_controlled,73,-0.155,0.19
within_group,right,videos,gini,F8_controlled,73,0.122,0.3035
within_group,right,videos,gini,F9_controlled,73,-0.172,0.1465
within_group,right,videos,gini,F10_controlled,73,0.316,0.0065
within_group,right,videos,gini,F11_controlled,73,0.181,0.126
within_group,right,videos,gini,F12_controlled,73,0.124,0.2955
within_group,right,videos,gini,curiosity_gap,73,-0.369,0.0013
within_group,right,videos,gini,outrage,73,-0.508,0.0
within_group,right,videos,gini,humor,73,-0.12,0.312
