a,b,series,lag_days,ccf_residual,ccf_prewhitened,band
epstein_broad,war_broad,pooled,-8,-0.0632,0.0086,0.1225
epstein_broad,war_broad,pooled,-7,-0.0364,0.0403,0.1225
epstein_broad,war_broad,pooled,-6,-0.0733,-0.0581,0.1225
epstein_broad,war_broad,pooled,-5,-0.0771,-0.0247,0.1225
epstein_broad,war_broad,pooled,-4,-0.0773,-0.0779,0.1225
epstein_broad,war_broad,pooled,-3,-0.0334,0.0620,0.1225
epstein_broad,war_broad,pooled,-2,-0.0596,-0.0024,0.1225
epstein_broad,war_broad,pooled,-1,-0.1228,-0.0578,0.1225
epstein_broad,war_broad,pooled,0,-0.1412,-0.0444,0.1225
epstein_broad,war_broad,pooled,1,-0.1343,-0.0165,0.1225
epstein_broad,war_broad,pooled,2,-0.1471,-0.0266,0.1225
epstein_broad,war_broad,pooled,3,-0.2073,-0.1082,0.1225
epstein_broad,war_broad,pooled,4,-0.2204,-0.0634,0.1225
epstein_broad,war_broad,pooled,5,-0.2308,-0.0811,0.1225
epstein_broad,war_broad,pooled,6,-0.2263,-0.0523,0.1225
epstein_broad,war_broad,pooled,7,-0.2301,-0.0800,0.1225
epstein_broad,war_broad,pooled,8,-0.2306,-0.1325,0.1225
epstein_broad,war_broad,pooled,9,-0.1829,-0.0682,0.1225
epstein_broad,war_broad,pooled,10,-0.1132,0.0353,0.1225
epstein_broad,war_broad,pooled,11,-0.1320,-0.0674,0.1225
epstein_broad,war_broad,pooled,12,-0.1278,-0.0680,0.1225
epstein_broad,war_broad,pooled,13,-0.1068,-0.0359,0.1225
epstein_broad,war_broad,pooled,14,-0.0835,-0.0434,0.1225
epstein_broad,war_broad,channels,-14,-0.0952,-0.0288,0.1227
epstein_broad,war_broad,channels,-13,-0.1292,-0.0337,0.1227
epstein_broad,war_broad,channels,-12,-0.1590,-0.0654,0.1227
epstein_broad,war_broad,channels,-11,-0.1342,-0.0101,0.1227
epstein_broad,war_broad,channels,-10,-0.1639,-0.0798,0.1227
epstein_broad,war_broad,channels,-9,-0.1244,-0.0643,0.1227
epstein_broad,war_broad,channels,-8,-0.1134,-0.0294,0.1227
epstein_broad,war_broad,channels,-7,-0.0973,-0.0163,0.1227
epstein_broad,war_broad,channels,-6,-0.1083,-0.0500,0.1227
epstein_broad,war_broad,channels,-5,-0.1023,-0.0517,0.1227
epstein_broad,war_broad,channels,-4,-0.0734,-0.0375,0.1227
epstein_broad,war_broad,channels,-3,-0.0233,0.0581,0.1227
epstein_broad,war_broad,channels,-2,-0.0433,0.0134,0.1227
epstein_broad,war_broad,channels,-1,-0.1031,-0.0661,0.1227
epstein_broad,war_broad,channels,0,-0.0943,0.0059,0.1227
epstein_broad,war_broad,channels,1,-0.1061,-0.0334,0.1227
epstein_broad,war_broad,channels,2,-0.1106,0.0034,0.1227
epstein_broad,war_broad,channels,3,-0.2030,-0.1347,0.1227
epstein_broad,war_broad,channels,4,-0.1799,-0.0151,0.1227
epstein_broad,war_broad,channels,5,-0.2223,-0.0984,0.1227
epstein_broad,war_broad,channels,6,-0.1992,-0.0561,0.1227
epstein_broad,war_broad,channels,7,-0.1903,-0.1046,0.1227
epstein_broad,war_broad,channels,8,-0.1384,-0.0403,0.1227
epstein_broad,war_broad,channels,9,-0.1097,-0.0273,0.1227
epstein_broad,war_broad,channels,10,-0.0674,0.0165,0.1227
epstein_broad,war_broad,channels,11,-0.0783,-0.0333,0.1227
epstein_broad,war_broad,channels,12,-0.0751,-0.0276,0.1227
epstein_broad,war_broad,channels,13,-0.0934,-0.0902,0.1227
epstein_broad,war_broad,channels,14,-0.0727,-0.1019,0.1227
