a,b,series,lag_days,ccf_residual,ccf_prewhitened,band
epstein,war,channels,6,-0.1218,-0.0376,0.1227
epstein,war,channels,7,-0.1053,-0.0229,0.1227
epstein,war,channels,8,-0.1338,-0.1087,0.1227
epstein,war,channels,9,-0.0692,0.0442,0.1227
epstein,war,channels,10,-0.0920,-0.0534,0.1227
epstein,war,channels,11,-0.0742,-0.0108,0.1227
epstein,war,channels,12,-0.0759,-0.0277,0.1227
epstein,war,channels,13,-0.0965,-0.0959,0.1227
epstein,war,channels,14,-0.0584,-0.0475,0.1227
iran,war,pooled,-14,-0.1706,-0.0327,0.1225
iran,war,pooled,-13,-0.1182,0.0602,0.1225
iran,war,pooled,-12,-0.0983,-0.0240,0.1225
iran,war,pooled,-11,-0.0584,0.0399,0.1225
iran,war,pooled,-10,-0.0230,0.0533,0.1225
iran,war,pooled,-9,0.0097,-0.0704,0.1225
iran,war,pooled,-8,0.0878,0.0036,0.1225
iran,war,pooled,-7,0.2141,0.0911,0.1225
iran,war,pooled,-6,0.2879,0.0798,0.1225
iran,war,pooled,-5,0.3356,0.1104,0.1225
iran,war,pooled,-4,0.3295,-0.0816,0.1225
iran,war,pooled,-3,0.3994,0.0344,0.1225
iran,war,pooled,-2,0.4515,-0.0231,0.1225
iran,war,pooled,-1,0.5342,0.0245,0.1225
iran,war,pooled,0,0.6716,0.4444,0.1225
iran,war,pooled,1,0.5653,-0.0245,0.1225
iran,war,pooled,2,0.5123,0.1506,0.1225
iran,war,pooled,3,0.4126,-0.0045,0.1225
iran,war,pooled,4,0.3617,0.1059,0.1225
iran,war,pooled,5,0.2634,-0.0906,0.1225
iran,war,pooled,6,0.2394,0.0489,0.1225
iran,war,pooled,7,0.1934,0.0595,0.1225
iran,war,pooled,8,0.1474,-0.0069,0.1225
iran,war,pooled,9,0.1204,0.0561,0.1225
iran,war,pooled,10,0.0601,0.0104,0.1225
iran,war,pooled,11,0.0195,-0.1063,0.1225
iran,war,pooled,12,0.0353,0.0869,0.1225
iran,war,pooled,13,0.0174,0.0305,0.1225
iran,war,pooled,14,-0.0205,-0.0182,0.1225
iran,war,channels,-14,-0.1528,0.0625,0.1227
iran,war,channels,-13,-0.1089,0.0598,0.1227
iran,war,channels,-12,-0.1003,-0.0677,0.1227
iran,war,channels,-11,-0.0247,0.0391,0.1227
iran,war,channels,-10,0.0254,0.0377,0.1227
iran,war,channels,-9,0.0871,0.0031,0.1227
iran,war,channels,-8,0.1437,0.0116,0.1227
iran,war,channels,-7,0.2640,0.0955,0.1227
iran,war,channels,-6,0.3224,0.0909,0.1227
iran,war,channels,-5,0.3654,0.0441,0.1227
iran,war,channels,-4,0.3924,0.0029,0.1227
iran,war,channels,-3,0.4259,-0.0252,0.1227
iran,war,channels,-2,0.4598,0.0355,0.1227
iran,war,channels,-1,0.4881,0.0133,0.1227
iran,war,channels,0,0.6320,0.3584,0.1227
iran,war,channels,1,0.5199,0.0030,0.1227
iran,war,channels,2,0.4523,0.0949,0.1227
iran,war,channels,3,0.3517,-0.0177,0.1227
iran,war,channels,4,0.3210,0.0354,0.1227
iran,war,channels,5,0.2522,-0.0707,0.1227
iran,war,channels,6,0.2598,0.0719,0.1227
iran,war,channels,7,0.1989,0.0824,0.1227
iran,war,channels,8,0.1092,-0.0570,0.1227
iran,war,channels,9,0.1307,0.1085,0.1227
iran,war,channels,10,0.0079,-0.1111,0.1227
iran,war,channels,11,0.0214,-0.0082,0.1227
iran,war,channels,12,-0.0253,0.0275,0.1227
iran,war,channels,13,-0.0584,-0.0565,0.1227
iran,war,channels,14,-0.0613,0.1074,0.1227
epstein,trump,pooled,-14,0.0036,0.0118,0.1225
epstein,trump,pooled,-13,-0.0279,0.0283,0.1225
epstein,trump,pooled,-12,-0.0915,-0.0986,0.1225
epstein,trump,pooled,-11,-0.0469,-0.0059,0.1225
epstein,trump,pooled,-10,-0.0173,0.1038,0.1225
epstein,trump,pooled,-9,-0.1067,-0.1032,0.1225
epstein,trump,pooled,-8,-0.1216,0.0026,0.1225
epstein,trump,pooled,-7,-0.1766,-0.0926,0.1225
epstein,trump,pooled,-6,-0.1762,-0.0548,0.1225
epstein,trump,pooled,-5,-0.1667,-0.0514,0.1225
epstein,trump,pooled,-4,-0.1269,-0.0266,0.1225
epstein,trump,pooled,-3,-0.1065,-0.0271,0.1225
epstein,trump,pooled,-2,-0.0792,0.0051,0.1225
epstein,trump,pooled,-1,-0.0980,0.0395,0.1225
epstein,trump,pooled,0,-0.1787,-0.1706,0.1225
