topic_id,creator,genre,n,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,label,group
0,@ABCNews,videos,163,-0.15196991869007995,0.4393221187802078,-0.15221814533869416,-0.1930545034847003,-0.48398978699975426,-1.2921804250970879,2.5764514328914006,-0.060065677203063675,-1.4488019296078136,0.44054482969834724,-0.09579514076156594,0.08373163915168329,ICE protests in Minneapolis,neutral
0,@ANINewsIndia,streams,43,-0.8286524723145798,1.4484503393757724,2.903255052500167,-0.24180378021564627,-0.8290667893160425,-0.24748864252547217,2.8854288999442934,-0.1929284250708933,-0.958431762661289,0.1485769783045162,0.6092316513185323,0.6016170488602536,ICE protests in Minneapolis,neutral
0,@ANINewsIndia,videos,52,-1.2415699071193285,1.195876301160685,0.033067930191689326,-0.11656774515990749,-0.7354949545434722,-0.3331272323528236,2.7190467517459718,-0.05559947098448036,-2.196577640880305,2.100247776882313,0.4782021864725576,-0.06399916564324035,ICE protests in Minneapolis,neutral
0,@AssociatedPress,streams,23,-0.34590681082649793,0.4029601390670565,4.111219947959944,-0.24329935046564077,-0.7931840165367084,-0.6497267768809944,2.5309132693606573,-0.3687931647396269,-0.25494277167654855,-0.5455513736741395,-0.4055024892634797,-0.9977554474146754,ICE protests in Minneapolis,neutral
0,@AssociatedPress,videos,132,-0.18260528985937108,1.292008625813281,-0.3698731142486779,-0.2289805292050638,-0.24820830990639817,-1.0421532465840566,2.5854852049690997,-0.47964864963608694,-1.6633054103815186,0.6351985323644848,0.24132294141667276,0.16354403438301535,ICE protests in Minneapolis,neutral
0,@BBCNews,videos,14,-0.977424004406639,1.0981897053622798,-0.1213046408381644,-0.24569320703818773,1.2063497932053688,-1.3220438727547794,2.763332092177397,-0.24834471959714616,-2.139365165282446,-0.4377132856268329,-0.5263671748852595,1.1150854256806202,ICE protests in Minneapolis,neutral
0,@BenShapiro,videos,14,-0.26879354744719086,-0.5133877871858417,0.5223120311169775,-0.10248053173513894,0.46644423695060944,-1.103437726234575,-0.07397393581116984,-0.5655283604605361,1.5280986865280712,-0.5572968560371665,0.2322268968671417,-0.8889252509231407,ICE protests in Minneapolis,right
0,@BlackConservativePerspective,videos,61,-2.6458932869228766,0.44065207466909456,-0.3433483441005475,-0.5613783075908785,-1.1313646049618968,-0.35948236010142187,0.514939680888524,-0.5357673327371455,2.4542874843164695,0.019351824283705136,1.735552493789504,-0.809178621657614,ICE protests in Minneapolis,right
0,@BlazeTV,videos,16,-1.3788277234824664,0.48281977661783143,0.33499249671314624,-0.2628300258985764,1.8344666668049565,-0.9594680960524926,-0.2501881160559989,0.07217958349620303,-0.195442262530376,1.646145971766205,0.6994104078739841,0.2971790805547536,ICE protests in Minneapolis,right
0,@BreakThroughNews,videos,15,-1.3584224021260853,0.5412979689085725,0.32537902588561557,-0.10197929399043545,0.42279665674241124,-0.6270623366958831,-0.6665680223057927,0.002934113957123056,-1.716919483681338,1.3727030475833553,-0.2150277965414796,-0.5821530398562351,ICE protests in Minneapolis,left
0,@CBSNews,streams,13,-0.5238604322361221,1.5558925991546049,0.21460685426862394,-0.49150595881678605,-0.6923712613892339,-0.6812548816407291,3.8268973031700657,-0.043018801739618744,-1.9827694161390577,0.0018630091237281997,-0.46667072232913126,0.8186176184159135,ICE protests in Minneapolis,neutral
0,@CBSNews,videos,244,-0.48469979767856564,0.8208411405557584,-0.2550001660809242,-0.20256027283692835,-0.05918874275754673,-0.7324420404062071,2.591433755394993,-0.25612293147192994,-2.193708466409981,0.7844681431023488,0.12413874059342676,-0.06712303528295933,ICE protests in Minneapolis,neutral
0,@CNN,videos,37,0.22613723711975592,1.0837674223605969,0.06044801454015059,-0.38932594367210915,-0.06633541030614284,-1.607603719598349,2.689933066712935,0.2602401792754064,-1.5097204180595556,1.4826305451834731,-0.5473462550032376,-0.3921630896972496,ICE protests in Minneapolis,left
0,@CamHigby,streams,22,0.25730176520848586,-1.95546601074728,-0.08312129142889159,-0.3831649024832085,-0.6346051690938244,-1.113558825635105,-0.34390865802005316,-0.5063305356753506,-0.8319581514139774,-1.0430501930980556,-0.0449360162743182,-0.5079064510349752,ICE protests in Minneapolis,right
0,@CamHigby,videos,28,-0.7914449537346774,1.3029963796618351,-0.02463330215769078,0.10741052272630025,-0.5868004561173389,-0.5745483639308551,-0.6928295269301424,-0.31935611646967615,-1.2099093991184637,-0.38264830801256017,-0.1698148728401094,-1.2311471295410636,ICE protests in Minneapolis,right
0,@DemocracyNow,videos,67,-1.3442576058946085,-0.5589903657330635,0.47980849165134287,-0.30029218156679627,-0.10624108586553511,0.1148209933040179,-0.016454823036319326,0.24022937393918276,-2.7783483425828597,2.774208997814994,0.35123600648554465,-0.2351458726321948,ICE protests in Minneapolis,left
0,@DrSteveTurleyTV,videos,20,-1.1767196817523446,0.43748745607068323,0.33283927304883915,1.229036816939291,-0.2641920544203079,-0.6875279103275654,-0.3178247108371103,0.11844185296640034,1.9940841012854598,-0.8647249885149672,0.8374938116048896,-0.21847222969373706,ICE protests in Minneapolis,right
0,@DueDissidence,videos,16,-0.6407175311993323,-0.19217487909455894,-0.46012348633616484,-0.7497048528578147,-0.9628944981263685,-0.6003864180750894,-0.03865575227296493,-0.4736473357271811,0.9588098818584352,0.364638970716625,0.16913852170305171,0.4556140670691542,ICE protests in Minneapolis,left
0,@FarronBalanced,videos,50,-0.9793374347171021,-0.1335884415762083,-0.365811276211203,-0.2879063157019917,-0.7035145609127561,-1.047318547811443,-0.0782351156643816,-0.4885565015506085,-0.6018746938613407,-0.2435900395970514,-0.9887656588315967,-0.3815795572199153,ICE protests in Minneapolis,left
0,@Firstpost,streams,64,-1.6405159114496783,-0.6934616128263287,2.6477295748770806,-0.37850682873327995,-0.9870722397025291,0.04828055133735135,0.8176030572712965,0.010920294221987538,-0.9003630091064887,0.5234006035429312,0.6342135310592181,0.9402675967908841,ICE protests in Minneapolis,neutral
0,@Firstpost,videos,36,-1.384156707031076,-1.7495779090796968,0.5014584619580645,-0.06211615974921241,-0.8836214585234212,0.401204222525408,0.49956320035164836,0.779384629060599,-2.616593203311957,0.5779112223295855,0.8756983133905041,1.159039880900962,ICE protests in Minneapolis,neutral
0,@FoxNews,streams,31,0.061834956693124894,0.6164163782926458,0.10145181242866572,-0.42678102568915105,-0.9876868405615672,0.11074874004879233,2.6914880295195127,-0.3170405060408299,-1.3688805127877943,0.9924786252566651,0.04092108294541524,-0.13776361481096763,ICE protests in Minneapolis,right
0,@FoxNews,videos,197,-0.5710070912235437,0.3172762292093956,0.552643123917761,-0.26511206654731534,-0.5250225947341771,-1.5874179859626034,2.0664197394642576,-0.41460016636783126,0.73751112796787,1.8934872042202682,0.09642232189548923,-0.40262611854713415,ICE protests in Minneapolis,right
0,@FoxNewsChannelClips,videos,109,-0.17585699029788435,0.8191262993378362,0.02817468149576253,-0.33518953738061075,-0.4839873311275248,-1.3361630845556411,2.282806380294783,-0.5467905399919258,0.16707823129819802,1.9218041469595812,0.4600358082199141,0.022232289277526542,ICE protests in Minneapolis,right
0,@GlennKirschner2,videos,11,1.0298970447488622,0.09137002743363959,-0.31150513086668125,-0.6088589742583103,-0.7276341532374144,-1.2373118219801242,-0.15839304101662405,-0.7517278303358922,-1.5175658887129606,0.7245994490516033,1.5355758161020299,0.09130868174518127,ICE protests in Minneapolis,left
0,@HasanAbi,videos,14,0.5230633062865637,-0.5246898287007572,-0.5477813619779853,0.20520633627177773,-0.8975658815537831,-0.9699922195417633,0.9460855589325564,0.5926449186987005,0.269218971715088,-0.5869324280013842,-0.8725032667575208,-0.15339120192199393,ICE protests in Minneapolis,left
