published,creator,group,title_raw,view_count,url
2026-03-02,@aaronparnas1,left,BREAKING: Trump SHUTS DOWN Key Epstein Investigation as Iran War GROWS FAST,113000.0,https://www.youtube.com/watch?v=rEhPhxdNsDw
2026-03-02,@TheSerfTimes,left,Epstein's WAR (Trump war crimes) - Vancouver Mayor drug dealer (claims) - Joe Rogan is compromised,,https://www.youtube.com/watch?v=F4tmKf1Medc
2026-03-02,@thomhartmann,left,Iran War Escalates as Operation Epstein Fury Takes Hold,11000.0,https://www.youtube.com/watch?v=lG7ZGH1VA1o
2026-03-02,@TheDonLemonShow,left,HOT TOPICS | Donald Trump's (Epstein Distraction) War in Iran Is Killing Americans!,203000.0,https://www.youtube.com/watch?v=zmN2U7wVujo
2026-03-03,@Xanderhal,left,"MOVE COMPLETE, OH BOY WORLD WAR 3! EPSTEIN FILES SUPPRESSED, AGE VERIFICATION & MORE",,https://www.youtube.com/watch?v=PS6XyL1S2HM
2026-03-03,@judgingfreedom,left,LtCOL. : Karen Kwiatkowski  :  Did Fear of Epstein Fuel the War?,72000.0,https://www.youtube.com/watch?v=ytRdngQiMqA
2026-03-03,@thehill,neutral,Clintons' Epstein Depositions RELEASED (Plus: Matt Walsh SLAMS Iran War Messaging) | RISING,2900.0,https://www.youtube.com/watch?v=s8waUtCPA6Q
2026-03-04,@fightbackpodcast,right,Jake Shields and Sneako on the Epstein Iran War,16000.0,https://www.youtube.com/watch?v=SojK_nTjcXk
2026-03-05,@marclamonthillnetwork,left,"NIGHT SCHOOL: Congress Greenlit a War, Epstein Files Exposed & Dems Punked Out",2700.0,https://www.youtube.com/watch?v=-8Nwcv1P1dQ
2026-03-06,@TheLincolnProject,left,Trump’s Iran War Is A Billion Dollar Epstein Distraction,98000.0,https://www.youtube.com/watch?v=lWi4n1go7oE
2026-03-06,@jimacosta,left,Trump Allegations Emerge in hidden Epstein Files + Lt. Gen. Hertling on the Iran War,41000.0,https://www.youtube.com/watch?v=zpM9X85PEv0
2026-03-06,@RedactedNews,right,"Iran, Epstein, and Human Sacrifice - Congressman Dennis Kucinich on the sick elites taking us to war",123000.0,https://www.youtube.com/watch?v=g2qyxBjF6ew
2026-03-06,@NewsNation,neutral,Fake Iran war videos? Expert explains; Clinton Epstein depositions | Jesse Weber Live Full Show 3/4,3800.0,https://www.youtube.com/watch?v=JwPXvORmp10
2026-03-08,@MeidasTouch,left,LIVE: EPSTEIN WAR RAGES + BONDI SUBPOENA + DOJ COLLAPSE!! | Legal AF,291000.0,https://www.youtube.com/watch?v=sAKx6dzhjxk
2026-03-08,@VivaFrei,right,Ep. 306: War in Iran Escalates! Epstein Prison Guard Gets More SUS! Kalshi Sued! Noem is OUT & More!,27000.0,https://www.youtube.com/watch?v=Ul_wqhezBM8
2026-03-08,@TimesNowWorld,neutral,LIVE: Hillary Clinton BREAKS SILENCE on Epstein Friendship Allegations! | US NEWS | US-Iran War,3100.0,https://www.youtube.com/watch?v=KjKta9iQP9M
