lane,genre,month,n_creators,n_titles,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,curiosity_gap,outrage,humor,question,breaking_live,episode_show,interview_guest,reaction,confrontation,listicle,howto_explainer,partial_month
centrist_heterodox,streams,2026-03,1,25,-0.2631556412439954,-0.4239793855250553,0.4175545324883222,-0.3736018706509419,0.6959621177762785,0.1471498288369303,-0.9499016377383532,-0.6104408705298878,-0.5522423469180833,-0.803292295823675,-0.7253090316610465,0.4636420621802694,-0.6511371095344399,-0.5354357370568634,0.496153030849612,-0.3399766912485871,0.4735051415673816,0.5869865404600176,-0.7209175943513738,-0.36864603243093,-0.6414575339206784,-0.531345832496078,-0.6553109424457726,0.9749031075124808,0.0,0.6,0.0,0.24,0.24,0.0,0.12,0.04,0.2,0.0,0.0,False
centrist_heterodox,streams,2026-04,2,55,0.058777724240744955,-1.0590426444014847,0.45568218665833105,-0.23075376059612407,-0.022873710159893056,1.5760825828814307,-0.86246153137152,-0.19437561545934073,-0.891149192988846,-0.5914151060089169,-0.4184007151551107,-0.1322698123742601,0.06742847238840655,-1.284639745105114,0.6261010703184429,-0.2168277047100029,-0.21928333186696813,1.9535710072598231,-0.7562257260819789,-0.12997336730140055,-0.8494781683289598,-0.34621520105210646,-0.27699013296038477,0.1033715235018958,0.0,0.374320652173913,0.0,0.12771739130434784,0.24932065217391303,0.0,0.43546195652173914,0.015625,0.03125,0.0,0.0,False
centrist_heterodox,streams,2026-05,2,49,-0.16928774909963107,-0.39753352270927417,0.34191243117187126,-0.09237506350676956,-0.1334641739329115,1.8197482228459836,-0.36159936272121096,-0.021173247274836104,-0.024962917441709476,-0.14708030423145624,-0.7667452018119498,-0.23567917098628915,0.14508403968797093,-0.7718357265154594,0.4448712081272207,-0.0869742816233901,-0.2831292122008739,2.287463489883162,-0.3023472735796291,0.101460993571885,0.03323175963205677,0.0511896297991543,-0.612218702104786,-0.08326563574480116,0.0,0.4853448275862069,0.0,0.04224137931034483,0.10344827586206896,0.0,0.528448275862069,0.0,0.017241379310344827,0.0,0.0,False
centrist_heterodox,streams,2026-06,1,36,0.349859217492219,-0.2132309194281381,0.7379490554338861,-0.4120031315499491,0.1167767671456174,1.1416199467306092,-0.3962634950700384,0.0700425105103239,-1.2520043556709384,-0.6117057027787645,0.1960403901125478,-0.0851514619887654,0.1610746444865568,-0.2986382893920973,0.8116970143986699,-0.422332393261053,-0.143981080977799,1.2112714426650084,-0.1516693100344414,0.3066602659536379,-1.320106394963418,-0.4461817477427268,0.4144621038157878,0.1673107738764734,0.0,0.6111111111111112,0.0,0.1111111111111111,0.3333333333333333,0.0,0.19444444444444445,0.0,0.05555555555555555,0.0,0.1111111111111111,False
centrist_heterodox,streams,2026-07,1,29,0.5983393212407022,-1.15921848783308,0.8759519476152312,-0.4205154822707537,0.0454766895693538,0.90506844864946,-0.1866737922774031,0.3206001483915505,-1.3142557505886123,-0.4078348740174983,-0.0685751909955269,-0.4416796960126281,0.2995859555464372,-1.2094356409014422,0.9419860497184402,-0.4494970280591203,-0.2508352957946934,0.9980696140743976,0.160870762582489,0.2134869511792419,-1.3293146200700934,-0.3540967481242171,0.1598688477367719,-0.2804784013426706,0.0,0.5862068965517241,0.0,0.10344827586206896,0.41379310344827586,0.0,0.20689655172413793,0.0,0.06896551724137931,0.0,0.034482758620689655,False
centrist_heterodox,streams,2026-08,2,53,-0.320453070007151,-0.059312171059034344,0.021479540999732198,0.06313546780344842,-0.2974200315551278,2.570289240440217,-0.598364546980714,-0.17059493310482016,-0.5512165525845316,-0.9581764012624105,-0.8038441301076035,0.6038442305351117,0.03321971474421859,-0.49854921630103066,0.16940690795671565,0.08880027990871847,-0.48166623152384963,2.9340577682553564,-0.6607014040181012,0.04043957430628675,-0.34043023475454687,-0.7367766030929351,-0.7257394316193226,0.7348069642162081,0.0,0.42879256965944273,0.0,0.07352941176470588,0.14396284829721362,0.0,0.31656346749226005,0.0,0.05572755417956656,0.0,0.04102167182662539,False
centrist_heterodox,streams,2026-09,1,19,-0.3871106093127697,-0.0170761625319464,0.4484843916442097,-0.2874096362957024,-0.5265197420684566,-0.284480708455058,-0.1496628347799344,0.3759552385114276,-1.5619820262993367,-0.1891606486642475,-0.6070892767386511,-0.7662969038470815,-0.5670355723551912,0.030430771401165,0.6700452895898,-0.2517753119534883,-0.9064094280038368,-0.2489262918793126,0.3288406228553768,0.3220058979250355,-1.497507148511536,0.0246591129289559,-0.1454574192313015,-0.4164869219817505,0.0,0.6842105263157895,0.0,0.0,0.3157894736842105,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,True
centrist_heterodox,videos,2026-01,5,303,0.13634585974962662,0.21846725324155408,-0.34147572805642346,0.013257114731695552,0.7280196835465919,-0.2928653670955663,-0.8997495487044365,-0.1804010597052288,-0.516203651678725,-0.7665843833319972,-0.8058681540720919,0.24514945705943375,0.26578323177333074,0.4074978463654661,-0.2863065652448859,0.18032236791320239,0.6456490930891814,-0.4593733203437417,-0.6824082317985167,-0.14475719549671354,-0.3599206638050934,-0.6495587270028004,-0.7120834146183832,0.26351082893760147,0.012912394156165335,0.6517090780236086,0.007407407407407407,0.14043326763079603,0.011560693641618497,0.0,0.12043031470777135,0.026335643995600143,0.0372112594954931,0.0,0.10127972301582029,False
centrist_heterodox,videos,2026-02,7,429,0.6877332722263628,0.394113544430156,-0.36276730732778295,-0.2977322216358144,1.3289473276385577,0.03891386904090569,-0.7376697222228892,-0.0805851201779556,-0.44266049216987174,-0.664251722843546,-0.8211685304636118,0.9312409957392654,0.709304414997087,0.5836130730247172,-0.31718737551404896,-0.1249162773522096,1.2252758215201573,-0.005139340934534513,-0.5742096812149866,-0.2427783994760844,-0.26782259307709627,-0.5367172844351364,-0.7522740047215198,0.934353331754199,0.03358104581163975,0.5831057390273894,0.0,0.1807942136139879,0.012380000503934892,0.044642857142857144,0.12433441642818009,0.010154812998160638,0.026639235647036262,0.0,0.07702333466510516,False
centrist_heterodox,videos,2026-03,7,413,0.0823370848630767,0.14483078186204648,-0.4057569835072193,-0.041104333876461965,0.8492356472602299,-0.1934042103991568,-0.7895792866970529,-0.3127293481987989,-0.3829288814186434,-0.656178662624033,-0.891103043654865,0.5413697336148392,0.036225832288132524,0.2903858928630343,-0.2989319241569129,0.1285452626569383,0.7199185596210669,-0.19284202484265398,-0.5932622437267463,-0.3553568219232135,-0.23422960909510637,-0.46727601890612414,-0.7906842703158701,0.7570927028106441,0.018961305452413525,0.6221503097362976,0.0,0.18496142643103752,0.005714285714285714,0.011904761904761904,0.11809493177115807,0.0014285714285714286,0.05990872705671416,0.0,0.06799291809747154,False
