term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,npmi,log_or,weight,co_left,co_neutral,co_right
dhs,mullin,179.00000,11.09728,16.13008,52.90836,0.00000,28.00000,0.59203,4.98492,4.01168,35,91,53
leader,khamenei,289.00000,26.80568,10.78130,52.88551,0.00000,25.00000,0.52328,4.03557,3.43046,53,224,12
general,retired,87.00000,2.65567,32.76004,52.79533,0.00000,17.00000,0.56270,5.05176,5.03387,26,22,39
white,ufc,280.00000,28.95528,9.67009,52.70996,0.00000,70.00000,0.51186,4.34936,3.27353,55,128,97
dead,injured,136.00000,6.23317,21.81877,52.70346,0.00000,21.00000,0.47921,4.01295,4.44750,15,106,15
white house,correspondents,303.00000,34.65390,8.71475,52.58711,0.00000,51.00000,0.58471,5.23316,3.12346,45,213,44
kuwait,bahrain,111.00000,4.48945,24.72464,52.57917,0.00000,18.00000,0.69881,6.28004,4.62788,34,72,5
tensions,rise,158.00000,8.44934,18.69968,52.51984,0.00000,28.00000,0.48664,3.95781,4.22494,34,103,21
puts,notice,51.00000,0.94211,54.13406,52.29705,0.00000,15.00000,0.62447,5.86579,5.75846,14,12,25
security,national,261.00000,22.62321,11.53682,52.15256,0.00000,58.00000,0.42014,3.20174,3.52817,58,94,109
white,correspondents,303.00000,35.15100,8.59150,52.09298,0.00000,51.00000,0.55476,5.00889,3.10291,45,213,44
deal,peace,585.00000,102.04625,5.73269,52.02746,0.00000,78.00000,0.42151,2.97072,2.51921,129,332,124
fbi,director,148.00000,8.13819,18.18585,52.00562,0.00000,43.00000,0.49075,4.06157,4.18474,54,62,32
fears,grow,64.00000,1.48512,43.09421,51.86729,0.00000,17.00000,0.54176,4.88630,5.42942,22,32,10
mamdani,nyc mayor,155.00000,9.43252,16.32649,51.85316,0.00000,35.00000,0.63554,6.41363,4.02914,44,70,40
minnesota,fraud,377.00000,47.69286,7.84184,51.85142,0.00000,58.00000,0.51443,3.83513,2.97119,64,64,246
testifies,committee,89.00000,2.85815,31.13903,51.82211,0.00000,14.00000,0.58126,5.09235,4.96065,11,76,2
fed,kevin warsh,118.00000,5.23400,22.54490,51.80676,0.00000,24.00000,0.63129,5.83266,4.49473,23,83,12
hegseth,caine,117.00000,5.14421,22.74402,51.64629,0.00000,20.00000,0.57561,5.83976,4.50742,10,75,32
homan,czar,75.00000,2.10476,35.63351,51.51168,0.00000,21.00000,0.71871,6.84812,5.15516,12,52,11
shows,footage,158.00000,8.93239,17.68844,51.47564,0.00000,23.00000,0.50021,4.08403,4.14473,14,66,78
golden,dome,32.00000,0.38640,82.81482,51.47130,0.00000,14.00000,0.61615,5.99498,6.37182,9,20,3
melania,lady,101.00000,3.89208,25.95011,51.34059,0.00000,23.00000,0.61752,5.56016,4.69767,16,44,41
tom,czar,66.00000,1.63864,40.27736,51.29360,0.00000,19.00000,0.65482,6.20547,5.33190,11,46,9
canada,carney,284.00000,30.11600,9.43020,51.24188,0.00000,34.00000,0.62491,5.09960,3.23729,84,162,38
takes,aim,67.00000,1.70803,39.22637,51.24148,0.00000,26.00000,0.55966,5.63317,5.29375,12,26,29
insider,trading,86.00000,3.20505,26.83262,51.16200,0.00000,46.00000,0.76079,7.12330,4.74592,44,29,13
secretary,treasury,101.00000,3.95913,25.51066,51.11425,0.00000,31.00000,0.55416,4.97660,4.67303,18,54,29
fm,araghchi,76.00000,2.15681,35.23727,51.08971,0.00000,6.00000,0.65299,5.97312,5.13903,27,49,0
prison,sentenced,54.00000,1.10788,48.74185,51.08330,0.00000,18.00000,0.57554,5.35096,5.60709,10,34,10
artemis ii,nasa,359.00000,50.79043,7.06826,50.96713,0.00000,31.00000,0.73529,5.96203,2.82136,38,292,29
todd,attorney general,112.00000,4.81359,23.26745,50.96053,0.00000,28.00000,0.64189,5.66511,4.54024,18,76,18
jesse,watters,99.00000,3.71711,26.63362,50.93212,0.00000,25.00000,0.58643,5.22633,4.73518,26,2,71
white house,correspondents dinner,286.00000,32.67471,8.72234,50.73257,0.00000,50.00000,0.57958,5.22297,3.12472,43,200,42
ii,nasa,359.00000,51.19466,7.01245,50.69823,0.00000,31.00000,0.72439,5.84642,2.80992,38,292,29
todd blanche,attorney general,110.00000,4.70843,23.36234,50.64815,0.00000,28.00000,0.64922,5.73731,4.54611,18,75,17
ali,ayatollah,60.00000,1.38066,43.45745,50.60460,0.00000,16.00000,0.63704,5.87653,5.44153,6,50,4
epstein,clinton,382.00000,53.62025,7.12417,50.54193,0.00000,60.00000,0.52313,4.38835,2.83272,108,174,100
argentina,messi,87.00000,2.95968,29.39507,50.47487,0.00000,16.00000,0.74013,6.93550,4.87750,12,72,3
bros,paramount,53.00000,1.12931,46.93122,50.43000,0.00000,17.00000,0.79380,7.92394,5.55248,7,44,2
operation,fury,184.00000,13.91146,13.22651,50.30035,0.00000,30.00000,0.59977,4.96682,3.72536,10,65,109
blanche,ag,244.00000,24.42229,9.99087,50.29874,0.00000,39.00000,0.63691,5.18135,3.32061,120,84,40
musk,starlink,49.00000,0.93396,52.46469,50.29063,0.00000,11.00000,0.53920,5.21461,5.71327,11,34,4
diego,garcia,48.00000,0.93225,51.48850,50.28553,0.00000,14.00000,0.71180,6.88920,5.68618,9,21,18
white,correspondents dinner,286.00000,33.14962,8.59738,50.25660,0.00000,50.00000,0.54988,4.99974,3.10390,43,200,42
dhs,shutdown,277.00000,28.21025,9.81913,50.16778,0.00000,37.00000,0.60756,4.82594,3.29559,47,144,86
artemis,mission,350.00000,49.06859,7.13287,50.13184,0.00000,34.00000,0.68874,5.46837,2.83448,40,283,27
supreme leader,mojtaba,111.00000,4.82696,22.99582,50.07804,0.00000,17.00000,0.67034,5.91733,4.52330,19,89,3
holds,briefing,353.00000,42.28246,8.34862,50.02658,0.00000,19.00000,0.50040,3.76168,3.06154,24,281,48
warner,paramount,55.00000,1.23522,44.52662,50.01618,0.00000,19.00000,0.81226,8.16149,5.47660,8,45,2
dan,caine,37.00000,0.54631,67.72740,49.84517,0.00000,15.00000,0.57854,5.53855,6.08167,5,21,11
battle,firefighters,63.00000,1.56832,40.17041,49.84161,0.00000,10.00000,0.57372,5.34042,5.32806,0,55,8
elections,midterm,140.00000,7.68637,18.21406,49.82272,0.00000,53.00000,0.48485,3.99184,4.18698,53,58,29
town,hall,88.00000,3.20955,27.41821,49.74137,0.00000,43.00000,0.69520,6.29355,4.77706,43,26,19
parliament,session,148.00000,8.39592,17.62761,49.73822,0.00000,5.00000,0.66182,5.67549,4.13976,1,147,0
league,champions,37.00000,0.55604,66.54241,49.73394,0.00000,13.00000,0.70832,6.95854,6.05620,3,30,4
hit,hard,146.00000,8.26201,17.67125,49.69614,0.00000,32.00000,0.45604,3.81985,4.14333,38,82,26
second,term,77.00000,2.29371,33.13407,49.67319,0.00000,26.00000,0.53076,4.67170,5.05024,24,40,12
ice,agents,511.00000,93.36580,5.46239,49.55280,0.00000,85.00000,0.50147,3.96232,2.44953,210,151,149
report,special,189.00000,13.70027,13.79535,49.55227,0.00000,16.00000,0.42003,3.34722,3.78611,10,170,9
greg,gutfeld,91.00000,3.34032,27.24291,49.52840,0.00000,7.00000,0.66729,5.96901,4.76781,1,0,90
assault,sexual,92.00000,3.39901,26.77253,49.47823,0.00000,22.00000,0.69144,6.30915,4.74268,36,50,5
white house,briefing,276.00000,27.25229,10.12759,49.40564,0.00000,28.00000,0.38999,2.97138,3.34022,38,184,54
government,partial,90.00000,3.25711,27.63184,49.31909,0.00000,17.00000,0.57496,5.41853,4.78826,2,80,8
oil,tanker,218.00000,18.07390,12.06159,49.31836,0.00000,41.00000,0.50135,4.28132,3.59235,58,126,34
foreign,ministers,99.00000,3.86285,25.62877,49.20371,0.00000,12.00000,0.55738,4.97794,4.67969,4,94,1
artemis ii,moon,368.00000,56.63146,6.49815,49.17566,0.00000,34.00000,0.77359,6.45389,2.70003,38,301,29
ii,moon,369.00000,56.96510,6.47765,49.15215,0.00000,34.00000,0.76337,6.34436,2.69547,38,302,29
fed,kevin,119.00000,5.85137,20.33713,49.11442,0.00000,24.00000,0.53590,4.57215,4.34604,23,84,12
ice,minneapolis,935.00000,279.03655,3.34723,49.10802,0.00000,99.00000,0.53754,3.84285,1.74297,317,400,217
