term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,npmi,log_or,weight,co_left,co_neutral,co_right
missiles,fired,41.00000,4.00275,10.24296,18.96063,0.00000,15.00000,0.27416,2.50933,3.35656,18,21,2
judge,mistrial,51.00000,6.26228,8.14399,18.95767,0.00000,18.00000,0.46329,4.36792,3.02574,2,36,13
charges,facing,25.00000,1.60698,15.55713,18.95716,0.00000,18.00000,0.37062,3.58271,3.95950,6,11,8
hormuz,near,182.00000,52.31762,3.47875,18.95157,0.00000,20.00000,0.26864,2.12398,1.79857,63,103,16
hormuz,crisis,265.00000,93.00973,2.84916,18.95010,0.00000,22.00000,0.23915,1.79151,1.51054,71,182,12
speaks,reporters,32.00000,2.51873,12.70480,18.94795,0.00000,10.00000,0.30065,2.87807,3.66730,3,22,7
attack,killed,200.00000,59.29978,3.37269,18.94667,0.00000,23.00000,0.22608,1.74685,1.75390,60,129,11
florida,tiger,23.00000,1.36016,16.90983,18.94664,0.00000,13.00000,0.39529,3.88797,4.07979,2,17,4
house,secret service,67.00000,9.92594,6.74999,18.94412,0.00000,23.00000,0.30632,2.85516,2.75489,8,48,11
keir starmer,british,39.00000,3.89298,10.01803,18.93420,0.00000,14.00000,0.40484,3.74620,3.32453,5,29,5
port,yemen,22.00000,1.27164,17.30055,18.92692,0.00000,8.00000,0.46010,4.52397,4.11275,6,11,5
meet,track,22.00000,1.24724,17.63897,18.92595,0.00000,11.00000,0.36152,3.58085,4.14069,0,12,10
white,dana,48.00000,8.46482,5.67053,18.92373,0.00000,27.00000,0.37770,3.80382,2.50348,8,16,24
world,economic,187.00000,60.20670,3.10597,18.92352,0.00000,37.00000,0.20740,1.65839,1.63504,12,146,29
comey,indicted,38.00000,4.07802,9.31825,18.92313,0.00000,25.00000,0.61111,5.84909,3.22006,3,13,22
dies,music,24.00000,1.48294,16.18411,18.92147,0.00000,14.00000,0.42305,4.12083,4.01651,4,18,2
deadly,nepal,79.00000,13.78468,5.73100,18.92136,0.00000,17.00000,0.33187,2.85444,2.51879,5,64,10
secretary,defence,61.00000,8.17117,7.46527,18.91828,0.00000,6.00000,0.30515,2.68186,2.90019,32,29,0
trial,closing,58.00000,8.54619,6.78665,18.91652,0.00000,15.00000,0.38444,3.45967,2.76270,2,46,10
russia,china,378.00000,160.07218,2.36143,18.91265,0.00000,43.00000,0.23844,1.71085,1.23966,102,236,40
summit,impact,124.00000,34.38959,3.60574,18.91003,0.00000,6.00000,0.41161,3.43218,1.85030,0,123,1
charlie,killer,46.00000,5.27756,8.71615,18.90846,0.00000,17.00000,0.38215,3.50626,3.12369,12,21,13
state,red,91.00000,16.99594,5.35422,18.90424,0.00000,22.00000,0.22563,1.89806,2.42068,29,4,58
senate,act,109.00000,22.87709,4.76459,18.90251,0.00000,28.00000,0.26941,2.22967,2.25235,15,26,68
jd vance,switzerland,32.00000,2.56179,12.49127,18.90016,0.00000,12.00000,0.35898,3.43273,3.64285,1,29,2
party,dem,72.00000,11.15741,6.45311,18.89321,0.00000,19.00000,0.27728,2.39087,2.68999,37,5,30
rescue,death toll,33.00000,2.67186,12.35097,18.89181,0.00000,12.00000,0.41115,3.89232,3.62655,3,28,2
island,long,23.00000,1.33787,17.19147,18.89107,0.00000,14.00000,0.33194,3.22527,4.10362,1,10,12
end,partial,32.00000,2.53697,12.61350,18.89083,0.00000,13.00000,0.35298,3.42563,3.65690,3,27,2
jd,switzerland,32.00000,2.56473,12.47694,18.88740,0.00000,12.00000,0.35590,3.40406,3.64119,1,29,2
gives,updates,33.00000,2.72764,12.09839,18.88599,0.00000,17.00000,0.32035,3.00673,3.59674,2,20,11
pete,dan,22.00000,1.28376,17.13715,18.87216,0.00000,13.00000,0.31856,3.11296,4.09906,4,12,6
nba,player,22.00000,1.29859,16.94142,18.87049,0.00000,17.00000,0.50623,5.00947,4.08248,2,8,12
speech,davos,94.00000,19.75477,4.75834,18.86501,0.00000,38.00000,0.35052,2.98645,2.25046,29,52,13
jimmy,abc,22.00000,1.32397,16.61666,18.86433,0.00000,17.00000,0.50124,4.95467,4.05456,4,9,9
panic,sparks,40.00000,3.85317,10.38107,18.85828,0.00000,15.00000,0.26820,2.45666,3.37588,21,12,7
james,jasmine,25.00000,1.61936,15.43821,18.85711,0.00000,14.00000,0.40369,3.94693,3.94843,9,14,2
ceo,luigi mangione,25.00000,1.63497,15.29083,18.85083,0.00000,15.00000,0.35835,3.48814,3.93460,5,16,4
return,astronauts,32.00000,2.57719,12.41664,18.84610,0.00000,19.00000,0.39803,3.77326,3.63420,7,22,3
minneapolis,federal,162.00000,46.34343,3.49564,18.84457,0.00000,33.00000,0.38016,3.03564,1.80556,26,97,39
lost,lives,20.00000,1.05733,18.91558,18.84061,0.00000,12.00000,0.32524,3.21361,4.24150,7,11,2
ceasefire,extended,34.00000,2.95678,11.49900,18.83961,0.00000,20.00000,0.37789,3.71396,3.52344,7,21,6
rescued,downed,20.00000,1.05255,19.00152,18.83314,0.00000,14.00000,0.51485,5.13710,4.24804,4,11,5
tsa,airports,58.00000,8.30383,6.98473,18.82562,0.00000,24.00000,0.61495,5.66809,2.80420,8,39,11
warning,final,86.00000,15.01990,5.72574,18.81839,0.00000,18.00000,0.27658,2.34849,2.51746,39,35,12
event,tpusa,34.00000,3.11032,10.93133,18.81769,0.00000,24.00000,0.39068,3.70450,3.45040,12,10,12
ends,career,45.00000,5.02305,8.95870,18.81448,0.00000,21.00000,0.44311,4.07633,3.16329,25,2,18
storm,coast,30.00000,2.25502,13.30364,18.80899,0.00000,11.00000,0.36234,3.44611,3.73375,3,25,2
truth,bomb,53.00000,6.65916,7.95896,18.80887,0.00000,21.00000,0.27915,2.48968,2.99258,20,7,26
noem,domestic,27.00000,1.91618,14.09051,18.80387,0.00000,18.00000,0.39593,3.85490,3.81665,9,13,5
shooting,house correspondents,84.00000,15.95309,5.26544,18.79795,0.00000,22.00000,0.40260,3.62457,2.39655,8,63,13
nasa,earth,61.00000,8.76201,6.96187,18.79706,0.00000,19.00000,0.46924,4.19673,2.79948,6,50,5
white,shots,54.00000,6.78713,7.95623,18.79237,0.00000,27.00000,0.30045,2.79868,2.99209,19,27,8
trump,board,330.00000,152.74000,2.16053,18.79009,0.00000,52.00000,0.13694,1.58449,1.11139,111,176,43
president,jd,130.00000,31.15693,4.17243,18.78893,0.00000,25.00000,0.17205,1.40399,2.06089,9,94,27
trial,anthony,81.00000,16.41616,4.93416,18.78407,0.00000,32.00000,0.38929,3.36756,2.30281,16,12,53
venezuela,rescue,63.00000,9.25355,6.80820,18.78296,0.00000,20.00000,0.25103,2.20709,2.76727,11,46,6
ice,protests,273.00000,108.25887,2.52173,18.78254,0.00000,66.00000,0.28584,2.17384,1.33442,98,118,57
fbi,county,50.00000,5.96961,8.37575,18.78217,0.00000,15.00000,0.39965,3.68347,3.06622,14,17,19
john,paxton,45.00000,4.97527,9.04474,18.78037,0.00000,21.00000,0.39440,3.61670,3.17708,3,20,22
blockade,red sea,32.00000,2.60185,12.29893,18.78018,0.00000,12.00000,0.38470,3.66906,3.62046,10,20,2
reveal,images,30.00000,2.37800,12.61564,18.77824,0.00000,8.00000,0.43607,4.17690,3.65714,16,6,8
epstein files,blanche,63.00000,10.02338,6.28531,18.77732,0.00000,26.00000,0.28081,2.45486,2.65198,37,22,4
hegseth,budget,62.00000,8.66699,7.15358,18.77513,0.00000,21.00000,0.27994,2.46902,2.83867,15,35,12
stop,traffic,28.00000,2.05602,13.61853,18.77026,0.00000,16.00000,0.34575,3.33950,3.76750,4,13,11
strait of hormuz,closes,36.00000,3.24976,11.07773,18.76970,0.00000,17.00000,0.34874,3.35757,3.46959,11,24,1
victory,landslide,32.00000,2.78190,11.50295,18.76888,0.00000,18.00000,0.45602,4.42435,3.52393,5,12,15
claim,explosive,44.00000,4.56949,9.62908,18.76760,0.00000,7.00000,0.33849,3.07995,3.26740,13,30,1
fires,ballistic missiles,23.00000,1.35529,16.97056,18.76759,0.00000,9.00000,0.39876,3.94830,4.08496,2,19,2
missing,dozens,32.00000,2.57823,12.41160,18.76706,0.00000,12.00000,0.35426,3.35956,3.63362,15,14,3
pleads,luigi mangione,31.00000,2.60053,11.92064,18.76309,0.00000,22.00000,0.50813,4.86626,3.57539,7,19,5
alex pretti,renee,30.00000,2.50468,11.97759,18.75182,0.00000,16.00000,0.45802,4.37424,3.58227,11,14,5
georgia,raid,27.00000,1.93107,13.98191,18.74500,0.00000,14.00000,0.38494,3.68969,3.80549,8,15,4
senate,abdul,77.00000,13.44616,5.72654,18.74136,0.00000,28.00000,0.34022,2.98833,2.51766,24,46,7
sen,scott,45.00000,4.88385,9.21404,18.74113,0.00000,15.00000,0.27850,2.52279,3.20383,0,13,32
remarks,opening,43.00000,4.50495,9.54505,18.74102,0.00000,13.00000,0.34339,3.13518,3.25475,3,23,17
paxton,james talarico,35.00000,3.24545,10.78434,18.73994,0.00000,17.00000,0.53653,5.10602,3.43087,17,14,4
oil,markets,125.00000,30.19089,4.14032,18.73902,0.00000,22.00000,0.34598,2.89984,2.04974,23,84,18
race,survivors,34.00000,2.86316,11.87501,18.73237,0.00000,13.00000,0.30148,2.82360,3.56986,8,23,3
saudi arabia,pact,20.00000,1.05835,18.89738,18.72940,0.00000,6.00000,0.44768,4.46928,4.24011,5,14,1
uk,harry,58.00000,8.17451,7.09523,18.72864,0.00000,14.00000,0.34449,3.14901,2.82685,9,43,6
let,slip,24.00000,1.64045,14.63011,18.72793,0.00000,9.00000,0.39132,3.89247,3.87087,22,0,2
questions,raise,28.00000,1.99518,14.03380,18.72684,0.00000,19.00000,0.32746,3.15506,3.81083,7,8,13
bondi,general,65.00000,9.78961,6.63970,18.72609,0.00000,28.00000,0.32613,2.84882,2.73112,11,43,11
dinner,incident,41.00000,4.06779,9.83336,18.72298,0.00000,16.00000,0.42929,3.98236,3.29768,4,29,7
trial,luigi,46.00000,5.17769,8.88426,18.72230,0.00000,10.00000,0.39599,3.68211,3.15125,2,37,7
trial,mangione,55.00000,7.25964,7.57613,18.72207,0.00000,10.00000,0.39794,3.62034,2.92146,2,43,10
killing,el mencho,21.00000,1.16748,17.98752,18.72097,0.00000,12.00000,0.43287,4.36742,4.16892,7,11,3
lindsey graham,dies,32.00000,2.65357,12.05924,18.71966,0.00000,20.00000,0.33350,3.13714,3.59207,10,17,5
ceo,luigi,25.00000,1.65528,15.10316,18.71913,0.00000,15.00000,0.35119,3.41380,3.91678,5,16,4
media,brief,33.00000,2.72680,12.10211,18.71852,0.00000,6.00000,0.25255,2.38864,3.59719,2,31,0
gop,primary,112.00000,24.35684,4.59830,18.71386,0.00000,26.00000,0.30416,2.52149,2.20110,26,61,25
uk,britain,88.00000,16.04815,5.42119,18.71325,0.00000,20.00000,0.35016,3.03691,2.43861,13,68,6
win,afd,25.00000,1.64427,15.20435,18.71107,0.00000,13.00000,0.36803,3.64167,3.92641,7,15,3
cia,fmr,25.00000,1.66127,15.04869,18.70954,0.00000,6.00000,0.34307,3.31027,3.91157,19,5,1
senate,republicans,140.00000,34.90044,4.01141,18.70851,0.00000,41.00000,0.24850,1.99282,2.00411,67,41,32
getting,started,22.00000,1.30441,16.86585,18.70791,0.00000,18.00000,0.37303,3.68436,4.07603,3,10,9
student,university,27.00000,1.94719,13.86617,18.70750,0.00000,11.00000,0.40744,3.92130,3.79350,3,21,3
arabia,pact,20.00000,1.06069,18.85565,18.70664,0.00000,6.00000,0.44687,4.46121,4.23693,5,14,1
resort,swiss,45.00000,5.80790,7.74807,18.70626,0.00000,16.00000,0.69840,6.72559,2.95384,13,29,3
doj,fund,91.00000,17.27670,5.20933,18.70216,0.00000,25.00000,0.34256,2.92195,2.38110,36,45,9
kirk,killer,50.00000,6.40890,7.80165,18.70108,0.00000,19.00000,0.37146,3.38931,2.96378,12,21,17
testifies,request,20.00000,1.05947,18.87728,18.70018,0.00000,6.00000,0.43135,4.29891,4.23858,1,19,0
year,term,33.00000,2.78763,11.83800,18.69770,0.00000,15.00000,0.31115,2.92488,3.56535,6,23,4
epstein,released,102.00000,24.26495,4.20359,18.69648,0.00000,44.00000,0.28237,2.42804,2.07162,48,31,23
charlie,accused,42.00000,4.34887,9.65768,18.69408,0.00000,13.00000,0.29678,2.71316,3.27168,3,29,10
defense,luigi mangione,24.00000,1.50773,15.91801,18.69394,0.00000,8.00000,0.35122,3.43082,3.99259,0,18,6
conspiracy,theory,31.00000,3.52827,8.50275,18.68304,0.00000,22.00000,0.55684,5.37610,3.08793,17,2,11
california,steve,70.00000,11.58699,6.04126,18.67615,0.00000,30.00000,0.32199,2.79214,2.59485,2,24,44
billion,dollar,59.00000,7.71869,7.25512,18.67392,0.00000,34.00000,0.43682,3.92872,2.85900,24,14,18
canada,hockey,29.00000,2.35984,12.28899,18.66641,0.00000,21.00000,0.34468,3.34409,3.61929,7,13,9
crisis,cuba,75.00000,12.09933,6.19869,18.66522,0.00000,24.00000,0.24221,2.08599,2.63196,20,51,4
home,nancy guthrie,116.00000,30.48055,3.80571,18.66430,0.00000,18.00000,0.40218,3.33153,1.92816,5,66,45
republican,runoff,20.00000,1.05895,18.88658,18.66244,0.00000,9.00000,0.34091,3.40604,4.23929,2,17,1
visit,queen camilla,33.00000,2.89446,11.40108,18.66128,0.00000,11.00000,0.47130,4.67909,3.51110,0,31,2
killing,mencho,21.00000,1.17535,17.86702,18.65282,0.00000,12.00000,0.43187,4.35565,4.15923,7,11,3
bases,jordan,44.00000,4.77026,9.22382,18.64755,0.00000,14.00000,0.40714,3.72558,3.20536,9,31,4
mom,daughter,23.00000,1.43885,15.98497,18.64733,0.00000,12.00000,0.41381,4.04015,3.99864,1,9,13
charles iii,queen camilla,38.00000,3.90671,9.72685,18.64660,0.00000,14.00000,0.74323,7.39694,3.28197,5,28,5
plan,point,64.00000,9.41730,6.79600,18.64622,0.00000,28.00000,0.27769,2.44406,2.76469,15,34,15
cuba,indictment,26.00000,1.79829,14.45821,18.64454,0.00000,19.00000,0.35762,3.46186,3.85382,5,15,6
intel,gabbard,26.00000,1.79099,14.51707,18.63664,0.00000,13.00000,0.42370,4.08679,3.85968,14,8,4
military,hegseth,176.00000,50.14409,3.50989,18.63567,0.00000,48.00000,0.23313,1.82386,1.81142,100,59,17
health,mitch mcconnell,30.00000,2.36236,12.69918,18.63107,0.00000,15.00000,0.37080,3.55785,3.66666,20,7,3
epstein,suicide,51.00000,6.84095,7.45511,18.62569,0.00000,21.00000,0.30074,2.86979,2.89823,19,26,6
bessent,testifies,27.00000,1.87842,14.37381,18.62151,0.00000,12.00000,0.34000,3.25062,3.84537,3,22,2
search,toll,28.00000,1.99853,14.01031,18.61865,0.00000,11.00000,0.33697,3.21546,3.80842,2,24,2
space,ii crew,47.00000,5.51232,8.52636,18.61721,0.00000,19.00000,0.51098,4.72242,3.09193,5,34,8
year,later,29.00000,2.29434,12.63982,18.61540,0.00000,17.00000,0.36409,3.50729,3.65990,4,15,10
qatar,doha,25.00000,1.63962,15.24743,18.61316,0.00000,9.00000,0.52902,5.24293,3.93049,11,13,1
sen,kelly,52.00000,6.52680,7.96715,18.61101,0.00000,17.00000,0.31638,2.83075,2.99406,25,19,8
pm,mark carney,72.00000,12.12003,5.94058,18.60937,0.00000,12.00000,0.36165,3.36533,2.57060,3,66,3
football,indiana,20.00000,1.33757,14.95246,18.60855,0.00000,13.00000,0.48914,4.87073,3.90231,1,13,6
away,walks,21.00000,1.18480,17.72450,18.60792,0.00000,16.00000,0.38668,3.83367,4.14767,12,4,5
crashes,jet,25.00000,1.63857,15.25725,18.60497,0.00000,13.00000,0.30625,2.94719,3.93142,5,15,5
strikes,hit,243.00000,82.60295,2.94178,18.60207,0.00000,26.00000,0.24344,1.84419,1.55669,87,143,13
sen,fetterman,32.00000,2.59380,12.33710,18.60155,0.00000,7.00000,0.33894,3.21259,3.62493,2,7,23
protest,don lemon,60.00000,9.46958,6.33608,18.59381,0.00000,28.00000,0.32846,2.92436,2.66359,21,24,15
mayor,bass,31.00000,2.60389,11.90528,18.59347,0.00000,21.00000,0.46545,4.58984,3.57353,4,6,21
ufo,videos,27.00000,2.48816,10.85139,18.58649,0.00000,11.00000,0.40876,3.92555,3.43981,2,17,8
clinton,testifies,37.00000,3.48949,10.60326,18.58190,0.00000,18.00000,0.37570,3.48762,3.40644,12,20,5
women,men,171.00000,58.09803,2.92609,18.58070,0.00000,52.00000,0.47045,3.79119,1.54897,20,6,144
ii,return,60.00000,9.09659,6.59588,18.58019,0.00000,20.00000,0.35739,3.15518,2.72156,7,44,9
epstein,testifies,82.00000,14.82564,5.53096,18.58009,0.00000,26.00000,0.25464,2.23015,2.46753,30,42,10
gaza,genocide,48.00000,6.25577,7.67292,18.57337,0.00000,19.00000,0.46219,4.33914,2.93978,33,12,3
court,tyler robinson,59.00000,9.27006,6.36458,18.57178,0.00000,20.00000,0.27923,2.51763,2.67007,17,25,17
time,long,40.00000,3.94249,10.14588,18.57037,0.00000,21.00000,0.29717,2.74737,3.34282,5,13,22
pratt,bass,45.00000,5.99881,7.50149,18.56905,0.00000,21.00000,0.64943,6.30143,2.90718,1,10,34
prices,inflation,59.00000,7.96438,7.40798,18.56886,0.00000,21.00000,0.33326,2.95742,2.88908,17,39,3
north,south korea,30.00000,2.32879,12.88224,18.56646,0.00000,11.00000,0.40707,3.87873,3.68731,2,27,1
crash,dui,25.00000,1.66327,15.03066,18.56359,0.00000,11.00000,0.45102,4.51326,3.90984,1,15,9
epstein,names,88.00000,18.23025,4.82714,18.56258,0.00000,34.00000,0.35280,3.23007,2.27117,44,31,13
trial,charlie,90.00000,18.64482,4.82708,18.55879,0.00000,35.00000,0.30545,2.57603,2.27115,10,17,63
charlie kirk,killer,44.00000,4.98270,8.83055,18.55839,0.00000,17.00000,0.39002,3.58979,3.14250,10,21,13
energy,chris,25.00000,1.64779,15.17180,18.55803,0.00000,14.00000,0.28546,2.75734,3.92332,3,17,5
drone,swarm,28.00000,2.02961,13.79574,18.55656,0.00000,8.00000,0.39968,3.98902,3.78615,12,12,4
testifies,confirmation,23.00000,1.41591,16.24395,18.55310,0.00000,10.00000,0.39572,3.86298,4.02183,6,17,0
unleashes,fury,40.00000,3.93167,10.17379,18.55187,0.00000,6.00000,0.39789,3.67057,3.34678,25,13,2
colombia,quake,32.00000,2.74792,11.64517,18.55039,0.00000,10.00000,0.55086,5.32295,3.54166,4,24,4
meeting,high-stakes,45.00000,4.91363,9.15820,18.55022,0.00000,15.00000,0.34116,3.15297,3.19506,4,30,11
mission,launch,68.00000,10.92669,6.22329,18.54964,0.00000,20.00000,0.39136,3.42065,2.63768,9,52,7
russian,drones,111.00000,23.40560,4.69973,18.54727,0.00000,13.00000,0.35432,2.94105,2.23258,22,85,3
german,afd,20.00000,1.08248,18.47606,18.54399,0.00000,7.00000,0.49799,4.97732,4.20759,5,13,2
election,orb,30.00000,2.34528,12.79163,18.54293,0.00000,13.00000,0.33460,3.32607,3.67713,5,22,3
explodes,blue,27.00000,1.90663,14.16108,18.53911,0.00000,15.00000,0.32594,3.12094,3.82386,3,19,5
election,bangladesh,58.00000,8.04818,7.20660,18.53432,0.00000,7.00000,0.30877,2.79045,2.84932,9,49,0
aircraft,downed,22.00000,1.29461,16.99354,18.53416,0.00000,7.00000,0.43421,4.28046,4.08691,16,4,2
tax,billionaire,44.00000,5.66719,7.58754,18.53391,0.00000,24.00000,0.45785,4.22479,2.92363,15,21,7
dead,crash,60.00000,8.15234,7.35985,18.53364,0.00000,19.00000,0.26236,2.30683,2.87968,8,44,8
state,tv,44.00000,4.88931,8.99922,18.53156,0.00000,16.00000,0.22671,2.07640,3.16980,8,26,10
oil,blockade,120.00000,27.96050,4.29177,18.51755,0.00000,29.00000,0.26735,2.20175,2.10157,41,61,18
leader,labour,41.00000,4.34351,9.43937,18.51618,0.00000,14.00000,0.33463,3.11588,3.23869,24,16,1
attack,berlin,58.00000,7.82528,7.41187,18.51506,0.00000,17.00000,0.32497,3.05707,2.88984,10,44,4
strait of hormuz,closure,34.00000,2.99629,11.34736,18.51397,0.00000,17.00000,0.37669,3.70773,3.50428,11,18,5
building,outside,39.00000,3.77743,10.32447,18.51244,0.00000,16.00000,0.34788,3.20643,3.36800,6,21,12
money,dark,44.00000,5.39400,8.15721,18.51216,0.00000,28.00000,0.37632,3.43559,3.02808,34,3,7
plane,collision,28.00000,2.09232,13.38225,18.50845,0.00000,11.00000,0.46395,4.51477,3.74225,1,21,6
hormuz,tensions,175.00000,50.82050,3.44349,18.50573,0.00000,20.00000,0.26911,2.13897,1.78387,67,97,11
know,doesn't,60.00000,8.54320,7.02313,18.50466,0.00000,39.00000,0.30527,2.69110,2.81211,27,15,18
crew,spacex,24.00000,1.52137,15.77524,18.50383,0.00000,13.00000,0.31250,3.02016,3.97959,1,20,3
race,pratt,49.00000,6.58435,7.44188,18.50317,0.00000,23.00000,0.37977,3.45880,2.89567,7,22,20
spain,wildfires,69.00000,10.87731,6.34348,18.49826,0.00000,14.00000,0.44797,3.95504,2.66527,18,48,3
meeting,board of peace,37.00000,3.46111,10.69021,18.48832,0.00000,19.00000,0.32555,3.06726,3.41822,8,22,7
president,arrives,153.00000,42.28407,3.61838,18.48418,0.00000,17.00000,0.29101,2.41123,1.85535,4,136,13
rally,stocks,69.00000,10.82577,6.37368,18.48259,0.00000,8.00000,0.38296,3.34487,2.67213,3,66,0
davos,economic forum,92.00000,19.78369,4.65030,18.48201,0.00000,19.00000,0.67374,6.30067,2.21732,2,83,7
trump,ontario,123.00000,35.20155,3.49416,18.48025,0.00000,36.00000,0.14355,2.14376,1.80495,34,63,26
charles iii,camilla,38.00000,3.96057,9.59457,18.47471,0.00000,14.00000,0.73891,7.33676,3.26222,5,28,5
major,update,111.00000,25.10131,4.38224,18.47008,0.00000,30.00000,0.27217,2.24427,2.13167,53,22,35
attack,suspect,93.00000,17.79212,5.22703,18.46955,0.00000,22.00000,0.23361,1.98865,2.38599,18,59,16
control,damage,34.00000,2.97407,11.43216,18.46580,0.00000,20.00000,0.31821,2.98872,3.51503,19,6,9
epstein,note,55.00000,7.51091,7.32268,18.46363,0.00000,27.00000,0.30558,2.89485,2.87237,23,23,9
james,jasmine crockett,24.00000,1.55657,15.41853,18.46234,0.00000,14.00000,0.40412,3.97011,3.94659,9,13,2
winter,weather,29.00000,2.26553,12.80053,18.45804,0.00000,9.00000,0.44067,4.22981,3.67813,2,26,1
minnesota,lindell,27.00000,1.99737,13.51779,18.44588,0.00000,7.00000,0.38384,3.84875,3.75679,3,3,21
minnesota,tom homan,61.00000,8.89217,6.85997,18.44475,0.00000,25.00000,0.41227,3.76292,2.77820,15,25,21
god,oh,29.00000,2.35105,12.33492,18.43852,0.00000,18.00000,0.45453,4.35471,3.62468,19,1,9
ai,model,56.00000,8.06712,6.94176,18.43798,0.00000,20.00000,0.35337,3.35957,2.79530,8,41,7
florida,beach,28.00000,2.30029,12.17236,18.43666,0.00000,9.00000,0.38339,3.68033,3.60554,2,23,3
risk,puts,21.00000,1.18099,17.78166,18.42994,0.00000,13.00000,0.34336,3.36922,4.15232,7,10,4
director,tulsi gabbard,21.00000,1.21053,17.34777,18.42628,0.00000,13.00000,0.37559,3.69787,4.11668,6,12,3
epstein,victims,75.00000,13.59320,5.51746,18.42405,0.00000,38.00000,0.25039,2.21509,2.46401,36,28,11
fans,league,23.00000,1.46646,15.68399,18.41589,0.00000,9.00000,0.42336,4.19877,3.97122,7,15,1
right,far,55.00000,7.74996,6.96778,18.41575,0.00000,27.00000,0.35560,3.19010,2.80070,33,11,10
apart,fell,25.00000,1.84681,13.53684,18.41429,0.00000,19.00000,0.51363,5.12605,3.75882,13,2,10
fbi,probe,60.00000,8.32868,7.20402,18.41041,0.00000,23.00000,0.30575,2.69794,2.84880,14,24,22
women,team,51.00000,6.68457,7.62951,18.40611,0.00000,20.00000,0.25166,2.24838,2.93159,3,34,14
kimmel,fcc,23.00000,1.56013,14.74234,18.40534,0.00000,16.00000,0.55953,5.55709,3.88189,11,7,5
truth,tell,39.00000,4.16721,9.35878,18.40380,0.00000,23.00000,0.35473,3.32186,3.22632,16,1,22
keir,british,39.00000,4.07107,9.57978,18.39569,0.00000,14.00000,0.40148,3.71419,3.25999,5,29,5
crashes,aircraft,20.00000,1.08816,18.37968,18.39302,0.00000,9.00000,0.28806,2.83500,4.20004,3,16,1
defense,luigi,24.00000,1.55516,15.43247,18.38103,0.00000,8.00000,0.34409,3.35683,3.94790,0,18,6
scotus,citizenship,75.00000,13.96780,5.36949,18.37766,0.00000,36.00000,0.46806,4.08742,2.42479,28,13,34
senate,ken paxton,49.00000,5.94558,8.24142,18.37648,0.00000,19.00000,0.35311,3.30839,3.04289,7,27,15
resignation,kent,35.00000,3.77231,9.27813,18.37582,0.00000,21.00000,0.50451,4.76856,3.21383,10,14,11
meta,safety,25.00000,1.66883,14.98058,18.36890,0.00000,14.00000,0.38556,3.72379,3.90502,3,19,3
oil,strait of hormuz,189.00000,57.33281,3.29654,18.35965,0.00000,34.00000,0.24302,1.88676,1.72095,41,113,35
soldiers,idf,39.00000,3.94883,9.87634,18.35962,0.00000,16.00000,0.44021,4.08678,3.30398,25,7,7
graham,tribute,36.00000,4.05630,8.87508,18.35759,0.00000,19.00000,0.32260,3.02766,3.14976,8,19,9
health,ebola outbreak,27.00000,1.95264,13.82741,18.35319,0.00000,13.00000,0.37782,3.67691,3.78946,9,18,0
economic,bessent,63.00000,9.47247,6.65085,18.35155,0.00000,27.00000,0.37455,3.30659,2.73354,6,33,24
students,university,32.00000,2.86196,11.18115,18.35073,0.00000,17.00000,0.43079,4.08764,3.48300,4,17,11
worse,think,71.00000,12.95383,5.17222,18.35039,0.00000,43.00000,0.42194,3.68377,2.37078,35,2,30
run,presidential,32.00000,2.89069,11.07004,18.34756,0.00000,24.00000,0.36293,3.41857,3.46859,7,14,11
bank,england,21.00000,1.19559,17.56456,18.34683,0.00000,6.00000,0.35996,3.53625,4.13460,12,8,1
massive,blaze,37.00000,3.53332,10.47173,18.34682,0.00000,7.00000,0.38133,3.73881,3.38843,7,25,5
sen,blumenthal,20.00000,1.11806,17.88809,18.34655,0.00000,5.00000,0.35940,3.61386,4.16093,15,5,0
green,light,21.00000,1.37029,15.32528,18.34587,0.00000,15.00000,0.46581,4.61093,3.93784,8,7,6
man,accused,47.00000,5.37349,8.74664,18.34422,0.00000,10.00000,0.27944,2.52909,3.12873,0,41,6
home,nancy,119.00000,32.34733,3.67882,18.34403,0.00000,20.00000,0.38273,3.15390,1.87924,7,67,45
fraud,ilhan,73.00000,12.46589,5.85598,18.33771,0.00000,24.00000,0.38165,3.34593,2.54991,13,5,55
day,patrick,44.00000,5.11558,8.60118,18.33632,0.00000,16.00000,0.30351,2.86708,3.10453,3,32,9
sea,yemen,43.00000,4.79009,8.97687,18.33514,0.00000,13.00000,0.46424,4.30563,3.16621,20,22,1
state,great,77.00000,13.72123,5.61174,18.33502,0.00000,30.00000,0.29196,2.53321,2.48845,23,26,28
security,social,63.00000,9.20238,6.84605,18.33371,0.00000,29.00000,0.26688,2.34082,2.77527,32,23,8
tech,companies,34.00000,3.24025,10.49303,18.33296,0.00000,20.00000,0.37883,3.58039,3.39136,7,20,7
ufo,mystery,23.00000,1.44140,15.95672,18.33231,0.00000,6.00000,0.41514,4.05635,3.99609,4,18,1
world cup,win,101.00000,21.16065,4.77301,18.33185,0.00000,22.00000,0.26669,2.21770,2.25490,16,79,6
maduro,arrest,80.00000,15.38155,5.20104,18.33049,0.00000,26.00000,0.33554,2.87300,2.37880,9,46,25
anthropic,ipo,31.00000,2.81683,11.00526,18.32893,0.00000,8.00000,0.48445,4.62172,3.46012,2,29,0
