term,n_titles,degree,strength,betweenness,community
escalate,316,6,11.84784,0.00040,0
shadow,237,4,11.66846,0.00017,0
submarine,103,3,11.50661,0.00001,0
mines,117,3,11.22670,0.00000,0
ocean,112,2,11.02919,0.00036,0
asia,1097,6,10.98183,0.00031,0
largest,289,5,10.93827,0.00048,0
benjamin,127,3,10.86145,0.00000,0
united,451,2,10.82030,0.00000,0
honors,266,3,10.71195,0.00009,0
seize,186,3,10.45009,0.00001,0
closure,131,3,10.43887,0.00000,0
assets,168,3,10.40603,0.00038,0
line,623,2,10.38997,0.00000,0
ballistic missile,128,4,10.15790,0.00000,0
closes,182,3,9.96425,0.00000,0
completely,488,4,9.90853,0.00039,0
remains,320,4,9.90230,0.00006,0
hypersonic,111,3,9.74362,0.00000,0
weapon,372,4,9.47851,0.00043,0
facilities,145,3,9.08576,0.00001,0
cross,156,2,9.02474,0.00018,0
trouble,380,3,8.97177,0.00002,0
linked,256,3,8.93919,0.00000,0
kremlin,264,5,8.82995,0.00002,0
project freedom,100,4,8.76976,0.00022,0
vladimir putin,114,3,8.71715,0.00003,0
vladimir,120,3,8.67491,0.00003,0
intensify,165,3,8.55375,0.00003,0
deploys,296,4,8.53138,0.00019,0
patriot,332,3,8.49508,0.00000,0
southern lebanon,164,3,8.49471,0.00000,0
seized,157,2,8.37323,0.00000,0
grip,142,2,8.28777,0.00000,0
losing,654,4,8.23876,0.00022,0
lives,301,2,8.17147,0.00003,0
tightens,104,2,8.11706,0.00000,0
false,194,2,8.10466,0.00001,0
command,185,2,8.01740,0.00001,0
production,163,3,7.65153,0.00002,0
african,230,2,7.58357,0.00001,0
tried,374,2,7.37677,0.00012,0
standoff,251,3,7.18404,0.00005,0
doha,115,2,7.04261,0.00000,0
ports,149,2,6.91027,0.00000,0
uranium,232,3,6.68815,0.00000,0
ambassador,397,3,6.68058,0.00017,0
frozen,105,1,6.55009,0.00000,0
stops,170,2,6.49850,0.00000,0
confirms,553,4,6.42375,0.00014,0
pipeline,141,2,6.40652,0.00000,0
opened,101,2,6.40286,0.00000,0
exit,358,2,6.33520,0.00001,0
options,209,3,6.32091,0.00018,0
red line,193,1,6.25852,0.00000,0
target,650,3,6.20638,0.00000,0
cool,114,1,6.14250,0.00000,0
territory,182,3,5.93024,0.00005,0
heroes,162,2,5.90823,0.00002,0
pacific,114,1,5.80932,0.00000,0
region,270,3,5.80540,0.00000,0
heard,182,1,5.77346,0.00000,0
program,322,2,5.67734,0.00000,0
embassy,243,2,5.66710,0.00000,0
reopens,100,2,5.65469,0.00000,0
poland,242,3,5.54147,0.00001,0
kid,179,2,5.51201,0.00001,0
kharg island,179,3,5.50506,0.00003,0
following,526,3,5.48136,0.00009,0
