a,b,creator,group,titles,n_a,n_b,both,log_or,se
epstein_broad,war_broad,@chicksonright,right,620,13,16,0,0.2835,1.4616
epstein_broad,war_broad,@AndWeKnowOfficial-o9b,right,184,6,7,0,0.5647,1.5143
epstein_broad,war_broad,@RSBN,right,1803,6,30,0,1.4946,1.4789
epstein_broad,war_broad,@RealAmericasVoice,right,3867,99,576,5,-1.1220,0.4410
epstein_broad,war_broad,@NewsmaxTV,right,4115,85,139,0,-1.8132,1.4210
epstein_broad,war_broad,@oann,right,2037,11,109,0,-0.2726,1.4480
epstein_broad,war_broad,@FoxNews,right,8181,42,635,0,-1.9738,1.4231
epstein_broad,war_broad,@FoxNewsChannelClips,right,5417,16,179,0,-0.1260,1.4375
epstein_broad,war_broad,@NBCNews,neutral,5081,86,325,0,-2.4896,1.4195
epstein_broad,war_broad,@CNN,left,1731,62,246,2,-1.4233,0.6491
epstein_broad,war_broad,@ABCNews,neutral,6772,97,531,0,-2.8254,1.4186
epstein_broad,war_broad,@CBSNews,neutral,8302,171,886,3,-1.7695,0.5412
epstein_broad,war_broad,@NewsNation,neutral,7161,105,491,5,-0.3023,0.4404
epstein_broad,war_broad,@Reuters,neutral,9577,79,834,0,-2.7287,1.4191
epstein_broad,war_broad,@BBCNews,neutral,2352,46,368,0,-2.8724,1.4229
epstein_broad,war_broad,@aljazeeraenglish,left,6641,21,1579,1,-1.4535,0.8463
epstein_broad,war_broad,@AssociatedPress,neutral,6359,90,768,0,-3.2302,1.4186
epstein_broad,war_broad,@markets,neutral,7511,12,811,0,-1.1096,1.4427
epstein_broad,war_broad,@USATODAY,neutral,2531,55,317,1,-1.6720,0.8298
epstein_broad,war_broad,@TheDailyBeast,left,328,30,16,3,0.9901,0.6322
epstein_broad,war_broad,@Forbes,neutral,1199,9,27,0,0.8006,1.4637
epstein_broad,war_broad,@nypost,right,6134,77,590,0,-2.8178,1.4194
epstein_broad,war_broad,@fightbackpodcast,right,606,56,19,3,0.7511,0.6057
epstein_broad,war_broad,@ThePodcastoftheLotusEaters,right,722,11,14,0,0.7379,1.4688
epstein_broad,war_broad,@VivaFrei,right,359,15,17,2,1.3703,0.7360
epstein_broad,war_broad,@RobertGouveiaEsq,right,1021,13,42,0,-0.1717,1.4487
epstein_broad,war_broad,@HasanReactionsfanTwo,left,319,10,18,0,-0.2873,1.4672
epstein_broad,war_broad,@HasanabiClips,left,500,17,56,2,0.2399,0.6966
epstein_broad,war_broad,@BadEmpanadaLive,left,275,13,10,0,-0.1158,1.4742
epstein_broad,war_broad,@franifio,left,331,6,14,0,0.5023,1.4920
epstein_broad,war_broad,@NickCruseRBN,left,122,8,24,2,0.4582,0.7804
epstein_broad,war_broad,@Forthepeoplepodcast305,left,155,8,22,0,-1.1144,1.4731
epstein_broad,war_broad,@Politicon,left,465,11,74,0,-1.5048,1.4502
epstein_broad,war_broad,@OwenReport,left,535,35,91,1,-1.6235,0.8421
epstein_broad,war_broad,@JillianMichaels,right,437,12,13,1,1.4620,0.9144
epstein_broad,war_broad,@ANINewsIndia,neutral,18776,60,1528,3,-0.3769,0.5512
epstein_broad,war_broad,@SkyNews,left,5168,85,638,0,-3.2011,1.4190
epstein_broad,war_broad,@NYTPodcasts,left,450,14,49,2,0.4947,0.7097
epstein_broad,war_broad,@timesofindia,left,11244,280,3245,6,-2.8740,0.3974
epstein_broad,war_broad,@Firstpost,neutral,18033,69,4426,1,-2.7031,0.8256
epstein_broad,war_broad,@TimesNowWorld,neutral,11284,168,3241,4,-2.7094,0.4783
epstein_broad,war_broad,https://rumble.com/c/russellbrand,right,257,5,9,0,0.8459,1.5137
epstein_broad,war_broad,https://rumble.com/c/nickjfuentes,right,305,6,69,0,-1.3660,1.4740
epstein_broad,war_broad,https://rumble.com/c/TheAlexJonesShowLive,right,415,5,67,0,-0.7708,1.4831
