month,topic_id,label,z_vs_own_months,share_month,share_mean_all_months,jump,n_titles_month,top_entities,example_1,example_2,example_3
2026-07,69,America 250th Anniversary Celebrations,2.37,0.0119,0.0045,0.0074,561,America (115); US (53); Trump (24); New York (19); DC (16),America 250th Anniversary LIVE: US President's Big America Speech | 4th July Fireworks Stuns City,"WATCH LIVE: America 250 celebrations | Fireworks across America | ""Salute to America"" | Trump",US News Live: Trump Begins America 250th Anniversary Celebrations In Grand Patriotic Show
2026-07,174,NATO Summit and Political Leaders,2.36,0.0038,0.0012,0.0026,325,NATO (130); Turkey (70); Ankara (63); Trump (42); Erdogan (25),NATO SUMMIT LIVE | Trump Confronts European Leaders as Ankara Summit Begins | Times Now World,WATCH: NATO Secretary General Rutte holds press conference ahead of summit in Ankara | Trump,NATO Summit LIVE: NATO Chief Mark Rutte Holds Press Conference | Ankara Talks
2026-08,152,Trump aide Natalie Harp and Jon Ossoff,2.64,0.0084,0.0014,0.007,184,Natalie Harp (89); Trump (44); Jon Ossoff (18); Ossoff (10); White House (6),TRENDING NOW! Who is Natalie Harp? Her Trump Connection explained as Jon Ossoff’s attack POTUS,Jon Ossoff Shines Spotlight on Trump’s Weird Relationship with Natalie Harp,Trumpworld Erupts When Reporter Asks About Natalie Harp | Morning Shots
2026-08,89,WNBA and Sophie Cunningham controversy,2.61,0.0162,0.003,0.0131,260,WNBA (74); NBA (15); Sophie Cunningham (9); Royce White (4); National Report (4),‘The Five’: WNBA dribbles up more drama,The WNBA Controversy Around Sophie Cunningham Explained,Transgender Debate Won't Die: WNBA Humiliates Itself Again
2026-08,62,Abdul El-Sayed vs AIPAC in Michigan Senate Primary,2.58,0.0158,0.0034,0.0125,383,Abdul El-Sayed (144); Michigan (72); El-Sayed (60); Senate (24); Mike Rogers (22),Abdul El-Sayed vs AIPAC: Michigan’s real primary | The Listening Post,Abdul El-Sayed DEFEATS AIPAC MACHINE in Michigan,WATCH: Abdul El-Sayed speaks after winning Michigan Senate Dem primary
2026-08,167,Dolly Parton's Death and Legacy,2.55,0.0072,0.0017,0.0056,279,Dolly Parton (74); Hayden Panettiere (8); Tennessee (7); US (6); Tim Curry (5),Dolly Parton Death LIVE | ‘There Will Never Be Anyone Like Her’: Trump Mourns Dolly Parton,Mark Levin Remembers Dolly Parton: A Tribute to an American Icon,Remembering Dolly Parton's life and legacy
2026-08,162,Trump's Beef and Food Policy Impact,2.53,0.0088,0.0035,0.0053,170,Trump (7); US (7); America (4); Taylor Farms (3); Ramen (2),America’s Beef Industry Is Under Attack and Fighting for Its Life,Farmer on Trump plan: Consumers don't want 'bad' foreign beef | NewsNation Prime,Trump’s Cheap Beef Plan Just Backfired Spectacularly
2026-08,183,Morning News Headlines,2.51,0.0021,0.001,0.001,98,Hasanabi (3); Malaysia (1); 😊Hasanabi (1); 😊Hasanabi LIVE😊 (1); 😲 (1),TYT Hour 2,TYT Hour 2,
2026-09,76,9/11 Remembrance 25 Years Later,2.67,0.0369,0.005,0.0318,663,Pentagon (37); America (23); Trump (19); New York (18); Mamdani (17),25 Years Later: Remembering the Heroes of 9/11,9/11 Remembered: 25 Years Later | NewsNation Special Report,25 Years Later: Remembering 9/11
2026-09,193,MAGA Mike Johnson political turmoil,2.52,0.0033,0.0015,0.0018,27,Mike Johnson (8); MAGA Mike (2); House (2); Mike Johnson Warns (2); OMG (1),Trump Keeps Making Mike Johnson's Life A Living Hell,🚨 MAGA Mike LOSES IT as WAR ESCALATES,Sad Mike Johnson MELTS DOWN As Reporters Confront Him Over THIS
2026-09,19,Lindsay Clancy Murder Trial,2.5,0.0471,0.0088,0.0383,584,Lindsay Clancy (262); Clancy (19); Lindsay Clancy Jury (13); Kevin Reddington (10); Lindsay Clancy Trial (9),VERDICT WATCH: Lindsay Clancy Trial,Lindsay Clancy trial takes a SHOCK turn,The Lindsay Clancy Jurors Speak Out: What They Say Will Shock You
2026-09,184,John Fetterman and Democratic Party Controversy,2.49,0.0049,0.0012,0.0036,61,Fetterman (17); John Fetterman (12); GOP (6); RNC (3); Israel (2),Fetterman CALLS OUT His Own Party And The View LOSES IT,BOMBSHELL Report on Senator John Fetterman STUNS,‘I’LL WORK WITH TRUMP’: John Fetterman Shocks Democrats With Surprise GOP Convention Video | WATCH
2026-09,214,Houthis Yemen Red Sea Conflict,2.46,0.0074,0.0017,0.0056,194,Yemen (61); Saudi Arabia (37); Houthis (20); Iran (17); Houthi (13),Houthi Strikes LIVE: Yemen's Houthis Launch Fresh Attacks on Saudi Arabia Weapon Trucks,How The Houthis STORMED Yemen and Shocked The World,"Iran Arms Yemen's MASSIVE Attack, US Navy & Saudi UNDER FIRE | Seyed M. Marandi"
2026-09,138,BRICS and India Diplomacy,2.43,0.0061,0.0021,0.0041,637,India (202); Putin (74); Delhi (65); New Delhi (48); BRICS (47),"BRICS: PM Modi Day of Power Diplomacy: 4 Leaders, One India Strategy | Vantage on Firstpost | 4K",Compilation Video! Modi-Putin-Xi Jinping’s Diplomacy to Declaration; Watch! 18th India BRICS Summit,BRICS 2026 LIVE: Modi Leads Closed-Door Global Talks | Leaders Debate New World Order
