phrase,word_a,word_b,gap,titles,channels,npmi,bound_pair
scott bessent,scott,bessent,0,215,42,0.6684,False
oval office,oval,office,0,213,47,0.8057,False
nick shirley,nick,shirley,0,212,71,0.8478,False
james talarico,james,talarico,0,209,63,0.6983,False
kevin warsh,kevin,warsh,0,209,32,0.7949,False
cruise ship,cruise,ship,0,208,32,0.7189,False
los angeles,los,angeles,0,203,43,0.9919,True
thomas massie,thomas,massie,0,202,62,0.8191,False
nyc mayor,nyc,mayor,0,195,40,0.504,False
hakeem jeffries,hakeem,jeffries,0,195,55,0.9115,True
justice department,justice,department,0,194,29,0.7199,False
red line,red,line,0,193,43,0.5656,False
eric swalwell,eric,swalwell,0,193,59,0.7588,False
foreign policy,foreign,policy,0,193,53,0.5638,False
rand paul,rand,paul,0,192,46,0.8715,False
hunter biden,hunter,biden,0,191,71,0.7549,False
ted cruz,ted,cruz,0,189,50,0.9167,True
ebola outbreak,ebola,outbreak,0,189,32,0.7252,False
nick fuentes,nick,fuentes,0,188,52,0.8186,False
kamala harris,kamala,harris,0,187,57,0.8334,False
federal agents,federal,agents,0,187,38,0.5034,False
cabinet meeting,cabinet,meeting,0,186,37,0.5337,False
mojtaba khamenei,mojtaba,khamenei,0,186,20,0.676,False
prince andrew,prince,andrew,0,184,60,0.6372,False
capitol hill,capitol,hill,0,184,36,0.662,False
bernie sanders,bernie,sanders,0,183,54,0.9166,True
operation epic,operation,epic,0,182,32,0.6228,False
voting rights,voting,rights,0,181,53,0.6401,False
kim jong,kim,jong,0,180,28,0.9045,True
moon mission,moon,mission,0,179,25,0.5996,False
slush fund,slush,fund,0,179,47,0.8132,False
kharg island,kharg,island,0,179,38,0.8147,False
mark levin,mark,levin,0,178,29,0.6823,False
security council,security,council,0,178,17,0.5547,False
kyle kulinski,kyle,kulinski,0,178,20,0.927,True
fighter jet,fighter,jet,0,178,42,0.7083,False
leo xiv,leo,xiv,0,176,22,0.8457,False
ufo files,ufo,files,0,175,41,0.5282,False
executive order,executive,order,0,174,42,0.6703,False
jasmine crockett,jasmine,crockett,0,174,60,0.9326,True
economic forum,economic,forum,0,173,32,0.6405,False
assassination attempt,assassination,attempt,0,173,72,0.7173,False
government shutdown,government,shutdown,0,173,38,0.5048,False
san diego,san,diego,0,173,40,0.9014,True
uss lincoln,uss,lincoln,0,173,34,0.7884,False
law enforcement,law,enforcement,0,171,39,0.6758,False
federal reserve,federal,reserve,0,166,39,0.6823,False
vp vance,vp,vance,0,164,22,0.5159,False
southern lebanon,southern,lebanon,0,164,21,0.5405,False
won't believe,won't,believe,0,162,33,0.5617,False
laura ingraham,laura,ingraham,0,162,14,0.9091,True
fighter jets,fighter,jets,0,160,25,0.7299,False
jeffrey sachs,jeffrey,sachs,0,159,17,0.8363,False
turning point,turning,point,0,158,55,0.6596,False
confirmation hearing,confirmation,hearing,0,156,33,0.5787,False
glenn beck,glenn,beck,0,155,26,0.8804,False
sources say,sources,say,0,154,10,0.6299,False
jimmy kimmel,jimmy,kimmel,0,154,53,0.8522,True
ballistic missiles,ballistic,missiles,0,152,24,0.5825,False
khamenei funeral,khamenei,funeral,0,152,18,0.5595,False
union address,union,address,0,151,47,0.5197,False
holy sh,holy,sh,0,149,16,0.7325,False
red carpet,red,carpet,0,149,20,0.6752,False
stephen a smith,stephen,smith,1,148,38,0.6109,False
washington dc,washington,dc,0,147,29,0.5408,False
larry johnson,larry,johnson,0,145,10,0.698,False
nepal floods,nepal,floods,0,144,17,0.5974,False
th amendment,th,amendment,0,144,51,0.581,False
homeland security,homeland,security,0,144,33,0.6034,False
protests erupt,protests,erupt,0,143,39,0.5414,False
voter id,voter,id,0,143,43,0.7452,False
charles iii,charles,iii,0,139,23,0.74,False
darline graham,darline,graham,0,138,31,0.661,False
nigel farage,nigel,farage,0,138,28,0.9148,True
naval blockade,naval,blockade,0,137,30,0.5887,False
anti-weaponization fund,anti-weaponization,fund,0,137,23,0.7814,False
mental health,mental,health,0,136,48,0.6073,False
tiger woods,tiger,woods,0,135,27,0.9327,True
natalie harp,natalie,harp,0,134,42,0.9087,True
death penalty,death,penalty,0,133,42,0.6283,False
scott jennings,scott,jennings,0,133,35,0.7454,False
tim pool,tim,pool,0,131,40,0.5403,False
prince harry,prince,harry,0,131,20,0.7123,False
pleads guilty,pleads,guilty,0,131,43,0.6642,False
midterm convention,midterm,convention,0,129,29,0.6205,False
ali khamenei,ali,khamenei,0,129,25,0.5905,False
service members,service,members,0,129,29,0.5458,False
ballistic missile,ballistic,missile,0,128,18,0.5079,False
bilateral meeting,bilateral,meeting,0,127,14,0.5165,False
andrew wilson,andrew,wilson,0,127,36,0.6449,False
dr oz,dr,oz,0,126,35,0.667,False
jim jordan,jim,jordan,0,126,29,0.6722,False
years later,years,later,0,126,53,0.5956,False
high alert,high,alert,0,125,15,0.5252,False
fulton county,fulton,county,0,125,23,0.8706,False
flash floods,flash,floods,0,124,16,0.7094,False
jeanine pirro,jeanine,pirro,0,124,30,0.9386,True
nba finals,nba,finals,0,124,41,0.8501,False
mark rutte,mark,rutte,0,123,16,0.5973,False
andrew tate,andrew,tate,0,122,49,0.6434,False
ghislaine maxwell,ghislaine,maxwell,0,122,44,0.893,True
dave rubin,dave,rubin,0,121,29,0.8586,False
insurrection act,insurrection,act,0,120,52,0.6388,False
caught lying,caught,lying,0,120,52,0.5155,False
jared kushner,jared,kushner,0,120,51,0.8363,False
winter olympics,winter,olympics,0,119,24,0.6793,False
german chancellor,german,chancellor,0,119,19,0.7938,False
border czar,border,czar,0,118,29,0.6721,False
civil rights,civil,rights,0,118,43,0.5966,False
marjorie taylor,marjorie,taylor,0,118,42,0.7714,False
taylor swift,taylor,swift,0,118,32,0.8191,False
jerome powell,jerome,powell,0,118,38,0.8684,False
laura loomer,laura,loomer,0,117,40,0.854,False
michael knowles,michael,knowles,0,117,29,0.7267,False
john bolton,john,bolton,0,116,37,0.6701,False
magnitude earthquake,magnitude,earthquake,0,116,16,0.7291,False
abraham lincoln,abraham,lincoln,0,116,28,0.8108,False
medal of honor,medal,honor,1,115,29,0.7911,False
taylor greene,taylor,greene,0,115,42,0.7927,False
vladimir putin,vladimir,putin,0,114,19,0.5539,False
pays tribute,pays,tribute,0,114,19,0.7763,False
henry nowak,henry,nowak,0,113,38,0.9171,True
