feature,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,communality,F1_varimax,F2_varimax,F3_varimax,F4_varimax,F5_varimax,F6_varimax,F7_varimax,F8_varimax,F9_varimax,F10_varimax,F11_varimax,F12_varimax
propn_share_mean,-0.1681,-0.4794,0.0362,-0.2184,-0.1167,0.3341,-0.3651,-0.0378,-0.2459,-0.0302,-0.042,0.0093,0.6303,-0.3413,0.143,0.0066,-0.0935,-0.6439,0.4418,-0.2209,0.0107,-0.006,-0.2793,0.0012,-0.0815
noun_share_mean,0.0895,0.1378,0.0181,-0.0638,-0.0486,-0.084,0.7954,-0.0035,0.1691,-0.0051,0.0063,0.0582,0.7056,-0.3075,-0.2583,0.0632,-0.1598,0.6398,-0.2378,-0.0205,-0.0479,-0.0001,0.2493,-0.2084,-0.0829
verb_share_mean,0.0842,0.5392,-0.1872,0.1632,-0.0167,-0.2618,-0.0269,-0.1936,0.1474,-0.1133,-0.1875,0.1386,0.5554,0.5645,-0.0445,-0.206,0.0481,0.362,-0.3648,0.1531,-0.2363,-0.1418,0.1884,0.2484,-0.0923
adj_share_mean,0.1542,0.1404,-0.0827,-0.0702,-0.0005,-0.2447,0.5297,-0.0859,0.2666,0.1102,0.0217,-0.0562,0.4901,-0.0321,-0.165,-0.0443,-0.0719,0.4895,-0.3489,-0.0451,-0.1234,0.0818,0.3013,-0.1713,0.0608
adv_share_mean,-0.0234,0.4644,0.4001,0.1638,-0.041,0.0137,-0.0723,0.0569,0.0535,-0.1405,-0.2704,-0.1591,0.5344,0.4982,0.0242,0.3593,-0.0405,0.2029,-0.0621,0.0654,-0.008,-0.1654,0.1034,-0.0674,-0.2209
num_share_mean,0.034,-0.0324,-0.0699,-0.0103,0.034,-0.1297,-0.0405,0.9504,0.0385,-0.0238,-0.0701,-0.0391,0.9387,-0.0076,-0.1191,-0.046,-0.005,-0.0953,-0.1223,-0.0266,0.9154,-0.0162,0.0547,-0.0854,-0.0527
vader_neg_mean,-0.7636,-0.0396,-0.1928,-0.0292,-0.026,-0.2172,-0.0666,-0.136,0.1767,-0.0192,0.0238,-0.0414,0.7273,-0.0649,0.7631,-0.2301,-0.0997,-0.0614,-0.208,-0.0371,-0.1747,0.0189,0.1163,0.005,-0.2408
vader_pos_mean,0.4459,-0.102,-0.1282,-0.0917,0.0347,-0.1557,-0.0617,-0.0555,0.094,0.0011,0.5297,-0.1034,0.5665,-0.0315,-0.1381,-0.0284,0.0875,0.0083,-0.0381,-0.048,0.0206,-0.0089,0.0121,-0.0089,0.6511
vader_compound_mean,0.9149,-0.05,0.0522,-0.0118,0.0093,0.0385,0.03,0.0471,-0.0391,-0.046,0.1274,-0.0407,0.8686,0.1267,-0.7609,0.1243,0.0896,0.0027,0.0469,0.0025,0.096,-0.1015,-0.0124,-0.0628,0.4815
formulaic_p100,0.0068,-0.1776,0.4719,0.1587,-0.0423,0.2132,0.093,0.2156,0.0722,-0.14,0.1332,0.1962,0.4629,-0.3679,-0.071,0.5204,-0.1272,-0.0386,0.1953,0.2141,0.2385,-0.115,0.0596,-0.0037,-0.0138
