term,n_titles,degree,strength,betweenness,community
tim walz,64,1,3.12425,0.00000,3
walz,100,1,3.09970,0.00000,3
airports,63,1,2.98834,0.00000,3
facility,109,1,2.54954,0.00000,3
detained,83,1,2.50945,0.00000,3
shootings,64,1,2.31214,0.00000,3
killings,62,1,2.24074,0.00000,3
murders,31,1,2.22418,0.00000,3
horrific,74,1,2.08148,0.00000,3
raids,74,1,1.97345,0.00000,3
enforcement,51,1,1.97336,0.00000,3
airport,178,1,1.90416,0.00000,3
citizen,73,1,1.78838,0.00000,3
tactics,80,1,1.78299,0.00000,3
violent,101,1,1.77784,0.00000,3
officer,117,1,1.77220,0.00000,3
footage,207,1,1.77128,0.00000,3
kills,224,1,1.51180,0.00000,3
shoots,130,1,1.45304,0.00000,3
mn,133,1,1.40736,0.00000,3
man,479,1,1.29510,0.00000,3
year-old,109,1,1.28313,0.00000,3
prison,202,1,1.09280,0.00000,3
defends,230,1,1.06479,0.00000,3
china,1014,12,28.51092,0.01530,4
russia,1262,14,25.23260,0.01768,4
attack,1749,14,23.32811,0.03273,4
ukraine,1111,12,23.30396,0.01084,4
strikes,1360,15,23.21931,0.04202,4
putin,1407,9,16.85956,0.00489,4
nato,940,8,16.39405,0.00582,4
drone,361,7,14.40617,0.00540,4
school,236,4,13.84832,0.00169,4
strike,841,7,13.79689,0.00842,4
drones,262,5,13.68946,0.00242,4
russian,454,6,13.17072,0.00320,4
attacks,1093,6,12.03360,0.00448,4
hit,952,6,11.72833,0.00972,4
xi,334,5,11.67533,0.00222,4
missiles,501,6,11.52065,0.01697,4
europe,476,6,11.45215,0.00464,4
missile,690,7,11.03455,0.01269,4
allies,441,5,10.73947,0.00262,4
backfires,631,4,10.01054,0.01007,4
kyiv,289,4,9.26047,0.00163,4
moscow,147,4,9.15724,0.00490,4
help,294,3,8.57781,0.00246,4
low,187,2,7.83010,0.00246,4
instantly,294,2,7.49211,0.00082,4
general,319,2,6.96546,0.00246,4
germany,168,2,6.95309,0.00246,4
ukrainian,151,2,6.58330,0.00000,4
zelensky,381,3,6.43300,0.00000,4
taiwan,93,2,6.12793,0.00000,4
launches,305,3,6.07492,0.00094,4
kuwait,170,2,5.92959,0.00082,4
visit,174,2,5.82282,0.00246,4
hits,651,2,5.77751,0.00328,4
beijing,91,2,5.73248,0.00000,4
retired,51,1,4.93067,0.00000,4
regrets,76,1,4.76447,0.00000,4
summit,206,2,4.59324,0.00014,4
bases,340,3,4.58684,0.00085,4
afd,32,1,4.57775,0.00000,4
girls,67,1,4.43780,0.00000,4
beirut,128,2,4.39166,0.00000,4
bahrain,93,1,4.05351,0.00000,4
begs,174,1,3.87723,0.00000,4
terror,211,2,3.75728,0.00434,4
approval,150,1,3.66341,0.00000,4
hard,177,1,3.54048,0.00000,4
wildfires,104,1,3.51620,0.00000,4
bombing,171,1,3.37448,0.00000,4
stunt,153,1,3.09604,0.00000,4
barrage,76,1,3.02639,0.00000,4
xi jinping,80,1,3.02621,0.00000,4
alliance,78,1,2.98406,0.00000,4
