genre,titles,creator,group,nn1,nn2,nn3,nn4,nn5,nn1_group,nn2_group,nn3_group,nn4_group,nn5_group,nn1_js,nn2_js,nn3_js,nn4_js,nn5_js
videos,political,@TheMichaelCohenShow,left,@MeidasTouch,@FarronBalanced,@thedavidpakmanshow,@SecularTalk,@podsaveamerica,left,left,left,left,left,0.45,0.468,0.469,0.483,0.493
videos,political,@TheOfficerTatum,right,@MegynKelly,@bennyjohnson,@BlackConservativePerspective,@MichaelKnowles,@ActualJusticeWarrior,right,right,right,right,right,0.539,0.557,0.56,0.565,0.572
videos,political,@ThePodcastoftheLotusEaters,right,https://rumble.com/c/russellbrand,@AsmonTV,@winston_marshall,@TimcastIRL,@NovaraMedia,right,right,right,right,left,0.581,0.584,0.584,0.586,0.59
videos,political,@TheQuartering,right,@TimcastNews,@TimcastIRL,@LiberalHivemind,@AsmonTV,@HasanAbi,right,right,right,right,left,0.477,0.494,0.565,0.569,0.572
videos,political,@TheRealTabithaSpeaks,left,@TheMajorityReport,@rolandsmartin,@TheVaushPit,@Tim_Black,@TheJoyReidShow,left,left,left,right,left,0.569,0.587,0.594,0.596,0.6
videos,political,@TheSerfTimes,left,@DailyDenims,@Xanderhal,@MichaelKnowles,@DestinyDGGClips,@AfterPartyEmily,left,left,right,right,right,0.621,0.631,0.661,0.669,0.678
videos,political,@TheVaushPit,left,@Vaush,@HasanAbi,@TheMajorityReport,@TimcastIRL,@destiny,left,left,left,right,left,0.474,0.497,0.498,0.535,0.542
videos,political,@TheYoungTurks,left,@DueDissidence,@breakingpoints,@thejimmydoreshow,@SabbySabs,@SecularTalk,left,left,neutral,left,left,0.366,0.397,0.397,0.434,0.445
videos,political,@The_Crucible,right,@AndrewKlavan,@destiny,@bbrettcooper,@Xanderhal,@JustPearlyThings,right,left,right,left,right,0.654,0.662,0.663,0.678,0.685
videos,political,@TimDillonShow,neutral,@NYTPodcasts,@PartOfTheProblem,@RedactedNews,@TheAdamCarollaShow1,@underthedesknews,left,right,right,right,left,0.748,0.75,0.751,0.755,0.76
videos,political,@Tim_Black,right,@rolandsmartin,@TheRealTabithaSpeaks,@BlackConservativePerspective,@MrTariqNasheed,@jlptalk,left,left,right,right,right,0.531,0.596,0.608,0.613,0.626
videos,political,@Timcast,right,@TimcastIRL,@TimcastNews,@RealDanBongino,@LiberalHivemind,@HasanAbi,right,right,right,right,left,0.474,0.486,0.562,0.564,0.592
videos,political,@TimcastIRL,right,@TimcastNews,@LiberalHivemind,@HasanAbi,@AsmonTV,@Timcast,right,right,left,right,right,0.348,0.434,0.453,0.468,0.474
videos,political,@TimcastNews,right,@TimcastIRL,@LiberalHivemind,@AsmonTV,@HasanAbi,@TheQuartering,right,right,right,left,right,0.348,0.421,0.457,0.469,0.477
videos,political,@TimesNowWorld,neutral,@timesofindia,@JamarlThomas,@BBCNews,@aljazeeraenglish,@AssociatedPress,left,left,neutral,left,neutral,0.389,0.472,0.506,0.531,0.541
videos,political,@TomiLahrenIsFearless,right,@AfterPartyEmily,@MegynKelly,@TheAdamCarollaShow1,@NewsmaxTV,@clayandbuck,right,right,right,right,right,0.598,0.649,0.665,0.676,0.677
videos,political,@TuckerCarlson,neutral,@fightbackpodcast,@KimIversen,@RedactedNews,@TheYoungTurks,@thejimmydoreshow,right,neutral,right,left,neutral,0.572,0.578,0.596,0.606,0.612
videos,political,@USATODAY,neutral,@CBSNews,@NewsNation,@thehill,@nypost,@AssociatedPress,neutral,neutral,neutral,right,neutral,0.326,0.383,0.396,0.412,0.424
videos,political,@UnHerd,left,@TheEconomist,@NovaraMedia,@BBCNews,@SkyNews,@RedactedNews,left,left,neutral,left,right,0.616,0.626,0.637,0.644,0.657
videos,political,@Vaush,left,@HasanAbi,@TheMajorityReport,@TheVaushPit,@TimcastIRL,@SecularTalk,left,left,left,right,left,0.467,0.472,0.474,0.519,0.531
videos,political,@VivaFrei,right,@MegynKelly,@RealAmericasVoice,@NewsmaxTV,@TheOfficerTatum,@NewsNation,right,right,right,right,neutral,0.58,0.608,0.619,0.62,0.622
videos,political,@Vox,left,@TheVaushPit,@TheAtlantic,@Vaush,@franifio,@samharrisorg,left,left,left,left,left,0.617,0.629,0.651,0.655,0.66
videos,political,@X22Report-y5y,right,@markets,@AndWeKnowOfficial-o9b,@thomhartmann,@BelleRanch,@RedactedNews,neutral,right,left,left,right,0.696,0.701,0.703,0.751,0.76
videos,political,@XAVIAER,right,@ActualJusticeWarrior,@TheOfficerTatum,@MichaelKnowles,@BenShapiro,@CamHigby,right,right,right,right,right,0.665,0.666,0.668,0.67,0.671
videos,political,@Xanderhal,left,@TimcastIRL,@MichaelKnowles,@MattWalsh,@TheAmalaEkpunobi,@TheVaushPit,right,right,right,right,left,0.591,0.609,0.614,0.621,0.622
videos,political,@ZeihanonGeopolitics,neutral,@JamarlThomas,@TimesNowWorld,@aljazeeraenglish,@Reuters,@Firstpost,left,neutral,left,neutral,neutral,0.513,0.558,0.581,0.591,0.601
videos,political,@ZubyMusic,right,@PragerU,@morebridgetphetasy,@winston_marshall,@JustPearlyThings,@DarkHorsePod,right,right,right,right,right,0.65,0.65,0.652,0.656,0.662
videos,political,@aaronparnas1,left,@MeidasTouch,@katiephangnews,@briantylercohen,@FarronBalanced,@podsaveamerica,left,left,left,left,left,0.451,0.465,0.474,0.476,0.501
videos,political,@adammockler,left,@JackCocchiarellaShow,@harryjsisson,@thedavidpakmanshow,@LukeBeasley,@FarronBalanced,left,left,left,left,left,0.346,0.349,0.42,0.444,0.5
videos,political,@aljazeeraenglish,left,@BBCNews,@Reuters,@Firstpost,@AssociatedPress,@timesofindia,neutral,neutral,neutral,neutral,left,0.413,0.428,0.431,0.441,0.456
videos,political,@axios,neutral,@Semafor,@TechCrunch,@TheAtlantic,@samharrisorg,@Forbes,neutral,neutral,left,left,neutral,0.633,0.691,0.702,0.708,0.708
videos,political,@bbrettcooper,right,@MichaelKnowles,@theisabelbrown,@BenShapiro,@MattWalsh,@JustPearlyThings,right,right,right,right,right,0.614,0.636,0.641,0.646,0.652
videos,political,@bennyjohnson,right,@NewsmaxTV,@RealAmericasVoice,@BlazeTV,@FoxNews,@thehill,right,right,right,right,neutral,0.457,0.466,0.472,0.491,0.492
videos,political,@breakingpoints,left,@TheYoungTurks,@CNN,@DueDissidence,@thehill,@thejimmydoreshow,left,left,left,neutral,neutral,0.397,0.431,0.443,0.449,0.465
videos,political,@briantylercohen,left,@LegalAFMTN,@katiephangnews,@FarronBalanced,@aaronparnas1,@MeidasTouch,left,left,left,left,left,0.449,0.449,0.468,0.474,0.495
videos,political,@bulwarkmedia,left,@msnow,@Politicon,@podsaveamerica,@dollemore,@FarronBalanced,left,left,left,left,left,0.407,0.491,0.509,0.51,0.512
videos,political,@cafedotcom,left,@JesseKellyDC,@msnow,@thomhartmann,@DemocracyDocket,@katiephangnews,right,left,left,left,left,0.646,0.647,0.659,0.67,0.676
videos,political,@chicksonright,right,@GrahamAllen,@BenShapiro,@MegynKelly,@RubinReport,@AfterPartyEmily,right,right,right,right,right,0.539,0.615,0.634,0.645,0.649
videos,political,@chinainsights-r2w,neutral,@GeopoliticalEconomyReport,@markets,@JamarlThomas,@ZeihanonGeopolitics,@Reuters,left,neutral,left,neutral,neutral,0.664,0.738,0.748,0.764,0.767
videos,political,@chriscuomo,left,@OwenReport,@thomhartmann,@msnow,@TheMajorityReport,@TheYoungTurks,left,left,left,left,left,0.576,0.59,0.599,0.599,0.602
videos,political,@clayandbuck,right,@FoxNewsChannelClips,@NewsmaxTV,@oann,@thehill,@NewsNation,right,right,right,neutral,neutral,0.392,0.42,0.459,0.463,0.477
videos,political,@deanwithrs,left,@PiscoLitty,@PTLRadioShow,@The_Crucible,@destiny,@RebelHQ,left,left,right,left,left,0.731,0.747,0.856,0.856,0.863
videos,political,@destiny,left,@HasanAbi,@TheVaushPit,@LiberalHivemind,@TimcastIRL,@hutch,left,left,right,right,neutral,0.541,0.542,0.554,0.555,0.563
videos,political,@destinyhqclips,neutral,@destiny,@DailyDenims,@DestinyDGGClips,@Vaush,@hutch,left,left,right,left,neutral,0.596,0.604,0.632,0.672,0.677
videos,political,@dineshdsouza,right,@fightbackpodcast,@PragerU,@ZubyMusic,@EzraKleinShow,@newdiscourses,right,right,right,left,right,0.67,0.674,0.691,0.692,0.701
videos,political,@dollemore,left,@TheDamageReport,@RebelHQ,@FarronBalanced,@podsaveamerica,@SecularTalk,left,left,left,left,left,0.363,0.385,0.391,0.463,0.471
videos,political,@fastpoliticspodcast,left,@FarronBalanced,@TheDailyBeast,@podsaveamerica,@TheDamageReport,@thedavidpakmanshow,left,left,left,left,left,0.532,0.577,0.577,0.58,0.582
videos,political,@fightbackpodcast,right,https://rumble.com/c/TheAlexJonesShowLive,@TuckerCarlson,@KimIversen,@OwenReport,@thejimmydoreshow,right,neutral,neutral,left,neutral,0.52,0.572,0.601,0.608,0.617
videos,political,@franifio,left,@TheMajorityReport,@DueDissidence,@TheYoungTurks,@clayandbuck,@JillianMichaels,left,left,left,right,right,0.538,0.544,0.563,0.57,0.585
videos,political,@glennbeck,right,@BlazeTV,@NewsmaxTV,@RealAmericasVoice,@FoxNewsChannelClips,@FoxNews,right,right,right,right,right,0.44,0.482,0.493,0.514,0.518
videos,political,@harryjsisson,left,@adammockler,@JackCocchiarellaShow,@thedavidpakmanshow,@LukeBeasley,@FarronBalanced,left,left,left,left,left,0.349,0.392,0.432,0.513,0.526
videos,political,@hutch,neutral,@destiny,@DestinyDGGClips,@LiberalHivemind,@HasanAbi,@TheVaushPit,left,right,right,left,left,0.563,0.592,0.644,0.658,0.659
videos,political,@jimacosta,left,@msnow,@dollemore,@FarronBalanced,@TheDamageReport,@thomhartmann,left,left,left,left,left,0.49,0.505,0.534,0.534,0.542
videos,political,@jlptalk,right,@MattWalsh,@MichaelKnowles,@TheAmalaEkpunobi,@Tim_Black,@SaltyCracker,right,right,right,right,right,0.597,0.598,0.623,0.626,0.635
videos,political,@joerogan,neutral,@FleccasTalks,@TomiLahrenIsFearless,@PartOfTheProblem,@triggerpod,@TheAdamCarollaShow1,right,right,right,right,right,0.867,0.908,0.908,0.913,0.914
videos,political,@judgingfreedom,left,@JamarlThomas,@TimesNowWorld,@timesofindia,@thegrayzone7996,@aljazeeraenglish,left,neutral,left,left,left,0.478,0.584,0.585,0.611,0.612
videos,political,@katiephangnews,left,@LegalAFMTN,@briantylercohen,@GlennKirschner2,@aaronparnas1,@FarronBalanced,left,left,left,left,left,0.401,0.449,0.463,0.465,0.541
videos,political,@laurenchenclips,right,@AfterPartyEmily,@MichaelKnowles,@bbrettcooper,@BenShapiro,@TheAmalaEkpunobi,right,right,right,right,right,0.604,0.62,0.655,0.657,0.663
videos,political,@lizwheeler,right,@BlazeTV,@JillianMichaels,@VivaFrei,@NewsmaxTV,@bennyjohnson,right,right,right,right,right,0.69,0.713,0.714,0.725,0.729
videos,political,@lonerboxlive,right,@HasanabiClips,@zeteo,@HasanReactionsfanTwo,@DropSiteNews,@BadEmpanadaLive,left,left,left,left,left,0.595,0.661,0.677,0.681,0.692
videos,political,@lovettorleaveitpodcast,left,@podsaveamerica,@dollemore,@AfterPartyEmily,@DueDissidence,@TheAdamCarollaShow1,left,left,right,left,right,0.694,0.695,0.702,0.708,0.71
videos,political,@marclamonthillnetwork,left,@SabbySabs,@DueDissidence,@Tim_Black,@TheJoyReidShow,@jlptalk,left,left,right,left,right,0.708,0.726,0.731,0.732,0.745
videos,political,@markets,neutral,@Reuters,@CBSNews,@CNN,@Forbes,@Firstpost,neutral,neutral,left,neutral,neutral,0.417,0.533,0.546,0.554,0.562
