term,n_titles,acf_lag1_residual,mean_channels_per_day
xi,1396,0.3753,2.4903
epstein files,1395,0.3449,4.0389
secretary,1393,0.2166,4.0623
stop,1391,0.0259,4.9027
missiles,1383,0.2450,3.2568
california,1382,0.2590,4.4903
fox,1371,0.1634,4.6420
control,1370,0.0818,4.8054
federal,1348,0.2050,4.0506
chaos,1344,0.0885,4.6148
shows,1341,0.1026,4.4280
home,1338,0.0815,4.4591
race,1337,0.1792,4.6148
tensions,1335,0.1494,3.7588
press conference,1324,-0.1084,3.1868
like,1322,-0.0095,4.7121
left,1316,0.0208,4.8093
clancy,1315,0.3094,2.5603
caught,1309,0.0565,4.7432
let,1307,0.0543,3.0350
charlie,1305,0.3006,3.9844
economy,1305,0.0866,4.3735
say,1302,0.0374,4.3541
gaza,1300,0.2179,3.7043
sen,1296,0.1613,3.4825
act,1291,0.3243,4.1984
story,1291,-0.0190,4.8054
conflict,1289,0.2470,3.4514
economic,1288,0.0878,3.8521
erupts,1287,0.0031,4.1323
sports,1284,0.1766,2.2918
year,1270,0.1195,3.8716
nancy,1269,0.4638,2.3035
visit,1269,0.2724,2.9961
nyc,1264,0.2567,4.0700
disaster,1256,0.1157,4.4008
foreign,1256,0.0976,3.6809
huge,1256,0.0171,3.7665
mark,1255,0.1650,4.0117
political,1255,0.0637,4.3930
life,1249,0.0184,4.4280
elections,1244,0.2637,3.7782
won't,1243,0.0787,4.3696
woman,1242,0.0712,4.1984
hold,1239,0.0270,3.7510
republican,1235,0.1360,4.2646
border,1233,0.2262,3.7237
energy,1233,0.1968,3.7043
loses,1231,0.0454,4.2840
targets,1228,0.1759,3.7704
issues,1225,0.1271,3.9183
need,1223,0.0493,3.9027
reports,1221,0.0536,3.1440
tariffs,1221,0.4455,3.0156
dr,1219,0.0676,3.8911
delhi,1218,0.1863,1.4436
make,1217,0.0430,4.3891
viral,1214,-0.0460,4.1984
pentagon,1212,0.2169,3.6693
key,1211,-0.0062,3.8599
panics,1211,0.0965,3.9572
want,1211,0.0082,4.3696
latest,1210,0.0831,4.0623
health,1209,0.2288,4.1907
dem,1208,0.0380,3.4241
force,1205,0.1527,3.9105
democrat,1203,0.1643,4.1829
army,1196,0.1688,3.3307
got,1193,-0.0440,4.4319
joe,1193,0.2796,3.6848
york,1192,0.2430,3.6732
blanche,1188,0.3186,2.8405
meets,1185,0.0718,3.3268
insane,1182,-0.0210,4.3696
morning,1181,0.1330,1.6770
missing,1180,0.2717,3.5759
officials,1177,0.0989,3.8599
saudi,1175,0.2047,2.7588
gulf,1172,0.4149,2.9105
wants,1168,0.0333,4.1829
fed,1163,0.1940,3.0506
khamenei,1161,0.4406,2.0039
public,1161,0.0788,3.8911
finally,1159,0.0438,4.1556
gas,1159,0.3276,3.8054
protesters,1158,0.2827,3.5292
indian,1157,0.0724,2.1440
rally,1156,0.1669,3.2840
operation,1153,0.2633,3.3074
blasts,1150,-0.0294,3.6304
bondi,1150,0.5528,2.9455
bad,1149,0.1317,4.0389
lindsay,1146,0.1818,2.4241
charlie kirk,1145,0.2615,3.5409
alex,1142,0.4191,3.3152
meet,1142,0.1572,3.3463
billion,1141,0.1595,3.6498
blockade,1140,0.4286,2.6226
investigation,1139,0.2169,3.8716
fifa,1137,0.3511,1.8949
lindsey,1136,0.4341,2.9377
save,1136,0.2292,3.8833
event,1131,0.1946,3.5409
announces,1130,0.1702,3.7315
demands,1121,0.1726,3.7549
forces,1120,-0.0109,3.5759
nation,1116,0.1392,3.3074
tech,1115,0.2042,3.3930
open,1114,0.0510,3.8482
push,1113,-0.0379,3.7121
historic,1110,0.1106,3.3074
explains,1109,0.0760,3.3230
history,1102,0.0430,3.9767
mayor,1102,0.2080,3.5370
lindsay clancy,1101,0.3185,2.2724
asia,1097,0.2214,2.0078
really,1096,-0.0471,4.0778
vote,1096,0.1821,3.5759
moment,1086,0.0196,3.3969
arrested,1084,0.2361,3.6615
center,1080,0.2486,3.4241
defense,1073,0.1255,3.4591
kyiv,1073,0.2065,2.2490
gives,1072,-0.0877,3.8288
panic,1072,0.0152,3.8210
action,1071,0.0267,3.2996
mike,1070,0.1613,3.7276
noem,1068,0.4933,2.8288
data,1064,0.0586,3.6537
collapse,1062,0.1197,3.5409
delivers,1062,0.0449,3.4202
john,1062,0.0450,3.6148
ceo,1061,0.1530,2.9533
support,1058,0.0756,3.6809
final,1057,0.1795,3.1829
mass,1056,0.0591,3.6887
primary,1055,0.4428,2.8638
washington,1055,0.2736,3.3658
nancy guthrie,1053,0.5939,1.6459
artemis,1051,0.6341,1.6809
musk,1045,0.2071,3.3230
spain,1045,0.3677,2.6420
law,1043,0.0034,3.6809
official,1043,0.0415,3.5603
regime,1041,0.2201,3.3307
city,1039,0.0641,3.6070
future,1037,-0.0797,3.6265
addresses,1036,0.0897,2.7160
prime,1035,0.1003,2.5019
good,1032,-0.0086,3.5837
drones,1030,0.0846,2.8949
message,1030,0.0277,3.2607
general,1027,0.1599,3.2529
immigration,1024,0.1373,3.2957
zelensky,1023,0.1800,2.0856
cuba,1022,0.4417,3.4202
voters,1021,0.1198,3.5953
team,1011,0.2099,3.3191
crash,1009,0.3828,3.0233
clash,1008,0.0464,3.0545
midterms,1008,0.0745,3.4358
ii,1001,0.4488,1.7082
host,1000,-0.0295,3.4553
fires,990,0.1144,3.2374
change,988,0.0396,3.5331
country,987,0.0566,3.4475
jesse,986,0.1802,1.8638
expert,985,-0.0137,3.2296
france,985,0.2034,2.5097
king,985,0.3084,2.4903
allies,981,0.2429,3.0467
biggest,981,0.0100,3.3658
hill,980,0.0147,2.8093
victory,980,0.0448,3.0039
arrest,979,0.2652,3.1128
scandal,978,0.1231,3.4864
turns,978,0.0098,3.4942
agents,975,0.3823,3.1012
steve,975,0.0601,2.8599
democratic,972,0.1782,3.2412
order,970,0.2099,3.2412
special,969,0.1904,3.1595
set,968,0.0162,3.3696
sparks,966,0.0370,3.1012
emergency,964,0.1212,3.1401
spotlight,957,-0.1389,1.1907
school,955,0.1978,3.1323
getting,954,0.0355,3.6187
tim,948,0.1458,3.1946
help,946,0.1514,3.3268
