genre,titles,kind,group,n_creators,n_style_clusters,largest_cluster_share,members
videos,all,style cluster spanning channel groups,S9,21,3,0.571,@CNN (left); @NPR (left); @SkyNews (left); @aljazeeraenglish (left); @msnow (left); @thegrayzone7996 (left); @ABCNews (neutral); @ANINewsIndia (neutral); @AssociatedPress (neutral); @BBCNews (neutral); @CBSNews (neutral); @NBCNews (neutral); @NewsNation (neutral); @POLITICO (neutral); @Reuters (neutral); @TechCrunch (neutral); @USATODAY (neutral); @thehill (neutral); @FoxNews (right); @FoxNewsChannelClips (right); @NewsmaxTV (right)
videos,all,style cluster spanning channel groups,S10,5,2,0.8,@HasanAbiVODs3 (left); @60minutes (neutral); @Firstpost (neutral); @Forbes (neutral); @chinainsights-r2w (neutral)
videos,political,channel group split across style clusters,left,103,10,0.466,@BadEmpanadaLive (S0); @OwenReport (S0); @PTLRadioShow (S0); @PoliticsJOE (S0); @RebelHQ (S0); @SabbySabs (S0); @TheDamageReport (S0); @zeteo (S0); @TheJoyReidShow (S0); @TheLincolnProject (S0); @TheMajorityReport (S0); @TheMichaelCohenShow (S0); @TheRealTabithaSpeaks (S0); @TheSerfTimes (S0); @OwenJonesTalks (S0); @TheYoungTurks (S0); @breakingpoints (S0); @bulwarkmedia (S0); @destiny (S0); @dollemore (S0); @fastpoliticspodcast (S0); @jimacosta (S0); @lovettorleaveitpodcast (S0); @marclamonthillnetwork (S0); @podsaveamerica (S0); @rolandsmartin (S0); @therationalnational (S0); @underthedesknews (S0); @usefulidiots (S0); @adammockler (S0); @NovaraMedia (S0); @TheDonLemonShow (S0); @FarronBalanced (S0); @BreakThroughNews (S0); @DannyHaiphongYT (S0); @DemocracyDocket (S0); @DemocracyNow (S0); @DropSiteNews (S0); @DueDissidence (S0); @NYTPodcasts (S0); @Forthepeoplepodcast305 (S0); @GlennKirschner2 (S0); @HasanReactionsfanTwo (S0); @HasanabiClips (S0); @JackCocchiarellaShow (S0); @JamarlThomas (S0); https://rumble.com/c/GGreenwald (S0); @LeverNews (S0); @Vaush (S1); @DylanBurnsLIVE (S1); @thomhartmann (S1); @EzraKleinShow (S1); @thedavidpakmanshow (S1); @samharrisorg (S1); @Xanderhal (S1); @Politicon (S1); @MikeFromPA (S1); @UnHerd (S1); @LegalEagle (S1); @PoliticsGirl (S1); @TheVaushPit (S1); @RestPoliticsUS (S1); @HasanAbi (S1); @judgingfreedom (S1); @SMN (S1); @nousnetwork (S1); @TheHumanistReport (S1); @nytimes (S1); @franifio (S1); @LeejaMiller (S1); @TheDailyBeast (S1); @TheAtlantic (S1); @GeopoliticalEconomyReport (S1); @chriscuomo (S1); @ponderingpolitics (S2); @PiscoLitty (S2); @cafedotcom (S3); @RonPlacone (S3); @BadFaithPodcast (S3); @msnow (S4); @thegrayzone7996 (S4); @NPR (S4); @SkyNews (S4); @CNN (S4); @Vox (S4); @aljazeeraenglish (S4); @BelleRanch (S5); @moreperfectunion (S6); @TheEconomist (S6); @thewarningwithsteveschmidt (S6); @aaronparnas1 (S7); @StatusCoup (S8); @MeidasTouch (S8); @LukeBeasley (S8); @katiephangnews (S8); @harryjsisson (S8); @DoubleDownNews (S8); @briantylercohen (S8); @LegalAFMTN (S8); @SecularTalk (S8); @DailyDenims (S8); @deanwithrs (S8); @timesofindia (S9)
videos,political,channel group split across style clusters,neutral,37,8,0.351,@thejimmydoreshow (S0); @markets (S0); @joerogan (S0); @BrittanyVenti (S0); @destinyhqclips (S0); @ClubRandomPodcast (S0); @TuckerCarlson (S0); @TimDillonShow (S0); @LIVESNEAKO (S0); @wethefifth (S0); @wsj (S1); @hutch (S1); @ClipsCandaceOwens (S1); @ZeihanonGeopolitics (S1); @KimIversen (S1); @chinainsights-r2w (S2); @60minutes (S2); @Firstpost (S2); @Forbes (S2); @Semafor (S3); @ABCNews (S4); @thehill (S4); @ANINewsIndia (S4); @AssociatedPress (S4); @BBCNews (S4); @CBSNews (S4); @axios (S4); @POLITICO (S4); @USATODAY (S4); @TechCrunch (S4); @Reuters (S4); @NBCNews (S4); @NewsNation (S4); @CoreyGilShusterAskProject (S6); @TimesNowWorld (S8); @JacksonHinkleOfficial (S8); @PiersMorganUncensored (S9)
videos,political,channel group split across style clusters,right,94,8,0.404,@ActualJusticeWarrior (S0); @MyronGainesX (S0); @PragerU (S0); @RealAmericasVoice (S0); @SaltyCracker (S0); @TheAdamCarollaShow1 (S0); @TheBrianKilmeadeShow (S0); @The_Crucible (S0); @TomiLahrenIsFearless (S0); @XAVIAER (S0); @chicksonright (S0); @clayandbuck (S0); @fightbackpodcast (S0); @laurenchenclips (S0); @lizwheeler (S0); @lonerboxlive (S0); @marklevinshow (S0); @newdiscourses (S0); @nypost (S0); @oann (S0); @triggerpod (S0); @winston_marshall (S0); @MichaelKnowles (S0); @MLChristiansen (S0); @RobertGouveiaEsq (S0); @JesseKellyDC (S0); @DarkHorsePod (S0); @AnthonyBrianLogan (S0); @HangOutwithSeanHannity (S0); @GrahamAllen (S0); @BlazeTV (S0); @JustPearlyThings (S1); @JillianMichaels (S1); @Tim_Black (S1); @X22Report-y5y (S1); @ColemanHughesOfficial (S1); @ZubyMusic (S1); @bbrettcooper (S1); @bennyjohnson (S1); @ChadPrather1 (S1); @glennbeck (S1); @CamHigby (S1); @ThePodcastoftheLotusEaters (S1); @BenShapiro (S1); @AsmonTV (S1); @morebridgetphetasy (S1); @nationalreview (S1); @AndrewKlavan (S1); @theisabelbrown (S1); @AlexStein99 (S1); @dineshdsouza (S1); @TheAmalaEkpunobi (S1); @DestinyDGGClips (S1); https://rumble.com/c/russellbrand (S1); @Styxhexenhammer666 (S1); @LiberalHivemind (S1); @MarkDice (S1); @StevenCrowder (S1); @MattWalsh (S1); @MrTariqNasheed (S1); @RufoandLomez (S1); @OfficialSaharTV (S1); @PartOfTheProblem (S1); @FreshFitMiami (S1); @RubinReport (S1); @SydneyWatson (S1); @RealDanBongino (S1); @RileyGaines (S1); @RedactedNews (S1); @FleccasTalks (S2); https://rumble.com/c/nickjfuentes (S2); https://rumble.com/c/BannonsWarRoom (S3); @AfterPartyEmily (S3); @turningpointusa (S3); @AndWeKnowOfficial-o9b (S3); @MegynKelly (S3); @MichaelMaliceofficial (S3); @RealAlexClark (S3); @VivaFrei (S3); @NewsmaxTV (S4); @RebelNewsOnline (S4); @FoxNewsChannelClips (S4); @FoxNews (S4); @RSBN (S7); @BlackConservativePerspective (S8); @Timcast (S8); @TimcastNews (S8); @TheQuartering (S8); @TheOfficerTatum (S8); @DrSteveTurleyTV (S8); https://rumble.com/c/TheAlexJonesShowLive (S8); @TimcastIRL (S8); @jlptalk (S9); @CashJordan (S9)
videos,political,style cluster spanning channel groups,S0,89,3,0.539,@BadEmpanadaLive (left); @BreakThroughNews (left); @DannyHaiphongYT (left); @DemocracyDocket (left); @DemocracyNow (left); @DropSiteNews (left); @DueDissidence (left); @FarronBalanced (left); @Forthepeoplepodcast305 (left); @GlennKirschner2 (left); @HasanReactionsfanTwo (left); @HasanabiClips (left); @JackCocchiarellaShow (left); @JamarlThomas (left); @LeverNews (left); @NYTPodcasts (left); @NovaraMedia (left); @OwenJonesTalks (left); @OwenReport (left); @PTLRadioShow (left); @PoliticsJOE (left); @RebelHQ (left); @SabbySabs (left); @TheDamageReport (left); @TheDonLemonShow (left); @TheJoyReidShow (left); @TheLincolnProject (left); @TheMajorityReport (left); @TheMichaelCohenShow (left); @TheRealTabithaSpeaks (left); @TheSerfTimes (left); @TheYoungTurks (left); @adammockler (left); @breakingpoints (left); @bulwarkmedia (left); @destiny (left); @dollemore (left); @fastpoliticspodcast (left); @jimacosta (left); @lovettorleaveitpodcast (left); @marclamonthillnetwork (left); @podsaveamerica (left); @rolandsmartin (left); @therationalnational (left); @underthedesknews (left); @usefulidiots (left); @zeteo (left); https://rumble.com/c/GGreenwald (left); @BrittanyVenti (neutral); @ClubRandomPodcast (neutral); @LIVESNEAKO (neutral); @TimDillonShow (neutral); @TuckerCarlson (neutral); @destinyhqclips (neutral); @joerogan (neutral); @markets (neutral); @thejimmydoreshow (neutral); @wethefifth (neutral); @ActualJusticeWarrior (right); @AnthonyBrianLogan (right); @BlazeTV (right); @DarkHorsePod (right); @GrahamAllen (right); @HangOutwithSeanHannity (right); @JesseKellyDC (right); @MLChristiansen (right); @MichaelKnowles (right); @MyronGainesX (right); @PragerU (right); @RealAmericasVoice (right); @RobertGouveiaEsq (right); @SaltyCracker (right); @TheAdamCarollaShow1 (right); @TheBrianKilmeadeShow (right); @The_Crucible (right); @TomiLahrenIsFearless (right); @XAVIAER (right); @chicksonright (right); @clayandbuck (right); @fightbackpodcast (right); @laurenchenclips (right); @lizwheeler (right); @lonerboxlive (right); @marklevinshow (right); @newdiscourses (right); @nypost (right); @oann (right); @triggerpod (right); @winston_marshall (right)
videos,political,style cluster spanning channel groups,S1,69,3,0.551,@DylanBurnsLIVE (left); @EzraKleinShow (left); @GeopoliticalEconomyReport (left); @HasanAbi (left); @LeejaMiller (left); @LegalEagle (left); @MikeFromPA (left); @Politicon (left); @PoliticsGirl (left); @RestPoliticsUS (left); @SMN (left); @TheAtlantic (left); @TheDailyBeast (left); @TheHumanistReport (left); @TheVaushPit (left); @UnHerd (left); @Vaush (left); @Xanderhal (left); @chriscuomo (left); @franifio (left); @judgingfreedom (left); @nousnetwork (left); @nytimes (left); @samharrisorg (left); @thedavidpakmanshow (left); @thomhartmann (left); @ClipsCandaceOwens (neutral); @KimIversen (neutral); @ZeihanonGeopolitics (neutral); @hutch (neutral); @wsj (neutral); @AlexStein99 (right); @AndrewKlavan (right); @AsmonTV (right); @BenShapiro (right); @CamHigby (right); @ChadPrather1 (right); @ColemanHughesOfficial (right); @DestinyDGGClips (right); @FreshFitMiami (right); @JillianMichaels (right); @JustPearlyThings (right); @LiberalHivemind (right); @MarkDice (right); @MattWalsh (right); @MrTariqNasheed (right); @OfficialSaharTV (right); @PartOfTheProblem (right); @RealDanBongino (right); @RedactedNews (right); @RileyGaines (right); @RubinReport (right); @RufoandLomez (right); @StevenCrowder (right); @Styxhexenhammer666 (right); @SydneyWatson (right); @TheAmalaEkpunobi (right); @ThePodcastoftheLotusEaters (right); @Tim_Black (right); @X22Report-y5y (right); @ZubyMusic (right); @bbrettcooper (right); @bennyjohnson (right); @dineshdsouza (right); @glennbeck (right); @morebridgetphetasy (right); @nationalreview (right); @theisabelbrown (right); https://rumble.com/c/russellbrand (right)
videos,political,style cluster spanning channel groups,S2,8,3,0.5,@PiscoLitty (left); @ponderingpolitics (left); @60minutes (neutral); @Firstpost (neutral); @Forbes (neutral); @chinainsights-r2w (neutral); @FleccasTalks (right); https://rumble.com/c/nickjfuentes (right)
videos,political,style cluster spanning channel groups,S3,12,3,0.667,@BadFaithPodcast (left); @RonPlacone (left); @cafedotcom (left); @Semafor (neutral); @AfterPartyEmily (right); @AndWeKnowOfficial-o9b (right); @MegynKelly (right); @MichaelMaliceofficial (right); @RealAlexClark (right); @VivaFrei (right); @turningpointusa (right); https://rumble.com/c/BannonsWarRoom (right)
videos,political,style cluster spanning channel groups,S4,24,3,0.542,@CNN (left); @NPR (left); @SkyNews (left); @Vox (left); @aljazeeraenglish (left); @msnow (left); @thegrayzone7996 (left); @ABCNews (neutral); @ANINewsIndia (neutral); @AssociatedPress (neutral); @BBCNews (neutral); @CBSNews (neutral); @NBCNews (neutral); @NewsNation (neutral); @POLITICO (neutral); @Reuters (neutral); @TechCrunch (neutral); @USATODAY (neutral); @axios (neutral); @thehill (neutral); @FoxNews (right); @FoxNewsChannelClips (right); @NewsmaxTV (right); @RebelNewsOnline (right)
videos,political,style cluster spanning channel groups,S6,4,2,0.75,@TheEconomist (left); @moreperfectunion (left); @thewarningwithsteveschmidt (left); @CoreyGilShusterAskProject (neutral)
videos,political,style cluster spanning channel groups,S7,2,2,0.5,@aaronparnas1 (left); @RSBN (right)
videos,political,style cluster spanning channel groups,S8,21,3,0.524,@DailyDenims (left); @DoubleDownNews (left); @LegalAFMTN (left); @LukeBeasley (left); @MeidasTouch (left); @SecularTalk (left); @StatusCoup (left); @briantylercohen (left); @deanwithrs (left); @harryjsisson (left); @katiephangnews (left); @JacksonHinkleOfficial (neutral); @TimesNowWorld (neutral); @BlackConservativePerspective (right); @DrSteveTurleyTV (right); @TheOfficerTatum (right); @TheQuartering (right); @Timcast (right); @TimcastIRL (right); @TimcastNews (right); https://rumble.com/c/TheAlexJonesShowLive (right)
videos,political,style cluster spanning channel groups,S9,4,3,0.5,@timesofindia (left); @PiersMorganUncensored (neutral); @CashJordan (right); @jlptalk (right)
streams,all,channel group split across style clusters,left,33,7,0.455,@BreakThroughNews (S0); @thewarningwithsteveschmidt (S0); @rolandsmartin (S0); @marclamonthillnetwork (S0); @judgingfreedom (S0); @franifio (S0); @bulwarkmedia (S0); @TheYoungTurks (S0); @TheMajorityReport (S0); @TheJoyReidShow (S0); @TheDonLemonShow (S0); @underthedesknews (S0); @OwenReport (S0); @FarronBalanced (S0); @ModernDayDebate (S0); @jimacosta (S1); @deanwithrs (S1); @JamarlThomas (S2); @TheSerfTimes (S2); @TheDamageReport (S2); @DannyHaiphongYT (S2); @NickCruseRBN (S2); @DueDissidence (S2); @msnow (S3); @MeidasTouch (S3); @LukeBeasley (S3); @StatusCoup (S3); @CNN (S4); @PTLRadioShow (S4); @SkyNews (S4); @SabbySabs (S6); @Xanderhal (S6); @timesofindia (S8)
