genre,titles,kind,group,n_creators,n_style_clusters,largest_cluster_share,members
streams,all,channel group split across style clusters,neutral,16,4,0.375,@LIVESNEAKO (S0); @NewsNation (S0); @hutch (S0); @markets (S0); @Firstpost (S2); @TimesNowWorld (S2); @thejimmydoreshow (S2); @ABCNews (S3); @ANINewsIndia (S3); @AssociatedPress (S3); @JacksonHinkleOfficial (S3); @NBCNews (S3); @Reuters (S3); @CBSNews (S4); @USATODAY (S4); @thehill (S4)
streams,all,channel group split across style clusters,right,30,8,0.333,@PBDPodcast (S0); @nypost (S0); @RSBN (S0); @NewsmaxTV (S0); @MLChristiansen (S0); @JustPearlyThings (S0); @ThePodcastoftheLotusEaters (S0); @lizwheeler (S0); @CamHigby (S0); @AnthonyBrianLogan (S0); @MyronGainesX (S1); @VivaFrei (S1); @PhillipScottPodcast (S1); @bennyjohnson (S1); @RekietaLaw (S1); @RubinReport (S1); @FreshFitMiami (S1); @chicksonright (S2); @RedactedNews (S2); @RobertGouveiaEsq (S2); @AfterPartyEmily (S2); @oann (S3); @TheOfficerTatum (S3); @FoxNews (S4); @RebelNewsOnline (S4); @jlptalk (S5); @RealAmericasVoice (S6); @TimcastIRL (S6); @glennbeck (S7); @ChadPrather1 (S7)
streams,all,style cluster spanning channel groups,S0,29,3,0.517,@BreakThroughNews (left); @FarronBalanced (left); @ModernDayDebate (left); @OwenReport (left); @TheDonLemonShow (left); @TheJoyReidShow (left); @TheMajorityReport (left); @TheYoungTurks (left); @bulwarkmedia (left); @franifio (left); @judgingfreedom (left); @marclamonthillnetwork (left); @rolandsmartin (left); @thewarningwithsteveschmidt (left); @underthedesknews (left); @LIVESNEAKO (neutral); @NewsNation (neutral); @hutch (neutral); @markets (neutral); @AnthonyBrianLogan (right); @CamHigby (right); @JustPearlyThings (right); @MLChristiansen (right); @NewsmaxTV (right); @PBDPodcast (right); @RSBN (right); @ThePodcastoftheLotusEaters (right); @lizwheeler (right); @nypost (right)
streams,all,style cluster spanning channel groups,S1,9,2,0.778,@deanwithrs (left); @jimacosta (left); @FreshFitMiami (right); @MyronGainesX (right); @PhillipScottPodcast (right); @RekietaLaw (right); @RubinReport (right); @VivaFrei (right); @bennyjohnson (right)
streams,all,style cluster spanning channel groups,S2,13,3,0.462,@DannyHaiphongYT (left); @DueDissidence (left); @JamarlThomas (left); @NickCruseRBN (left); @TheDamageReport (left); @TheSerfTimes (left); @Firstpost (neutral); @TimesNowWorld (neutral); @thejimmydoreshow (neutral); @AfterPartyEmily (right); @RedactedNews (right); @RobertGouveiaEsq (right); @chicksonright (right)
streams,all,style cluster spanning channel groups,S3,12,3,0.5,@LukeBeasley (left); @MeidasTouch (left); @StatusCoup (left); @msnow (left); @ABCNews (neutral); @ANINewsIndia (neutral); @AssociatedPress (neutral); @JacksonHinkleOfficial (neutral); @NBCNews (neutral); @Reuters (neutral); @TheOfficerTatum (right); @oann (right)
streams,all,style cluster spanning channel groups,S4,8,3,0.375,@CNN (left); @PTLRadioShow (left); @SkyNews (left); @CBSNews (neutral); @USATODAY (neutral); @thehill (neutral); @FoxNews (right); @RebelNewsOnline (right)
streams,all,style cluster spanning channel groups,S6,4,2,0.5,@SabbySabs (left); @Xanderhal (left); @RealAmericasVoice (right); @TimcastIRL (right)
streams,political,channel group split across style clusters,left,33,3,0.697,@BreakThroughNews (S0); @thewarningwithsteveschmidt (S0); @rolandsmartin (S0); @msnow (S0); @marclamonthillnetwork (S0); @judgingfreedom (S0); @franifio (S0); @deanwithrs (S0); @bulwarkmedia (S0); @TheYoungTurks (S0); @TheMajorityReport (S0); @TheJoyReidShow (S0); @StatusCoup (S0); @TheDonLemonShow (S0); @MeidasTouch (S0); @CNN (S0); @FarronBalanced (S0); @LukeBeasley (S0); @SkyNews (S0); @ModernDayDebate (S0); @underthedesknews (S0); @OwenReport (S0); @PTLRadioShow (S0); @Xanderhal (S1); @TheSerfTimes (S1); @JamarlThomas (S1); @DueDissidence (S1); @DannyHaiphongYT (S1); @TheDamageReport (S1); @NickCruseRBN (S1); @SabbySabs (S1); @jimacosta (S2); @timesofindia (S2)
streams,political,channel group split across style clusters,neutral,15,2,0.8,@ABCNews (S0); @ANINewsIndia (S0); @AssociatedPress (S0); @CBSNews (S0); @JacksonHinkleOfficial (S0); @LIVESNEAKO (S0); @NBCNews (S0); @NewsNation (S0); @Reuters (S0); @USATODAY (S0); @markets (S0); @thehill (S0); @Firstpost (S1); @TimesNowWorld (S1); @thejimmydoreshow (S1)
streams,political,channel group split across style clusters,right,29,3,0.517,@RebelNewsOnline (S0); @lizwheeler (S0); @ThePodcastoftheLotusEaters (S0); @TheOfficerTatum (S0); @RubinReport (S0); @nypost (S0); @RSBN (S0); @PBDPodcast (S0); @NewsmaxTV (S0); @oann (S0); @MLChristiansen (S0); @AnthonyBrianLogan (S0); @JustPearlyThings (S0); @CamHigby (S0); @FoxNews (S0); @chicksonright (S1); @bennyjohnson (S1); @TimcastIRL (S1); @AfterPartyEmily (S1); @RedactedNews (S1); @RealAmericasVoice (S1); @RobertGouveiaEsq (S1); @MyronGainesX (S2); @RekietaLaw (S2); @FreshFitMiami (S2); @glennbeck (S2); @jlptalk (S2); @PhillipScottPodcast (S2); @ChadPrather1 (S2)
streams,political,style cluster spanning channel groups,S0,50,3,0.46,@BreakThroughNews (left); @CNN (left); @FarronBalanced (left); @LukeBeasley (left); @MeidasTouch (left); @ModernDayDebate (left); @OwenReport (left); @PTLRadioShow (left); @SkyNews (left); @StatusCoup (left); @TheDonLemonShow (left); @TheJoyReidShow (left); @TheMajorityReport (left); @TheYoungTurks (left); @bulwarkmedia (left); @deanwithrs (left); @franifio (left); @judgingfreedom (left); @marclamonthillnetwork (left); @msnow (left); @rolandsmartin (left); @thewarningwithsteveschmidt (left); @underthedesknews (left); @ABCNews (neutral); @ANINewsIndia (neutral); @AssociatedPress (neutral); @CBSNews (neutral); @JacksonHinkleOfficial (neutral); @LIVESNEAKO (neutral); @NBCNews (neutral); @NewsNation (neutral); @Reuters (neutral); @USATODAY (neutral); @markets (neutral); @thehill (neutral); @AnthonyBrianLogan (right); @CamHigby (right); @FoxNews (right); @JustPearlyThings (right); @MLChristiansen (right); @NewsmaxTV (right); @PBDPodcast (right); @RSBN (right); @RebelNewsOnline (right); @RubinReport (right); @TheOfficerTatum (right); @ThePodcastoftheLotusEaters (right); @lizwheeler (right); @nypost (right); @oann (right)
streams,political,style cluster spanning channel groups,S1,18,3,0.444,@DannyHaiphongYT (left); @DueDissidence (left); @JamarlThomas (left); @NickCruseRBN (left); @SabbySabs (left); @TheDamageReport (left); @TheSerfTimes (left); @Xanderhal (left); @Firstpost (neutral); @TimesNowWorld (neutral); @thejimmydoreshow (neutral); @AfterPartyEmily (right); @RealAmericasVoice (right); @RedactedNews (right); @RobertGouveiaEsq (right); @TimcastIRL (right); @bennyjohnson (right); @chicksonright (right)
streams,political,style cluster spanning channel groups,S2,9,2,0.778,@jimacosta (left); @timesofindia (left); @ChadPrather1 (right); @FreshFitMiami (right); @MyronGainesX (right); @PhillipScottPodcast (right); @RekietaLaw (right); @glennbeck (right); @jlptalk (right)
