row_id,video_id,creator,genre,topic_id,topic_sim,weak_assignment,political
86,jPZM1qxHgWk,@AsmonTV,videos,1,0.39185137,True,True
87,aaYKuv3ZMzI,@AsmonTV,videos,116,0.44716513,True,True
88,yV9RVJgTbx8,@AsmonTV,videos,1,0.40966925,True,True
89,KlZfSbglatc,@AsmonTV,videos,42,0.3822419,True,True
90,YvfOI40iPME,@AsmonTV,videos,18,0.5143821,False,False
91,7H1_TFmNDcg,@AsmonTV,videos,1,0.46656692,False,True
92,1GHtmyDtWzQ,@AsmonTV,videos,1,0.35376507,True,True
93,1xzP3dccZOE,@AsmonTV,videos,16,0.35068038,True,True
94,ifUdzKmA8Uo,@AsmonTV,videos,223,0.23573236,True,False
95,20WregUTWhQ,@AsmonTV,videos,1,0.40613896,True,True
96,3bpanREa7kk,@AsmonTV,videos,1,0.4669386,False,True
97,VeMMBdUA3pg,@AsmonTV,videos,106,0.6116945,False,True
98,DuQ71hP8IW0,@AsmonTV,videos,13,0.59430087,False,True
99,R1_AVfrexH4,@AsmonTV,videos,223,0.53365254,False,False
100,4UWnfadA54A,@AsmonTV,videos,1,0.4726327,False,True
101,3yJZ99tjdrk,@AsmonTV,videos,233,0.37966266,True,False
102,pJvJ-H2ZpfY,@AsmonTV,videos,1,0.5046947,False,True
103,JZM-EKC7hi0,@AsmonTV,videos,1,0.30003995,True,True
104,6eIyA8ScH6U,@AsmonTV,videos,1,0.42989507,True,True
105,cZCD8YSNMs4,@AsmonTV,videos,1,0.29186502,True,True
106,2jYRRKbvaI8,@AsmonTV,videos,125,0.6003442,False,False
107,jLDiEj55u8o,@AsmonTV,videos,1,0.45344305,False,True
108,lsskheDakkI,@AsmonTV,videos,1,0.24296375,True,True
109,vf-3BQBNGXU,@AsmonTV,videos,1,0.3462169,True,True
110,RuJ2h5UTfAg,@AsmonTV,videos,1,0.4160526,True,True
111,J3wPY4sZ8ok,@AsmonTV,videos,1,0.46249565,False,True
112,TMGagCI1j4o,@AsmonTV,videos,6,0.6435015,False,True
113,DArxfOdfTuI,@AsmonTV,videos,1,0.3767226,True,True
114,g9fgbgS5zpE,@AsmonTV,videos,87,0.5106447,False,True
115,MHq0JKDM_gY,@AsmonTV,videos,114,0.5179036,False,True
116,nFTk0npsyAs,@AsmonTV,videos,1,0.4512092,False,True
117,fEFEtOykqy8,@AsmonTV,videos,1,0.52492875,False,True
118,fmHEmetykm8,@AsmonTV,videos,13,0.6002456,False,True
119,0VbyhUmtuBw,@AsmonTV,videos,1,0.39291587,True,True
120,DZSOOHZ-2QU,@AsmonTV,videos,164,0.41586035,True,False
121,tzUXIdfr-ts,@AsmonTV,videos,1,0.2834907,True,True
122,nAHzmtDBErU,@AsmonTV,videos,1,0.401031,True,True
123,jG2L6I8gfgQ,@AsmonTV,videos,125,0.53500026,False,False
124,knC2M39A3ys,@AsmonTV,videos,1,0.44167638,True,True
125,RYtifyKUkds,@AsmonTV,videos,160,0.62183964,False,True
126,3mzSoNgvsBM,@AsmonTV,videos,1,0.40168816,True,True
127,PSR7WnaLxY4,@AsmonTV,videos,1,0.43921947,True,True
128,z3JEXAfdfoM,@AsmonTV,videos,1,0.44663113,True,True
129,7_N-x-Ugsvs,@AsmonTV,videos,1,0.33652636,True,True
130,OOjzS_Hm2J4,@AsmonTV,videos,128,0.63367414,False,True
131,i7B6LoIv25Y,@AsmonTV,videos,1,0.45257866,False,True
132,TVl4Xkn5mhs,@AsmonTV,videos,13,0.49569538,False,True
133,bicRWWbJcUs,@AsmonTV,videos,1,0.4619901,False,True
134,vqo9tjB4VMs,@AsmonTV,videos,1,0.3937776,True,True
135,FrL13EvDSIM,@AsmonTV,videos,1,0.37312868,True,True
136,pRYi1rUFefE,@AsmonTV,videos,160,0.52956384,False,True
137,rvNIge95eGU,@AsmonTV,videos,1,0.23270269,True,True
138,6rGGQqJ_EDQ,@AsmonTV,videos,185,0.46353254,False,False
139,KppDJmQdfEU,@AsmonTV,videos,1,0.48200196,False,True
140,C0J9H0aOrnw,@AsmonTV,videos,1,0.43984383,True,True
141,aZRfghD4eLg,@AsmonTV,videos,160,0.7455393,False,True
142,QgVcIEsouCE,@AsmonTV,videos,1,0.26203513,True,True
143,xqlzjcMbcF4,@AsmonTV,videos,59,0.48824933,False,True
144,M0n3OhHl7Y4,@AsmonTV,videos,1,0.38739985,True,True
145,P-YdveQeo6k,@AsmonTV,videos,1,0.5465137,False,True
146,jcnQwqpbLig,@AsmonTV,videos,1,0.26574185,True,True
147,gH_OG-xz0BQ,@AsmonTV,videos,1,0.507714,False,True
148,-gfBG3YSFPo,@AsmonTV,videos,144,0.29419523,True,True
149,1jvGzyZ0Z0w,@AsmonTV,videos,1,0.42908025,True,True
