creator,genre,n_titles,n_chars_mean,n_tokens_mean,mean_word_len_mean,n_chars_raw_mean,allcaps_word_share_mean,has_allcaps_word_p100,full_caps_title_p100,cap_token_share_mean,lowercase_start_p100,q_mark_p100,excl_p100,multi_punct_p100,colon_p100,pipe_p100,ellipsis_p100,trailing_ellipsis_p100,quotes_p100,brackets_p100,dash_p100,emoji_count_p100,emoji_p100,digit_p100,dollar_p100,percent_p100,hashtag_p100,at_mention_p100,comma_p100,period_end_p100,year_mention_p100,first_sg_p100,first_pl_p100,second_person_p100,contraction_p100,imperative_p100,q_word_start_p100,wh_any_p100,intensifier_p100,superlative_p100,shock_word_p100,pos_eval_p100,neg_eval_p100,negation_p100,violence_verb_p100,hedge_p100,discourse_marker_p100,nominalisation_p100,n_person_p100,n_org_p100,n_gpe_p100,has_person_p100,entity_first_p100,how_to_p100,explainer_p100,why_marker_p100,curiosity_lex_p100,fwd_ref_start_p100,listicle_p100,reaction_lex_p100,interview_lex_p100,confrontation_lex_p100,lead_colon_label_p100,lead_breaking_p100,lead_live_p100,pipe_segments_raw_mean,colon_segments_raw_mean,brackets_raw_p100,brand_stripped_p100,episode_raw_p100,date_raw_p100,quoted_speech_p100,has_finite_verb_p100,past_tense_p100,present_tense_p100,modal_p100,future_will_p100,det_share_mean,stopword_share_mean,propn_share_mean,noun_share_mean,verb_share_mean,adj_share_mean,adv_share_mean,num_share_mean,vader_neg_mean,vader_pos_mean,vader_compound_mean,formulaic_p100,n_rows,n_unique,repeat_share,low_n,group,organisation,clipper,n_tokens_total,heaps_beta_1000,heaps_sd_1000,zipf_1000,zipf_sd_1000,heaps_beta_1500,heaps_sd_1500,zipf_1500,zipf_sd_1500,heaps_beta_3000,heaps_sd_3000,zipf_3000,zipf_sd_3000
@60minutes,videos,301,56.12624584717608,9.232558139534884,5.158397856407844,61.2890365448505,0.011784961992603189,6.312292358803987,0.0,0.49956804840731656,0.6644518272425249,2.6578073089700998,0.0,0.0,16.611295681063122,44.18604651162791,0.0,0.0,10.631229235880399,1.6611295681063125,0.0,0.0,0.0,60.46511627906976,0.0,0.0,0.0,0.0,7.973421926910299,0.6644518272425249,4.651162790697675,1.3289036544850499,2.990033222591362,5.980066445182724,3.322259136212625,1.9933554817275747,7.641196013289036,11.295681063122924,1.6611295681063125,5.3156146179401995,12.624584717607974,2.3255813953488373,0.33222591362126247,2.6578073089700998,0.9966777408637874,3.6544850498338874,0.0,16.27906976744186,39.53488372093023,25.91362126245847,34.21926910299003,36.544850498338874,37.87375415282392,0.0,1.6611295681063125,0.6644518272425249,1.3289036544850499,1.3289036544850499,0.0,0.33222591362126247,15.946843853820598,1.3289036544850499,0.0,0.33222591362126247,0.0,1.6877076411960132,0.16611295681063123,1.6611295681063125,24.58471760797342,0.0,0.0,10.96345514950166,34.21926910299003,18.93687707641196,23.25581395348837,3.6544850498338874,0.0,0.055230171311935826,0.23116399107625465,0.2785855628847972,0.22259007881424453,0.08086966612399962,0.05625710312787847,0.024560573944978868,0.06885592911049739,0.07882392026578072,0.05612292358803987,-0.03927541528239203,47.176079734219265,301,301,0.0,False,neutral,CBS News,False,2780,0.8592285390034975,0.030956771889122423,0.7966946776156186,0.025714854854486324,0.8526727795998787,0.027863494823282327,0.782922971856774,0.024766362307314743,,,,
@ABCNews,streams,547,50.831809872029254,8.447897623400365,4.704070704957897,59.80987202925046,0.28767708779134743,90.85923217550274,0.18281535648994515,0.6941568951892643,0.18281535648994515,0.0,0.0,0.0,90.12797074954297,39.48811700182816,0.0,0.0,0.7312614259597806,0.0,0.3656307129798903,0.0,0.0,3.8391224862888484,0.0,0.0,0.0,0.0,6.764168190127971,1.0968921389396709,1.6453382084095063,0.0,0.3656307129798903,2.9250457038391224,0.0,1.6453382084095063,0.0,0.18281535648994515,0.0,1.8281535648994516,3.1078610603290677,0.3656307129798903,0.7312614259597806,0.18281535648994515,0.18281535648994515,1.0968921389396709,0.0,30.347349177330894,40.76782449725777,124.6800731261426,25.776965265082268,34.552102376599635,11.3345521023766,0.0,0.0,0.0,0.0,0.0,0.0,0.18281535648994515,9.506398537477148,0.0,72.94332723948813,0.0,71.11517367458866,1.3985374771480805,0.906764168190128,0.0,44.60694698354662,0.0,0.0,0.3656307129798903,84.27787934186472,3.2906764168190126,83.91224862888483,0.18281535648994515,0.18281535648994515,0.012067170104041642,0.4351241373125446,0.4327027587823882,0.12086161662099369,0.1133971754102102,0.018921614585622033,0.12222454138923652,0.0038490267305193644,0.024009140767824497,0.03405301645338208,0.018751736745886653,80.07312614259597,582,547,0.0601,False,neutral,ABC News,False,4630,0.7927870396734252,0.0889672286935397,1.0149941065572858,0.043993214873429165,0.7835455711128346,0.07816948012686357,0.9896030952996433,0.03181066700219293,0.7650209014806523,0.06485614936547274,0.9741032919644261,0.012163499794068161
@ABCNews,videos,7521,58.30155564419625,9.452333466294375,5.295233793094104,61.605105704028716,0.03751329587634992,19.851083632495676,0.0,0.36990675473687745,1.7550857598723573,2.060896157425874,0.09307272969020078,0.0,15.72929131764393,2.1672649913575324,0.06648052120728626,0.0,12.152639276691929,0.17284935513894428,1.7949740725967291,0.0,0.0,16.673314718787395,1.2764260071798963,0.21273766786331605,0.026592208482914506,0.0,12.511634091211274,0.21273766786331605,1.9279351150113015,0.9706156096263794,7.020343039489429,7.831405398218322,2.3932987634623055,1.6753091344236137,3.8824624385055175,9.347161281744448,1.2232415902140672,5.930062491689935,12.431857465762532,6.714532641935913,1.8215662810796438,3.403802685813057,3.004919558569339,5.544475468687674,0.4254753357266321,24.704161680627575,35.806408722244385,38.997473740194124,51.1368169126446,31.538359260736605,45.392899880335065,0.33240260603643135,5.119000132961042,0.3191065017949741,0.4387714399680893,0.38558702300226033,0.0,0.9174311926605505,18.002925142933123,1.5822364047334132,0.9174311926605505,0.33240260603643135,0.03988831272437176,1.039755351681957,0.18960244648318042,0.17284935513894428,17.67052253689669,0.21273766786331605,13.947613349288659,11.966493817311527,59.3139210211408,22.15130966626778,51.66866108230288,3.5101715197447145,1.263129902938439,0.019072449295442898,0.2319968141748426,0.2847098452165123,0.23592806475671416,0.1258564530242631,0.07446136470288846,0.010074891467321778,0.016395271659841136,0.11934303948942959,0.07801475867570802,-0.08500563754819838,41.13814652306874,7549,7521,0.0037,False,neutral,ABC News,False,71420,0.8556711452654232,0.020307152801412015,0.6601592490506614,0.036354146136655385,0.8492416513496203,0.01742200728375547,0.6892105670032571,0.03646379635427438,0.8349578053424892,0.01334893634333514,0.7296145099979601,0.017275797614355392
@ANINewsIndia,streams,7202,93.05831713412941,14.327409053040823,5.352746440831042,93.07345181893919,0.15512822983934163,86.28158844765343,0.027770063871146906,0.6864538545525692,0.12496528742016105,0.1666203832268814,1.1108025548458762,0.0,73.39627881144126,54.62371563454595,1.444043321299639,0.0,6.109414051652319,0.9302971396834213,0.4026659261316301,0.0,0.0,13.093585115245766,0.027770063871146906,0.06942515967786726,0.013885031935573453,0.013885031935573453,27.02027214662594,0.2638156067758956,4.62371563454596,15.162454873646208,6.428769786170509,3.3879477922799226,0.2638156067758956,27.311857817272976,0.0833101916134407,0.708136628714246,0.4443210219383505,1.7495140238822549,10.13607331296862,0.6525965009719522,0.4998611496806442,0.9025270758122743,2.0966398222715914,1.8050541516245486,0.38878089419605666,62.66314912524299,93.69619550124966,102.02721466259372,109.55290197167453,68.38378228269924,17.522910302693695,0.0,0.18050541516245489,0.027770063871146906,0.0833101916134407,0.0,0.0,1.3051930019439044,14.412663149125244,3.2352124409886143,66.82865870591502,2.8047764509858375,66.55095806720355,2.244931963343516,0.7436823104693141,0.9302971396834213,0.05554012774229381,0.0,0.0,6.845320744237712,66.48153290752569,9.400166620383226,63.82949180783116,0.8469869480699806,0.38878089419605666,0.0057312992611384264,0.19063023499045098,0.4813488653236192,0.16634238878567906,0.07591600914321947,0.030143014902460043,0.03313187111245302,0.00639129028732348,0.059803665648430995,0.03612371563454596,-0.05769284920855318,80.21382949180783,7337,7202,0.0184,False,neutral,ANI,False,103905,0.83885600585359,0.027273242694983706,0.6695039276431989,0.023144783785723835,0.8280774115464402,0.022926373035700557,0.7152754745046337,0.02388706756000785,0.807931113265516,0.017426869096152042,0.7843595010721682,0.009641367187558833
@ANINewsIndia,videos,11623,90.03045685279187,14.081132237804354,5.325951075623615,89.88841090940377,0.0679167306685267,33.44231265594081,0.008603630732168976,0.4485506021410742,0.8173449195560527,3.8028047836186873,8.921965069259228,0.0344145229286759,24.812871031575327,6.925922739396024,10.806160199604232,0.008603630732168976,30.41383463821733,0.5678396283231524,0.29252344489374515,0.0344145229286759,0.0344145229286759,21.2423642777252,0.714101350770025,0.8431558117525596,0.14626172244687258,0.008603630732168976,37.37417190054203,0.23229802976856231,3.9060483524047145,1.694915254237288,12.83661705239611,6.38389400326938,2.9510453411339586,6.418308526198055,2.5208638045255096,3.9576701367977285,1.9960423298632024,5.213800223694399,20.64871375720554,2.2799621440247786,1.3679772864148672,5.867676159339242,7.1065989847715745,7.588402305773036,0.48180332100146267,48.868622558719785,72.15004731996902,73.62126817516992,111.95904671771488,55.83756345177665,39.90363933579971,0.0344145229286759,1.7121225157016262,0.3785597522154349,1.376580917147036,0.025810892196506924,0.043018153660844875,1.8411769766841606,16.51897100576443,2.7789727264905792,4.6373569646390775,2.116493160113568,5.256818377355244,1.084831799019186,0.2501935816914738,0.5678396283231524,0.2495052912329003,0.12905446098253462,0.0,30.345005592359975,80.99457971263874,23.195388453927556,73.2943302073475,7.536780521380022,2.5208638045255096,0.008792263001646547,0.17018146812564655,0.33436331289025695,0.1898859023997719,0.11045909590006732,0.056654798743297485,0.010063655792826844,0.01362300008247319,0.10664406779661018,0.07693065473629872,-0.06949976770197024,43.28486621354212,11635,11623,0.001,False,neutral,ANI,False,167488,0.8883551022065921,0.011841399506589257,0.6246585438214519,0.028469299068067243,0.8795655260978344,0.010444259219651258,0.637997219226323,0.022458719073938385,0.8624490924475661,0.009075327359910143,0.667981108276778,0.013788874771843792
@ActualJusticeWarrior,videos,368,43.70652173913044,6.9375,5.4947110784746656,43.70652173913044,0.2407349519441911,97.28260869565217,1.6304347826086956,0.9964641563146998,0.2717391304347826,0.2717391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.5434782608695652,0.0,0.0,0.0,0.0,3.532608695652174,0.0,0.5434782608695652,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,0.5434782608695652,2.1739130434782608,3.804347826086957,0.5434782608695652,0.5434782608695652,3.260869565217391,1.9021739130434785,3.532608695652174,20.108695652173914,1.358695652173913,17.119565217391305,3.260869565217391,27.98913043478261,0.0,1.6304347826086956,13.586956521739129,38.58695652173913,24.728260869565215,35.869565217391305,35.32608695652174,61.95652173913043,0.0,0.8152173913043478,0.5434782608695652,3.260869565217391,1.358695652173913,0.0,0.0,3.260869565217391,6.521739130434782,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5434782608695652,53.53260869565217,22.554347826086957,40.76086956521739,1.358695652173913,0.5434782608695652,0.016722053610640567,0.15671246778583733,0.5176573728204162,0.1228676516719995,0.1339214755654973,0.043674675264349185,0.011806927975406235,0.0032446946169772256,0.3328858695652174,0.05887771739130435,-0.3916600543478261,10.597826086956522,368,368,0.0,False,right,Actual Justice Warrior,False,2553,0.8418897160851007,0.014822199146164845,0.5370526497564007,0.014037261750327457,0.8238193393209897,0.013719142978935102,0.5921611997819265,0.008126628526094252,,,,
@AfterPartyEmily,streams,71,96.30985915492958,14.605633802816902,5.378558922666214,96.30985915492958,0.08172297186381694,69.01408450704226,0.0,0.8755624484601287,0.0,11.267605633802818,5.633802816901409,5.633802816901409,0.0,0.0,0.0,0.0,12.676056338028168,0.0,1.4084507042253522,0.0,0.0,9.859154929577464,4.225352112676056,0.0,0.0,0.0,100.0,0.0,1.4084507042253522,1.4084507042253522,0.0,0.0,0.0,2.8169014084507045,2.8169014084507045,8.450704225352112,4.225352112676056,0.0,36.61971830985916,0.0,30.985915492957744,1.4084507042253522,18.30985915492958,0.0,4.225352112676056,30.985915492957744,185.91549295774647,125.35211267605635,26.76056338028169,95.77464788732394,77.46478873239437,0.0,8.450704225352112,1.4084507042253522,5.633802816901409,0.0,0.0,1.4084507042253522,69.01408450704226,15.492957746478872,0.0,1.4084507042253522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.535211267605636,35.2112676056338,15.492957746478872,21.12676056338028,1.4084507042253522,0.0,0.019463514193815507,0.13284690546496677,0.5671263771016312,0.035051875582111106,0.024556647172741503,0.009101335729661344,0.003837164400544682,0.0038545502262587383,0.17914084507042252,0.04828169014084507,-0.29510704225352113,49.29577464788733,71,71,0.0,False,right,Emily Jashinsky,False,1094,0.872251309233862,0.01748279322418506,0.6209819518077208,0.00909730040597079,,,,,,,,
@AfterPartyEmily,videos,393,81.18066157760815,13.15267175572519,5.21748619365782,81.11959287531806,0.06738174077082923,57.50636132315522,0.0,0.8295502691607316,0.2544529262086514,3.5623409669211195,1.2722646310432568,1.2722646310432568,2.7989821882951653,0.0,3.816793893129771,0.0,16.030534351145036,0.0,0.7633587786259541,0.0,0.0,5.597964376590331,1.0178117048346056,0.5089058524173028,0.0,0.0,46.0559796437659,0.2544529262086514,1.5267175572519083,1.0178117048346056,1.2722646310432568,2.7989821882951653,12.977099236641221,0.5089058524173028,26.463104325699742,38.67684478371501,12.213740458015266,3.307888040712468,24.93638676844784,4.580152671755725,12.213740458015266,8.651399491094146,12.213740458015266,9.414758269720101,1.7811704834605597,35.6234096692112,107.37913486005088,55.72519083969466,19.84732824427481,73.2824427480916,36.6412213740458,0.2544529262086514,13.740458015267176,12.213740458015266,16.28498727735369,2.5445292620865136,0.0,1.0178117048346056,64.63104325699746,6.870229007633588,0.0,1.0178117048346056,0.5089058524173028,1.0,0.027989821882951654,0.0,0.0,0.0,0.0,11.959287531806616,70.73791348600508,23.918575063613233,50.89058524173028,8.142493638676845,0.2544529262086514,0.055353356728563646,0.282345200280882,0.46321868574319,0.05913447463429789,0.09244746618884642,0.021870678986733873,0.016075581835552303,0.004936347545592931,0.16066921119592875,0.07133078880407125,-0.19550127226463102,49.61832061068702,393,393,0.0,False,right,Emily Jashinsky,False,5317,0.8639489821744128,0.02039508080429442,0.6927926615645796,0.02379075068038677,0.8525432957601631,0.018045106108018346,0.699498519875543,0.02025077171979422,0.832443625906313,0.015404911230130845,0.696089217115531,0.011149873857418046
@AlexStein99,streams,41,39.4390243902439,6.804878048780488,5.005399558197263,53.34146341463415,0.05314556716995741,26.82926829268293,0.0,0.8032089184528209,2.4390243902439024,17.073170731707318,26.82926829268293,14.634146341463413,0.0,4.878048780487805,0.0,0.0,0.0,0.0,9.75609756097561,0.0,0.0,12.195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878048780487805,2.4390243902439024,2.4390243902439024,4.878048780487805,4.878048780487805,4.878048780487805,0.0,0.0,0.0,2.4390243902439024,7.317073170731707,2.4390243902439024,0.0,2.4390243902439024,0.0,70.73170731707317,26.82926829268293,7.317073170731707,58.536585365853654,48.78048780487805,0.0,7.317073170731707,0.0,4.878048780487805,4.878048780487805,0.0,0.0,36.58536585365854,7.317073170731707,0.0,0.0,0.0,1.5121951219512195,0.0,0.0,46.34146341463415,0.0,0.0,0.0,21.951219512195124,9.75609756097561,14.634146341463413,2.4390243902439024,0.0,0.04118449301376131,0.2588867254218761,0.5374995600605357,0.05091155457009116,0.05651462358779432,0.02548481328969134,0.004065040650406504,0.033277900960827785,0.03231707317073171,0.032195121951219506,0.005924390243902436,9.75609756097561,41,41,0.0,True,right,Alex Stein,False,282,,,,,,,,,,,,
@AlexStein99,videos,82,41.63414634146341,7.219512195121951,4.7427480378699896,42.9390243902439,0.05026132404181184,17.073170731707318,2.4390243902439024,0.7903177107445399,0.0,9.75609756097561,24.390243902439025,1.2195121951219512,14.634146341463413,3.6585365853658534,3.6585365853658534,3.6585365853658534,10.975609756097562,0.0,1.2195121951219512,0.0,0.0,6.097560975609756,0.0,0.0,15.853658536585366,0.0,10.975609756097562,0.0,0.0,14.634146341463413,2.4390243902439024,1.2195121951219512,3.6585365853658534,2.4390243902439024,6.097560975609756,4.878048780487805,2.4390243902439024,0.0,23.170731707317074,0.0,1.2195121951219512,12.195121951219512,9.75609756097561,1.2195121951219512,0.0,17.073170731707318,41.46341463414634,24.390243902439025,21.951219512195124,39.02439024390244,32.926829268292686,0.0,2.4390243902439024,0.0,2.4390243902439024,2.4390243902439024,0.0,1.2195121951219512,21.951219512195124,6.097560975609756,2.4390243902439024,0.0,1.2195121951219512,1.0365853658536586,0.14634146341463414,0.0,15.853658536585366,0.0,0.0,10.975609756097562,59.756097560975604,21.951219512195124,43.90243902439025,2.4390243902439024,0.0,0.0496635816757768,0.27720321683736315,0.43304459767874404,0.0675587962173328,0.1299111457648043,0.025138056388056388,0.01689381079624982,0.009799651567944252,0.14539024390243904,0.04797560975609756,-0.1267390243902439,7.317073170731707,82,82,0.0,False,right,Alex Stein,False,596,,,,,,,,,,,,
