a,b,co_mentions,channels_co_mentioning,phrase_pair,r_pooled,r_lo_pooled,r_hi_pooled,r_shift_p_pooled,peak_ccf_pooled,peak_lag_pooled,peak_shift_p_pooled,pw_peak_ccf_pooled,pw_peak_lag_pooled,pw_band_pooled,r_channels,r_lo_channels,r_hi_channels,r_shift_p_channels,peak_ccf_channels,peak_lag_channels,peak_shift_p_channels,pw_peak_ccf_channels,pw_peak_lag_channels,pw_band_channels,r_pooled_knots3,r_pooled_knots10,granger_order,granger_a_to_b_p,granger_b_to_a_p,naive_or,week_observed,week_expected,week_lift,week_z,week_p,week_or_mh,week_or_lo,week_or_hi,week_log_or_se,day_or_mh,day_or_lo,day_or_hi,day_z,z_half_a,or_half_a,z_half_b,or_half_b,title_replicated,group_left_or,group_left_lo,group_left_hi,group_neutral_or,group_neutral_lo,group_neutral_hi,group_right_or,group_right_lo,group_right_hi,group_heterogeneity_p,loo_or_min,loo_or_max,loo_z_min,loo_z_max,loo_most_influential_org,meta_k,meta_theta_re,meta_se_re,meta_tau2,meta_i2,meta_q,meta_q_p,meta_share_or_gt1,meta_share_sig_pos,meta_share_sig_neg,screen_lift,screen_q,screen_replicated,screen_channels,title_kind,title_direction,time_reading
venezuela,shooting,9,6,False,-0.0559,-0.2009,0.0888,0.6060,-0.1477,-9,0.9200,0.1285,-4,0.1227,-0.0444,-0.1794,0.1119,0.6840,-0.1476,-9,0.9420,0.1317,14,0.1227,-0.0818,-0.0719,1,0.3953,0.7361,0.2991,9.0000,101.6093,0.0886,-10.6897,0.0000,0.0625,0.0315,0.1243,0.3505,0.0660,0.0279,0.1564,-7.9672,-7.8101,0.0146,-7.3592,0.1037,True,0.0451,0.0106,0.1916,0.0263,0.0066,0.1046,0.2377,0.0898,0.6291,0.0208,0.0421,0.0712,-10.8694,-9.8612,CBS News,43,0.6365,0.2111,0.2126,0.1145,47.4288,0.2609,0.6279,0.0698,0.0000,,,,,channels,avoid,none
venezuela,minneapolis,13,10,False,0.0820,-0.0555,0.2119,0.2100,0.2503,3,0.0280,0.1605,-4,0.1227,0.1037,-0.0309,0.2335,0.1200,0.2316,3,0.0680,0.1610,-4,0.1227,0.0031,0.0184,6,0.0038,0.2046,0.6849,13.0000,105.3342,0.1234,-10.5397,0.0000,0.0838,0.0460,0.1526,0.3058,0.1044,0.0524,0.2079,-7.9316,-7.7347,0.0529,-7.2163,0.1118,True,0.0982,0.0352,0.2735,0.0277,0.0071,0.1090,0.2675,0.1080,0.6624,0.0229,0.0674,0.0987,-10.6818,-9.4316,CBS News,38,0.8447,0.2008,0.0000,0.0000,28.8410,0.8289,0.6842,0.1053,0.0000,,,,,channels,avoid,none
fauci,trump,58,31,False,-0.0801,-0.1787,0.0520,0.4920,-0.0867,3,1.0000,-0.1097,0,0.1227,-0.1499,-0.2517,-0.0283,0.3100,-0.1499,0,0.8160,0.1175,-11,0.1227,-0.0069,-0.1105,1,0.9585,0.5000,0.2206,58.0000,161.1581,0.3599,-10.1124,0.0000,0.2562,0.1926,0.3408,0.1456,0.2347,0.1709,0.3223,-9.7688,-6.4073,0.2315,-7.8308,0.2708,True,0.1861,0.1039,0.3335,0.2151,0.1110,0.4170,0.3155,0.2165,0.4597,0.2740,0.2341,0.2752,-10.2295,-9.0372,Times Group,40,-0.7872,0.1755,0.3203,0.3053,56.1357,0.0371,0.2250,0.0000,0.1500,0.3599,0.0000,True,31.0000,landscape,avoid,none
maduro,trump,516,89,False,0.0729,-0.0898,0.2503,0.3480,-0.1451,-4,0.7000,-0.1060,-4,0.1225,0.0490,-0.1298,0.2158,0.4720,-0.1775,3,0.3080,-0.1216,3,0.1225,0.1178,0.0894,1,0.0505,0.6679,1.7073,512.0000,372.3492,1.3751,9.8627,0.0000,1.8935,1.6653,2.1528,0.0655,1.4184,1.2202,1.6488,4.5926,5.9264,1.8034,7.9539,1.9683,True,1.7617,1.3732,2.2601,2.0144,1.6894,2.4018,1.7905,1.3502,2.3744,0.6227,1.7241,2.0095,7.8823,10.5158,Times Group,37,0.6105,0.1540,0.5572,0.7762,160.8347,0.0000,0.6486,0.2973,0.0000,1.3751,0.0000,True,89.0000,landscape,co-mention,none
iran,minneapolis,9,6,False,0.1100,-0.0251,0.2403,0.1020,0.2868,-2,0.0000,0.1540,-2,0.1225,0.1304,-0.0277,0.2747,0.0720,0.2668,-2,0.0000,0.1767,-2,0.1227,-0.2206,0.0179,1,0.6277,0.0008,0.0308,9.0000,94.7647,0.0950,-9.8366,0.0000,0.0683,0.0341,0.1368,0.3546,0.0574,0.0262,0.1260,-9.7228,-7.1711,0.0349,-6.7685,0.0986,True,0.0768,0.0237,0.2486,,,,0.1668,0.0701,0.3971,0.2977,0.0422,0.0866,-9.9346,-8.4696,Times Group,54,-1.2453,0.1970,0.3220,0.1621,63.2532,0.1582,0.2407,0.0000,0.2222,,,,,landscape,avoid,none
war,shooting,35,23,False,-0.0516,-0.2607,0.1552,0.5000,-0.2420,8,0.1860,-0.1618,0,0.1250,0.0389,-0.1432,0.2123,0.6140,-0.1980,8,0.4120,-0.1358,5,0.1235,-0.1830,-0.0906,2,0.7045,0.0457,0.1548,35.0000,141.8371,0.2468,-9.7823,0.0000,0.2138,0.1520,0.3008,0.1742,0.2372,0.1641,0.3428,-8.2939,-6.4306,0.2095,-7.3715,0.2171,True,0.2867,0.1602,0.5132,0.1210,0.0690,0.2124,0.5415,0.2836,1.0338,0.0024,0.2010,0.2392,-9.9311,-8.4633,Network18,66,-0.4890,0.1687,0.5202,0.3155,94.9590,0.0091,0.3939,0.0455,0.0909,0.2468,0.0000,True,23.0000,group,avoid,none
greenland,minneapolis,8,6,False,-0.0180,-0.1786,0.1067,0.8580,0.1655,2,0.4160,0.1544,-6,0.1227,-0.0188,-0.1470,0.0834,0.8420,0.1427,2,0.7140,0.1347,2,0.1227,0.3192,-0.1115,2,0.0169,0.7153,0.5899,8.0000,88.5891,0.0903,-9.5836,0.0000,0.0716,0.0350,0.1465,0.3652,0.0691,0.0304,0.1568,-8.4360,-7.2181,0.0326,-6.3645,0.1101,True,0.0749,0.0225,0.2498,0.0175,0.0023,0.1305,0.2119,0.0777,0.5778,0.0729,0.0459,0.0899,-9.7199,-8.2553,Times Group,32,0.8543,0.2309,0.0000,0.0000,18.0151,0.9694,0.7812,0.0312,0.0000,,,,,channels,avoid,none
maduro,minneapolis,0,0,False,-0.0458,-0.1906,0.1080,0.5740,0.2329,3,0.0740,0.1483,4,0.1225,0.0032,-0.1181,0.1569,0.9220,0.1981,3,0.1440,0.1367,2,0.1225,-0.2134,-0.0353,1,0.3235,0.0864,,0.0000,63.7258,0.0000,-9.0995,0.0000,,,,,,,,-4.4445,-6.0247,,-6.8220,,True,,,,,,,,,,,,,,,,28,0.6740,0.2728,0.0000,0.0000,15.6512,0.9593,0.6429,0.0357,0.0000,,,,,channels,avoid,none
maduro,shooting,0,0,False,0.0643,-0.0762,0.2123,0.4180,0.2089,2,0.0000,-0.1726,-10,0.1225,0.1024,-0.0213,0.2364,0.1700,0.2056,2,0.0000,-0.1768,-10,0.1225,-0.0166,0.0313,1,0.0510,0.7665,,0.0000,62.6656,0.0000,-8.9909,0.0000,,,,,,,,-4.1373,-5.9659,,-6.7277,,True,,,,,,,,,,,,,,,,33,0.4787,0.2517,0.0000,0.0000,23.2156,0.8714,0.6061,0.0000,0.0000,,,,,channels,avoid,none
epstein,trump,1552,122,False,-0.1786,-0.3128,-0.0318,0.0060,-0.1786,0,0.1700,-0.1706,0,0.1225,-0.1090,-0.2672,0.0360,0.1640,-0.1553,11,0.3940,-0.1461,11,0.1227,-0.2593,-0.0821,1,0.9870,0.9073,1.3438,1547.0000,1794.3567,0.8621,-8.9280,0.0000,0.7294,0.6792,0.7833,0.0364,0.7381,0.6825,0.7982,-7.8221,-7.6824,0.6952,-4.8671,0.7721,True,0.6966,0.6394,0.7590,0.8344,0.7169,0.9712,0.7368,0.5839,0.9299,0.1269,0.6964,0.7822,-9.6475,-6.5539,MeidasTouch Network,115,-0.1633,0.0722,0.2992,0.6806,356.8854,0.0000,0.4783,0.0435,0.1652,0.8621,0.0000,True,122.0000,landscape,avoid,none
iran,epstein files,32,24,False,-0.1010,-0.2951,0.0888,0.3280,-0.2627,10,0.1160,-0.1241,13,0.1225,-0.0899,-0.2625,0.0779,0.3460,-0.2548,10,0.1380,-0.1555,-7,0.1227,-0.2206,0.1333,1,0.1969,0.5138,0.1579,31.0000,110.5316,0.2805,-8.8356,0.0000,0.2157,0.1473,0.3158,0.1945,0.2134,0.1408,0.3233,-8.2416,-6.4872,0.1742,-6.0313,0.2534,True,0.2289,0.1348,0.3884,0.1512,0.0755,0.3026,0.4484,0.1795,1.1203,0.1788,0.1994,0.2542,-9.0136,-7.3364,Times Group,60,-0.6269,0.1684,0.3730,0.2352,77.1470,0.0565,0.3000,0.0167,0.1000,0.2805,0.0000,True,24.0000,landscape,avoid,none
venezuela,deal,76,34,False,-0.0937,-0.2771,0.1116,0.4520,0.2046,-13,0.3120,-0.1339,8,0.1227,-0.0691,-0.2681,0.1250,0.5720,-0.1742,8,0.5140,-0.1346,4,0.1227,-0.1197,-0.1010,3,0.3544,0.6406,1.6457,76.0000,31.2419,2.4326,8.5456,0.0000,2.6996,2.1072,3.4586,0.1264,2.9557,2.2594,3.8665,8.7588,5.6256,2.7174,6.4329,2.6864,True,2.9578,1.8216,4.8027,1.8321,1.2798,2.6227,8.0774,4.6366,14.0717,0.0001,2.4057,3.1413,7.0465,9.5306,Fox News,55,1.2232,0.1710,0.7198,0.5350,116.1240,0.0000,0.8545,0.2545,0.0000,2.4326,0.0000,True,34.0000,landscape,co-mention,none
iran,fauci,20,10,False,-0.0173,-0.0996,0.0701,0.8880,-0.1807,-8,0.8780,-0.1175,10,0.1225,-0.0319,-0.1535,0.0841,0.8740,-0.2336,-8,0.5960,-0.1869,-8,0.1227,0.0436,0.0330,1,0.6228,0.8100,0.1567,20.0000,85.2312,0.2347,-8.4820,0.0000,0.1601,0.0987,0.2599,0.2471,0.1395,0.0814,0.2389,-8.3944,-6.8638,0.0609,-5.2592,0.2510,True,0.0313,0.0048,0.2033,0.1424,0.0480,0.4224,0.2705,0.1515,0.4830,0.0748,0.1136,0.2236,-8.6983,-6.3896,Times Group,39,-0.6521,0.1755,0.0000,0.0000,32.9228,0.7030,0.2051,0.0256,0.0769,0.2347,0.0000,True,10.0000,channels,avoid,none
iran,venezuela,91,37,False,-0.0691,-0.2489,0.1118,0.4620,0.2118,14,0.5980,0.0978,14,0.1225,0.0030,-0.2129,0.1963,0.9820,0.2015,14,0.5560,0.1656,14,0.1227,-0.0470,-0.1748,2,0.2429,0.5707,0.2372,90.0000,191.4448,0.4701,-8.4814,0.0000,0.4015,0.3215,0.5013,0.1134,0.4180,0.3275,0.5336,-7.3662,-7.6092,0.2257,-4.6080,0.5495,True,0.2873,0.1839,0.4486,0.3251,0.2350,0.4496,1.1588,0.7501,1.7903,0.0000,0.3647,0.4334,-8.9089,-7.2154,Times Group,67,-0.8269,0.2021,1.5576,0.6952,216.5258,0.0000,0.2537,0.0597,0.2388,0.4701,0.0000,True,37.0000,group,avoid,none
iran,maduro,20,12,False,-0.0885,-0.2254,0.0612,0.2480,-0.2089,2,0.0800,-0.1636,9,0.1225,-0.0303,-0.1778,0.1167,0.6880,-0.1735,3,0.3000,0.1675,14,0.1227,0.0893,-0.0817,2,0.0033,0.8763,0.0929,20.0000,83.7400,0.2388,-8.0781,0.0000,0.1934,0.1230,0.3041,0.2308,0.2067,0.1258,0.3399,-7.0869,-6.0761,0.1522,-5.3662,0.2339,True,0.1807,0.0771,0.4235,0.1771,0.0942,0.3329,0.2801,0.1027,0.7638,0.7335,0.1651,0.2091,-8.3510,-7.0516,Times Group,37,-1.3386,0.2353,0.6770,0.3805,58.1088,0.0112,0.1892,0.0000,0.1892,0.2388,0.0000,True,12.0000,landscape,avoid,none
iran,state,223,38,False,-0.2033,-0.3836,0.0064,0.0380,-0.2419,2,0.1920,0.2084,10,0.1225,-0.1738,-0.3563,0.0283,0.0580,-0.2236,2,0.2220,0.1630,10,0.1227,-0.2394,-0.2677,2,0.0457,0.6355,0.5528,223.0000,352.2613,0.6331,-8.0516,0.0000,0.5578,0.4825,0.6448,0.0740,0.7149,0.6132,0.8336,-4.3235,-5.9701,0.4732,-5.5537,0.6103,True,0.5228,0.3942,0.6933,0.6365,0.5242,0.7729,0.4253,0.3010,0.6009,0.1148,0.5340,0.5708,-8.3833,-7.6485,ABC News,71,-0.3252,0.0692,0.0000,0.0000,54.4304,0.9148,0.2535,0.0141,0.0704,0.6331,0.0000,True,38.0000,channels,avoid,none
ice,epstein files,10,8,False,0.0077,-0.1517,0.1721,0.9760,-0.1216,-6,1.0000,-0.1470,-6,0.1227,-0.0098,-0.1676,0.1630,0.9720,-0.1369,-2,0.9820,-0.1526,-2,0.1227,0.0737,0.0875,1,0.4810,0.3981,0.3157,10.0000,67.7912,0.1475,-7.8690,0.0000,0.1123,0.0578,0.2179,0.3383,0.1083,0.0525,0.2234,-7.3355,-5.9917,0.0504,-5.1459,0.1737,True,0.1200,0.0561,0.2567,0.1433,0.0369,0.5568,,,,0.8232,0.0769,0.1343,-8.1230,-7.0141,MS NOW,57,0.4289,0.1691,0.0000,0.0000,41.7165,0.9223,0.6140,0.0526,0.0175,,,,,channels,avoid,none
greenland,shooting,5,4,False,0.1039,-0.0935,0.2487,0.2760,-0.2371,12,0.0000,0.1758,3,0.1227,0.1481,0.0080,0.3003,0.0560,-0.2233,12,0.0480,0.1589,3,0.1227,0.2486,0.0637,3,0.0360,0.4942,0.2329,5.0000,59.0708,0.0846,-7.7406,0.0000,0.0719,0.0298,0.1732,0.4487,0.0853,0.0338,0.2156,-6.3856,-5.3351,0.0623,-5.6140,0.0799,True,0.0448,0.0064,0.3122,0.0264,0.0036,0.1914,0.2800,0.0880,0.8909,0.0709,0.0439,0.0820,-7.9440,-7.1239,Times Group,38,0.8366,0.2405,0.3894,0.1830,45.2904,0.1645,0.6053,0.1053,0.0000,,,,,channels,avoid,none
iran,alex,34,18,False,-0.2242,-0.4284,0.0099,0.0220,0.3368,14,0.0400,-0.1600,9,0.1225,-0.2243,-0.4019,-0.0230,0.0080,0.2998,14,0.1060,-0.1275,-14,0.1227,-0.2849,-0.0441,1,0.1647,0.5060,0.2067,34.0000,97.8280,0.3475,-7.6097,0.0000,0.2543,0.1746,0.3705,0.1919,0.2351,0.1519,0.3641,-7.0408,-4.7589,0.1943,-5.9692,0.2830,True,0.2328,0.1074,0.5048,0.0821,0.0224,0.3006,0.3405,0.2150,0.5393,0.1142,0.2393,0.2690,-7.7186,-6.1502,Real America's Voice,47,-0.4197,0.1648,0.0883,0.0743,49.6918,0.3285,0.2979,0.0000,0.0638,0.3476,0.0000,True,18.0000,channels,avoid,none
trump,alex,173,61,False,-0.1980,-0.3522,-0.0131,0.0420,0.2006,13,0.3000,-0.1761,-7,0.1225,-0.0576,-0.1959,0.0751,0.5000,-0.1678,-13,0.5820,-0.1363,-13,0.1227,-0.1775,-0.1025,1,0.3184,0.3855,0.5588,173.0000,268.0178,0.6455,-7.4502,0.0000,0.5150,0.4309,0.6155,0.0910,0.4789,0.3900,0.5880,-7.1511,-3.1216,0.6737,-7.0645,0.4122,True,0.4654,0.3524,0.6145,0.6119,0.4244,0.8823,0.5144,0.3814,0.6936,0.5058,0.4843,0.5861,-7.9452,-5.6577,Real America's Voice,49,-0.1460,0.1651,0.7447,0.6392,133.0268,0.0000,0.3469,0.1020,0.1020,0.6455,0.0000,True,61.0000,landscape,avoid,none
iran,greenland,60,25,False,0.0495,-0.0795,0.1716,0.5720,0.1680,-5,0.4880,0.1244,11,0.1225,0.0714,-0.0578,0.2070,0.4380,0.1582,-5,0.5960,-0.1480,1,0.1227,-0.1617,-0.2334,1,0.9976,0.8926,0.2189,59.0000,130.8796,0.4508,-7.3437,0.0000,0.3836,0.2922,0.5035,0.1388,0.3745,0.2799,0.5011,-7.0848,-7.0102,0.2404,-3.3365,0.5611,True,0.2186,0.1293,0.3696,0.4189,0.2887,0.6080,1.0517,0.5554,1.9913,0.0010,0.3326,0.5572,-7.8017,-3.8896,Times Group,45,-0.8547,0.2239,1.0814,0.6086,112.4172,0.0000,0.2889,0.0222,0.1778,0.4508,0.0000,True,25.0000,group,avoid,none
iran,platner,25,15,False,0.1059,0.0034,0.2206,0.3640,0.2334,-5,0.3820,-0.1908,4,0.1225,0.1325,0.0206,0.2420,0.2920,0.2326,-5,0.3360,-0.1682,4,0.1227,0.0320,0.0859,4,0.0080,0.0641,0.2218,25.0000,80.2481,0.3115,-7.0235,0.0000,0.2666,0.1778,0.3997,0.2067,0.2211,0.1406,0.3476,-7.2053,-3.3932,0.4154,-6.2889,0.1749,True,0.3035,0.1644,0.5603,0.2041,0.0956,0.4357,0.3008,0.1396,0.6479,0.6912,0.2362,0.3114,-7.2465,-6.0746,Fox News,35,-0.3193,0.2159,0.4025,0.2716,46.6750,0.0724,0.3714,0.0286,0.0857,0.3115,0.0000,True,15.0000,channels,avoid,none
trump,america,1934,133,False,0.0507,-0.0634,0.1868,0.4800,-0.1063,-7,0.9220,-0.1082,-7,0.1225,0.1697,0.0344,0.2913,0.0140,-0.1850,-7,0.1160,-0.1653,-7,0.1227,0.0168,0.0123,1,0.5306,0.4140,1.0360,1930.0000,1704.9102,1.1320,6.9346,0.0000,1.2198,1.1519,1.2917,0.0292,1.2480,1.1739,1.3268,7.2940,4.2846,1.2645,5.4990,1.2030,True,1.2022,1.0744,1.3453,1.4515,1.3338,1.5795,0.9473,0.8493,1.0566,0.0000,1.1416,1.2714,4.0876,8.0609,Network18,141,0.1553,0.0706,0.2999,0.7049,474.3375,0.0000,0.5177,0.0993,0.0496,1.1320,0.0000,True,133.0000,group,co-mention,none
ice,deal,18,13,False,0.1512,-0.0371,0.3345,0.1720,-0.2783,-13,0.1380,-0.2486,-13,0.1227,0.2076,0.0475,0.3577,0.0640,-0.2618,-13,0.2140,-0.2396,-13,0.1227,0.3135,0.1985,1,0.2973,0.9985,0.1595,18.0000,72.7329,0.2475,-6.8495,0.0000,0.2131,0.1313,0.3456,0.2468,0.2089,0.1252,0.3487,-6.5287,-4.5618,0.1766,-5.1172,0.2377,True,0.1872,0.0766,0.4574,0.1700,0.0754,0.3833,0.3321,0.1471,0.7496,0.4739,0.1827,0.2329,-6.9844,-6.2954,Times Group,74,-0.0918,0.1413,0.0000,0.0000,52.8391,0.9638,0.4595,0.0270,0.0135,,,,,channels,avoid,none
trump,state,855,117,False,0.0276,-0.2205,0.2373,0.7460,-0.1353,7,0.7880,-0.1190,7,0.1225,0.0659,-0.1322,0.2316,0.4420,-0.1426,7,0.8100,-0.1139,-12,0.1227,-0.0225,0.0193,2,0.5205,0.4377,1.2924,855.0000,714.0835,1.1973,6.7941,0.0000,1.3580,1.2422,1.4845,0.0455,1.2208,1.1054,1.3483,3.9303,4.6345,1.3859,4.9786,1.3387,True,1.1410,0.9704,1.3415,1.7145,1.5023,1.9567,1.1487,0.9617,1.3719,0.0001,1.3117,1.3937,5.8419,7.2049,CBS News,73,0.3340,0.0829,0.2275,0.6031,181.4241,0.0000,0.6575,0.2192,0.0411,1.1973,0.0000,True,117.0000,group,co-mention,none
epstein,shooting,9,8,False,0.0167,-0.1916,0.1926,0.8620,0.3563,12,0.0000,0.2300,12,0.1225,0.0581,-0.1440,0.2627,0.5440,0.3317,12,0.0000,0.2236,12,0.1227,-0.0102,-0.0010,1,0.7358,0.6415,0.1516,9.0000,52.2589,0.1722,-6.4564,0.0000,0.1349,0.0663,0.2746,0.3626,0.1527,0.0690,0.3376,-5.4339,-4.7450,0.1173,-4.3791,0.1542,True,0.1302,0.0478,0.3542,0.0484,0.0070,0.3336,0.4872,0.1475,1.6092,0.0886,0.1164,0.1532,-6.5963,-5.9191,MS NOW,57,0.0350,0.1803,0.0000,0.0000,46.9965,0.7988,0.4211,0.0351,0.0175,,,,,channels,avoid,epstein leads by 12 d
epstein,america,49,24,False,-0.1316,-0.2420,0.0380,0.2120,-0.2290,-1,0.4100,0.1692,-12,0.1225,-0.1445,-0.2436,-0.0239,0.1280,-0.2825,-1,0.0060,-0.2191,-1,0.1227,-0.0798,-0.0750,1,0.1295,0.0022,0.3251,48.0000,108.3080,0.4432,-6.4312,0.0000,0.3870,0.2868,0.5223,0.1529,0.3931,0.2838,0.5443,-5.8372,-4.1208,0.2934,-4.9640,0.4311,True,0.3637,0.2192,0.6033,0.6003,0.3849,0.9362,0.2086,0.1036,0.4199,0.0365,0.3084,0.4216,-7.1355,-5.8185,Network18,88,0.0706,0.1123,0.0000,0.0000,81.5085,0.6460,0.5909,0.0341,0.0568,0.4432,0.0000,True,24.0000,channels,avoid,none
war,epstein files,21,19,False,-0.2161,-0.3656,-0.0428,0.0300,-0.2484,-8,0.1000,-0.1074,9,0.1250,-0.2317,-0.3870,-0.0794,0.0120,-0.2317,0,0.1120,-0.1255,-14,0.1235,-0.3569,-0.0279,3,0.1794,0.3647,0.2076,21.0000,68.1964,0.3079,-6.4197,0.0000,0.2518,0.1586,0.3997,0.2359,0.2302,0.1363,0.3887,-6.0419,-5.5595,0.1362,-3.4464,0.3930,True,0.2722,0.1503,0.4932,0.1501,0.0573,0.3934,0.6999,0.2171,2.2564,0.1378,0.2252,0.3354,-6.6387,-4.8903,Times Group,62,-0.2907,0.1509,0.0000,0.0000,55.3636,0.6794,0.3871,0.0323,0.0484,0.3079,0.0000,True,19.0000,channels,avoid,none
war,state,88,30,False,-0.2118,-0.3684,-0.0262,0.0360,-0.3083,7,0.0860,0.2408,-6,0.1250,-0.1500,-0.3287,0.0160,0.0800,0.2667,-6,0.1820,0.2465,-6,0.1235,-0.2360,-0.2384,7,0.0034,0.0057,0.4188,88.0000,162.0000,0.5432,-6.4088,0.0000,0.4936,0.3958,0.6156,0.1127,0.5485,0.4344,0.6926,-5.1444,-3.2657,0.5850,-5.5898,0.4360,True,0.3945,0.2639,0.5899,0.5506,0.4003,0.7573,0.5522,0.3435,0.8879,0.3961,0.4403,0.5130,-7.0207,-5.9871,Real America's Voice,72,-0.1971,0.0977,0.0000,0.0000,69.3008,0.5349,0.3889,0.0278,0.0556,0.5432,0.0000,True,30.0000,channels,avoid,none
ice,china,13,8,False,-0.0541,-0.1725,0.0844,0.4580,0.2735,-14,0.0480,0.1386,-14,0.1227,-0.1187,-0.2527,0.0446,0.1440,0.2516,-14,0.1080,0.1589,-14,0.1227,0.0574,-0.1020,3,0.7596,0.2555,0.1241,13.0000,57.9703,0.2243,-6.2778,0.0000,0.2092,0.1213,0.3606,0.2779,0.2280,0.1318,0.3942,-5.8492,-4.4578,0.1506,-4.4428,0.2541,True,0.1458,0.0484,0.4394,0.2537,0.1204,0.5347,0.2181,0.0681,0.6990,0.7169,0.1624,0.2186,-6.4018,-5.5814,Times Group,49,-0.2206,0.1695,0.0000,0.0000,28.6193,0.9881,0.4898,0.0000,0.0204,,,,,channels,avoid,none
war,fauci,8,2,False,-0.1007,-0.2139,0.0268,0.6440,-0.2071,-6,0.7520,0.1138,-12,0.1250,-0.1212,-0.2375,0.0039,0.6020,0.2159,14,0.7040,-0.1575,-2,0.1235,0.0578,-0.0174,2,0.8657,0.1850,0.1248,8.0000,44.5441,0.1796,-6.2731,0.0000,0.1218,0.0571,0.2600,0.3867,0.1417,0.0648,0.3101,-5.5674,-4.2250,0.0387,-4.6554,0.1734,True,,,,,,,0.2432,0.1132,0.5222,,0.0202,0.1558,-6.4011,-5.3186,Times Group,37,-0.0880,0.2030,0.0000,0.0000,22.6368,0.9596,0.5135,0.0270,0.0270,,,,,channels,avoid,none
war,deal,473,57,False,-0.1376,-0.3172,0.0447,0.3120,0.3390,14,0.0200,-0.1018,-2,0.1250,-0.0897,-0.2285,0.0954,0.4900,0.2422,13,0.3640,0.1139,12,0.1235,-0.3430,-0.0967,3,0.6317,0.2372,1.4708,473.0000,367.6815,1.2864,6.1928,0.0000,1.3832,1.2468,1.5346,0.0530,1.3992,1.2536,1.5618,6.0502,-0.0677,0.9937,7.9395,1.6577,False,0.8909,0.7212,1.1006,1.6331,1.4343,1.8595,1.7002,1.2361,2.3387,0.0000,1.2075,1.5039,3.0406,7.2156,Network18,86,0.3762,0.0917,0.1998,0.4651,158.9220,0.0000,0.6395,0.1395,0.0000,1.2864,0.0000,False,57.0000,none,co-mention,none
epstein,minneapolis,3,3,False,-0.1641,-0.2968,-0.0272,0.0060,-0.1657,2,0.1700,-0.1344,0,0.1225,-0.1091,-0.2300,0.0283,0.1360,-0.1734,11,0.0620,-0.1612,11,0.1227,-0.1021,-0.1079,1,0.7265,0.6708,0.0795,3.0000,36.7046,0.0817,-6.0831,0.0000,0.0687,0.0218,0.2165,0.5854,0.0598,0.0132,0.2714,-4.9528,-4.3351,0.0401,-4.2678,0.0960,True,0.0792,0.0195,0.3217,,,,0.1495,0.0206,1.0858,0.6082,0.0431,0.0827,-6.2399,-5.4393,MS NOW,43,0.1911,0.2127,0.0000,0.0000,36.9952,0.6900,0.5349,0.0465,0.0000,,,,,channels,avoid,none
epstein,state,32,22,False,-0.0361,-0.1799,0.1341,0.7080,0.1966,14,0.1740,-0.1305,-11,0.1225,-0.0333,-0.1658,0.1022,0.7160,0.1795,14,0.2780,-0.1525,-11,0.1227,0.0338,-0.0819,2,0.9267,0.7282,0.5747,32.0000,79.9510,0.4002,-5.9897,0.0000,0.3419,0.2367,0.4937,0.1875,0.4221,0.2795,0.6373,-4.2691,-4.0008,0.3314,-4.4586,0.3498,True,0.4507,0.2778,0.7312,0.2876,0.1510,0.5478,0.1784,0.0528,0.6030,0.2769,0.3019,0.3585,-6.3013,-5.6290,CBS News,62,0.4562,0.1350,0.0000,0.0000,36.8097,0.9940,0.6774,0.0323,0.0000,0.4002,0.0000,True,22.0000,channels,avoid,none
epstein,china,6,5,False,0.0467,-0.1025,0.1825,0.6920,-0.1020,11,1.0000,0.1065,-9,0.1225,0.0167,-0.1326,0.1770,0.8900,-0.1160,11,0.9760,-0.1311,11,0.1227,0.0373,-0.0496,2,0.8186,0.2306,0.0682,6.0000,42.5197,0.1411,-5.9734,0.0000,0.1193,0.0519,0.2744,0.4248,0.1034,0.0407,0.2625,-5.8986,-4.7709,0.0664,-3.6277,0.1868,True,0.0775,0.0170,0.3534,0.1470,0.0465,0.4648,0.1842,0.0245,1.3840,0.7408,0.0753,0.1819,-6.2048,-4.4829,Times Group,46,-0.0133,0.1951,0.0000,0.0000,29.2243,0.9669,0.4783,0.0000,0.0217,,,,,channels,avoid,none
china,shooting,3,2,False,0.0394,-0.0886,0.1574,0.7140,0.1677,11,0.7400,0.1531,4,0.1230,0.0510,-0.0734,0.1784,0.6680,0.1984,7,0.3880,0.1515,4,0.1230,0.1000,-0.0154,4,0.0115,0.6060,0.0578,3.0000,38.3659,0.0782,-5.9733,0.0000,0.0745,0.0243,0.2286,0.5720,0.0812,0.0266,0.2476,-5.7461,-3.5912,0.0684,-4.7732,0.0780,True,,,,0.1108,0.0359,0.3420,,,,,0.0258,0.1003,-6.1577,-5.0034,Network18,39,0.0894,0.2158,0.0000,0.0000,31.6777,0.7556,0.5385,0.0000,0.0256,,,,,channels,avoid,none
