creator,channel_name,platform,lane,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note,status
@SaltyCracker,Salty Cracker,youtube,streamer_reaction,Salty Cracker,False,906000.0,387,0,False,True,right; reaction livestreams,proposed
@SavSays,Sav Says,youtube,right_commentary,Sav Says,False,144000.0,16,1,True,True,,proposed
@SecondThought,Second Thought,youtube,left_commentary,Second Thought,False,1920000.0,20,0,True,True,socialist explainer videos,proposed
@SecularTalk,Secular Talk,youtube,left_commentary,Kyle Kulinski,False,2290000.0,1458,1,False,True,,proposed
@Semafor,Semafor,youtube,us_press_print_digital,Semafor,False,33300.0,153,30,False,True,,proposed
@Shoe0nHead,Shoe0nHead,youtube,centrist_heterodox,Shoe0nHead,False,2520000.0,10,0,True,True,anti-woke left,proposed
@SkyNews,Sky News,youtube,wire_international,Sky News,False,9360000.0,3677,1968,False,False,UK,proposed
@StatusCoup,Status Coup News,youtube,independent_digital_news,Status Coup,False,737000.0,517,157,False,False,left,proposed
@StevenCrowder,StevenCrowder,youtube,right_commentary,Louder with Crowder,False,5910000.0,169,8,False,True,,proposed
@StosselTV,John Stossel,youtube,right_commentary,John Stossel,False,1170000.0,50,0,False,True,libertarian,proposed
@Styxhexenhammer666,Styxhexenhammer666,youtube,right_commentary,Styxhexenhammer,False,484000.0,446,27,False,True,libertarian,proposed
@SydneyWatson,Sydney Watson,youtube,right_commentary,Sydney Watson,False,1170000.0,61,0,False,True,culture,proposed
@TechCrunch,TechCrunch,youtube,us_press_print_digital,TechCrunch,False,675000.0,145,0,False,True,tech,proposed
@TheAdamCarollaShow1,Adam Carolla,youtube,interview_podcast,Adam Carolla,False,685000.0,395,0,False,True,comedy; right-leaning,proposed
@TheAmalaEkpunobi,Amala Ekpunobi,youtube,right_commentary,Amala Ekpunobi,False,2500000.0,211,12,False,True,culture; formerly PragerU,proposed
@TheAtlantic,The Atlantic,youtube,us_press_print_digital,The Atlantic,False,969000.0,166,5,False,True,,proposed
@TheBrianKilmeadeShow,Brian Kilmeade,youtube,right_commentary,Fox News,False,17100.0,352,2,False,True,Fox News Radio show,proposed
@TheDailyBeast,The Daily Beast,youtube,us_press_print_digital,Daily Beast,False,727000.0,322,34,False,True,,proposed
@TheDamageReport,The Damage Report,youtube,left_commentary,TYT Network,False,1370000.0,3204,271,False,False,cross-posts with TYT,proposed
@TheDonLemonShow,Don Lemon,youtube,left_commentary,Don Lemon,False,1450000.0,366,400,False,False,,proposed
@TheEconomist,The Economist,youtube,wire_international,The Economist,False,4150000.0,137,0,False,True,UK press,proposed
@TheHumanistReport,The Humanist Report,youtube,left_commentary,Humanist Report,False,790000.0,154,35,False,True,,proposed
@TheJoyReidShow,The Joy Reid Show,youtube,left_commentary,Joy Reid,False,503000.0,238,140,False,False,,proposed
@TheLincolnProject,The Lincoln Project,youtube,centrist_heterodox,Lincoln Project,False,1620000.0,123,28,False,True,never-Trump right,proposed
@TheMajorityReport,The Majority Report w/ Sam Seder,youtube,left_commentary,Majority Report,False,2090000.0,1657,195,False,False,,proposed
@TheMichaelCohenShow,Michael Cohen,youtube,left_commentary,MeidasTouch Network,False,472000.0,479,0,False,True,Mea Culpa / Michael Cohen Show (MeidasTouch network),proposed
@TheOfficerTatum,The Officer Tatum,youtube,right_commentary,Officer Tatum,False,3840000.0,617,194,False,False,,proposed
@ThePodcastoftheLotusEaters,The Podcast of the Lotus Eaters,youtube,right_commentary,Lotus Eaters,False,600000.0,622,179,False,False,UK,proposed
@TheQuartering,TheQuartering,youtube,right_commentary,TheQuartering,False,2190000.0,675,0,False,True,,proposed
@TheRealTabithaSpeaks,TabithaSpeaksPolitics,youtube,left_commentary,Tabitha Speaks,False,458000.0,452,4,False,True,,proposed
@TheSerfTimes,The Serf Times,youtube,streamer_reaction,Serf Times,False,115000.0,247,103,False,False,"internet-culture commentary, left",proposed
@TheVaushPit,The Vaush Pit,youtube,streamer_reaction,Vaush,True,222000.0,403,0,False,True,"second channel, editor-titled",proposed
@TheYoungTurks,The Young Turks,youtube,left_commentary,TYT Network,False,6720000.0,2868,428,False,False,cross-posts with The Damage Report,proposed
@The_Crucible,The Crucible,youtube,streamer_reaction,The Crucible,False,383000.0,226,5,False,True,"debate streamer, right",proposed
@TimDillonShow,The Tim Dillon Show,youtube,humour_satire,Tim Dillon,False,1280000.0,68,0,False,True,comedian podcast,proposed
@Tim_Black,Tim Black TV,youtube,left_commentary,Tim Black,False,218000.0,329,16,False,True,,proposed
@Timcast,Tim Pool,youtube,right_commentary,Timcast,False,1460000.0,183,6,False,True,,proposed
@TimcastIRL,Timcast IRL,youtube,right_commentary,Timcast,False,2780000.0,855,154,False,False,,proposed
@TimcastNews,Timcast,youtube,right_commentary,Timcast,False,2120000.0,534,8,False,True,,proposed
@TimesNowWorld,Times Now World,youtube,wire_international,Times Group,False,1290000.0,8994,3006,False,False,India,proposed
@TomiLahrenIsFearless,Tomi Lahren Is Fearless,youtube,right_commentary,Tomi Lahren,False,105000.0,118,0,False,True,,proposed
@TuckerCarlson,Tucker Carlson,youtube,interview_podcast,Tucker Carlson Network,False,5750000.0,119,0,False,True,right; mostly long-form interviews,proposed
@USATODAY,USA TODAY,youtube,us_press_print_digital,USA Today,False,7560000.0,2221,417,False,False,,proposed
@UnHerd,UnHerd,youtube,centrist_heterodox,UnHerd,False,544000.0,83,17,False,True,UK; interviews,proposed
@Unpacked,Unpacked,youtube,explainer_geopolitics,Unpacked,False,536000.0,41,0,True,True,Israel-focused explainers,proposed
@Vaush,Vaush,youtube,streamer_reaction,Vaush,False,603000.0,453,1,False,True,,proposed
@VivaFrei,Viva Frei,youtube,legal_institutional,Viva Frei,False,653000.0,331,52,False,False,right,proposed
@Vox,Vox,youtube,us_press_print_digital,Vox,False,12700000.0,133,0,False,True,,proposed
@X22Report-y5y,X22Report,youtube,right_commentary,X22 Report,False,887000.0,395,0,False,True,conspiracy,proposed
@XAVIAER,"Respectfully, Xaviaer",youtube,right_commentary,PragerU,False,195000.0,71,3,False,True,'a series from PragerU' per description,proposed
@Xanderhal,Xanderhal,youtube,streamer_reaction,Xanderhal,False,114000.0,316,108,False,False,left,proposed
@YaBoiHakim,Hakim,youtube,left_commentary,Hakim,False,377000.0,16,0,True,True,Marxist explainer,proposed
@ZeihanonGeopolitics,Zeihan on Geopolitics,youtube,explainer_geopolitics,Peter Zeihan,False,969000.0,217,0,False,True,,proposed
