creator,channel_name,platform,lane,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note,status
@nousnetwork,nous,youtube,explainer_geopolitics,nous,False,88500.0,156,0,False,True,Indian Muslims research,proposed
@nypost,New York Post,youtube,us_press_print_digital,New York Post,False,2560000.0,6304,110,False,False,tabloid,proposed
@nytimes,The New York Times,youtube,us_press_print_digital,New York Times,False,5260000.0,71,0,False,True,,proposed
@oann,One America News Network,youtube,right_tv_network,OAN,False,1420000.0,1803,309,False,False,,proposed
@podsaveamerica,Pod Save America,youtube,left_commentary,Crooked Media,False,1280000.0,667,0,False,True,,proposed
@ponderingpolitics,Pondering Politics,youtube,left_commentary,Pondering Politics,False,861000.0,1467,2,False,True,,proposed
@revleftradio,Rev Left Radio,youtube,interview_podcast,Rev Left Radio,False,31900.0,38,3,True,True,left,proposed
@rolandsmartin,Roland S. Martin,youtube,independent_digital_news,Black Star Network,False,1960000.0,742,584,False,False,"daily news show, left",proposed
@samharrisorg,Sam Harris,youtube,interview_podcast,Sam Harris,False,869000.0,116,0,False,True,centrist,proposed
@theGuardian,The Guardian,youtube,wire_international,The Guardian,False,2620000.0,39,0,True,True,UK press,proposed
@thedavidpakmanshow,David Pakman Show,youtube,left_commentary,David Pakman,False,3660000.0,1641,5,False,True,,proposed
@thegrayzone7996,The Grayzone,youtube,independent_digital_news,The Grayzone,False,575000.0,155,36,False,True,,proposed
@thehill,The Hill,youtube,us_press_print_digital,The Hill,False,2150000.0,4249,505,False,False,mostly 'Rising' commentary show,proposed
@theisabelbrown,Isabel Brown,youtube,right_commentary,Isabel Brown,False,181000.0,141,0,False,True,culture,proposed
@thejimmydoreshow,The Jimmy Dore Show,youtube,left_commentary,Jimmy Dore,False,1870000.0,1146,115,False,False,populist / anti-establishment,proposed
@therationalnational,The Rational National,youtube,left_commentary,Rational National,False,779000.0,142,7,False,True,Canadian,proposed
@thewarningwithsteveschmidt,The Warning with Steve Schmidt,youtube,centrist_heterodox,Steve Schmidt,False,528000.0,289,110,False,False,never-Trump right,proposed
@thomhartmann,Thom Hartmann Program,youtube,left_commentary,Thom Hartmann,False,547000.0,784,0,False,True,,proposed
@timesofindia,Times Of India,youtube,wire_international,Times Group,False,6000000.0,9926,2295,False,False,India,proposed
