creator,channel_name,platform,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note
@JacksonHinkleOfficial,Jackson Hinkle Official,youtube,Jackson Hinkle,False,171000.0,388,81,False,False,streams + uploads
@JamarlThomas,Jamarl Thomas,youtube,Jamarl Thomas,False,77900.0,274,223,False,False,
@JesseKellyDC,Jesse Kelly,youtube,Jesse Kelly,False,122000.0,504,1,False,True,
@JillianMichaels,Jillian Michaels,youtube,Jillian Michaels,False,764000.0,457,0,False,True,
@JustPearlyThings,Pearl,youtube,Pearl,False,2060000.0,669,96,False,False,gender
@KimIversen,Kim Iversen,youtube,Kim Iversen,False,806000.0,534,1,False,True,
@LIVESNEAKO,LIVE SNEAKO,youtube,SNEAKO,False,1010000.0,479,69,False,False,
@LastWeekTonight,LastWeekTonight,youtube,HBO,False,10200000.0,35,0,True,True,
@LeejaMiller,Leeja Miller,youtube,Leeja Miller,False,708000.0,60,1,False,True,lawyer explainer
@LegalAFMTN,Legal AF,youtube,MeidasTouch Network,False,1230000.0,2735,45,False,True,
@LegalEagle,LegalEagle,youtube,LegalEagle,False,3950000.0,105,0,False,True,
@LeverNews,The Lever,youtube,The Lever,False,74700.0,73,9,False,True,
@LiberalHivemind,Liberal Hivemind,youtube,Liberal Hivemind,False,1750000.0,846,0,False,True,
@LukeBeasley,Luke Beasley,youtube,Luke Beasley,False,1580000.0,1162,246,False,False,
@Lunaoi,Luna oi!,youtube,Luna Oi,False,140000.0,9,0,True,True,
@MLChristiansen,Matt Christiansen,youtube,Matt Christiansen,False,251000.0,118,77,False,False,
@MarkDice,Mark Dice,youtube,Mark Dice,False,1900000.0,92,0,False,True,
@MattBernstein1,matt bernstein,youtube,Matt Bernstein,False,451000.0,21,0,True,True,culture commentary
@MattWalsh,Matt Walsh,youtube,Daily Wire,False,3460000.0,297,2,False,True,
@MegynKelly,Megyn Kelly,youtube,Megyn Kelly,False,4150000.0,1651,13,False,True,interview-heavy show; titles are news commentary
@MeidasTouch,MeidasTouch,youtube,MeidasTouch Network,False,6470000.0,3532,627,False,False,self-described news network; titles are commentary
@MichaelKnowles,Michael Knowles,youtube,Daily Wire,False,2610000.0,472,4,False,True,
@MichaelMaliceofficial,Michael Malice,youtube,Michael Malice,False,241000.0,55,3,False,True,
@MikeFromPA,Mike From PA,youtube,Mike from PA,False,31900.0,129,0,False,True,Twitch
@ModernDayDebate,Modern-Day Debate,youtube,Modern-Day Debate,False,282000.0,46,109,True,False,debate platform
@MrReaganUSA,Mr Reagan,youtube,Mr Reagan,False,440000.0,26,2,True,True,satire series MAGA-MAN
@MrTariqNasheed,Tariq Radio,youtube,Tariq Nasheed,False,281000.0,403,19,False,True,FBA
@MyronGainesX,MyronGainesX,youtube,Myron Gaines,False,569000.0,389,245,False,False,streams
@NBCNews,NBC News,youtube,NBC News,False,12100000.0,6499,367,False,False,
@NPR,NPR,youtube,NPR,False,874000.0,70,1,False,True,
@NYTOpinion,New York Times Opinion,youtube,New York Times,False,184000.0,29,0,True,True,
@NYTPodcasts,New York Times Podcasts,youtube,New York Times,False,523000.0,481,0,False,True,
@NewsNation,NewsNation,youtube,NewsNation,False,2760000.0,7372,302,False,False,
@NewsmaxTV,Newsmax,youtube,Newsmax,False,2590000.0,3944,399,False,False,
@NickCruseRBN,Nick Cruse,youtube,Revolutionary Blackout Network,False,10400.0,23,103,True,False,
@NickShirley,Nick Shirley,youtube,Nick Shirley,False,2000000.0,32,13,True,True,IRL confrontation videos
@NovaraMedia,Novara Media,youtube,Novara Media,False,1320000.0,585,4,False,True,UK
@OfficialFlagrant,FLAGRANT,youtube,Flagrant,False,1990000.0,35,0,True,True,comedy podcast
@OfficialSaharTV,SaharTV,youtube,Sahar TV,False,785000.0,893,2,False,True,"religion debates, UK"
@OutKick,OutKick,youtube,Fox Corporation,False,1740000.0,51,0,False,True,sports & culture (Fox-owned)
@OwenJonesTalks,Owen Jones,youtube,Owen Jones,False,881000.0,233,0,False,True,UK
@OwenReport,Owen Report,youtube,Owen Shroyer,False,72100.0,388,178,False,False,
@PBDPodcast,PBD Podcast,youtube,Valuetainment,False,2970000.0,38,118,True,False,
@POLITICO,POLITICO,youtube,Politico,False,225000.0,295,0,False,True,
@PTLRadioShow,Pushing The Limits,youtube,Pushing the Limits,False,212000.0,1684,201,False,False,streams
@PartOfTheProblem,Dave Smith,youtube,Dave Smith,False,521000.0,103,0,False,True,anti-war
@PerunAU,Perun,youtube,Perun,False,641000.0,37,0,True,True,defence economics
@PhillipScottPodcast,Phillip Scott Podcast,youtube,Phillip Scott,False,202000.0,7,153,True,False,streams only
@PiersMorganUncensored,Piers Morgan Uncensored,youtube,Piers Morgan,False,4460000.0,181,0,False,True,debate / interview show
@PiscoLitty,Pisco,youtube,Pisco,False,30100.0,56,0,False,True,lawyer / debate streamer
@Politicon,Politicon,youtube,Politicon,False,485000.0,496,1,False,True,
@PoliticsGirl,PoliticsGirl,youtube,PoliticsGirl,False,505000.0,116,0,False,True,
@PoliticsJOE,PoliticsJOE,youtube,PoliticsJOE,False,772000.0,339,0,False,True,UK
@PragerU,PragerU,youtube,PragerU,False,3470000.0,385,31,False,True,educational format
@PrisonPlanetLive,Paul Joseph Watson,youtube,Paul Joseph Watson,False,2090000.0,46,0,True,True,
@RSBN,Right Side Broadcasting Network,youtube,RSBN,False,2080000.0,1640,337,False,False,
@RealAlexClark,Real Alex Clark,youtube,Turning Point USA,False,822000.0,79,0,False,True,Culture Apothecary (TPUSA); wellness / culture
@RealAmericasVoice,Real America's Voice,youtube,Real America's Voice,False,323000.0,2653,1543,False,False,
@RealDanBongino,Dan Bongino,youtube,Dan Bongino,False,1010000.0,266,0,False,True,
@RebelHQ,Rebel HQ,youtube,TYT Network,False,1530000.0,1292,0,False,True,TYT Network channel
@RebelNewsOnline,Rebel News,youtube,Rebel News,False,1970000.0,1358,195,False,False,Canadian
@RedactedNews,Redacted,youtube,Redacted,False,2880000.0,452,140,False,False,
@RekietaLaw,Rekieta Law,youtube,Rekieta Law,False,402000.0,18,106,True,False,
@RestPoliticsUS,The Rest Is Politics US,youtube,The Rest Is Politics US,False,409000.0,220,5,False,True,
@Reuters,Reuters,youtube,Reuters,False,4310000.0,8076,2008,False,False,
@RileyGaines,Riley Gaines,youtube,Riley Gaines,False,70300.0,143,0,False,True,
@RobertGouveiaEsq,Robert Gouveia Esq.,youtube,Robert Gouveia,False,610000.0,696,385,False,False,
@RonPlacone,Ron Placone,youtube,Ron Placone,False,25900.0,66,28,False,True,comedian
@RubinReport,The Rubin Report,youtube,Rubin Report,False,3230000.0,1047,114,False,False,
@RufoandLomez,Rufo & Lomez,youtube,Rufo & Lomez,False,16300.0,80,0,False,True,
@SMN,Some More News,youtube,Some More News,False,943000.0,197,8,False,True,
@SNEAKO,SNEAKO,youtube,SNEAKO,False,1330000.0,5,0,True,True,"main channel, 5 uploads"
@SabbySabs,Sabby Sabs,youtube,Sabby Sabs,False,424000.0,626,103,False,False,
@SaltyCracker,Salty Cracker,youtube,Salty Cracker,False,906000.0,387,0,False,True,reaction livestreams
@SavSays,Sav Says,youtube,Sav Says,False,144000.0,16,1,True,True,
@SecondThought,Second Thought,youtube,Second Thought,False,1920000.0,20,0,True,True,explainer videos
@SecularTalk,Secular Talk,youtube,Kyle Kulinski,False,2290000.0,1458,1,False,True,
@Semafor,Semafor,youtube,Semafor,False,33300.0,153,30,False,True,
@Shoe0nHead,Shoe0nHead,youtube,Shoe0nHead,False,2520000.0,10,0,True,True,
@SkyNews,Sky News,youtube,Sky News,False,9360000.0,3677,1968,False,False,UK
@StatusCoup,Status Coup News,youtube,Status Coup,False,737000.0,517,157,False,False,
@StevenCrowder,StevenCrowder,youtube,Louder with Crowder,False,5910000.0,169,8,False,True,
@StosselTV,John Stossel,youtube,John Stossel,False,1170000.0,50,0,False,True,
@Styxhexenhammer666,Styxhexenhammer666,youtube,Styxhexenhammer,False,484000.0,446,27,False,True,
@SydneyWatson,Sydney Watson,youtube,Sydney Watson,False,1170000.0,61,0,False,True,culture commentary
@TechCrunch,TechCrunch,youtube,TechCrunch,False,675000.0,145,0,False,True,tech
@TheAdamCarollaShow1,Adam Carolla,youtube,Adam Carolla,False,685000.0,395,0,False,True,comedy
@TheAmalaEkpunobi,Amala Ekpunobi,youtube,Amala Ekpunobi,False,2500000.0,211,12,False,True,culture; formerly PragerU
@TheAtlantic,The Atlantic,youtube,The Atlantic,False,969000.0,166,5,False,True,
@TheBrianKilmeadeShow,Brian Kilmeade,youtube,Fox News,False,17100.0,352,2,False,True,Fox News Radio show
@TheDailyBeast,The Daily Beast,youtube,Daily Beast,False,727000.0,322,34,False,True,
@TheDamageReport,The Damage Report,youtube,TYT Network,False,1370000.0,3204,271,False,False,cross-posts with TYT
@TheDonLemonShow,Don Lemon,youtube,Don Lemon,False,1450000.0,366,400,False,False,
@TheEconomist,The Economist,youtube,The Economist,False,4150000.0,137,0,False,True,UK press
@TheHumanistReport,The Humanist Report,youtube,Humanist Report,False,790000.0,154,35,False,True,
@TheJoyReidShow,The Joy Reid Show,youtube,Joy Reid,False,503000.0,238,140,False,False,
@TheLincolnProject,The Lincoln Project,youtube,Lincoln Project,False,1620000.0,123,28,False,True,
@TheMajorityReport,The Majority Report w/ Sam Seder,youtube,Majority Report,False,2090000.0,1657,195,False,False,
@TheMichaelCohenShow,Michael Cohen,youtube,MeidasTouch Network,False,472000.0,479,0,False,True,Mea Culpa / Michael Cohen Show (MeidasTouch network)
@TheOfficerTatum,The Officer Tatum,youtube,Officer Tatum,False,3840000.0,617,194,False,False,
@ThePodcastoftheLotusEaters,The Podcast of the Lotus Eaters,youtube,Lotus Eaters,False,600000.0,622,179,False,False,UK
@TheQuartering,TheQuartering,youtube,TheQuartering,False,2190000.0,675,0,False,True,
@TheRealTabithaSpeaks,TabithaSpeaksPolitics,youtube,Tabitha Speaks,False,458000.0,452,4,False,True,
@TheSerfTimes,The Serf Times,youtube,Serf Times,False,115000.0,247,103,False,False,internet-culture commentary
@TheVaushPit,The Vaush Pit,youtube,Vaush,True,222000.0,403,0,False,True,"second channel, editor-titled"
@TheYoungTurks,The Young Turks,youtube,TYT Network,False,6720000.0,2868,428,False,False,cross-posts with The Damage Report
@The_Crucible,The Crucible,youtube,The Crucible,False,383000.0,226,5,False,True,debate streamer
@TimDillonShow,The Tim Dillon Show,youtube,Tim Dillon,False,1280000.0,68,0,False,True,comedian podcast
@Tim_Black,Tim Black TV,youtube,Tim Black,False,218000.0,329,16,False,True,
@Timcast,Tim Pool,youtube,Timcast,False,1460000.0,183,6,False,True,
@TimcastIRL,Timcast IRL,youtube,Timcast,False,2780000.0,855,154,False,False,
@TimcastNews,Timcast,youtube,Timcast,False,2120000.0,534,8,False,True,
@TimesNowWorld,Times Now World,youtube,Times Group,False,1290000.0,8994,3006,False,False,India
@TomiLahrenIsFearless,Tomi Lahren Is Fearless,youtube,Tomi Lahren,False,105000.0,118,0,False,True,
@TuckerCarlson,Tucker Carlson,youtube,Tucker Carlson Network,False,5750000.0,119,0,False,True,mostly long-form interviews
@USATODAY,USA TODAY,youtube,USA Today,False,7560000.0,2221,417,False,False,
@UnHerd,UnHerd,youtube,UnHerd,False,544000.0,83,17,False,True,UK; interviews
@Unpacked,Unpacked,youtube,Unpacked,False,536000.0,41,0,True,True,Israel-focused explainers
@Vaush,Vaush,youtube,Vaush,False,603000.0,453,1,False,True,
@VivaFrei,Viva Frei,youtube,Viva Frei,False,653000.0,331,52,False,False,
@Vox,Vox,youtube,Vox,False,12700000.0,133,0,False,True,
@X22Report-y5y,X22Report,youtube,X22 Report,False,887000.0,395,0,False,True,
@XAVIAER,"Respectfully, Xaviaer",youtube,PragerU,False,195000.0,71,3,False,True,'a series from PragerU' per description
@Xanderhal,Xanderhal,youtube,Xanderhal,False,114000.0,316,108,False,False,
