creator,platform,genre,n_rows,n_unique,n_balanced,n_with_views,first_month,last_month,n_norm_fallback,repeat_share,low_n,channel_name,channel_follower_count,channel_is_verified
@theisabelbrown,youtube,videos,134,134,134,134,2026-01,2026-09,0,0.0,False,Isabel Brown,181000.0,True
@thejimmydoreshow,youtube,streams,109,108,108,109,2026-01,2026-09,0,0.0092,False,The Jimmy Dore Show,1870000.0,True
@thejimmydoreshow,youtube,videos,1077,1077,1077,1077,2026-01,2026-09,0,0.0,False,The Jimmy Dore Show,1870000.0,True
@therationalnational,youtube,streams,7,7,7,7,2026-01,2026-05,0,0.0,True,The Rational National,779000.0,True
@therationalnational,youtube,videos,135,135,135,135,2026-01,2026-09,0,0.0,False,The Rational National,779000.0,True
@thewarningwithsteveschmidt,youtube,streams,113,110,110,109,2026-01,2026-09,0,0.0265,False,The Warning with Steve Schmidt,528000.0,True
@thewarningwithsteveschmidt,youtube,videos,347,273,273,207,2026-01,2026-09,0,0.2133,False,The Warning with Steve Schmidt,528000.0,True
@thomhartmann,youtube,videos,760,760,760,760,2026-01,2026-09,0,0.0,False,Thom Hartmann Program,547000.0,
@timesofindia,youtube,streams,3235,2094,2094,3235,2026-01,2026-09,0,0.3527,False,Times Of India,6000000.0,True
@timesofindia,youtube,videos,9374,9372,2500,9374,2026-01,2026-09,0,0.0002,False,Times Of India,6000000.0,True
@triggerpod,youtube,streams,6,6,6,6,2026-01,2026-06,0,0.0,True,Triggernometry,1920000.0,True
@triggerpod,youtube,videos,144,143,143,97,2026-01,2026-09,0,0.0069,False,Triggernometry,1920000.0,True
@turningpointusa,youtube,streams,14,13,13,14,2026-02,2026-09,0,0.0714,True,Turning Point USA,7680000.0,True
@turningpointusa,youtube,videos,152,152,152,152,2026-01,2026-09,0,0.0,False,Turning Point USA,7680000.0,True
@underthedesknews,youtube,streams,119,115,115,119,2026-02,2026-09,0,0.0336,False,Under The Desk News,249000.0,True
@underthedesknews,youtube,videos,74,74,74,74,2026-01,2026-09,0,0.0,False,Under The Desk News,249000.0,True
@usefulidiots,youtube,streams,66,11,11,66,2026-01,2026-09,0,0.8333,True,Useful Idiots,192000.0,
@usefulidiots,youtube,videos,183,179,179,158,2026-01,2026-09,0,0.0219,False,Useful Idiots,192000.0,
@wethefifth,youtube,streams,2,2,2,2,2026-01,2026-04,0,0.0,True,The Fifth Column - A Podcast,75300.0,
@wethefifth,youtube,videos,107,107,107,107,2026-01,2026-09,0,0.0,False,The Fifth Column - A Podcast,75300.0,
@winston_marshall,youtube,videos,104,104,104,85,2026-01,2026-09,0,0.0,False,Winston Marshall,494000.0,True
@wsj,youtube,streams,10,10,10,10,2026-01,2026-03,0,0.0,True,The Wall Street Journal,6690000.0,True
@wsj,youtube,videos,104,104,104,104,2026-01,2026-09,0,0.0,False,The Wall Street Journal,6690000.0,True
@zeteo,youtube,streams,24,24,24,24,2026-01,2026-08,0,0.0,True,Zeteo,2240000.0,True
@zeteo,youtube,videos,198,198,198,198,2026-01,2026-09,0,0.0,False,Zeteo,2240000.0,True
https://rumble.com/c/BannonsWarRoom,rumble,videos,4619,4506,2500,0,2026-01,2026-09,0,0.0245,False,BannonsWarRoom,,
https://rumble.com/c/GGreenwald,rumble,videos,76,76,76,0,2026-01,2026-09,0,0.0,False,GGreenwald,,
https://rumble.com/c/TheAlexJonesShowLive,rumble,videos,517,513,513,0,2026-05,2026-09,0,0.0077,False,TheAlexJonesShowLive,,
https://rumble.com/c/nickjfuentes,rumble,videos,309,305,305,0,2026-01,2026-09,0,0.0129,False,nickjfuentes,,
https://rumble.com/c/russellbrand,rumble,videos,262,259,259,0,2026-01,2026-09,0,0.0115,False,russellbrand,,
