creator,platform,genre,n_rows,n_unique,n_balanced,n_with_views,first_month,last_month,n_norm_fallback,repeat_share,low_n,channel_name,channel_follower_count,channel_is_verified
@MeidasTouch,youtube,videos,3316,3315,2500,3196,2026-01,2026-09,0,0.0003,False,MeidasTouch,6460000.0,True
@MichaelKnowles,youtube,streams,3,3,3,3,2026-01,2026-04,0,0.0,True,Michael Knowles,2610000.0,True
@MichaelKnowles,youtube,videos,445,445,445,445,2026-01,2026-09,0,0.0,False,Michael Knowles,2610000.0,True
@MichaelMaliceofficial,youtube,streams,3,3,3,3,2026-01,2026-07,0,0.0,True,Michael Malice,241000.0,
@MichaelMaliceofficial,youtube,videos,51,51,51,51,2026-01,2026-09,0,0.0,False,Michael Malice,241000.0,
@MikeFromPA,youtube,videos,125,125,125,125,2026-01,2026-09,0,0.0,False,Mike From PA,31900.0,
@ModernDayDebate,youtube,streams,107,107,107,80,2026-01,2026-09,0,0.0,False,Modern-Day Debate,282000.0,True
@ModernDayDebate,youtube,videos,46,45,45,41,2026-01,2026-09,0,0.0217,True,Modern-Day Debate,282000.0,True
@MrReaganUSA,youtube,videos,24,24,24,24,2026-01,2026-09,0,0.0,True,Mr Reagan,440000.0,True
@MrTariqNasheed,youtube,streams,16,16,16,16,2026-01,2026-08,0,0.0,True,Tariq Radio,281000.0,True
@MrTariqNasheed,youtube,videos,354,354,354,354,2026-01,2026-09,0,0.0,False,Tariq Radio,281000.0,True
@MyronGainesX,youtube,streams,242,240,240,242,2026-01,2026-09,0,0.0083,False,MyronGainesX,569000.0,True
@MyronGainesX,youtube,videos,365,365,365,365,2026-01,2026-09,0,0.0,False,MyronGainesX,569000.0,True
@NBCNews,youtube,streams,386,350,350,386,2026-01,2026-09,0,0.0933,False,NBC News,12100000.0,True
@NBCNews,youtube,videos,6176,6161,2500,6176,2026-01,2026-09,0,0.0024,False,NBC News,12100000.0,True
@NPR,youtube,streams,1,1,1,1,2026-09,2026-09,0,0.0,True,NPR,874000.0,True
@NPR,youtube,videos,73,70,70,73,2026-01,2026-09,0,0.0411,False,NPR,874000.0,True
@NYTOpinion,youtube,videos,27,27,27,27,2026-01,2026-09,0,0.0,True,New York Times Opinion,184000.0,
@NYTPodcasts,youtube,videos,454,454,454,447,2026-01,2026-09,0,0.0,False,New York Times Podcasts,523000.0,True
@NewsNation,youtube,streams,286,282,282,286,2026-01,2026-09,0,0.014,False,NewsNation,2760000.0,True
@NewsNation,youtube,videos,6898,6882,2500,6897,2026-01,2026-09,0,0.0023,False,NewsNation,2760000.0,True
@NewsmaxTV,youtube,streams,388,383,383,388,2026-01,2026-09,0,0.0129,False,Newsmax,2590000.0,True
@NewsmaxTV,youtube,videos,3745,3744,2500,3745,2026-01,2026-09,0,0.0003,False,Newsmax,2590000.0,True
@NickCruseRBN,youtube,streams,99,99,99,99,2026-01,2026-09,0,0.0,False,Nick Cruse,10400.0,
@NickCruseRBN,youtube,videos,23,23,23,23,2026-01,2026-08,0,0.0,True,Nick Cruse,10400.0,
@NickShirley,youtube,streams,12,12,12,9,2026-01,2026-07,0,0.0,True,Nick Shirley,2000000.0,True
@NickShirley,youtube,videos,29,29,29,27,2026-01,2026-09,0,0.0,True,Nick Shirley,2000000.0,True
@NovaraMedia,youtube,streams,4,4,4,4,2026-03,2026-09,0,0.0,True,Novara Media,1320000.0,True
@NovaraMedia,youtube,videos,565,565,565,565,2026-01,2026-09,0,0.0,False,Novara Media,1320000.0,True
@OfficialFlagrant,youtube,videos,34,34,34,34,2026-01,2026-09,0,0.0,True,FLAGRANT,1990000.0,True
@OfficialSaharTV,youtube,streams,2,2,2,2,2026-04,2026-07,0,0.0,True,SaharTV,785000.0,True
@OfficialSaharTV,youtube,videos,831,831,831,825,2026-01,2026-09,0,0.0,False,SaharTV,785000.0,True
@OutKick,youtube,videos,47,47,47,47,2026-01,2026-08,0,0.0,True,OutKick,1740000.0,True
@OwenJonesTalks,youtube,videos,226,226,226,226,2026-01,2026-09,0,0.0,False,Owen Jones,881000.0,True
@OwenReport,youtube,streams,167,167,167,167,2026-01,2026-09,0,0.0,False,Owen Report,72100.0,
@OwenReport,youtube,videos,368,368,368,368,2026-01,2026-09,0,0.0,False,Owen Report,72100.0,
@PBDPodcast,youtube,streams,111,111,111,111,2026-01,2026-09,0,0.0,False,PBD Podcast,2970000.0,True
@PBDPodcast,youtube,videos,34,34,34,34,2026-01,2026-09,0,0.0,True,PBD Podcast,2970000.0,True
@POLITICO,youtube,videos,286,286,286,286,2026-01,2026-09,0,0.0,False,POLITICO,225000.0,True
@PTLRadioShow,youtube,streams,190,189,189,190,2026-01,2026-09,0,0.0053,False,Pushing The Limits,212000.0,
@PTLRadioShow,youtube,videos,1581,1580,1580,1581,2026-01,2026-09,0,0.0006,False,Pushing The Limits,212000.0,
@PartOfTheProblem,youtube,videos,97,97,97,97,2026-01,2026-09,0,0.0,False,Dave Smith,521000.0,
@PerunAU,youtube,videos,35,35,35,35,2026-01,2026-09,0,0.0,True,Perun,641000.0,True
@PhillipScottPodcast,youtube,streams,147,147,147,147,2026-01,2026-09,0,0.0,False,Phillip Scott Podcast,202000.0,True
@PhillipScottPodcast,youtube,videos,3,3,3,3,2026-04,2026-04,0,0.0,True,Phillip Scott Podcast,202000.0,True
@PiersMorganUncensored,youtube,videos,173,173,173,173,2026-01,2026-09,0,0.0,False,Piers Morgan Uncensored,4460000.0,True
@PiscoLitty,youtube,videos,54,54,54,54,2026-01,2026-08,0,0.0,False,Pisco,30100.0,
@Politicon,youtube,streams,1,1,1,1,2026-05,2026-05,0,0.0,True,Politicon,485000.0,True
@Politicon,youtube,videos,480,480,480,480,2026-01,2026-09,0,0.0,False,Politicon,485000.0,True
@PoliticsGirl,youtube,videos,110,110,110,110,2026-01,2026-09,0,0.0,False,PoliticsGirl,505000.0,
@PoliticsJOE,youtube,videos,325,325,325,325,2026-01,2026-09,0,0.0,False,PoliticsJOE,772000.0,True
@PragerU,youtube,streams,32,31,31,32,2026-02,2026-09,0,0.0312,True,PragerU,3470000.0,True
@PragerU,youtube,videos,373,371,371,373,2026-01,2026-09,0,0.0054,False,PragerU,3470000.0,True
@PrisonPlanetLive,youtube,videos,54,44,44,54,2026-01,2026-08,0,0.1852,True,Paul Joseph Watson,2090000.0,True
@RSBN,youtube,streams,315,315,315,315,2026-01,2026-09,0,0.0,False,Right Side Broadcasting Network,2080000.0,True
@RSBN,youtube,videos,1555,1553,1553,1555,2026-01,2026-09,0,0.0013,False,Right Side Broadcasting Network,2080000.0,True
@RealAlexClark,youtube,videos,73,73,73,73,2026-01,2026-09,0,0.0,False,Real Alex Clark,822000.0,
@RealAmericasVoice,youtube,streams,2944,1535,1535,2944,2026-01,2026-09,0,0.4786,False,Real America's Voice,323000.0,
@RealAmericasVoice,youtube,videos,2344,2339,2339,2344,2026-01,2026-09,0,0.0021,False,Real America's Voice,323000.0,
@RealDanBongino,youtube,videos,266,266,266,266,2026-01,2026-09,0,0.0,False,Dan Bongino,1010000.0,True
@RebelHQ,youtube,videos,1191,1190,1190,1191,2026-01,2026-09,0,0.0008,False,Rebel HQ,1530000.0,True
@RebelNewsOnline,youtube,streams,189,187,187,189,2026-01,2026-09,0,0.0106,False,Rebel News,1970000.0,True
@RebelNewsOnline,youtube,videos,1283,1273,1273,1075,2026-01,2026-09,0,0.0078,False,Rebel News,1970000.0,True
@RedactedNews,youtube,streams,136,136,136,136,2026-01,2026-09,0,0.0,False,Redacted,2880000.0,True
@RedactedNews,youtube,videos,424,424,424,424,2026-01,2026-09,0,0.0,False,Redacted,2880000.0,True
@RekietaLaw,youtube,streams,103,103,103,79,2026-01,2026-09,0,0.0,False,Rekieta Law,402000.0,True
@RekietaLaw,youtube,videos,18,18,18,18,2026-01,2026-08,0,0.0,True,Rekieta Law,402000.0,True
@RestPoliticsUS,youtube,streams,5,5,5,5,2026-01,2026-04,0,0.0,True,The Rest Is Politics US,409000.0,
@RestPoliticsUS,youtube,videos,208,208,208,99,2026-01,2026-09,0,0.0,False,The Rest Is Politics US,409000.0,
@Reuters,youtube,streams,2176,1901,1901,2176,2026-01,2026-09,0,0.1264,False,Reuters,4310000.0,True
@Reuters,youtube,videos,7695,7680,2500,7695,2026-01,2026-09,0,0.0019,False,Reuters,4310000.0,True
@RileyGaines,youtube,videos,143,143,143,143,2026-01,2026-09,0,0.0,False,Riley Gaines,70300.0,True
@RobertGouveiaEsq,youtube,streams,374,363,363,190,2026-01,2026-09,0,0.0294,False,Robert Gouveia Esq.,610000.0,
@RobertGouveiaEsq,youtube,videos,660,660,660,654,2026-01,2026-09,0,0.0,False,Robert Gouveia Esq.,610000.0,
@RonPlacone,youtube,streams,28,28,28,28,2026-02,2026-09,0,0.0,True,Ron Placone,25900.0,
@RonPlacone,youtube,videos,63,63,63,63,2026-01,2026-09,0,0.0,False,Ron Placone,25900.0,
@RubinReport,youtube,streams,113,112,112,113,2026-01,2026-09,0,0.0088,False,The Rubin Report,3230000.0,True
@RubinReport,youtube,videos,1057,1011,1011,1057,2026-01,2026-09,0,0.0435,False,The Rubin Report,3230000.0,True
@RufoandLomez,youtube,videos,74,74,74,74,2026-01,2026-09,0,0.0,False,Rufo & Lomez,16300.0,
@SMN,youtube,streams,8,8,8,7,2026-01,2026-09,0,0.0,True,Some More News,943000.0,True
@SMN,youtube,videos,190,190,190,95,2026-01,2026-09,0,0.0,False,Some More News,943000.0,True
@SNEAKO,youtube,videos,3,3,3,3,2026-04,2026-05,0,0.0,True,SNEAKO,1330000.0,True
@SabbySabs,youtube,streams,98,98,98,98,2026-01,2026-09,0,0.0,False,Sabby Sabs,424000.0,True
@SabbySabs,youtube,videos,587,587,587,587,2026-01,2026-09,0,0.0,False,Sabby Sabs,424000.0,True
@SaltyCracker,youtube,videos,361,361,361,361,2026-01,2026-09,0,0.0,False,Salty Cracker,906000.0,
@SavSays,youtube,streams,1,1,1,0,2026-03,2026-03,0,0.0,True,Sav Says,144000.0,
@SavSays,youtube,videos,16,16,16,16,2026-02,2026-09,0,0.0,True,Sav Says,144000.0,
@SecondThought,youtube,videos,19,19,19,19,2026-01,2026-09,0,0.0,True,Second Thought,1920000.0,True
@SecularTalk,youtube,streams,1,1,1,1,2026-03,2026-03,0,0.0,True,Secular Talk,2290000.0,True
@SecularTalk,youtube,videos,1375,1374,1374,1375,2026-01,2026-09,0,0.0007,False,Secular Talk,2290000.0,True
@Semafor,youtube,streams,30,30,30,30,2026-02,2026-07,0,0.0,True,Semafor,33300.0,True
@Semafor,youtube,videos,149,149,149,149,2026-01,2026-09,0,0.0,False,Semafor,33300.0,True
@Shoe0nHead,youtube,videos,9,9,9,9,2026-01,2026-09,0,0.0,True,Shoe0nHead,2520000.0,True
@SkyNews,youtube,streams,1876,1868,1868,1830,2026-01,2026-09,0,0.0043,False,Sky News,9360000.0,True
@SkyNews,youtube,videos,3415,3412,2500,3415,2026-01,2026-09,0,0.0009,False,Sky News,9360000.0,True
@StatusCoup,youtube,streams,154,152,152,154,2026-01,2026-09,0,0.013,False,Status Coup News,737000.0,True
@StatusCoup,youtube,videos,489,489,489,470,2026-01,2026-09,0,0.0,False,Status Coup News,737000.0,True
@StevenCrowder,youtube,streams,8,8,8,8,2026-02,2026-08,0,0.0,True,StevenCrowder,5910000.0,True
@StevenCrowder,youtube,videos,165,165,165,165,2026-01,2026-09,0,0.0,False,StevenCrowder,5910000.0,True
@StosselTV,youtube,videos,47,47,47,47,2026-01,2026-09,0,0.0,True,John Stossel,1170000.0,True
@Styxhexenhammer666,youtube,streams,16,16,16,16,2026-01,2026-02,0,0.0,True,Styxhexenhammer666,484000.0,True
@Styxhexenhammer666,youtube,videos,383,380,380,383,2026-01,2026-08,0,0.0078,False,Styxhexenhammer666,484000.0,True
@SydneyWatson,youtube,videos,57,57,57,57,2026-01,2026-09,0,0.0,False,Sydney Watson,1170000.0,True
@TechCrunch,youtube,videos,140,139,139,140,2026-01,2026-09,0,0.0071,False,TechCrunch,675000.0,True
@TheAdamCarollaShow1,youtube,videos,372,372,372,372,2026-01,2026-09,0,0.0,False,Adam Carolla,685000.0,True
@TheAmalaEkpunobi,youtube,streams,12,12,12,12,2026-03,2026-06,0,0.0,True,Amala Ekpunobi,2500000.0,True
@TheAmalaEkpunobi,youtube,videos,197,197,197,197,2026-01,2026-09,0,0.0,False,Amala Ekpunobi,2500000.0,True
@TheAtlantic,youtube,streams,5,5,5,5,2026-03,2026-07,0,0.0,True,The Atlantic,969000.0,True
@TheAtlantic,youtube,videos,157,157,157,157,2026-01,2026-09,0,0.0,False,The Atlantic,969000.0,True
@TheBrianKilmeadeShow,youtube,streams,2,2,2,2,2026-06,2026-06,0,0.0,True,Brian Kilmeade,17100.0,True
@TheBrianKilmeadeShow,youtube,videos,352,352,352,352,2026-01,2026-09,0,0.0,False,Brian Kilmeade,17100.0,True
@TheDailyBeast,youtube,streams,34,34,34,3,2026-01,2026-09,0,0.0,True,The Daily Beast,727000.0,True
@TheDailyBeast,youtube,videos,294,294,294,293,2026-01,2026-09,0,0.0,False,The Daily Beast,727000.0,True
@TheDamageReport,youtube,streams,262,259,259,84,2026-01,2026-09,0,0.0115,False,The Damage Report,1370000.0,True
@TheDamageReport,youtube,videos,3017,3015,2500,2097,2026-01,2026-09,0,0.0007,False,The Damage Report,1370000.0,True
@TheDonLemonShow,youtube,streams,377,377,377,348,2026-01,2026-09,0,0.0,False,Don Lemon,1450000.0,True
@TheDonLemonShow,youtube,videos,348,348,348,348,2026-01,2026-09,0,0.0,False,Don Lemon,1450000.0,True
@TheEconomist,youtube,videos,130,130,130,130,2026-01,2026-09,0,0.0,False,The Economist,4150000.0,True
@TheHumanistReport,youtube,streams,34,34,34,34,2026-01,2026-09,2,0.0,True,The Humanist Report,790000.0,True
@TheHumanistReport,youtube,videos,146,146,146,146,2026-01,2026-09,0,0.0,False,The Humanist Report,790000.0,True
@TheJoyReidShow,youtube,streams,139,135,135,131,2026-01,2026-09,0,0.0288,False,The Joy Reid Show,503000.0,True
@TheJoyReidShow,youtube,videos,234,234,234,233,2026-01,2026-09,0,0.0,False,The Joy Reid Show,503000.0,True
@TheLincolnProject,youtube,streams,28,28,28,28,2026-01,2026-09,0,0.0,True,The Lincoln Project,1620000.0,True
@TheLincolnProject,youtube,videos,119,119,119,119,2026-01,2026-09,0,0.0,False,The Lincoln Project,1620000.0,True
@TheMajorityReport,youtube,streams,183,183,183,183,2026-01,2026-09,0,0.0,False,The Majority Report w/ Sam Seder,2090000.0,True
@TheMajorityReport,youtube,videos,1523,1520,1520,1523,2026-01,2026-09,0,0.002,False,The Majority Report w/ Sam Seder,2090000.0,True
@TheMichaelCohenShow,youtube,videos,437,437,437,435,2026-01,2026-07,1,0.0,False,Michael Cohen,472000.0,
@TheOfficerTatum,youtube,streams,192,192,192,135,2026-01,2026-09,0,0.0,False,The Officer Tatum,3840000.0,True
@TheOfficerTatum,youtube,videos,599,599,599,564,2026-01,2026-09,0,0.0,False,The Officer Tatum,3840000.0,True
@ThePodcastoftheLotusEaters,youtube,streams,179,179,179,179,2026-01,2026-09,0,0.0,False,The Podcast of the Lotus Eaters,600000.0,
@ThePodcastoftheLotusEaters,youtube,videos,588,588,588,588,2026-01,2026-09,0,0.0,False,The Podcast of the Lotus Eaters,600000.0,
@TheQuartering,youtube,videos,653,637,637,653,2026-01,2026-09,0,0.0245,False,TheQuartering,2190000.0,True
@TheRealTabithaSpeaks,youtube,streams,3,3,3,3,2026-04,2026-09,0,0.0,True,TabithaSpeaksPolitics,458000.0,True
@TheRealTabithaSpeaks,youtube,videos,431,431,431,425,2026-01,2026-09,0,0.0,False,TabithaSpeaksPolitics,458000.0,True
@TheSerfTimes,youtube,streams,101,98,98,1,2026-01,2026-09,0,0.0297,False,The Serf Times,115000.0,True
@TheSerfTimes,youtube,videos,233,233,233,233,2026-01,2026-09,0,0.0,False,The Serf Times,115000.0,True
@TheVaushPit,youtube,videos,384,384,384,384,2026-01,2026-09,0,0.0,False,The Vaush Pit,222000.0,
@TheYoungTurks,youtube,streams,423,403,403,227,2026-01,2026-09,0,0.0473,False,The Young Turks,6720000.0,True
@TheYoungTurks,youtube,videos,2710,2706,2500,1838,2026-01,2026-09,0,0.0015,False,The Young Turks,6720000.0,True
@The_Crucible,youtube,streams,5,5,5,5,2026-02,2026-08,0,0.0,True,The Crucible ,383000.0,True
@The_Crucible,youtube,videos,218,218,218,218,2026-01,2026-09,0,0.0,False,The Crucible ,383000.0,True
@TimDillonShow,youtube,videos,66,66,66,36,2026-01,2026-09,0,0.0,False,The Tim Dillon Show,1280000.0,True
@Tim_Black,youtube,streams,16,16,16,16,2026-01,2026-09,0,0.0,True,Tim Black TV,218000.0,True
@Tim_Black,youtube,videos,311,311,311,311,2026-01,2026-09,0,0.0,False,Tim Black TV,218000.0,True
@Timcast,youtube,streams,5,5,5,5,2026-01,2026-02,0,0.0,True,Tim Pool,1460000.0,True
@Timcast,youtube,videos,177,174,174,177,2026-01,2026-09,0,0.0169,False,Tim Pool,1460000.0,True
@TimcastIRL,youtube,streams,149,149,149,149,2026-01,2026-09,0,0.0,False,Timcast IRL,2780000.0,True
@TimcastIRL,youtube,videos,872,824,824,872,2026-01,2026-09,0,0.055,False,Timcast IRL,2780000.0,True
@TimcastNews,youtube,streams,8,8,8,8,2026-02,2026-09,0,0.0,True,Timcast,2120000.0,True
@TimcastNews,youtube,videos,533,519,519,533,2026-01,2026-09,0,0.0263,False,Timcast,2120000.0,True
@TimesNowWorld,youtube,streams,4989,2827,2500,4989,2026-01,2026-09,0,0.4334,False,Times Now World,1290000.0,True
@TimesNowWorld,youtube,videos,8496,8489,2500,8491,2026-01,2026-09,0,0.0008,False,Times Now World,1290000.0,True
@TomiLahrenIsFearless,youtube,videos,113,113,113,113,2026-01,2026-09,0,0.0,False,Tomi Lahren Is Fearless,105000.0,True
@TuckerCarlson,youtube,videos,113,113,113,113,2026-01,2026-09,0,0.0,False,Tucker Carlson,5750000.0,True
@USATODAY,youtube,streams,407,396,396,407,2026-01,2026-09,0,0.027,False,USA TODAY,7560000.0,True
@USATODAY,youtube,videos,2138,2135,2135,2138,2026-01,2026-09,0,0.0014,False,USA TODAY,7560000.0,True
@UnHerd,youtube,streams,16,16,16,16,2026-01,2026-08,0,0.0,True,UnHerd,544000.0,True
@UnHerd,youtube,videos,76,76,76,76,2026-01,2026-09,0,0.0,False,UnHerd,544000.0,True
@Unpacked,youtube,videos,38,38,38,38,2026-01,2026-09,0,0.0,True,Unpacked,536000.0,True
@Vaush,youtube,streams,1,1,1,1,2026-02,2026-02,0,0.0,True,Vaush,603000.0,True
@Vaush,youtube,videos,431,431,431,431,2026-01,2026-09,0,0.0,False,Vaush,603000.0,True
@VivaFrei,youtube,streams,49,49,49,49,2026-01,2026-09,0,0.0,True,Viva Frei,653000.0,True
@VivaFrei,youtube,videos,310,310,310,310,2026-01,2026-09,0,0.0,False,Viva Frei,653000.0,True
@Vox,youtube,videos,127,127,127,127,2026-01,2026-09,0,0.0,False,Vox,12700000.0,True
@X22Report-y5y,youtube,videos,380,379,379,380,2026-01,2026-09,0,0.0026,False,X22Report,887000.0,
@XAVIAER,youtube,streams,2,2,2,2,2026-01,2026-02,0,0.0,True,"Respectfully, Xaviaer",195000.0,
@XAVIAER,youtube,videos,68,68,68,68,2026-01,2026-07,0,0.0,False,"Respectfully, Xaviaer",195000.0,
@Xanderhal,youtube,streams,101,101,101,1,2026-01,2026-09,0,0.0,False,Xanderhal,114000.0,True
@Xanderhal,youtube,videos,289,289,289,289,2026-01,2026-09,0,0.0,False,Xanderhal,114000.0,True
@YaBoiHakim,youtube,videos,15,15,15,15,2026-01,2026-08,0,0.0,True,Hakim,377000.0,True
@ZeihanonGeopolitics,youtube,videos,202,202,202,202,2026-01,2026-09,0,0.0,False,Zeihan on Geopolitics,969000.0,True
@ZubyMusic,youtube,videos,130,130,130,130,2026-01,2026-09,0,0.0,False,Zuby,282000.0,True
@aaronparnas1,youtube,streams,13,10,10,13,2026-02,2026-09,0,0.2308,True,Aaron Parnas,826000.0,True
@aaronparnas1,youtube,videos,769,769,769,769,2026-01,2026-09,0,0.0,False,Aaron Parnas,826000.0,True
@adammockler,youtube,streams,2,2,2,2,2026-03,2026-06,0,0.0,True,Adam Mockler,2220000.0,True
@adammockler,youtube,videos,1063,1055,1055,1059,2026-01,2026-09,0,0.0075,False,Adam Mockler,2220000.0,True
@ajplus,youtube,videos,50,50,50,50,2026-01,2026-09,0,0.0,False,AJ+,2530000.0,True
@aljazeeraenglish,youtube,videos,6649,6643,2500,6649,2026-01,2026-09,0,0.0009,False,Al Jazeera English,18200000.0,True
@axios,youtube,streams,8,7,7,8,2026-01,2026-03,0,0.125,True,Axios,114000.0,True
@axios,youtube,videos,138,137,137,138,2026-01,2026-09,0,0.0072,False,Axios,114000.0,True
@bbrettcooper,youtube,videos,139,139,139,139,2026-01,2026-09,0,0.0,False,Brett Cooper,1700000.0,True
@bennyjohnson,youtube,streams,162,162,162,162,2026-01,2026-09,0,0.0,False,Benny Johnson,6100000.0,True
@bennyjohnson,youtube,videos,1453,1453,1453,1453,2026-01,2026-09,0,0.0,False,Benny Johnson,6100000.0,True
@breakingpoints,youtube,streams,4,4,4,4,2026-02,2026-08,0,0.0,True,Breaking Points,2100000.0,True
@breakingpoints,youtube,videos,998,998,998,998,2026-01,2026-09,0,0.0,False,Breaking Points,2100000.0,True
@briantylercohen,youtube,streams,10,10,10,10,2026-01,2026-07,0,0.0,True,Brian Tyler Cohen,5260000.0,True
@briantylercohen,youtube,videos,1020,1019,1019,1020,2026-01,2026-09,0,0.001,False,Brian Tyler Cohen,5260000.0,True
@bulwarkmedia,youtube,streams,223,223,223,220,2026-01,2026-09,0,0.0,False,The Bulwark,1760000.0,True
@bulwarkmedia,youtube,videos,2025,1730,1730,907,2026-01,2026-09,0,0.1457,False,The Bulwark,1760000.0,True
@bushrakhanum,youtube,videos,22,22,22,22,2026-07,2026-09,0,0.0,True,Bushra Khanum,59700.0,
@cafedotcom,youtube,videos,52,52,52,52,2026-01,2026-09,0,0.0,False,Stay Tuned with Preet Bharara,61400.0,True
@chicksonright,youtube,streams,174,174,174,174,2026-01,2026-09,0,0.0,False,Chicks on the Right ,191000.0,True
@chicksonright,youtube,videos,446,446,446,446,2026-01,2026-09,0,0.0,False,Chicks on the Right ,191000.0,True
@chinainsights-r2w,youtube,videos,238,238,238,238,2026-01,2026-09,0,0.0,False,China Insights,350000.0,True
@chriscuomo,youtube,streams,9,8,8,8,2026-06,2026-08,0,0.1111,True,The Chris Cuomo Project,652000.0,True
@chriscuomo,youtube,videos,203,203,203,122,2026-01,2026-09,0,0.0,False,The Chris Cuomo Project,652000.0,True
@clayandbuck,youtube,streams,42,42,42,42,2026-07,2026-09,0,0.0,True,The Clay Travis & Buck Sexton Show,150000.0,
@clayandbuck,youtube,videos,565,565,565,565,2026-01,2026-09,0,0.0,False,The Clay Travis & Buck Sexton Show,150000.0,
@deanwithrs,youtube,streams,253,251,251,253,2026-01,2026-09,0,0.0079,False,Dean Withers,938000.0,
@deanwithrs,youtube,videos,251,251,251,251,2026-01,2026-09,0,0.0,False,Dean Withers,938000.0,
@destiny,youtube,videos,262,262,262,262,2026-01,2026-09,0,0.0,False,Destiny,878000.0,True
@destinyhqclips,youtube,videos,197,197,197,197,2026-04,2026-09,0,0.0,False,destinyhqclips,10500.0,
@dineshdsouza,youtube,streams,2,2,2,2,2026-04,2026-09,0,0.0,True,Dinesh D'Souza,810000.0,
@dineshdsouza,youtube,videos,62,62,62,62,2026-01,2026-09,0,0.0,False,Dinesh D'Souza,810000.0,
@dollemore,youtube,streams,4,4,4,4,2026-01,2026-07,0,0.0,True,Jesse Dollemore,1300000.0,True
@dollemore,youtube,videos,1376,1376,1376,1376,2026-01,2026-09,0,0.0,False,Jesse Dollemore,1300000.0,True
@doomscrollpodcast,youtube,videos,16,16,16,16,2026-01,2026-09,0,0.0,True,Joshua Citarella,146000.0,
@evanjmez,youtube,videos,22,22,22,22,2026-01,2026-08,0,0.0,True,Evan James,3240.0,
@fastpoliticspodcast,youtube,videos,138,138,138,128,2026-01,2026-09,0,0.0,False,Fast Politics w/ Molly Jong-Fast,91200.0,
@fightbackpodcast,youtube,streams,24,24,24,24,2026-01,2026-09,0,0.0,True,Jake Shields' Fight Back Podcast,206000.0,
@fightbackpodcast,youtube,videos,587,584,584,587,2026-01,2026-09,0,0.0051,False,Jake Shields' Fight Back Podcast,206000.0,
@franifio,youtube,streams,60,60,60,60,2026-01,2026-09,0,0.0,False,The Bitchuation Room (with Francesca Fiorentini),286000.0,True
@franifio,youtube,videos,271,271,271,257,2026-01,2026-09,0,0.0,False,The Bitchuation Room (with Francesca Fiorentini),286000.0,True
@glennbeck,youtube,streams,125,125,125,125,2026-02,2026-09,0,0.0,False,Glenn Beck,1790000.0,True
@glennbeck,youtube,videos,437,437,437,437,2026-01,2026-09,0,0.0,False,Glenn Beck,1790000.0,True
@harryjsisson,youtube,streams,3,3,3,3,2026-02,2026-04,0,0.0,True,Harry Sisson,605000.0,True
@harryjsisson,youtube,videos,639,632,632,639,2026-01,2026-09,0,0.011,False,Harry Sisson,605000.0,True
@hutch,youtube,streams,50,50,50,1,2026-06,2026-09,0,0.0,False,Hutch,841000.0,True
@hutch,youtube,videos,160,160,160,160,2026-01,2026-09,0,0.0,False,Hutch,841000.0,True
@jimacosta,youtube,streams,157,156,156,157,2026-01,2026-09,0,0.0064,False,Jim Acosta,336000.0,True
