day,titles,active_channels,epstein_titles,epstein_channels,epstein_share,epstein_residual_pooled,epstein_residual_channels,iran_titles,iran_channels,iran_share,iran_residual_pooled,iran_residual_channels,war_titles,war_channels,war_share,war_residual_pooled,war_residual_channels,trump_titles,trump_channels,trump_share,trump_residual_pooled,trump_residual_channels,israel_titles,israel_channels,israel_share,israel_residual_pooled,israel_residual_channels,files_titles,files_channels,files_share,files_residual_pooled,files_residual_channels,epstein_broad_titles,epstein_broad_channels,epstein_broad_share,epstein_broad_residual_pooled,epstein_broad_residual_channels,iran_broad_titles,iran_broad_channels,iran_broad_share,iran_broad_residual_pooled,iran_broad_residual_channels,war_broad_titles,war_broad_channels,war_broad_share,war_broad_residual_pooled,war_broad_residual_channels,israel_broad_titles,israel_broad_channels,israel_broad_share,israel_broad_residual_pooled,israel_broad_residual_channels,political_titles,political_channels,political_share,political_residual_pooled,political_residual_channels
2026-01-11,599.000000,117.000000,5.000000,5.000000,0.008347,0.030707,0.080558,59.000000,24.000000,0.098497,1.178710,0.674842,26.000000,15.000000,0.043406,0.662894,0.339084,164.000000,49.000000,0.273790,0.005156,-0.111623,15.000000,11.000000,0.025042,1.141446,0.915236,2.000000,2.000000,0.003339,0.199196,0.237374,5.000000,5.000000,0.008347,-0.001890,0.060705,71.000000,25.000000,0.118531,1.185142,0.599576,49.000000,22.000000,0.081803,0.509945,0.190476,23.000000,15.000000,0.038397,0.735579,0.598638,571.000000,114.000000,0.953255,0.022610,-0.000401
2026-01-12,1109.000000,170.000000,5.000000,4.000000,0.004509,-0.245686,-0.304744,168.000000,42.000000,0.151488,1.532721,0.756576,29.000000,15.000000,0.026150,0.208447,-0.050378,280.000000,73.000000,0.252480,-0.100975,-0.117312,11.000000,8.000000,0.009919,0.544693,0.329958,2.000000,2.000000,0.001803,-0.507585,-0.407667,5.000000,4.000000,0.004509,-0.299845,-0.359107,196.000000,50.000000,0.176736,1.523829,0.811174,74.000000,32.000000,0.066727,0.394200,0.172561,20.000000,14.000000,0.018034,0.272671,0.233715,1065.000000,167.000000,0.960325,0.031658,0.001872
2026-01-13,1288.000000,175.000000,20.000000,15.000000,0.015528,0.481123,0.499552,167.000000,49.000000,0.129658,1.532608,0.953451,46.000000,25.000000,0.035714,0.597777,0.462998,395.000000,91.000000,0.306677,0.106074,0.084803,9.000000,9.000000,0.006988,0.268439,0.356646,4.000000,4.000000,0.003106,-0.154247,0.007297,21.000000,16.000000,0.016304,0.474474,0.509958,215.000000,58.000000,0.166925,1.618748,0.987311,91.000000,38.000000,0.070652,0.595770,0.372912,17.000000,13.000000,0.013199,0.018849,0.064459,1244.000000,172.000000,0.965839,0.034533,0.006618
2026-01-14,1267.000000,189.000000,32.000000,24.000000,0.025257,0.839688,0.759548,164.000000,57.000000,0.129440,1.512171,1.004338,37.000000,24.000000,0.029203,0.436951,0.305638,365.000000,96.000000,0.288082,0.032643,0.060937,12.000000,11.000000,0.009471,0.691789,0.601183,10.000000,10.000000,0.007893,0.488642,0.579627,33.000000,25.000000,0.026046,0.824138,0.765048,190.000000,58.000000,0.149961,1.517337,0.916456,68.000000,38.000000,0.053670,0.374280,0.290269,25.000000,19.000000,0.019732,0.490110,0.398506,1184.000000,186.000000,0.934491,-0.000530,0.009211
2026-01-15,1303.000000,180.000000,9.000000,9.000000,0.006907,-0.652268,-0.327732,144.000000,54.000000,0.110514,1.454798,1.052834,42.000000,24.000000,0.032233,0.538266,0.415119,369.000000,90.000000,0.283193,0.075486,0.061278,15.000000,12.000000,0.011512,0.860588,0.686537,4.000000,4.000000,0.003070,-0.545330,-0.410008,9.000000,9.000000,0.006907,-0.716553,-0.385041,160.000000,55.000000,0.122794,1.429922,0.963670,76.000000,35.000000,0.058327,0.484954,0.310030,26.000000,18.000000,0.019954,0.490271,0.387376,1236.000000,176.000000,0.948580,0.019102,0.000425
2026-01-16,1200.000000,185.000000,13.000000,11.000000,0.010833,-0.233641,-0.139558,106.000000,32.000000,0.088333,1.235134,0.575259,21.000000,16.000000,0.017500,0.050576,0.107337,380.000000,89.000000,0.316667,0.201438,0.075837,14.000000,11.000000,0.011667,1.077485,0.770434,5.000000,5.000000,0.004167,-0.515575,-0.372564,13.000000,11.000000,0.010833,-0.303243,-0.205129,122.000000,34.000000,0.101667,1.221654,0.510870,51.000000,26.000000,0.042500,0.273428,0.098833,24.000000,15.000000,0.020000,0.635522,0.279391,1150.000000,180.000000,0.958333,0.034288,-0.001786
2026-01-17,727.000000,138.000000,8.000000,7.000000,0.011004,-0.199525,-0.103162,46.000000,27.000000,0.063274,0.912595,0.743532,17.000000,12.000000,0.023384,0.356946,0.258378,202.000000,60.000000,0.277854,0.075556,0.002221,5.000000,5.000000,0.006878,0.437228,0.403277,2.000000,2.000000,0.002751,-0.614864,-0.509480,8.000000,7.000000,0.011004,-0.263446,-0.155552,55.000000,29.000000,0.075653,0.937674,0.705076,28.000000,20.000000,0.038514,0.119374,0.184474,13.000000,11.000000,0.017882,0.408234,0.386499,698.000000,133.000000,0.960110,0.037781,-0.014234
2026-01-18,591.000000,108.000000,6.000000,4.000000,0.010152,-0.194541,-0.352439,27.000000,18.000000,0.045685,0.517440,0.520389,21.000000,16.000000,0.035533,0.673334,0.655045,195.000000,52.000000,0.329949,0.232461,0.057240,7.000000,7.000000,0.011844,0.643444,0.716176,2.000000,2.000000,0.003384,-0.328024,-0.169097,6.000000,4.000000,0.010152,-0.259059,-0.398635,35.000000,21.000000,0.059222,0.583183,0.552495,29.000000,18.000000,0.049069,0.298059,0.255912,13.000000,8.000000,0.021997,0.259009,0.103715,556.000000,107.000000,0.940778,0.017248,0.013795
2026-01-19,1003.000000,160.000000,6.000000,5.000000,0.005982,-0.383132,-0.357007,38.000000,23.000000,0.037886,0.221808,0.252109,29.000000,21.000000,0.028913,0.476005,0.482863,324.000000,81.000000,0.323031,0.187152,0.075207,8.000000,8.000000,0.007976,0.506804,0.506363,3.000000,2.000000,0.002991,-0.590951,-0.814174,6.000000,5.000000,0.005982,-0.465067,-0.434276,43.000000,25.000000,0.042871,0.170914,0.214836,48.000000,26.000000,0.047856,0.313519,0.184973,22.000000,16.000000,0.021934,0.500502,0.433976,926.000000,157.000000,0.923230,-0.000676,-0.001396
2026-01-20,1307.000000,185.000000,11.000000,8.000000,0.008416,-0.515020,-0.470663,28.000000,17.000000,0.021423,-0.219061,-0.132419,17.000000,14.000000,0.013007,-0.264488,-0.038372,480.000000,82.000000,0.367253,0.328876,-0.046766,12.000000,9.000000,0.009181,0.643729,0.385891,8.000000,6.000000,0.006121,-0.032795,-0.128122,11.000000,8.000000,0.008416,-0.593088,-0.542376,34.000000,20.000000,0.026014,-0.202366,-0.106721,34.000000,24.000000,0.026014,-0.188612,-0.002793,30.000000,19.000000,0.022953,0.565375,0.372629,1236.000000,181.000000,0.945677,0.019830,0.000330
