term,n_titles,degree,strength,betweenness,community
naval blockade,78,1,1.34137,0.00000,0
unacceptable,52,1,1.33441,0.00000,0
casualties,47,1,1.33302,0.00000,0
ballistic missiles,114,1,1.32493,0.00000,0
hell,119,1,1.31878,0.00000,0
save act,44,1,1.30495,0.00000,0
reflecting pool,105,1,1.30207,0.00000,0
situation,170,1,1.29303,0.00000,0
marandi,34,1,1.28869,0.00000,0
advisor,58,1,1.28643,0.00000,0
us-israeli,57,1,1.27958,0.00000,0
consequences,70,1,1.27658,0.00000,0
threatening,59,1,1.27584,0.00000,0
adviser,67,1,1.27262,0.00000,0
way,216,1,1.25834,0.00000,0
tensions escalate,64,1,1.25556,0.00000,0
doubles,76,1,1.25201,0.00000,0
reflecting,109,1,1.25148,0.00000,0
tries,67,1,1.22799,0.00000,0
agrees,85,1,1.22182,0.00000,0
taking,196,1,1.20239,0.00000,0
presidency,50,1,1.19572,0.00000,0
intensify,82,1,1.19263,0.00000,0
pool,129,1,1.18928,0.00000,0
terms,73,1,1.18574,0.00000,0
meetings,53,1,1.17977,0.00000,0
transfer,71,1,1.17465,0.00000,0
agenda,151,1,1.17261,0.00000,0
affordability,106,1,1.16805,0.00000,0
balance,750,1,1.16342,0.00000,0
stops,54,1,1.16266,0.00000,0
voter,92,1,1.12232,0.00000,0
striking,76,1,1.11356,0.00000,0
dismisses,74,1,1.11133,0.00000,0
posts,124,1,1.09415,0.00000,0
maga,132,1,1.09413,0.00000,0
tells,288,1,1.08689,0.00000,0
comments,183,1,1.07498,0.00000,0
suggests,59,1,1.06737,0.00000,0
commercial,66,1,1.06690,0.00000,0
work,261,1,1.06487,0.00000,0
housing,134,1,1.05143,0.00000,0
attempt,130,1,1.04894,0.00000,0
abraham,80,1,1.02318,0.00000,0
sides,61,1,1.01977,0.00000,0
house,2793,77,173.78212,0.03605,1
secretary,745,44,146.52581,0.02159,1
president,3509,66,130.16717,0.03863,1
white,1798,47,120.11618,0.01250,1
white house,1707,48,119.62448,0.01352,1
china,2789,36,77.38088,0.01704,1
visit,1012,33,72.77188,0.01124,1
summit,1750,40,70.27202,0.01200,1
dhs,592,27,68.63855,0.00953,1
state,1285,24,67.80675,0.00902,1
meeting,1346,32,65.52417,0.00914,1
holds,1932,27,61.68458,0.01370,1
dinner,493,23,58.00429,0.01338,1
xi,929,27,57.65194,0.01128,1
security,1294,23,57.33082,0.00936,1
briefing,1070,19,53.86182,0.00520,1
meets,892,25,53.16717,0.00691,1
putin,2000,29,49.06962,0.00567,1
near,834,21,48.18833,0.01643,1
king,487,15,47.07259,0.00132,1
hold,897,17,45.49789,0.00316,1
mullin,191,12,44.72714,0.00131,1
press,1699,19,42.65819,0.00418,1
rubio,925,19,41.34088,0.01303,1
leaders,1050,18,41.13235,0.00667,1
shutdown,416,15,40.84014,0.00288,1
