genre,titles,creator,group,style_cluster,style_cluster_k_groups
videos,all,@TheHumanistReport,left,3,1
videos,all,@TheJoyReidShow,left,0,0
videos,all,@TheLincolnProject,left,0,0
videos,all,@TheMajorityReport,left,0,0
videos,all,@TheMichaelCohenShow,left,0,0
videos,all,@TheOfficerTatum,right,1,0
videos,all,@ThePodcastoftheLotusEaters,right,0,0
videos,all,@TheQuartering,right,1,0
videos,all,@TheRealTabithaSpeaks,left,3,1
videos,all,@TheSerfTimes,left,0,0
videos,all,@TheVaushPit,left,3,1
videos,all,@TheYoungTurks,left,0,0
videos,all,@The_Crucible,right,0,0
videos,all,@TimDillonShow,neutral,0,0
videos,all,@Tim_Black,right,3,1
videos,all,@Timcast,right,1,0
videos,all,@TimcastIRL,right,1,0
videos,all,@TimcastNews,right,1,0
videos,all,@TimesNowWorld,neutral,6,2
videos,all,@TomiLahrenIsFearless,right,3,1
videos,all,@TuckerCarlson,neutral,0,0
videos,all,@USATODAY,neutral,5,1
videos,all,@UnHerd,left,3,1
videos,all,@Vaush,left,3,1
videos,all,@VivaFrei,right,7,2
videos,all,@Vox,left,2,1
videos,all,@X22Report-y5y,right,3,1
videos,all,@XAVIAER,right,0,0
videos,all,@Xanderhal,left,3,1
videos,all,@ZeihanonGeopolitics,neutral,0,0
videos,all,@ZubyMusic,right,3,1
videos,all,@aaronparnas1,left,6,2
videos,all,@adammockler,left,1,0
videos,all,@ajplus,left,2,1
videos,all,@aljazeeraenglish,left,5,1
videos,all,@axios,neutral,0,0
videos,all,@bbrettcooper,right,3,1
videos,all,@bennyjohnson,right,0,0
videos,all,@breakingpoints,left,1,0
videos,all,@briantylercohen,left,5,1
videos,all,@bulwarkmedia,left,7,2
videos,all,@cafedotcom,left,7,2
videos,all,@chicksonright,right,0,0
videos,all,@chinainsights-r2w,neutral,4,2
videos,all,@chriscuomo,left,2,1
videos,all,@clayandbuck,right,3,1
videos,all,@deanwithrs,left,1,0
videos,all,@destiny,left,0,0
videos,all,@destinyhqclips,neutral,0,0
videos,all,@dineshdsouza,right,1,0
videos,all,@dollemore,left,0,0
videos,all,@fastpoliticspodcast,left,7,2
videos,all,@fightbackpodcast,right,0,0
videos,all,@franifio,left,0,0
videos,all,@glennbeck,right,3,1
videos,all,@harryjsisson,left,1,0
videos,all,@hutch,neutral,0,0
videos,all,@jimacosta,left,3,1
videos,all,@jlptalk,right,8,2
videos,all,@joerogan,neutral,0,0
videos,all,@judgingfreedom,left,0,0
videos,all,@katiephangnews,left,1,0
videos,all,@laurenchenclips,right,0,0
videos,all,@lizwheeler,right,0,0
videos,all,@lonerboxlive,right,7,2
videos,all,@lovettorleaveitpodcast,left,0,0
videos,all,@marclamonthillnetwork,left,7,2
videos,all,@markets,neutral,0,0
videos,all,@marklevinshow,right,0,0
videos,all,@morebridgetphetasy,right,3,1
videos,all,@moreperfectunion,left,2,1
videos,all,@msnow,left,5,1
videos,all,@nationalreview,right,2,1
videos,all,@newdiscourses,right,0,0
videos,all,@newyorker,neutral,0,0
videos,all,@nousnetwork,left,2,1
videos,all,@nypost,right,0,0
videos,all,@nytimes,left,2,1
videos,all,@oann,right,0,0
videos,all,@podsaveamerica,left,0,0
videos,all,@ponderingpolitics,left,1,0
videos,all,@rolandsmartin,left,7,2
videos,all,@samharrisorg,left,2,1
videos,all,@thedavidpakmanshow,left,3,1
videos,all,@thegrayzone7996,left,5,1
videos,all,@thehill,neutral,5,1
videos,all,@theisabelbrown,right,2,1
videos,all,@thejimmydoreshow,neutral,0,0
videos,all,@therationalnational,left,0,0
videos,all,@thewarningwithsteveschmidt,left,2,1
videos,all,@thomhartmann,left,3,1
videos,all,@timesofindia,left,8,2
videos,all,@triggerpod,right,0,0
videos,all,@turningpointusa,right,7,2
videos,all,@underthedesknews,left,0,0
videos,all,@usefulidiots,left,0,0
videos,all,@wethefifth,neutral,0,0
videos,all,@winston_marshall,right,0,0
videos,all,@wsj,neutral,2,1
videos,all,@zeteo,left,3,1
videos,all,https://rumble.com/c/BannonsWarRoom,right,7,2
videos,all,https://rumble.com/c/GGreenwald,left,3,1
videos,all,https://rumble.com/c/TheAlexJonesShowLive,right,5,1
videos,all,https://rumble.com/c/nickjfuentes,right,1,0
videos,all,https://rumble.com/c/russellbrand,right,3,1
videos,political,@60minutes,neutral,2,2
videos,political,@ABCNews,neutral,0,0
videos,political,@ANINewsIndia,neutral,0,0
videos,political,@ActualJusticeWarrior,right,3,1
videos,political,@AfterPartyEmily,right,2,2
videos,political,@AlexStein99,right,1,0
videos,political,@AndWeKnowOfficial-o9b,right,3,1
videos,political,@AndrewKlavan,right,1,0
videos,political,@AnthonyBrianLogan,right,1,0
videos,political,@AsmonTV,right,1,0
videos,political,@AssociatedPress,neutral,0,0
videos,political,@BBCNews,neutral,0,0
videos,political,@BadEmpanadaLive,left,1,0
videos,political,@BadFaithPodcast,left,2,2
videos,political,@BelleRanch,left,0,0
videos,political,@BenShapiro,right,1,0
videos,political,@BlackConservativePerspective,right,3,1
videos,political,@BlazeTV,right,1,0
