lane,genre,month_to,n_creators,mean_js,median_js
right_commentary,streams,2026-02,3,0.6466,0.5701
right_commentary,streams,2026-03,8,0.77085,0.8311
right_commentary,streams,2026-04,10,0.65315,0.6534500000000001
right_commentary,streams,2026-05,7,0.7079000000000001,0.7419
right_commentary,streams,2026-06,7,0.6790428571428572,0.7034
right_commentary,streams,2026-07,7,0.7423428571428571,0.7538
right_commentary,streams,2026-08,9,0.7234222222222222,0.6454
right_commentary,streams,2026-09,4,0.6389750000000001,0.67395
right_commentary,videos,2026-02,40,0.709795,0.7166
right_commentary,videos,2026-03,46,0.7211478260869566,0.7120500000000001
right_commentary,videos,2026-04,49,0.6798020408163264,0.7103
right_commentary,videos,2026-05,50,0.6739879999999999,0.67735
right_commentary,videos,2026-06,51,0.6877470588235294,0.6916
right_commentary,videos,2026-07,50,0.702444,0.71105
right_commentary,videos,2026-08,50,0.689204,0.68725
right_commentary,videos,2026-09,41,0.6674463414634146,0.6786
right_tv_network,streams,2026-02,3,0.7266,0.7161
right_tv_network,streams,2026-03,3,0.7649666666666667,0.8597
right_tv_network,streams,2026-04,4,0.707475,0.71225
right_tv_network,streams,2026-05,4,0.6667,0.6697
right_tv_network,streams,2026-06,4,0.6511,0.61265
right_tv_network,streams,2026-07,4,0.6368,0.6369499999999999
right_tv_network,streams,2026-08,4,0.6517999999999999,0.6159
right_tv_network,streams,2026-09,4,0.7149,0.7057
right_tv_network,videos,2026-02,4,0.5828,0.5900000000000001
right_tv_network,videos,2026-03,4,0.616375,0.6082000000000001
right_tv_network,videos,2026-04,4,0.5996,0.6043499999999999
right_tv_network,videos,2026-05,4,0.623875,0.61835
right_tv_network,videos,2026-06,4,0.5745750000000001,0.58755
right_tv_network,videos,2026-07,4,0.6194,0.5651999999999999
right_tv_network,videos,2026-08,4,0.63705,0.59475
right_tv_network,videos,2026-09,4,0.6621,0.60355
streamer_reaction,streams,2026-02,1,0.6743,0.6743
streamer_reaction,streams,2026-03,2,0.7606999999999999,0.7606999999999999
streamer_reaction,streams,2026-04,1,0.576,0.576
streamer_reaction,streams,2026-05,1,0.6526,0.6526
streamer_reaction,streams,2026-06,1,0.7051,0.7051
streamer_reaction,streams,2026-07,2,0.65405,0.65405
streamer_reaction,streams,2026-08,2,0.72235,0.72235
streamer_reaction,streams,2026-09,1,0.7065,0.7065
streamer_reaction,videos,2026-02,13,0.6398923076923076,0.6634
streamer_reaction,videos,2026-03,15,0.6984466666666667,0.695
streamer_reaction,videos,2026-04,14,0.6600214285714285,0.6518999999999999
streamer_reaction,videos,2026-05,14,0.6969714285714286,0.73035
streamer_reaction,videos,2026-06,17,0.7013294117647059,0.7446
streamer_reaction,videos,2026-07,16,0.6228,0.6837
streamer_reaction,videos,2026-08,17,0.6439411764705882,0.6836
streamer_reaction,videos,2026-09,17,0.6949764705882353,0.7267
us_legacy_tv,streams,2026-02,6,0.7247166666666667,0.75205
us_legacy_tv,streams,2026-03,6,0.7818833333333334,0.7968500000000001
us_legacy_tv,streams,2026-04,6,0.6851166666666666,0.6784
us_legacy_tv,streams,2026-05,7,0.7372142857142857,0.8026
us_legacy_tv,streams,2026-06,7,0.7416142857142857,0.7481
us_legacy_tv,streams,2026-07,6,0.73515,0.7918499999999999
us_legacy_tv,streams,2026-08,6,0.694,0.75815
us_legacy_tv,streams,2026-09,6,0.6874666666666668,0.65645
us_legacy_tv,videos,2026-02,9,0.5897666666666667,0.5556
us_legacy_tv,videos,2026-03,9,0.6076111111111111,0.5778
us_legacy_tv,videos,2026-04,9,0.5203888888888888,0.4697
us_legacy_tv,videos,2026-05,9,0.5323666666666668,0.5093
us_legacy_tv,videos,2026-06,9,0.5096777777777777,0.4886
us_legacy_tv,videos,2026-07,8,0.4946875,0.48165
us_legacy_tv,videos,2026-08,8,0.47335,0.46099999999999997
us_legacy_tv,videos,2026-09,9,0.5591333333333334,0.5187
us_press_print_digital,streams,2026-02,3,0.7863666666666668,0.7606
us_press_print_digital,streams,2026-03,2,0.746,0.746
us_press_print_digital,streams,2026-04,2,0.7455499999999999,0.7455499999999999
us_press_print_digital,streams,2026-05,2,0.7034,0.7034
us_press_print_digital,streams,2026-06,2,0.7235,0.7235
us_press_print_digital,streams,2026-07,2,0.71075,0.71075
us_press_print_digital,streams,2026-08,2,0.73715,0.73715
us_press_print_digital,streams,2026-09,2,0.65025,0.65025
us_press_print_digital,videos,2026-02,10,0.68164,0.64085
us_press_print_digital,videos,2026-03,10,0.68172,0.6983
us_press_print_digital,videos,2026-04,9,0.6095111111111111,0.6048
us_press_print_digital,videos,2026-05,11,0.6279636363636364,0.6232
us_press_print_digital,videos,2026-06,11,0.6124636363636363,0.5321
us_press_print_digital,videos,2026-07,10,0.5912599999999999,0.5848
us_press_print_digital,videos,2026-08,13,0.6394307692307692,0.6809
us_press_print_digital,videos,2026-09,10,0.63186,0.6051
wire_international,streams,2026-02,7,0.5340142857142858,0.5579
wire_international,streams,2026-03,7,0.5681,0.5983
wire_international,streams,2026-04,7,0.5309,0.5458
wire_international,streams,2026-05,7,0.5085714285714286,0.5492
wire_international,streams,2026-06,7,0.5081142857142857,0.5598
wire_international,streams,2026-07,7,0.5282,0.561
wire_international,streams,2026-08,7,0.5365285714285715,0.5541
wire_international,streams,2026-09,7,0.6062142857142857,0.6721
wire_international,videos,2026-02,10,0.5041100000000001,0.43505
wire_international,videos,2026-03,10,0.5485300000000001,0.5215000000000001
wire_international,videos,2026-04,10,0.42291,0.39225
wire_international,videos,2026-05,10,0.45206999999999997,0.39835
wire_international,videos,2026-06,10,0.44178999999999996,0.3887
wire_international,videos,2026-07,9,0.4015111111111111,0.3815
wire_international,videos,2026-08,9,0.4056222222222222,0.3725
wire_international,videos,2026-09,9,0.4521,0.4141
