genre,titles,creator,group,nn1,nn2,nn3,nn4,nn5,nn1_group,nn2_group,nn3_group,nn4_group,nn5_group,nn1_dist,nn2_dist,nn3_dist,nn4_dist,nn5_dist
videos,all,@DailyDenims,left,https://rumble.com/c/TheAlexJonesShowLive,@MichaelKnowles,@FoxNews,@BlazeTV,@DarkHorsePod,right,right,right,right,right,2.313,2.665,3.065,3.142,3.183
videos,all,@DannyHaiphongYT,left,@TuckerCarlson,@JamarlThomas,@lovettorleaveitpodcast,@TheAdamCarollaShow1,@bulwarkmedia,neutral,left,left,right,left,4.227,4.695,5.093,5.223,5.284
videos,all,@DarkHorsePod,right,@MichaelKnowles,@TheJoyReidShow,@DropSiteNews,@underthedesknews,@ClubRandomPodcast,right,left,left,left,neutral,1.708,1.763,1.781,1.848,1.995
videos,all,@DemocracyDocket,left,@clayandbuck,@TheJoyReidShow,https://rumble.com/c/GGreenwald,@bulwarkmedia,@wethefifth,right,left,left,left,neutral,1.71,1.749,1.982,2.01,2.091
videos,all,@DemocracyNow,left,@MLChristiansen,@rolandsmartin,@nypost,@lonerboxlive,@timesofindia,right,left,right,right,left,2.051,2.225,2.727,2.773,2.788
videos,all,@DestinyDGGClips,right,@OfficialSaharTV,@CamHigby,@glennbeck,@MattWalsh,@RileyGaines,right,right,right,right,right,1.366,1.52,1.703,1.92,2.09
videos,all,@DoubleDownNews,left,@DrSteveTurleyTV,@SecularTalk,@StatusCoup,@TheOfficerTatum,@LegalAFMTN,right,left,left,right,left,2.846,2.858,3.44,3.469,3.473
videos,all,@DrSteveTurleyTV,right,@DoubleDownNews,@LegalAFMTN,@RubinReport,@JillianMichaels,@TheOfficerTatum,left,left,right,right,right,2.846,2.995,3.026,3.053,3.07
videos,all,@DropSiteNews,left,@MichaelKnowles,@nypost,@NovaraMedia,@TheMajorityReport,@podsaveamerica,right,right,left,left,left,0.995,1.509,1.625,1.658,1.691
videos,all,@DueDissidence,left,@breakingpoints,@dollemore,https://rumble.com/c/nickjfuentes,@LegalAFMTN,@RealAmericasVoice,left,left,right,left,right,1.346,1.572,1.843,1.93,1.96
videos,all,@DylanBurnsLIVE,left,@Styxhexenhammer666,@PartOfTheProblem,@LegalEagle,@ThePodcastoftheLotusEaters,@TheLincolnProject,right,right,left,right,left,1.597,1.651,1.672,1.804,1.851
videos,all,@EzraKleinShow,left,@TheAtlantic,@chriscuomo,@theisabelbrown,@AndrewKlavan,@thomhartmann,left,left,right,right,left,1.529,1.573,1.621,1.765,1.785
videos,all,@FarronBalanced,left,@JesseKellyDC,@SaltyCracker,@NovaraMedia,@JackCocchiarellaShow,@TheMajorityReport,right,right,left,left,left,0.809,0.818,1.247,1.249,1.262
videos,all,@Firstpost,neutral,@thehill,@PragerU,@markets,@cafedotcom,@marclamonthillnetwork,neutral,right,neutral,left,left,2.938,3.056,3.206,3.275,3.284
videos,all,@FleccasTalks,right,@dineshdsouza,@JacksonHinkleOfficial,https://rumble.com/c/nickjfuentes,@DueDissidence,@ponderingpolitics,right,neutral,right,left,left,3.507,3.557,3.943,3.971,4.33
videos,all,@Forbes,neutral,@wethefifth,@chinainsights-r2w,@NYTPodcasts,@PragerU,@oann,neutral,neutral,left,right,right,2.642,2.643,2.798,2.858,3.216
videos,all,@Forthepeoplepodcast305,left,@chicksonright,@PTLRadioShow,@GrahamAllen,@SaltyCracker,@FarronBalanced,right,left,right,right,left,0.913,1.34,1.346,1.408,1.478
videos,all,@FoxNews,right,@FoxNewsChannelClips,@msnow,@RebelNewsOnline,@NBCNews,@thedavidpakmanshow,right,left,right,neutral,left,1.592,2.657,2.671,2.787,2.872
videos,all,@FoxNewsChannelClips,right,@FoxNews,@msnow,@SkyNews,@CNN,@NBCNews,right,left,left,left,neutral,1.592,2.146,2.57,2.646,2.665
videos,all,@FreshFitMiami,right,@ChadPrather1,@TheHumanistReport,@HasanabiClips,https://rumble.com/c/GGreenwald,@RubinReport,right,left,left,left,right,1.653,1.809,2.107,2.131,2.186
videos,all,@GeopoliticalEconomyReport,left,@UnHerd,@thedavidpakmanshow,@Vox,@BBCNews,@bbrettcooper,left,left,left,neutral,right,3.024,3.045,3.231,3.404,3.495
videos,all,@GlennKirschner2,left,@JesseKellyDC,@OwenReport,@nypost,@TheLincolnProject,@GrahamAllen,right,left,right,left,right,1.527,1.527,1.544,1.557,1.62
videos,all,@GrahamAllen,right,@SaltyCracker,@Forthepeoplepodcast305,@chicksonright,@FarronBalanced,@JesseKellyDC,right,left,right,left,right,1.173,1.346,1.485,1.546,1.592
videos,all,@HangOutwithSeanHannity,right,@TomiLahrenIsFearless,@RileyGaines,@DropSiteNews,@MichaelKnowles,@BreakThroughNews,right,right,left,right,left,1.239,1.758,1.797,1.923,2.028
videos,all,@HasanAbi,left,@Vaush,@TheVaushPit,@TimcastNews,@TheMichaelCohenShow,@JustPearlyThings,left,left,right,left,right,1.62,2.224,2.372,2.398,2.446
videos,all,@HasanAbiVODs3,left,@60minutes,@Firstpost,@Forbes,@ponderingpolitics,@chinainsights-r2w,neutral,neutral,neutral,left,neutral,4.64,5.717,6.378,6.697,6.778
videos,all,@HasanReactionsfanTwo,left,@PTLRadioShow,@oann,@TheAdamCarollaShow1,@fightbackpodcast,@chicksonright,left,right,right,right,right,1.467,1.725,1.745,1.771,1.784
videos,all,@HasanabiClips,left,@dollemore,@ChadPrather1,@FreshFitMiami,@MyronGainesX,@RubinReport,left,right,right,right,right,2.083,2.092,2.107,2.122,2.135
